nm, A
800.000000, 0.034533
799.000000, 0.035274
798.000000, 0.035724
797.000000, 0.035569
796.000000, 0.035569
795.000000, 0.036078
794.000000, 0.034873
793.000000, 0.034548
792.000000, 0.034756
791.000000, 0.035355
790.000000, 0.035647
789.000000, 0.035507
788.000000, 0.035989
787.000000, 0.034436
786.000000, 0.034920
785.000000, 0.035305
784.000000, 0.035195
783.000000, 0.036139
782.000000, 0.035917
781.000000, 0.035838
780.000000, 0.035631
779.000000, 0.035958
778.000000, 0.035839
777.000000, 0.035928
776.000000, 0.035903
775.000000, 0.035409
774.000000, 0.036785
773.000000, 0.036223
772.000000, 0.036922
771.000000, 0.036699
770.000000, 0.037600
769.000000, 0.037243
768.000000, 0.038145
767.000000, 0.038008
766.000000, 0.038037
765.000000, 0.039058
764.000000, 0.039780
763.000000, 0.040072
762.000000, 0.039939
761.000000, 0.040770
760.000000, 0.040149
759.000000, 0.040748
758.000000, 0.040833
757.000000, 0.040908
756.000000, 0.040784
755.000000, 0.041310
754.000000, 0.040369
753.000000, 0.040612
752.000000, 0.040557
751.000000, 0.040917
750.000000, 0.041808
749.000000, 0.042512
748.000000, 0.042885
747.000000, 0.043016
746.000000, 0.042133
745.000000, 0.042462
744.000000, 0.042911
743.000000, 0.042472
742.000000, 0.041512
741.000000, 0.041145
740.000000, 0.040229
739.000000, 0.040172
738.000000, 0.040432
737.000000, 0.040417
736.000000, 0.040009
735.000000, 0.040248
734.000000, 0.040006
733.000000, 0.039706
732.000000, 0.039425
731.000000, 0.039523
730.000000, 0.039698
729.000000, 0.039810
728.000000, 0.039483
727.000000, 0.039121
726.000000, 0.038949
725.000000, 0.039385
724.000000, 0.039305
723.000000, 0.039088
722.000000, 0.039951
721.000000, 0.040384
720.000000, 0.040430
719.000000, 0.040651
718.000000, 0.039862
717.000000, 0.039625
716.000000, 0.039663
715.000000, 0.040046
714.000000, 0.039583
713.000000, 0.039208
712.000000, 0.039223
711.000000, 0.039288
710.000000, 0.039090
709.000000, 0.039249
708.000000, 0.039715
707.000000, 0.040216
706.000000, 0.039351
705.000000, 0.039175
704.000000, 0.039308
703.000000, 0.039454
702.000000, 0.039970
701.000000, 0.040064
700.000000, 0.039385
699.000000, 0.039692
698.000000, 0.040181
697.000000, 0.039095
696.000000, 0.039051
695.000000, 0.039905
694.000000, 0.039553
693.000000, 0.039328
692.000000, 0.039592
691.000000, 0.039146
690.000000, 0.039476
689.000000, 0.039980
688.000000, 0.039419
687.000000, 0.039530
686.000000, 0.040230
685.000000, 0.040507
684.000000, 0.039641
683.000000, 0.039177
682.000000, 0.039935
681.000000, 0.039277
680.000000, 0.038706
679.000000, 0.039500
678.000000, 0.039416
677.000000, 0.039233
676.000000, 0.039124
675.000000, 0.039872
674.000000, 0.039584
673.000000, 0.039192
672.000000, 0.039488
671.000000, 0.039153
670.000000, 0.038665
669.000000, 0.039181
668.000000, 0.039124
667.000000, 0.038913
666.000000, 0.039500
665.000000, 0.038839
664.000000, 0.038141
663.000000, 0.038858
662.000000, 0.039215
661.000000, 0.038887
660.000000, 0.038724
659.000000, 0.038838
658.000000, 0.038690
657.000000, 0.038669
656.000000, 0.038638
655.000000, 0.038256
654.000000, 0.038990
653.000000, 0.038862
652.000000, 0.039065
651.000000, 0.039248
650.000000, 0.038736
649.000000, 0.037824
648.000000, 0.037714
647.000000, 0.037743
646.000000, 0.037720
645.000000, 0.037716
644.000000, 0.037246
643.000000, 0.037225
642.000000, 0.037356
641.000000, 0.037366
640.000000, 0.037805
639.000000, 0.037314
638.000000, 0.036935
637.000000, 0.036994
636.000000, 0.037195
635.000000, 0.037556
634.000000, 0.036985
633.000000, 0.036742
632.000000, 0.037552
631.000000, 0.037436
630.000000, 0.035895
629.000000, 0.035495
628.000000, 0.035686
627.000000, 0.036122
626.000000, 0.036194
625.000000, 0.035211
624.000000, 0.035426
623.000000, 0.036338
622.000000, 0.036152
621.000000, 0.035498
620.000000, 0.034497
619.000000, 0.034428
