nm, A
800.000000, 0.005336
799.000000, 0.003641
798.000000, 0.003771
797.000000, 0.004037
796.000000, 0.003615
795.000000, 0.002387
794.000000, 0.004343
793.000000, 0.004531
792.000000, 0.003651
791.000000, 0.003089
790.000000, 0.001680
789.000000, 0.002922
788.000000, 0.003000
787.000000, 0.005451
786.000000, 0.004263
785.000000, 0.003185
784.000000, 0.003646
783.000000, 0.003265
782.000000, 0.003269
781.000000, 0.003797
780.000000, 0.003969
779.000000, 0.003211
778.000000, 0.004600
777.000000, 0.003583
776.000000, 0.004435
775.000000, 0.005236
774.000000, 0.003770
773.000000, 0.004915
772.000000, 0.003403
771.000000, 0.004307
770.000000, 0.003816
769.000000, 0.004498
768.000000, 0.003602
767.000000, 0.004261
766.000000, 0.004891
765.000000, 0.004704
764.000000, 0.003727
763.000000, 0.003646
762.000000, 0.003670
761.000000, 0.003751
760.000000, 0.003896
759.000000, 0.003424
758.000000, 0.003110
757.000000, 0.002783
756.000000, 0.003438
755.000000, 0.003272
754.000000, 0.004874
753.000000, 0.003820
752.000000, 0.004287
751.000000, 0.004694
750.000000, 0.004300
749.000000, 0.003483
748.000000, 0.004034
747.000000, 0.002705
746.000000, 0.004352
745.000000, 0.003382
744.000000, 0.003109
743.000000, 0.002846
742.000000, 0.003369
741.000000, 0.003835
740.000000, 0.004268
739.000000, 0.004107
738.000000, 0.003687
737.000000, 0.003609
736.000000, 0.003038
735.000000, 0.002993
734.000000, 0.003129
733.000000, 0.003333
732.000000, 0.004107
731.000000, 0.003979
730.000000, 0.003216
729.000000, 0.003205
728.000000, 0.003402
727.000000, 0.003746
726.000000, 0.003455
725.000000, 0.002769
724.000000, 0.004103
723.000000, 0.004719
722.000000, 0.003222
721.000000, 0.002863
720.000000, 0.002293
719.000000, 0.001635
718.000000, 0.002994
717.000000, 0.003610
716.000000, 0.002945
715.000000, 0.002861
714.000000, 0.004161
713.000000, 0.004472
712.000000, 0.004169
711.000000, 0.004288
710.000000, 0.004148
709.000000, 0.003836
708.000000, 0.003895
707.000000, 0.003641
706.000000, 0.003899
705.000000, 0.003892
704.000000, 0.003705
703.000000, 0.003941
702.000000, 0.003629
701.000000, 0.004207
700.000000, 0.004874
699.000000, 0.003734
698.000000, 0.002899
697.000000, 0.003803
696.000000, 0.004126
695.000000, 0.003981
694.000000, 0.004589
693.000000, 0.004249
692.000000, 0.003882
691.000000, 0.004572
690.000000, 0.003521
689.000000, 0.003340
688.000000, 0.004236
687.000000, 0.003287
686.000000, 0.002642
685.000000, 0.002763
684.000000, 0.003426
683.000000, 0.003712
682.000000, 0.003633
681.000000, 0.004129
680.000000, 0.004185
679.000000, 0.003417
678.000000, 0.003538
677.000000, 0.003951
676.000000, 0.004502
675.000000, 0.003969
674.000000, 0.004256
673.000000, 0.004327
672.000000, 0.003327
671.000000, 0.003095
670.000000, 0.003834
669.000000, 0.003520
668.000000, 0.003588
667.000000, 0.003677
666.000000, 0.002628
665.000000, 0.003383
664.000000, 0.004389
663.000000, 0.003594
662.000000, 0.003487
661.000000, 0.004199
660.000000, 0.003584
659.000000, 0.003291
658.000000, 0.003906
657.000000, 0.004041
656.000000, 0.003573
655.000000, 0.003602
654.000000, 0.003080
653.000000, 0.003055
652.000000, 0.003950
651.000000, 0.003723
650.000000, 0.002564
649.000000, 0.004192
648.000000, 0.004515
647.000000, 0.004076
646.000000, 0.004166
645.000000, 0.004126
644.000000, 0.004875
643.000000, 0.004491
642.000000, 0.004077
641.000000, 0.004037
640.000000, 0.003585
639.000000, 0.004755
638.000000, 0.004741
637.000000, 0.004636
636.000000, 0.004151
635.000000, 0.003947
634.000000, 0.004273
633.000000, 0.004429
632.000000, 0.003269
631.000000, 0.003402
630.000000, 0.004930
629.000000, 0.004841
628.000000, 0.004357
627.000000, 0.004171
626.000000, 0.004036
625.000000, 0.004309
624.000000, 0.004125
623.000000, 0.003231
622.000000, 0.003414
621.000000, 0.004539
620.000000, 0.005103
619.000000, 0.004887
618.000000, 0.004496
617.000000, 0.004068
616.000000, 0.003987
615.000000, 0.003392
614.000000, 0.003262
613.000000, 0.003587
612.000000, 0.003821
611.000000, 0.004543
610.000000, 0.004267
609.000000, 0.004352
608.000000, 0.004253
607.000000, 0.003068
606.000000, 0.003593
605.000000, 0.004992
604.000000, 0.003555
603.000000, 0.003369
602.000000, 0.004140
601.000000, 0.004084
600.000000, 0.003759
599.000000, 0.004112
598.000000, 0.004291
597.000000, 0.003496
596.000000, 0.003760
595.000000, 0.003807
594.000000, 0.003634
593.000000, 0.003114
592.000000, 0.004495
591.000000, 0.004067
590.000000, 0.005302
589.000000, 0.004426
588.000000, 0.004838
587.000000, 0.003959
586.000000, 0.003791
585.000000, 0.005078
584.000000, 0.004851
583.000000, 0.004685
582.000000, 0.004191
581.000000, 0.003440
580.000000, 0.003946
579.000000, 0.005277
578.000000, 0.005249
577.000000, 0.004982
576.000000, 0.003519
575.000000, 0.005042
574.000000, 0.004619
573.000000, 0.004229
572.000000, 0.005056
571.000000, 0.005051
570.000000, 0.005033
569.000000, 0.005580
568.000000, 0.005278
567.000000, 0.005269
566.000000, 0.005681
565.000000, 0.004309
564.000000, 0.005953
