nm, A
800.000000, 0.030405
799.000000, 0.031454
798.000000, 0.031831
797.000000, 0.031797
796.000000, 0.032076
795.000000, 0.031751
794.000000, 0.030789
793.000000, 0.031074
792.000000, 0.031541
791.000000, 0.031472
790.000000, 0.031119
789.000000, 0.031434
788.000000, 0.031441
787.000000, 0.031071
786.000000, 0.031541
785.000000, 0.031229
784.000000, 0.032118
783.000000, 0.031631
782.000000, 0.030829
781.000000, 0.031997
780.000000, 0.032334
779.000000, 0.032562
778.000000, 0.032816
777.000000, 0.031966
776.000000, 0.032456
775.000000, 0.032310
774.000000, 0.033248
773.000000, 0.032844
772.000000, 0.032639
771.000000, 0.033442
770.000000, 0.034198
769.000000, 0.034417
768.000000, 0.034639
767.000000, 0.034738
766.000000, 0.035617
765.000000, 0.035253
764.000000, 0.035669
763.000000, 0.036655
762.000000, 0.036122
761.000000, 0.036519
760.000000, 0.036807
759.000000, 0.036238
758.000000, 0.037093
757.000000, 0.037004
756.000000, 0.036489
755.000000, 0.037444
754.000000, 0.037005
753.000000, 0.037354
752.000000, 0.037740
751.000000, 0.038087
750.000000, 0.038271
749.000000, 0.038730
748.000000, 0.038467
747.000000, 0.038985
746.000000, 0.039565
745.000000, 0.039601
744.000000, 0.038653
743.000000, 0.037549
742.000000, 0.036755
741.000000, 0.036724
740.000000, 0.037346
739.000000, 0.037122
738.000000, 0.036432
737.000000, 0.037440
736.000000, 0.036513
735.000000, 0.036352
734.000000, 0.035888
733.000000, 0.036133
732.000000, 0.035453
731.000000, 0.035962
730.000000, 0.036097
729.000000, 0.035921
728.000000, 0.035985
727.000000, 0.035294
726.000000, 0.035672
725.000000, 0.036154
724.000000, 0.036536
723.000000, 0.036530
722.000000, 0.035987
721.000000, 0.035068
720.000000, 0.035183
719.000000, 0.036209
718.000000, 0.036383
717.000000, 0.036972
716.000000, 0.036401
715.000000, 0.035538
714.000000, 0.036047
713.000000, 0.035803
712.000000, 0.036118
711.000000, 0.036948
710.000000, 0.036674
709.000000, 0.036245
708.000000, 0.036743
707.000000, 0.036912
706.000000, 0.036223
705.000000, 0.036121
704.000000, 0.036144
703.000000, 0.036143
702.000000, 0.036752
701.000000, 0.036724
700.000000, 0.036618
699.000000, 0.036832
698.000000, 0.035945
697.000000, 0.036338
696.000000, 0.036971
695.000000, 0.036608
694.000000, 0.036388
693.000000, 0.036855
692.000000, 0.036916
691.000000, 0.036374
690.000000, 0.036825
689.000000, 0.037638
688.000000, 0.036780
687.000000, 0.037060
686.000000, 0.037650
685.000000, 0.037143
684.000000, 0.037022
683.000000, 0.036434
682.000000, 0.036622
681.000000, 0.037163
680.000000, 0.036944
679.000000, 0.036686
678.000000, 0.036611
677.000000, 0.036440
676.000000, 0.035929
675.000000, 0.036131
674.000000, 0.036660
673.000000, 0.036647
672.000000, 0.036033
671.000000, 0.036184
670.000000, 0.036373
669.000000, 0.035965
668.000000, 0.036304
667.000000, 0.036398
666.000000, 0.035548
665.000000, 0.035483
664.000000, 0.035608
663.000000, 0.035663
662.000000, 0.035659
661.000000, 0.035331
660.000000, 0.035324
659.000000, 0.035557
658.000000, 0.035826
657.000000, 0.035863
656.000000, 0.035380
655.000000, 0.035443
654.000000, 0.035831
653.000000, 0.035388
652.000000, 0.034832
651.000000, 0.035604
650.000000, 0.035632
649.000000, 0.035010
648.000000, 0.034424
647.000000, 0.035052
646.000000, 0.035304
645.000000, 0.035231
644.000000, 0.035192
643.000000, 0.034947
642.000000, 0.034225
641.000000, 0.034538
640.000000, 0.035035
639.000000, 0.034768
638.000000, 0.035378
637.000000, 0.035255
636.000000, 0.034489
635.000000, 0.034483
634.000000, 0.034815
633.000000, 0.034779
632.000000, 0.034920
631.000000, 0.033920
630.000000, 0.033685
629.000000, 0.033411
628.000000, 0.033609
627.000000, 0.033851
626.000000, 0.033417
625.000000, 0.032850
624.000000, 0.032964
623.000000, 0.032579
622.000000, 0.032356
621.000000, 0.032935
620.000000, 0.032984
619.000000, 0.032041
618.000000, 0.032438
617.000000, 0.032678
616.000000, 0.032096
615.000000, 0.032592
614.000000, 0.032298
613.000000, 0.032057
612.000000, 0.031409
611.000000, 0.031798
610.000000, 0.031413
609.000000, 0.031567
608.000000, 0.031060
607.000000, 0.031318
606.000000, 0.030828
605.000000, 0.030327
604.000000, 0.030536
603.000000, 0.031056
602.000000, 0.030361
601.000000, 0.030538
600.000000, 0.029872
599.000000, 0.029877
598.000000, 0.030749
597.000000, 0.030500
596.000000, 0.029875
595.000000, 0.029648
594.000000, 0.029468
593.000000, 0.029916
592.000000, 0.028700
591.000000, 0.028737
590.000000, 0.030113
589.000000, 0.030546
588.000000, 0.029558
587.000000, 0.029337
586.000000, 0.030174
585.000000, 0.029446
584.000000, 0.029299
583.000000, 0.029088
582.000000, 0.028982
581.000000, 0.028984
580.000000, 0.029676
579.000000, 0.029668
578.000000, 0.029030
577.000000, 0.029018
576.000000, 0.029626
575.000000, 0.029296
574.000000, 0.029020
573.000000, 0.028654
572.000000, 0.028372
571.000000, 0.028262
570.000000, 0.028523
569.000000, 0.027608
568.000000, 0.028761
567.000000, 0.028375
566.000000, 0.028605
565.000000, 0.028032
564.000000, 0.028176
563.000000, 0.028493
562.000000, 0.028331
561.000000, 0.028563
560.000000, 0.028074
559.000000, 0.027510
558.000000, 0.027459
557.000000, 0.027783
556.000000, 0.027921
555.000000, 0.027905
554.000000, 0.026604
553.000000, 0.027469
552.000000, 0.027266
551.000000, 0.026845
550.000000, 0.026759
549.000000, 0.027229
548.000000, 0.027050
547.000000, 0.027411
546.000000, 0.025745
545.000000, 0.027488
544.000000, 0.026890
543.000000, 0.027136
542.000000, 0.026232
541.000000, 0.026421
540.000000, 0.026651
539.000000, 0.027110
538.000000, 0.027515
537.000000, 0.027268
536.000000, 0.026404
535.000000, 0.028168
534.000000, 0.028417
533.000000, 0.028578
532.000000, 0.028600
531.000000, 0.028061
530.000000, 0.027838
529.000000, 0.028616
528.000000, 0.028930
527.000000, 0.028686
526.000000, 0.029319
525.000000, 0.028808
524.000000, 0.029734
523.000000, 0.029612
522.000000, 0.029040
521.000000, 0.029998
520.000000, 0.030329
519.000000, 0.030670
518.000000, 0.030790
517.000000, 0.030670
516.000000, 0.030956
515.000000, 0.030822
514.000000, 0.031062
513.000000, 0.031878
512.000000, 0.031787
511.000000, 0.031993
510.000000, 0.031211
509.000000, 0.031113
508.000000, 0.030532
507.000000, 0.031555
506.000000, 0.031496
505.000000, 0.030933
504.000000, 0.030957
