nm, A
800.000000, 0.002617
799.000000, 0.001530
798.000000, 0.001616
797.000000, 0.001264
796.000000, 0.001300
795.000000, 0.001090
794.000000, 0.001798
793.000000, 0.002327
792.000000, 0.001330
791.000000, 0.001586
790.000000, 0.001868
789.000000, 0.001321
788.000000, 0.002035
787.000000, 0.002161
786.000000, 0.001118
785.000000, 0.001235
784.000000, -0.000301
783.000000, 0.001310
782.000000, 0.002187
781.000000, 0.002094
780.000000, 0.001496
779.000000, 0.000570
778.000000, 0.000516
777.000000, 0.001427
776.000000, 0.001372
775.000000, 0.001770
774.000000, 0.001531
773.000000, 0.001751
772.000000, 0.001685
771.000000, 0.001115
770.000000, 0.001683
769.000000, 0.001774
768.000000, 0.001870
767.000000, 0.001406
766.000000, 0.001228
765.000000, 0.001866
764.000000, 0.001178
763.000000, 0.001410
762.000000, 0.002172
761.000000, 0.002206
760.000000, 0.001851
759.000000, 0.002177
758.000000, 0.001189
757.000000, 0.001252
756.000000, 0.002747
755.000000, 0.002003
754.000000, 0.002402
753.000000, 0.001765
752.000000, 0.001340
751.000000, 0.001912
750.000000, 0.002154
749.000000, 0.002113
748.000000, 0.001399
747.000000, 0.001265
746.000000, 0.001855
745.000000, 0.001726
744.000000, 0.002129
743.000000, 0.002586
742.000000, 0.002195
741.000000, 0.002606
740.000000, 0.001973
739.000000, 0.001309
738.000000, 0.002399
737.000000, 0.001496
736.000000, 0.002294
735.000000, 0.001942
734.000000, 0.002105
733.000000, 0.001973
732.000000, 0.002385
731.000000, 0.002005
730.000000, 0.002352
729.000000, 0.002137
728.000000, 0.001056
727.000000, 0.002602
726.000000, 0.002481
725.000000, 0.001913
724.000000, 0.001200
723.000000, 0.001090
722.000000, 0.001360
721.000000, 0.002658
720.000000, 0.002889
719.000000, 0.001853
718.000000, 0.001877
717.000000, 0.001254
716.000000, 0.002484
715.000000, 0.002597
714.000000, 0.002293
713.000000, 0.003050
712.000000, 0.002589
711.000000, 0.001385
710.000000, 0.001864
709.000000, 0.002092
708.000000, 0.001110
707.000000, 0.001174
706.000000, 0.002446
705.000000, 0.002077
704.000000, 0.001782
703.000000, 0.002190
702.000000, 0.002214
701.000000, 0.002402
700.000000, 0.002640
699.000000, 0.001765
698.000000, 0.002625
697.000000, 0.002744
696.000000, 0.001983
695.000000, 0.001458
694.000000, 0.001283
693.000000, 0.001232
692.000000, 0.001665
691.000000, 0.002669
690.000000, 0.002226
689.000000, 0.000847
688.000000, 0.002334
687.000000, 0.002492
686.000000, 0.001642
685.000000, 0.001527
684.000000, 0.001296
683.000000, 0.002147
682.000000, 0.002081
681.000000, 0.001161
680.000000, 0.001189
679.000000, 0.001663
678.000000, 0.001495
677.000000, 0.001383
676.000000, 0.002587
675.000000, 0.002747
674.000000, 0.002168
673.000000, 0.001722
672.000000, 0.001941
671.000000, 0.002335
670.000000, 0.001708
669.000000, 0.002063
668.000000, 0.001926
667.000000, 0.001630
666.000000, 0.002239
665.000000, 0.002453
664.000000, 0.002790
663.000000, 0.002132
662.000000, 0.001981
661.000000, 0.002195
660.000000, 0.002722
659.000000, 0.002647
658.000000, 0.001928
657.000000, 0.001707
656.000000, 0.002036
655.000000, 0.001880
654.000000, 0.001177
653.000000, 0.002143
652.000000, 0.003227
651.000000, 0.002061
650.000000, 0.001947
649.000000, 0.001830
648.000000, 0.002180
647.000000, 0.001739
646.000000, 0.002138
645.000000, 0.002360
644.000000, 0.001984
643.000000, 0.002437
642.000000, 0.003257
641.000000, 0.003353
640.000000, 0.002443
639.000000, 0.001706
638.000000, 0.001081
637.000000, 0.002190
636.000000, 0.002406
635.000000, 0.001651
634.000000, 0.000741
633.000000, 0.001484
632.000000, 0.001590
631.000000, 0.002535
630.000000, 0.002708
629.000000, 0.002555
628.000000, 0.002174
627.000000, 0.002364
626.000000, 0.002633
625.000000, 0.002627
624.000000, 0.001990
623.000000, 0.002020
622.000000, 0.002524
621.000000, 0.001744
620.000000, 0.002270
619.000000, 0.002729
618.000000, 0.002313
617.000000, 0.001579
616.000000, 0.002081
615.000000, 0.001808
614.000000, 0.001821
613.000000, 0.001995
612.000000, 0.002853
611.000000, 0.002459
610.000000, 0.002832
609.000000, 0.002592
608.000000, 0.003255
607.000000, 0.002906
606.000000, 0.002558
605.000000, 0.003692
604.000000, 0.002911
603.000000, 0.002456
602.000000, 0.003064
601.000000, 0.003193
600.000000, 0.002919
599.000000, 0.003178
598.000000, 0.002930
597.000000, 0.002490
596.000000, 0.002637
595.000000, 0.003079
594.000000, 0.002966
593.000000, 0.002909
592.000000, 0.004407
591.000000, 0.004786
590.000000, 0.003558
589.000000, 0.002566
588.000000, 0.003528
587.000000, 0.004379
586.000000, 0.002837
585.000000, 0.003853
584.000000, 0.003483
583.000000, 0.003868
582.000000, 0.004186
581.000000, 0.003467
580.000000, 0.002719
579.000000, 0.002317
578.000000, 0.003613
577.000000, 0.003516
576.000000, 0.002343
575.000000, 0.002647
574.000000, 0.002830
573.000000, 0.004161
572.000000, 0.004843
571.000000, 0.004289
570.000000, 0.003758
569.000000, 0.005140
568.000000, 0.004289
567.000000, 0.004702
566.000000, 0.004178
565.000000, 0.004485
564.000000, 0.004901
563.000000, 0.004168
562.000000, 0.004492
561.000000, 0.003824
560.000000, 0.003653
559.000000, 0.004157
558.000000, 0.005960
557.000000, 0.003805
556.000000, 0.003890
