nm, A
800.000000, 0.003760
799.000000, 0.001864
798.000000, 0.002041
797.000000, 0.001928
796.000000, 0.001650
795.000000, 0.001634
794.000000, 0.002248
793.000000, 0.001622
792.000000, 0.002109
791.000000, 0.001616
790.000000, 0.001886
789.000000, 0.001493
788.000000, 0.001482
787.000000, 0.001517
786.000000, 0.001844
785.000000, 0.001108
784.000000, 0.000893
783.000000, 0.001872
782.000000, 0.003663
781.000000, 0.000759
780.000000, 0.001558
779.000000, 0.000891
778.000000, 0.000680
777.000000, 0.001456
776.000000, 0.001557
775.000000, 0.002122
774.000000, 0.001259
773.000000, 0.001410
772.000000, 0.001961
771.000000, 0.001719
770.000000, 0.001668
769.000000, 0.001643
768.000000, 0.001348
767.000000, 0.001581
766.000000, 0.001332
765.000000, 0.002267
764.000000, 0.002247
763.000000, 0.001608
762.000000, 0.002433
761.000000, 0.001688
760.000000, 0.001433
759.000000, 0.002209
758.000000, 0.001297
757.000000, 0.001627
756.000000, 0.002661
755.000000, 0.001122
754.000000, 0.002265
753.000000, 0.001520
752.000000, 0.001359
751.000000, 0.001662
750.000000, 0.002092
749.000000, 0.001683
748.000000, 0.002350
747.000000, 0.001863
746.000000, 0.001139
745.000000, 0.000863
744.000000, 0.000891
743.000000, 0.001832
742.000000, 0.002963
741.000000, 0.002098
740.000000, 0.001502
739.000000, 0.001779
738.000000, 0.002060
737.000000, 0.000660
736.000000, 0.001398
735.000000, 0.001874
734.000000, 0.002001
733.000000, 0.001790
732.000000, 0.001401
731.000000, 0.001767
730.000000, 0.001935
729.000000, 0.001985
728.000000, 0.001184
727.000000, 0.002758
726.000000, 0.001767
725.000000, 0.001021
724.000000, 0.000801
723.000000, 0.000806
722.000000, 0.000846
721.000000, 0.002427
720.000000, 0.002250
719.000000, 0.001363
718.000000, 0.002370
717.000000, 0.001063
716.000000, 0.001167
715.000000, 0.002565
714.000000, 0.002216
713.000000, 0.002648
712.000000, 0.002513
711.000000, 0.000661
710.000000, 0.000113
709.000000, 0.000926
708.000000, 0.001545
707.000000, 0.002085
706.000000, 0.002036
705.000000, 0.001258
704.000000, 0.001660
703.000000, 0.002003
702.000000, 0.001707
701.000000, 0.002037
700.000000, 0.002286
699.000000, 0.001792
698.000000, 0.002293
697.000000, 0.001666
696.000000, 0.001641
695.000000, 0.001480
694.000000, 0.001801
693.000000, 0.001992
692.000000, 0.002254
691.000000, 0.002414
690.000000, 0.000935
689.000000, 0.000297
688.000000, 0.001619
687.000000, 0.001117
686.000000, 0.000680
685.000000, 0.001078
684.000000, 0.001221
683.000000, 0.001782
682.000000, 0.001374
681.000000, 0.001255
680.000000, 0.001336
679.000000, 0.001130
678.000000, 0.001581
677.000000, 0.002127
676.000000, 0.002083
675.000000, 0.002032
674.000000, 0.002007
673.000000, 0.001947
672.000000, 0.002404
671.000000, 0.001339
670.000000, 0.001438
669.000000, 0.002544
668.000000, 0.002787
667.000000, 0.002495
666.000000, 0.002499
665.000000, 0.002715
664.000000, 0.002583
663.000000, 0.002699
662.000000, 0.002606
661.000000, 0.002330
660.000000, 0.002546
659.000000, 0.001718
658.000000, 0.002008
657.000000, 0.002209
656.000000, 0.002406
655.000000, 0.002409
654.000000, 0.001559
653.000000, 0.002275
652.000000, 0.002722
651.000000, 0.002583
650.000000, 0.002825
649.000000, 0.002907
648.000000, 0.002574
647.000000, 0.002430
646.000000, 0.002365
645.000000, 0.002456
644.000000, 0.002458
643.000000, 0.002427
642.000000, 0.003084
641.000000, 0.002960
640.000000, 0.002667
639.000000, 0.002710
638.000000, 0.001897
637.000000, 0.001420
636.000000, 0.001492
635.000000, 0.001412
634.000000, 0.001871
633.000000, 0.001933
632.000000, 0.001611
631.000000, 0.001880
630.000000, 0.001361
629.000000, 0.002214
628.000000, 0.002227
627.000000, 0.001896
626.000000, 0.001961
625.000000, 0.001924
624.000000, 0.001590
623.000000, 0.001903
622.000000, 0.002484
621.000000, 0.001712
620.000000, 0.001847
619.000000, 0.003069
618.000000, 0.001882
617.000000, 0.001153
616.000000, 0.002088
615.000000, 0.001683
614.000000, 0.001918
613.000000, 0.001586
612.000000, 0.002616
611.000000, 0.001863
610.000000, 0.002773
609.000000, 0.002418
608.000000, 0.002452
607.000000, 0.001857
606.000000, 0.002492
605.000000, 0.003045
604.000000, 0.002838
603.000000, 0.002229
602.000000, 0.003683
601.000000, 0.002404
600.000000, 0.003118
599.000000, 0.003580
598.000000, 0.002304
597.000000, 0.002901
596.000000, 0.002907
595.000000, 0.002932
594.000000, 0.002609
593.000000, 0.001452
592.000000, 0.004085
591.000000, 0.003829
590.000000, 0.002569
589.000000, 0.002367
588.000000, 0.002312
587.000000, 0.002440
586.000000, 0.002299
585.000000, 0.002881
584.000000, 0.002704
583.000000, 0.002515
582.000000, 0.003096
581.000000, 0.003081
580.000000, 0.002709
579.000000, 0.003119
578.000000, 0.002883
577.000000, 0.002330
576.000000, 0.002469
575.000000, 0.001561
574.000000, 0.003078
573.000000, 0.002864
572.000000, 0.003766
571.000000, 0.003518
570.000000, 0.003249
569.000000, 0.003814
568.000000, 0.002111
567.000000, 0.003003
566.000000, 0.003177
565.000000, 0.003220
564.000000, 0.002856
563.000000, 0.003026
562.000000, 0.004133
561.000000, 0.002137
560.000000, 0.003609
559.000000, 0.004093
558.000000, 0.003199
557.000000, 0.003057
556.000000, 0.003622
555.000000, 0.003049
554.000000, 0.004291
553.000000, 0.004117
552.000000, 0.004087
551.000000, 0.004501
550.000000, 0.004240
549.000000, 0.004264
548.000000, 0.003965
547.000000, 0.003775
546.000000, 0.006135
545.000000, 0.004294
544.000000, 0.004363
543.000000, 0.004185
542.000000, 0.006370
541.000000, 0.005303
540.000000, 0.005355
539.000000, 0.004549
538.000000, 0.003401
537.000000, 0.004818
536.000000, 0.005873
535.000000, 0.004435
534.000000, 0.004657
533.000000, 0.003876
532.000000, 0.004016
531.000000, 0.005338
530.000000, 0.005298
529.000000, 0.005770
528.000000, 0.004240
527.000000, 0.005019
526.000000, 0.004607
525.000000, 0.006226
524.000000, 0.005845
523.000000, 0.006712
522.000000, 0.008854
521.000000, 0.009565
520.000000, 0.011347
519.000000, 0.016564
518.000000, 0.024224
517.000000, 0.035374
516.000000, 0.051304
515.000000, 0.069633
