nm, A
800.000000, 0.001389
799.000000, 0.001168
798.000000, 0.000741
797.000000, 0.000906
796.000000, 0.000546
795.000000, 0.001093
794.000000, 0.002137
793.000000, 0.000823
792.000000, 0.001294
791.000000, 0.000692
790.000000, 0.000746
789.000000, 0.001297
788.000000, 0.001083
787.000000, 0.001171
786.000000, 0.000499
785.000000, 0.001335
784.000000, 0.000965
783.000000, 0.000790
782.000000, 0.001999
781.000000, 0.000279
780.000000, 0.000418
779.000000, 0.000369
778.000000, 0.000043
777.000000, 0.001536
776.000000, 0.000523
775.000000, 0.000940
774.000000, 0.001020
773.000000, 0.000713
772.000000, 0.001620
771.000000, 0.000297
770.000000, -0.000044
769.000000, 0.001467
768.000000, 0.000420
767.000000, 0.001357
766.000000, 0.000767
765.000000, 0.001294
764.000000, 0.001343
763.000000, 0.001192
762.000000, 0.000667
761.000000, 0.000318
760.000000, 0.001241
759.000000, 0.001325
758.000000, 0.000733
757.000000, 0.001940
756.000000, 0.001417
755.000000, 0.001176
754.000000, 0.000596
753.000000, 0.001150
752.000000, 0.001102
751.000000, 0.000534
750.000000, 0.001357
749.000000, 0.001698
748.000000, 0.002735
747.000000, 0.001025
746.000000, 0.000161
745.000000, 0.000313
744.000000, 0.001097
743.000000, 0.002246
742.000000, 0.003491
741.000000, 0.002347
740.000000, 0.000630
739.000000, 0.000915
738.000000, 0.001789
737.000000, 0.000719
736.000000, 0.001615
735.000000, 0.000626
734.000000, 0.001755
733.000000, 0.001041
732.000000, 0.001529
731.000000, 0.001456
730.000000, 0.000707
729.000000, 0.000867
728.000000, 0.000773
727.000000, 0.001398
726.000000, 0.001794
725.000000, 0.001398
724.000000, 0.000984
723.000000, 0.000279
722.000000, 0.001393
721.000000, 0.002272
720.000000, 0.002375
719.000000, 0.001246
718.000000, 0.001087
717.000000, -0.000052
716.000000, 0.001353
715.000000, 0.001768
714.000000, 0.001082
713.000000, 0.001094
712.000000, 0.000607
711.000000, 0.000630
710.000000, 0.001457
709.000000, 0.001583
708.000000, 0.000899
707.000000, 0.000276
706.000000, 0.000825
705.000000, 0.001415
704.000000, 0.001936
703.000000, 0.001880
702.000000, 0.001195
701.000000, 0.000756
700.000000, 0.000751
699.000000, 0.000809
698.000000, 0.001563
697.000000, 0.001206
696.000000, 0.000664
695.000000, 0.001550
694.000000, 0.002025
693.000000, 0.001016
692.000000, 0.000361
691.000000, 0.001381
690.000000, 0.001616
689.000000, 0.000988
688.000000, 0.001384
687.000000, 0.000819
686.000000, 0.000329
685.000000, 0.001032
684.000000, 0.000559
683.000000, 0.000814
