nm, A
800.000000, 0.003704
799.000000, 0.002437
798.000000, 0.001893
797.000000, 0.001927
796.000000, 0.001906
795.000000, 0.001968
794.000000, 0.002879
793.000000, 0.002729
792.000000, 0.002224
791.000000, 0.002813
790.000000, 0.002634
789.000000, 0.002490
788.000000, 0.002546
787.000000, 0.002414
786.000000, 0.003345
785.000000, 0.002208
784.000000, 0.001720
783.000000, 0.003032
782.000000, 0.003050
781.000000, 0.002337
780.000000, 0.001498
779.000000, 0.002295
778.000000, 0.001552
777.000000, 0.002872
776.000000, 0.001837
775.000000, 0.002245
774.000000, 0.002524
773.000000, 0.002234
772.000000, 0.002614
771.000000, 0.002108
770.000000, 0.001939
769.000000, 0.001705
768.000000, 0.002238
767.000000, 0.002361
766.000000, 0.002141
765.000000, 0.002241
764.000000, 0.003395
763.000000, 0.002787
762.000000, 0.003158
761.000000, 0.003819
760.000000, 0.003283
759.000000, 0.003026
758.000000, 0.002398
757.000000, 0.002413
756.000000, 0.003306
755.000000, 0.002822
754.000000, 0.003062
753.000000, 0.002762
752.000000, 0.003017
751.000000, 0.002511
750.000000, 0.002734
749.000000, 0.001703
748.000000, 0.003005
747.000000, 0.002606
746.000000, 0.001767
745.000000, 0.001804
744.000000, 0.003135
743.000000, 0.003886
742.000000, 0.003629
741.000000, 0.003826
740.000000, 0.002889
739.000000, 0.003039
738.000000, 0.002745
737.000000, 0.002680
736.000000, 0.003119
735.000000, 0.002480
734.000000, 0.002966
733.000000, 0.002941
732.000000, 0.003150
731.000000, 0.003350
730.000000, 0.003097
729.000000, 0.003601
728.000000, 0.002705
727.000000, 0.003221
726.000000, 0.002773
725.000000, 0.002907
724.000000, 0.002028
723.000000, 0.002105
722.000000, 0.001919
721.000000, 0.003568
720.000000, 0.003424
719.000000, 0.002578
718.000000, 0.002544
717.000000, 0.001605
716.000000, 0.002084
715.000000, 0.003641
714.000000, 0.003270
713.000000, 0.003333
712.000000, 0.003271
711.000000, 0.002721
710.000000, 0.003152
709.000000, 0.003557
708.000000, 0.002666
707.000000, 0.002136
706.000000, 0.002682
705.000000, 0.002895
704.000000, 0.002852
703.000000, 0.003348
702.000000, 0.003476
701.000000, 0.003007
700.000000, 0.002177
699.000000, 0.002289
698.000000, 0.003074
697.000000, 0.002712
696.000000, 0.002482
695.000000, 0.003384
694.000000, 0.003562
693.000000, 0.002576
692.000000, 0.002444
691.000000, 0.003740
690.000000, 0.003092
689.000000, 0.001841
688.000000, 0.003079
687.000000, 0.003335
686.000000, 0.002444
685.000000, 0.002357
684.000000, 0.002075
683.000000, 0.002798
682.000000, 0.002801
681.000000, 0.001950
680.000000, 0.002338
679.000000, 0.002774
678.000000, 0.002198
677.000000, 0.002465
676.000000, 0.003270
675.000000, 0.003444
674.000000, 0.002549
673.000000, 0.002324
672.000000, 0.003000
671.000000, 0.002983
670.000000, 0.002711
669.000000, 0.002661
668.000000, 0.002224
667.000000, 0.002184
666.000000, 0.003603
665.000000, 0.003931
664.000000, 0.003490
663.000000, 0.003515
662.000000, 0.003898
661.000000, 0.003773
660.000000, 0.003019
659.000000, 0.002896
658.000000, 0.003067
657.000000, 0.003040
656.000000, 0.003622
655.000000, 0.003979
654.000000, 0.003406
653.000000, 0.003347
652.000000, 0.004475
651.000000, 0.003841
650.000000, 0.003542
649.000000, 0.003731
648.000000, 0.003805
647.000000, 0.003705
646.000000, 0.003964
645.000000, 0.003689
644.000000, 0.003984
643.000000, 0.003231
642.000000, 0.003627
641.000000, 0.003205
640.000000, 0.002504
639.000000, 0.003303
638.000000, 0.003541
637.000000, 0.003146
636.000000, 0.003794
635.000000, 0.003188
634.000000, 0.003565
633.000000, 0.003396
632.000000, 0.002977
631.000000, 0.003374
630.000000, 0.003240
629.000000, 0.003868
628.000000, 0.003155
627.000000, 0.002714
626.000000, 0.003790
625.000000, 0.004004
624.000000, 0.003364
623.000000, 0.004237
622.000000, 0.004206
621.000000, 0.003335
620.000000, 0.003137
619.000000, 0.003700
618.000000, 0.003808
617.000000, 0.004006
616.000000, 0.003627
615.000000, 0.003433
614.000000, 0.003506
613.000000, 0.003373
612.000000, 0.004705
611.000000, 0.003441
610.000000, 0.004171
609.000000, 0.003593
608.000000, 0.004280
607.000000, 0.003312
606.000000, 0.003917
605.000000, 0.004802
604.000000, 0.004771
603.000000, 0.003704
602.000000, 0.004624
601.000000, 0.003960
600.000000, 0.004082
599.000000, 0.005161
598.000000, 0.003855
597.000000, 0.004237
596.000000, 0.005116
595.000000, 0.004366
594.000000, 0.004474
593.000000, 0.003970
592.000000, 0.005392
591.000000, 0.005746
590.000000, 0.004692
589.000000, 0.002699
588.000000, 0.004781
587.000000, 0.004459
586.000000, 0.003329
585.000000, 0.004921
584.000000, 0.004188
583.000000, 0.004019
582.000000, 0.004796
581.000000, 0.004741
580.000000, 0.004119
579.000000, 0.004300
578.000000, 0.004997
577.000000, 0.005223
576.000000, 0.004006
575.000000, 0.004146
574.000000, 0.004741
573.000000, 0.005076
572.000000, 0.005690
571.000000, 0.005313
570.000000, 0.004453
569.000000, 0.005707
568.000000, 0.005363
567.000000, 0.005896
566.000000, 0.005434
565.000000, 0.004560
564.000000, 0.004988
563.000000, 0.005020
562.000000, 0.005276
561.000000, 0.004291
560.000000, 0.004859
559.000000, 0.005687
558.000000, 0.005524
557.000000, 0.004593
556.000000, 0.004138
555.000000, 0.005630
554.000000, 0.006380
553.000000, 0.005420
552.000000, 0.006307
551.000000, 0.005662
550.000000, 0.006152
549.000000, 0.006078
548.000000, 0.006260
547.000000, 0.005982
546.000000, 0.008018
545.000000, 0.006001
544.000000, 0.006348
543.000000, 0.006216
542.000000, 0.007206
541.000000, 0.006689
540.000000, 0.007483
539.000000, 0.006794
538.000000, 0.006710
537.000000, 0.006857
536.000000, 0.007967
535.000000, 0.006508
534.000000, 0.006355
533.000000, 0.006210
532.000000, 0.006450
531.000000, 0.007538
530.000000, 0.008018
529.000000, 0.007665
528.000000, 0.007597
527.000000, 0.007463
526.000000, 0.007573
525.000000, 0.008185
524.000000, 0.008581
523.000000, 0.009518
522.000000, 0.011772
521.000000, 0.013440
520.000000, 0.016127
519.000000, 0.021315
518.000000, 0.028947
517.000000, 0.040458
516.000000, 0.055717
515.000000, 0.071385
514.000000, 0.083881
513.000000, 0.087801
512.000000, 0.085965
511.000000, 0.080545
510.000000, 0.074126
509.000000, 0.067550
508.000000, 0.063047
507.000000, 0.057421
506.000000, 0.053608
505.000000, 0.050064
504.000000, 0.047359
503.000000, 0.044853
502.000000, 0.043500
501.000000, 0.041463
500.000000, 0.040397
499.000000, 0.039559
498.000000, 0.039224
497.000000, 0.038680
496.000000, 0.039508
495.000000, 0.040603
494.000000, 0.039947
493.000000, 0.041418
492.000000, 0.044254
491.000000, 0.044723
490.000000, 0.046765
489.000000, 0.049834
488.000000, 0.052935
487.000000, 0.057159
486.000000, 0.060229
485.000000, 0.061896
484.000000, 0.064665
483.000000, 0.065337
482.000000, 0.066569
481.000000, 0.067409
480.000000, 0.066642
479.000000, 0.065719
478.000000, 0.063300
477.000000, 0.061929
476.000000, 0.059654
475.000000, 0.056881
474.000000, 0.055509
473.000000, 0.053252
472.000000, 0.051027
471.000000, 0.049449
470.000000, 0.048131
469.000000, 0.046643
468.000000, 0.046005
467.000000, 0.044372
466.000000, 0.043486
465.000000, 0.041955
464.000000, 0.042721
463.000000, 0.042261
462.000000, 0.041562
461.000000, 0.040423
460.000000, 0.040279
459.000000, 0.040587
458.000000, 0.040269
457.000000, 0.039467
456.000000, 0.039840
455.000000, 0.039581
454.000000, 0.038620
453.000000, 0.039192
452.000000, 0.039907
451.000000, 0.039725
450.000000, 0.038917
449.000000, 0.038567
448.000000, 0.039704
447.000000, 0.039706
446.000000, 0.039326
445.000000, 0.039962
444.000000, 0.040788
443.000000, 0.040979
442.000000, 0.040942
441.000000, 0.041246
440.000000, 0.042140
439.000000, 0.044094
438.000000, 0.044867
437.000000, 0.045111
436.000000, 0.046719
435.000000, 0.048025
434.000000, 0.048325
433.000000, 0.049708
432.000000, 0.050788
431.000000, 0.051096
430.000000, 0.052115
429.000000, 0.053231
428.000000, 0.053419
427.000000, 0.053350
426.000000, 0.054099
425.000000, 0.054236
424.000000, 0.053454
423.000000, 0.053788
422.000000, 0.054006
421.000000, 0.053217
420.000000, 0.053016
419.000000, 0.052758
418.000000, 0.052588
417.000000, 0.052260
416.000000, 0.052244
415.000000, 0.052129
414.000000, 0.052038
413.000000, 0.051352
412.000000, 0.051199
411.000000, 0.051334
410.000000, 0.050585
409.000000, 0.051202
408.000000, 0.051617
407.000000, 0.050487
406.000000, 0.050279
405.000000, 0.051107
404.000000, 0.050859
403.000000, 0.051013
402.000000, 0.051304
401.000000, 0.051757
400.000000, 0.050851
399.000000, 0.051220
398.000000, 0.051349
397.000000, 0.051416
396.000000, 0.052236
395.000000, 0.051257
394.000000, 0.051579
393.000000, 0.052057
392.000000, 0.052113
391.000000, 0.052638
390.000000, 0.052232
389.000000, 0.051494
388.000000, 0.050663
387.000000, 0.051774
386.000000, 0.052592
385.000000, 0.053103
384.000000, 0.053489
383.000000, 0.053415
382.000000, 0.053205
381.000000, 0.054107
380.000000, 0.053930
379.000000, 0.054520
378.000000, 0.054530
377.000000, 0.053558
376.000000, 0.053549
375.000000, 0.053875
374.000000, 0.054390
373.000000, 0.055476
372.000000, 0.056835
371.000000, 0.055825
370.000000, 0.054917
369.000000, 0.055913
368.000000, 0.055881
367.000000, 0.055739
366.000000, 0.056987
365.000000, 0.058271
364.000000, 0.058392
363.000000, 0.058765
362.000000, 0.059546
361.000000, 0.059002
360.000000, 0.058859
359.000000, 0.060138
358.000000, 0.060826
357.000000, 0.061375
356.000000, 0.060610
355.000000, 0.061880
354.000000, 0.062263
353.000000, 0.063140
352.000000, 0.063744
351.000000, 0.064749
350.000000, 0.065119
349.000000, 0.066009
348.000000, 0.066624
347.000000, 0.068574
346.000000, 0.070764
345.000000, 0.071572
344.000000, 0.073138
343.000000, 0.073906
342.000000, 0.074236
341.000000, 0.076362
340.000000, 0.076800
339.000000, 0.078509
338.000000, 0.080177
337.000000, 0.083312
336.000000, 0.084287
335.000000, 0.084650
334.000000, 0.087378
333.000000, 0.090299
332.000000, 0.090432
331.000000, 0.093264
330.000000, 0.096353
329.000000, 0.099674
328.000000, 0.102516
327.000000, 0.106074
326.000000, 0.109213
325.000000, 0.113250
324.000000, 0.116574
323.000000, 0.120631
322.000000, 0.124170
321.000000, 0.127900
320.000000, 0.132329
319.000000, 0.133950
318.000000, 0.135805
317.000000, 0.136863
316.000000, 0.138531
315.000000, 0.140850
314.000000, 0.143024
313.000000, 0.144453
312.000000, 0.146317
311.000000, 0.147714
310.000000, 0.149376
309.000000, 0.152879
308.000000, 0.153410
307.000000, 0.155923
306.000000, 0.158168
305.000000, 0.159505
304.000000, 0.162942
303.000000, 0.163668
302.000000, 0.163618
301.000000, 0.166293
300.000000, 0.167752
