nm, A
800.000000, 0.033556
799.000000, 0.033299
798.000000, 0.033242
797.000000, 0.033594
796.000000, 0.033458
795.000000, 0.032733
794.000000, 0.032902
793.000000, 0.034211
792.000000, 0.033018
791.000000, 0.032654
790.000000, 0.032769
789.000000, 0.033153
788.000000, 0.032227
787.000000, 0.032409
786.000000, 0.033598
785.000000, 0.034143
784.000000, 0.033043
783.000000, 0.032814
782.000000, 0.033529
781.000000, 0.033162
780.000000, 0.033669
779.000000, 0.033267
778.000000, 0.033566
777.000000, 0.034456
776.000000, 0.034086
775.000000, 0.033751
774.000000, 0.034118
773.000000, 0.034378
772.000000, 0.035264
771.000000, 0.035285
770.000000, 0.035236
769.000000, 0.035018
768.000000, 0.035000
767.000000, 0.036963
766.000000, 0.037749
765.000000, 0.038168
764.000000, 0.037582
763.000000, 0.037286
762.000000, 0.037620
761.000000, 0.037866
760.000000, 0.038683
759.000000, 0.038842
758.000000, 0.038720
757.000000, 0.039241
756.000000, 0.037944
755.000000, 0.038528
754.000000, 0.039586
753.000000, 0.039036
752.000000, 0.039430
751.000000, 0.039196
750.000000, 0.039901
749.000000, 0.040364
748.000000, 0.040744
747.000000, 0.040839
746.000000, 0.041200
745.000000, 0.040988
744.000000, 0.040348
743.000000, 0.039265
742.000000, 0.039327
741.000000, 0.039207
740.000000, 0.038917
739.000000, 0.038363
738.000000, 0.037949
737.000000, 0.038245
736.000000, 0.038519
735.000000, 0.038102
734.000000, 0.037963
733.000000, 0.037279
732.000000, 0.037919
731.000000, 0.037473
730.000000, 0.037017
729.000000, 0.037621
728.000000, 0.037612
727.000000, 0.037433
726.000000, 0.036956
725.000000, 0.037882
724.000000, 0.037410
723.000000, 0.037926
722.000000, 0.037233
721.000000, 0.037726
720.000000, 0.037666
719.000000, 0.038071
718.000000, 0.037701
717.000000, 0.037836
716.000000, 0.038066
715.000000, 0.038206
714.000000, 0.037330
713.000000, 0.036943
712.000000, 0.037090
711.000000, 0.037316
710.000000, 0.037614
709.000000, 0.038085
708.000000, 0.038810
707.000000, 0.037798
706.000000, 0.037324
705.000000, 0.037250
704.000000, 0.037529
703.000000, 0.038042
702.000000, 0.037729
701.000000, 0.037760
700.000000, 0.038336
699.000000, 0.037908
698.000000, 0.037179
697.000000, 0.037712
696.000000, 0.038337
695.000000, 0.038338
694.000000, 0.038093
693.000000, 0.038372
692.000000, 0.038633
691.000000, 0.038395
690.000000, 0.038026
689.000000, 0.038016
688.000000, 0.038334
687.000000, 0.037645
686.000000, 0.037276
685.000000, 0.037527
684.000000, 0.037319
683.000000, 0.036790
682.000000, 0.037042
681.000000, 0.038135
680.000000, 0.038019
679.000000, 0.037376
678.000000, 0.037280
677.000000, 0.036680
676.000000, 0.037038
675.000000, 0.037758
674.000000, 0.037390
673.000000, 0.037605
672.000000, 0.037558
671.000000, 0.036692
670.000000, 0.036627
669.000000, 0.036815
668.000000, 0.037211
667.000000, 0.037292
666.000000, 0.037327
665.000000, 0.037675
664.000000, 0.037582
663.000000, 0.036677
662.000000, 0.036370
661.000000, 0.037476
660.000000, 0.037482
659.000000, 0.036727
658.000000, 0.036706
657.000000, 0.036954
656.000000, 0.036223
655.000000, 0.036278
654.000000, 0.036070
653.000000, 0.036702
652.000000, 0.037327
651.000000, 0.036946
650.000000, 0.036748
649.000000, 0.036566
648.000000, 0.036670
647.000000, 0.036800
646.000000, 0.036650
645.000000, 0.035927
644.000000, 0.035607
643.000000, 0.035589
642.000000, 0.035819
641.000000, 0.035351
640.000000, 0.034923
639.000000, 0.036038
638.000000, 0.036525
637.000000, 0.036099
636.000000, 0.035410
635.000000, 0.035115
634.000000, 0.034787
