nm, A
800.000000, -0.000062
799.000000, 0.000216
798.000000, -0.000635
797.000000, -0.001005
796.000000, -0.000443
795.000000, 0.000575
794.000000, 0.000278
793.000000, -0.001083
792.000000, -0.000808
791.000000, -0.000734
790.000000, 0.000006
789.000000, 0.000742
788.000000, 0.000419
787.000000, 0.000651
786.000000, 0.000403
785.000000, -0.000320
784.000000, 0.000336
783.000000, 0.000460
782.000000, -0.000441
781.000000, -0.000542
780.000000, -0.000737
779.000000, 0.000628
778.000000, -0.000008
777.000000, -0.000901
776.000000, -0.000303
775.000000, 0.000242
774.000000, -0.000014
773.000000, -0.000882
772.000000, -0.000598
771.000000, -0.000193
770.000000, -0.000216
769.000000, 0.000255
768.000000, 0.000632
767.000000, -0.000354
766.000000, -0.000862
765.000000, -0.001164
764.000000, -0.000082
763.000000, 0.000160
762.000000, 0.000164
761.000000, 0.000387
760.000000, -0.000511
759.000000, -0.000487
758.000000, 0.000250
757.000000, -0.000194
756.000000, 0.000227
755.000000, 0.000022
754.000000, -0.000283
753.000000, -0.000347
752.000000, -0.000076
751.000000, 0.000930
750.000000, 0.000591
749.000000, -0.000152
748.000000, -0.000744
747.000000, -0.001010
746.000000, -0.001232
745.000000, -0.000383
744.000000, 0.000137
743.000000, 0.000958
742.000000, -0.000241
741.000000, 0.000400
740.000000, -0.000080
739.000000, 0.000124
738.000000, 0.000159
737.000000, -0.000609
736.000000, -0.000465
735.000000, -0.000164
734.000000, -0.000459
733.000000, 0.000347
732.000000, 0.000456
731.000000, 0.000744
730.000000, -0.000126
729.000000, -0.000667
728.000000, -0.000709
727.000000, -0.000475
726.000000, 0.000984
725.000000, -0.000422
724.000000, -0.000434
723.000000, -0.000574
722.000000, 0.000096
721.000000, -0.000542
720.000000, -0.000017
719.000000, -0.000148
718.000000, 0.000117
717.000000, -0.000062
716.000000, -0.000617
715.000000, -0.000256
714.000000, 0.000756
713.000000, 0.001187
712.000000, 0.000305
711.000000, 0.000261
710.000000, -0.000047
709.000000, -0.001062
708.000000, -0.000979
707.000000, 0.000426
706.000000, 0.000553
705.000000, 0.000376
704.000000, -0.000467
703.000000, -0.000212
702.000000, 0.000584
701.000000, 0.000474
700.000000, -0.000385
699.000000, 0.000006
698.000000, 0.000230
697.000000, -0.000487
696.000000, -0.000500
695.000000, -0.000296
694.000000, -0.000312
693.000000, -0.000868
692.000000, -0.001514
691.000000, -0.001373
690.000000, -0.000583
689.000000, 0.000239
688.000000, -0.000036
687.000000, 0.000021
686.000000, 0.000553
685.000000, 0.000036
684.000000, 0.000294
683.000000, 0.001171
682.000000, 0.000645
681.000000, -0.000410
680.000000, -0.000131
679.000000, 0.000270
678.000000, 0.000025
677.000000, 0.000893
676.000000, 0.000353
675.000000, -0.000351
674.000000, 0.000996
673.000000, 0.000467
672.000000, -0.000566
671.000000, 0.000542
670.000000, 0.000866
669.000000, 0.000406
668.000000, -0.000489
667.000000, -0.000510
666.000000, -0.000059
665.000000, -0.000296
664.000000, -0.000140
663.000000, 0.000624
662.000000, 0.000815
661.000000, -0.000737
660.000000, -0.000666
659.000000, 0.000651
658.000000, 0.000412
657.000000, -0.000082
656.000000, 0.000337
655.000000, 0.000591
654.000000, 0.001064
653.000000, 0.000133
652.000000, -0.000312
651.000000, 0.000345
650.000000, -0.000062
649.000000, -0.000054
648.000000, -0.000088
647.000000, -0.000292
646.000000, -0.000173
645.000000, 0.000717
644.000000, 0.001365
643.000000, 0.000943
642.000000, 0.000751
641.000000, 0.002134
640.000000, 0.002242
639.000000, 0.000136
638.000000, -0.000605
637.000000, -0.000376
636.000000, 0.000510
635.000000, 0.000811
634.000000, 0.000979
633.000000, 0.000797
632.000000, 0.000624
631.000000, -0.000128
630.000000, 0.000463
629.000000, 0.000797
628.000000, 0.001613
627.000000, 0.001931
626.000000, 0.001609
625.000000, 0.000751
624.000000, 0.001051
623.000000, 0.000150
622.000000, 0.000915
621.000000, 0.000124
620.000000, 0.000006
619.000000, 0.000168
618.000000, 0.000019
617.000000, 0.000867
616.000000, 0.001624
615.000000, 0.000643
614.000000, 0.000640
613.000000, -0.000248
612.000000, -0.000518
611.000000, 0.001443
610.000000, 0.001365
609.000000, 0.000309
608.000000, 0.001586
607.000000, 0.001360
606.000000, 0.001652
605.000000, 0.000954
604.000000, 0.001010
603.000000, 0.000605
602.000000, 0.001277
601.000000, 0.001225
600.000000, 0.000791
599.000000, 0.000381
598.000000, 0.001726
597.000000, 0.001435
596.000000, 0.000816
595.000000, 0.001006
594.000000, 0.000375
593.000000, 0.000584
592.000000, 0.002055
591.000000, 0.000410
590.000000, 0.000988
589.000000, 0.001048
588.000000, 0.001361
587.000000, 0.000981
586.000000, 0.002483
585.000000, 0.001054
584.000000, 0.000804
583.000000, 0.000486
582.000000, 0.001039
581.000000, -0.000211
580.000000, 0.000978
579.000000, 0.001284
578.000000, 0.001088
577.000000, 0.001378
576.000000, 0.000931
575.000000, 0.000062
574.000000, 0.001411
573.000000, 0.001770
572.000000, 0.001066
571.000000, 0.000262
570.000000, 0.000331
569.000000, 0.002367
568.000000, 0.002472
567.000000, 0.000828
566.000000, 0.001317
565.000000, 0.001709
564.000000, 0.001082
563.000000, 0.001958
562.000000, 0.001396
561.000000, 0.001285
560.000000, 0.001068
559.000000, 0.002095
558.000000, 0.001440
557.000000, 0.001519
556.000000, 0.000948
555.000000, 0.001699
554.000000, 0.000799
553.000000, 0.000611
552.000000, 0.001419
551.000000, 0.002640
550.000000, 0.002382
549.000000, 0.001937
548.000000, 0.000648
547.000000, 0.002450
546.000000, 0.001137
545.000000, 0.001846
544.000000, 0.002995
543.000000, 0.002814
542.000000, 0.003212
541.000000, 0.002998
540.000000, 0.002759
539.000000, 0.001344
538.000000, 0.003234
537.000000, 0.001664
536.000000, 0.002051
535.000000, 0.001332
534.000000, 0.001505
533.000000, 0.001582
532.000000, 0.001256
531.000000, 0.001457
530.000000, 0.003350
529.000000, 0.002732
528.000000, 0.003021
527.000000, 0.002744
526.000000, 0.002699
525.000000, 0.002111
524.000000, 0.002852
523.000000, 0.003716
522.000000, 0.004230
521.000000, 0.005712
520.000000, 0.006353
519.000000, 0.009148
518.000000, 0.014020
517.000000, 0.020066
516.000000, 0.027988
515.000000, 0.037134
514.000000, 0.045415
513.000000, 0.048688
512.000000, 0.047903
511.000000, 0.044552
510.000000, 0.042220
509.000000, 0.038384
508.000000, 0.035623
507.000000, 0.033013
