nm, A
800.000000, -0.000380
799.000000, 0.001188
798.000000, 0.001408
797.000000, 0.000680
796.000000, 0.001152
795.000000, 0.001369
794.000000, 0.000792
793.000000, -0.000606
792.000000, 0.000727
791.000000, 0.001515
790.000000, 0.000308
789.000000, 0.000731
788.000000, 0.001815
787.000000, 0.001457
786.000000, 0.001169
785.000000, 0.000510
784.000000, 0.001273
783.000000, 0.001759
782.000000, 0.000677
781.000000, 0.000109
780.000000, 0.000478
779.000000, 0.001907
778.000000, 0.000948
777.000000, 0.001309
776.000000, 0.000454
775.000000, 0.001778
774.000000, 0.000975
773.000000, 0.001416
772.000000, 0.000351
771.000000, 0.000207
770.000000, 0.000895
769.000000, 0.001330
768.000000, 0.001595
767.000000, 0.001106
766.000000, -0.000076
765.000000, 0.000206
764.000000, 0.000980
763.000000, 0.001583
762.000000, 0.001290
761.000000, 0.001146
760.000000, 0.000002
759.000000, 0.000675
758.000000, 0.000660
757.000000, 0.000692
756.000000, 0.001863
755.000000, 0.001224
754.000000, 0.000097
753.000000, 0.000931
752.000000, 0.001323
751.000000, 0.001802
750.000000, 0.000533
749.000000, 0.001013
748.000000, 0.000558
747.000000, 0.000701
746.000000, -0.000356
745.000000, 0.001502
744.000000, 0.001580
743.000000, 0.001685
742.000000, 0.001799
741.000000, 0.001454
740.000000, 0.000892
739.000000, 0.000729
738.000000, 0.001901
737.000000, 0.001568
736.000000, 0.000693
735.000000, 0.001190
734.000000, 0.001303
733.000000, 0.001350
732.000000, 0.000925
731.000000, 0.001120
730.000000, 0.001762
729.000000, 0.001549
728.000000, 0.000893
727.000000, 0.001367
726.000000, 0.001875
725.000000, -0.000156
724.000000, 0.000840
723.000000, 0.000596
722.000000, 0.001809
721.000000, 0.001109
720.000000, 0.001262
719.000000, 0.000718
718.000000, 0.000714
717.000000, 0.000841
716.000000, 0.000754
715.000000, 0.000329
714.000000, 0.001558
713.000000, 0.001527
712.000000, 0.001796
711.000000, 0.001894
710.000000, 0.001417
709.000000, 0.001120
708.000000, 0.000576
707.000000, 0.000772
706.000000, 0.001739
705.000000, 0.001541
704.000000, 0.001322
703.000000, 0.001039
702.000000, 0.002318
701.000000, 0.002364
700.000000, 0.001177
699.000000, 0.001778
698.000000, 0.002123
697.000000, 0.001288
696.000000, 0.000710
695.000000, 0.001238
694.000000, 0.001333
693.000000, 0.000360
692.000000, 0.000319
691.000000, 0.001448
690.000000, 0.001621
689.000000, 0.001008
688.000000, 0.000432
687.000000, 0.001099
686.000000, 0.001387
685.000000, 0.000920
684.000000, 0.001561
683.000000, 0.001979
682.000000, 0.001858
681.000000, 0.001397
680.000000, 0.001865
679.000000, 0.002699
678.000000, 0.002526
677.000000, 0.002581
676.000000, 0.002530
675.000000, 0.001925
674.000000, 0.001896
673.000000, 0.000696
672.000000, 0.000455
671.000000, 0.001658
670.000000, 0.001918
669.000000, 0.002338
668.000000, 0.002109
667.000000, 0.002024
666.000000, 0.002436
665.000000, 0.001852
664.000000, 0.001669
663.000000, 0.002393
662.000000, 0.002379
661.000000, 0.000678
660.000000, 0.000682
659.000000, 0.002476
658.000000, 0.002124
657.000000, 0.001262
656.000000, 0.002187
655.000000, 0.002731
654.000000, 0.002406
653.000000, 0.001951
652.000000, 0.000952
651.000000, 0.001518
650.000000, 0.002396
649.000000, 0.002802
648.000000, 0.002113
647.000000, 0.001292
646.000000, 0.001559
645.000000, 0.002697
644.000000, 0.003260
643.000000, 0.002823
642.000000, 0.002425
641.000000, 0.002256
640.000000, 0.003355
639.000000, 0.002286
638.000000, 0.001649
637.000000, 0.001764
636.000000, 0.001658
635.000000, 0.001645
634.000000, 0.002166
633.000000, 0.002411
632.000000, 0.001947
631.000000, 0.002004
630.000000, 0.002027
629.000000, 0.001453
628.000000, 0.002147
627.000000, 0.003176
626.000000, 0.003077
625.000000, 0.002366
624.000000, 0.001904
623.000000, 0.002542
622.000000, 0.003670
621.000000, 0.002897
620.000000, 0.002498
619.000000, 0.001717
618.000000, 0.001719
617.000000, 0.002883
616.000000, 0.002953
615.000000, 0.002072
614.000000, 0.001770
613.000000, 0.001926
612.000000, 0.002095
611.000000, 0.003086
610.000000, 0.002725
609.000000, 0.001999
608.000000, 0.002538
607.000000, 0.002553
606.000000, 0.002973
605.000000, 0.002867
604.000000, 0.002785
603.000000, 0.002601
602.000000, 0.003802
601.000000, 0.003694
600.000000, 0.002352
599.000000, 0.000940
598.000000, 0.003837
597.000000, 0.003300
596.000000, 0.001962
595.000000, 0.002644
594.000000, 0.002185
593.000000, 0.002812
592.000000, 0.003418
591.000000, 0.002917
590.000000, 0.003069
589.000000, 0.002179
588.000000, 0.001976
587.000000, 0.002732
586.000000, 0.003735
585.000000, 0.002804
