nm, A
800.000000, 0.034379
799.000000, 0.034478
798.000000, 0.034531
797.000000, 0.035016
796.000000, 0.034114
795.000000, 0.033947
794.000000, 0.033637
793.000000, 0.033407
792.000000, 0.033559
791.000000, 0.033902
790.000000, 0.034549
789.000000, 0.033932
788.000000, 0.033455
787.000000, 0.034566
786.000000, 0.034687
785.000000, 0.034160
784.000000, 0.034397
783.000000, 0.034080
782.000000, 0.034038
781.000000, 0.034807
780.000000, 0.034669
779.000000, 0.035290
778.000000, 0.034338
777.000000, 0.034657
776.000000, 0.034907
775.000000, 0.034839
774.000000, 0.034875
773.000000, 0.035205
772.000000, 0.034296
771.000000, 0.035260
770.000000, 0.035447
769.000000, 0.036408
768.000000, 0.036906
767.000000, 0.036703
766.000000, 0.036996
765.000000, 0.037437
764.000000, 0.038024
763.000000, 0.037989
762.000000, 0.038648
761.000000, 0.039385
760.000000, 0.039692
759.000000, 0.039042
758.000000, 0.038731
757.000000, 0.038817
756.000000, 0.039587
755.000000, 0.039765
754.000000, 0.039439
753.000000, 0.039684
752.000000, 0.040567
751.000000, 0.039981
750.000000, 0.040019
749.000000, 0.041480
748.000000, 0.041917
747.000000, 0.041403
746.000000, 0.041641
745.000000, 0.041433
744.000000, 0.041377
743.000000, 0.041976
742.000000, 0.040287
741.000000, 0.039621
740.000000, 0.039638
739.000000, 0.039089
738.000000, 0.038476
737.000000, 0.039000
736.000000, 0.038411
735.000000, 0.038250
734.000000, 0.038948
733.000000, 0.038728
732.000000, 0.038351
731.000000, 0.038480
730.000000, 0.038514
729.000000, 0.038131
728.000000, 0.037530
727.000000, 0.037724
726.000000, 0.038281
725.000000, 0.038262
724.000000, 0.038369
723.000000, 0.038361
722.000000, 0.038698
721.000000, 0.038139
720.000000, 0.038556
719.000000, 0.038680
718.000000, 0.038133
717.000000, 0.038413
716.000000, 0.038130
715.000000, 0.038281
714.000000, 0.038376
713.000000, 0.038089
712.000000, 0.038359
711.000000, 0.038780
710.000000, 0.038665
709.000000, 0.038261
708.000000, 0.038257
707.000000, 0.038177
706.000000, 0.038180
705.000000, 0.038275
704.000000, 0.038471
703.000000, 0.038745
702.000000, 0.038794
701.000000, 0.038692
700.000000, 0.038540
699.000000, 0.038859
698.000000, 0.038771
697.000000, 0.038997
696.000000, 0.038780
695.000000, 0.038131
694.000000, 0.038343
693.000000, 0.038992
692.000000, 0.038843
691.000000, 0.038372
690.000000, 0.038843
689.000000, 0.038901
688.000000, 0.038907
687.000000, 0.039310
686.000000, 0.039320
685.000000, 0.039199
684.000000, 0.039102
683.000000, 0.038566
682.000000, 0.038254
681.000000, 0.038033
680.000000, 0.038192
679.000000, 0.038474
678.000000, 0.038335
677.000000, 0.038797
676.000000, 0.038764
675.000000, 0.038633
674.000000, 0.038865
673.000000, 0.038382
672.000000, 0.037956
671.000000, 0.038372
670.000000, 0.038402
669.000000, 0.038438
668.000000, 0.038555
667.000000, 0.038126
666.000000, 0.037743
665.000000, 0.038054
664.000000, 0.038076
663.000000, 0.037832
662.000000, 0.038095
661.000000, 0.037903
660.000000, 0.037425
659.000000, 0.037263
658.000000, 0.037264
657.000000, 0.037436
656.000000, 0.036990
655.000000, 0.037229
654.000000, 0.037271
653.000000, 0.037117
652.000000, 0.037610
651.000000, 0.037777
650.000000, 0.037460
649.000000, 0.037332
648.000000, 0.036712
647.000000, 0.037082
646.000000, 0.036905
645.000000, 0.036775
644.000000, 0.036483
643.000000, 0.036413
642.000000, 0.036823
641.000000, 0.036402
640.000000, 0.036219
639.000000, 0.036461
638.000000, 0.036260
637.000000, 0.036139
636.000000, 0.036239
635.000000, 0.036215
634.000000, 0.036356
633.000000, 0.036344
632.000000, 0.036146
631.000000, 0.035983
630.000000, 0.035771
629.000000, 0.034834
628.000000, 0.034670
627.000000, 0.035036
626.000000, 0.034883
625.000000, 0.034604
624.000000, 0.034192
623.000000, 0.034503
622.000000, 0.034725
621.000000, 0.034488
620.000000, 0.034664
619.000000, 0.034408
618.000000, 0.033951
617.000000, 0.034280
616.000000, 0.033351
615.000000, 0.033487
614.000000, 0.033790
613.000000, 0.033273
612.000000, 0.033051
611.000000, 0.032801
610.000000, 0.032779
609.000000, 0.033269
608.000000, 0.033290
607.000000, 0.032908
606.000000, 0.033098
605.000000, 0.032467
604.000000, 0.032165
603.000000, 0.031746
602.000000, 0.031822
601.000000, 0.032281
600.000000, 0.031862
599.000000, 0.032352
598.000000, 0.031663
597.000000, 0.031994
596.000000, 0.031177
595.000000, 0.031001
594.000000, 0.031090
593.000000, 0.031214
592.000000, 0.031991
591.000000, 0.031547
590.000000, 0.031808
589.000000, 0.031006
588.000000, 0.031475
587.000000, 0.030931
586.000000, 0.030918
585.000000, 0.031275
584.000000, 0.030979
583.000000, 0.031229
582.000000, 0.031153
581.000000, 0.031113
580.000000, 0.030532
579.000000, 0.031411
578.000000, 0.030762
577.000000, 0.030314
576.000000, 0.030499
575.000000, 0.030895
574.000000, 0.030445
573.000000, 0.030944
572.000000, 0.030836
571.000000, 0.030139
570.000000, 0.030362
569.000000, 0.030067
568.000000, 0.029788
567.000000, 0.029591
566.000000, 0.030216
565.000000, 0.029975
564.000000, 0.030193
563.000000, 0.030288
562.000000, 0.030582
561.000000, 0.030154
560.000000, 0.029957
559.000000, 0.030077
558.000000, 0.028856
557.000000, 0.029827
556.000000, 0.029733
555.000000, 0.029868
554.000000, 0.029796
553.000000, 0.029107
552.000000, 0.028849
551.000000, 0.029050
550.000000, 0.028698
549.000000, 0.029593
548.000000, 0.029053
547.000000, 0.028662
546.000000, 0.028644
545.000000, 0.029273
544.000000, 0.028802
543.000000, 0.028639
542.000000, 0.029082
541.000000, 0.028754
540.000000, 0.029038
539.000000, 0.029084
538.000000, 0.029390
537.000000, 0.029191
536.000000, 0.029036
535.000000, 0.029615
534.000000, 0.029479
533.000000, 0.030258
532.000000, 0.029997
531.000000, 0.030337
530.000000, 0.030282
529.000000, 0.030289
528.000000, 0.030498
527.000000, 0.030771
526.000000, 0.030778
525.000000, 0.031055
524.000000, 0.031206
523.000000, 0.031686
522.000000, 0.031793
521.000000, 0.032276
520.000000, 0.033219
519.000000, 0.033777
518.000000, 0.034346
517.000000, 0.034533
516.000000, 0.035321
515.000000, 0.035672
514.000000, 0.036728
513.000000, 0.037196
512.000000, 0.037516
511.000000, 0.037400
510.000000, 0.036916
509.000000, 0.036970
508.000000, 0.036687
507.000000, 0.036056
506.000000, 0.035706
505.000000, 0.035670
504.000000, 0.035114
503.000000, 0.035084
502.000000, 0.035090
501.000000, 0.034892
500.000000, 0.034274
499.000000, 0.034515
498.000000, 0.034023
497.000000, 0.033480
496.000000, 0.032980
495.000000, 0.033324
494.000000, 0.033969
493.000000, 0.033942
492.000000, 0.033148
491.000000, 0.032833
490.000000, 0.032109
489.000000, 0.032532
488.000000, 0.032666
487.000000, 0.032257
486.000000, 0.032389
485.000000, 0.032331
484.000000, 0.032368
483.000000, 0.031926
482.000000, 0.031926
481.000000, 0.032321
480.000000, 0.033244
479.000000, 0.033844
478.000000, 0.033823
477.000000, 0.033746
476.000000, 0.034021
475.000000, 0.034634
474.000000, 0.034596
473.000000, 0.034343
472.000000, 0.034935
471.000000, 0.035028
470.000000, 0.035577
469.000000, 0.035878
468.000000, 0.036357
467.000000, 0.036476
466.000000, 0.036142
465.000000, 0.036057
464.000000, 0.036477
463.000000, 0.037064
462.000000, 0.036298
461.000000, 0.036247
460.000000, 0.035953
459.000000, 0.036290
458.000000, 0.036014
457.000000, 0.035848
456.000000, 0.035945
455.000000, 0.035563
454.000000, 0.035406
453.000000, 0.035726
452.000000, 0.036167
451.000000, 0.035997
450.000000, 0.035851
449.000000, 0.035783
448.000000, 0.035277
447.000000, 0.035124
446.000000, 0.035959
445.000000, 0.035988
444.000000, 0.035760
443.000000, 0.035530
442.000000, 0.036083
441.000000, 0.036476
