nm, A
800.000000, -0.001795
799.000000, -0.001654
798.000000, -0.001483
797.000000, -0.001887
796.000000, -0.002372
795.000000, -0.001473
794.000000, -0.001236
793.000000, -0.000498
792.000000, -0.001405
791.000000, -0.000786
790.000000, -0.000821
789.000000, -0.000307
788.000000, -0.000841
787.000000, -0.001464
786.000000, -0.001151
785.000000, -0.000106
784.000000, -0.001042
783.000000, -0.001276
782.000000, -0.001190
781.000000, -0.000996
780.000000, -0.001539
779.000000, -0.001235
778.000000, -0.001027
777.000000, -0.001063
776.000000, -0.001898
775.000000, -0.001644
774.000000, 0.000208
773.000000, -0.000252
772.000000, 0.000367
771.000000, -0.000767
770.000000, -0.000065
769.000000, -0.001295
768.000000, -0.000613
767.000000, -0.000240
766.000000, -0.000154
765.000000, -0.000470
764.000000, -0.000486
763.000000, -0.000808
762.000000, -0.001000
761.000000, -0.000282
760.000000, -0.000388
759.000000, -0.000348
758.000000, -0.000213
757.000000, -0.000529
756.000000, -0.000228
755.000000, -0.001453
754.000000, -0.000425
753.000000, -0.001347
752.000000, -0.001215
751.000000, -0.000419
750.000000, -0.000210
749.000000, -0.000576
748.000000, -0.002349
747.000000, -0.001322
746.000000, -0.001511
745.000000, -0.001291
744.000000, -0.001679
743.000000, -0.002292
742.000000, -0.000817
741.000000, -0.000593
740.000000, -0.001475
739.000000, -0.001177
738.000000, 0.000019
737.000000, -0.000169
736.000000, -0.000389
735.000000, -0.000775
734.000000, -0.001729
733.000000, -0.000521
732.000000, -0.000085
731.000000, -0.001416
730.000000, -0.001399
729.000000, -0.001100
728.000000, 0.000029
727.000000, 0.000157
726.000000, -0.000033
725.000000, -0.001063
724.000000, -0.000701
723.000000, -0.001099
722.000000, -0.001407
721.000000, -0.000856
720.000000, -0.001196
719.000000, -0.001171
718.000000, 0.000059
717.000000, -0.000195
716.000000, -0.000452
715.000000, -0.000906
714.000000, -0.000542
713.000000, 0.000208
712.000000, -0.000618
711.000000, -0.001107
710.000000, -0.000867
709.000000, -0.000587
708.000000, -0.000201
707.000000, -0.000293
706.000000, -0.000404
705.000000, -0.000646
704.000000, -0.000997
703.000000, -0.001447
702.000000, -0.000833
701.000000, -0.000866
700.000000, -0.000710
699.000000, -0.001197
698.000000, -0.001031
697.000000, -0.000992
696.000000, -0.000719
695.000000, 0.000662
694.000000, 0.000490
693.000000, -0.000596
692.000000, -0.000578
691.000000, -0.000161
690.000000, -0.000062
689.000000, -0.000101
688.000000, -0.000676
687.000000, -0.001720
686.000000, -0.000607
685.000000, -0.000495
684.000000, -0.001519
683.000000, -0.000927
682.000000, 0.000122
681.000000, 0.000841
680.000000, 0.000504
679.000000, -0.000637
678.000000, -0.001435
677.000000, -0.001135
676.000000, -0.000649
675.000000, -0.000464
674.000000, -0.000586
673.000000, -0.000960
672.000000, -0.000727
671.000000, -0.000640
670.000000, 0.000179
669.000000, 0.000200
668.000000, -0.000658
667.000000, -0.001032
666.000000, -0.000637
665.000000, -0.000333
664.000000, -0.000555
663.000000, -0.000770
662.000000, -0.000934
661.000000, -0.000110
660.000000, 0.000496
659.000000, 0.000219
658.000000, -0.000214
657.000000, 0.000158
656.000000, 0.000522
655.000000, -0.000838
654.000000, -0.000749
653.000000, 0.000406
652.000000, 0.000126
651.000000, -0.000771
650.000000, -0.000582
649.000000, -0.000108
648.000000, 0.000383
647.000000, -0.000672
646.000000, -0.000345
645.000000, 0.000215
644.000000, 0.000028
643.000000, 0.000112
642.000000, -0.000436
641.000000, -0.000060
640.000000, -0.000018
639.000000, -0.000314
638.000000, 0.000213
637.000000, 0.000161
636.000000, -0.000161
635.000000, -0.000044
634.000000, -0.000321
633.000000, -0.000755
632.000000, -0.000132
631.000000, -0.000825
630.000000, -0.000897
629.000000, -0.000197
628.000000, -0.000407
627.000000, 0.000127
626.000000, 0.000846
625.000000, 0.000889
624.000000, 0.000699
623.000000, 0.000299
622.000000, 0.000004
621.000000, -0.000565
620.000000, -0.001137
619.000000, -0.000854
618.000000, -0.000098
617.000000, -0.000598
616.000000, 0.000377
615.000000, -0.000014
614.000000, -0.000061
613.000000, -0.000100
612.000000, 0.000195
611.000000, -0.000052
610.000000, 0.000124
609.000000, -0.000288
608.000000, -0.000802
607.000000, -0.000511
606.000000, -0.000591
605.000000, -0.000295
604.000000, -0.000295
603.000000, 0.000331
602.000000, 0.000306
601.000000, -0.000192
600.000000, 0.000002
599.000000, -0.000736
598.000000, 0.000020
597.000000, -0.000431
596.000000, 0.001299
595.000000, 0.001122
594.000000, 0.001381
593.000000, 0.000969
592.000000, -0.000251
591.000000, 0.000087
590.000000, -0.000225
589.000000, -0.000277
588.000000, -0.000410
587.000000, 0.000717
586.000000, 0.000614
585.000000, 0.000061
584.000000, 0.000250
583.000000, -0.000093
582.000000, 0.000372
581.000000, 0.000166
580.000000, 0.000691
579.000000, -0.000836
578.000000, 0.000559
577.000000, 0.000771
576.000000, 0.000051
575.000000, -0.000112
574.000000, 0.000498
573.000000, -0.000274
572.000000, 0.000525
571.000000, -0.000138
570.000000, -0.000328
569.000000, 0.000218
568.000000, 0.000749
567.000000, 0.001271
566.000000, 0.000538
565.000000, 0.000426
564.000000, 0.000434
563.000000, 0.000629
562.000000, -0.000052
561.000000, -0.000178
560.000000, 0.000510
559.000000, -0.000683
558.000000, 0.002098
557.000000, 0.000173
556.000000, -0.000085
555.000000, 0.000288
554.000000, -0.000514
553.000000, 0.001473
552.000000, 0.000550
551.000000, 0.000989
550.000000, 0.000478
549.000000, -0.000580
548.000000, 0.001757
547.000000, 0.001034
546.000000, 0.001097
545.000000, 0.000177
544.000000, 0.000097
543.000000, 0.000807
542.000000, 0.000032
541.000000, 0.000809
540.000000, 0.000864
539.000000, -0.000197
538.000000, 0.000696
537.000000, 0.000752
536.000000, 0.001031
535.000000, 0.000781
534.000000, 0.001403
533.000000, 0.000242
532.000000, 0.000934
531.000000, 0.000494
530.000000, 0.000893
529.000000, 0.000825
528.000000, 0.001498
527.000000, 0.000783
526.000000, 0.000636
525.000000, 0.001547
524.000000, 0.001874
523.000000, 0.001623
522.000000, 0.002303
521.000000, 0.001763
520.000000, 0.002000
519.000000, 0.002714
518.000000, 0.004530
517.000000, 0.006678
516.000000, 0.010775
515.000000, 0.016461
514.000000, 0.022936
513.000000, 0.032929
512.000000, 0.041165
511.000000, 0.049383
510.000000, 0.053078
509.000000, 0.052727
508.000000, 0.049970
507.000000, 0.046371
506.000000, 0.042611
505.000000, 0.037557
504.000000, 0.033712
503.000000, 0.030260
502.000000, 0.027213
501.000000, 0.025421
500.000000, 0.024926
499.000000, 0.023060
498.000000, 0.022052
497.000000, 0.022528
496.000000, 0.022277
495.000000, 0.021776
494.000000, 0.021905
493.000000, 0.021543
492.000000, 0.023332
491.000000, 0.024647
490.000000, 0.025963
489.000000, 0.026351
488.000000, 0.028583
487.000000, 0.030553
486.000000, 0.030905
485.000000, 0.033150
484.000000, 0.034732
483.000000, 0.036168
482.000000, 0.037866
481.000000, 0.038678
480.000000, 0.037633
479.000000, 0.037427
478.000000, 0.038014
