nm, A
800.000000, -0.000854
799.000000, -0.001502
798.000000, -0.001201
797.000000, -0.002218
796.000000, -0.000599
795.000000, -0.001757
794.000000, -0.000314
793.000000, -0.000294
792.000000, -0.000091
791.000000, -0.001261
790.000000, -0.001339
789.000000, -0.001385
788.000000, -0.000198
787.000000, -0.002277
786.000000, -0.001018
785.000000, -0.000774
784.000000, -0.001591
783.000000, -0.000842
782.000000, -0.001273
781.000000, -0.000746
780.000000, -0.000842
779.000000, -0.001448
778.000000, 0.000219
777.000000, -0.001501
776.000000, -0.001343
775.000000, -0.000002
774.000000, -0.000374
773.000000, -0.000783
772.000000, -0.000130
771.000000, -0.000432
770.000000, -0.000189
769.000000, -0.000572
768.000000, -0.001053
767.000000, 0.000308
766.000000, -0.000300
765.000000, 0.000499
764.000000, 0.000297
763.000000, -0.000140
762.000000, -0.000284
761.000000, -0.000132
760.000000, -0.001351
759.000000, -0.000834
758.000000, 0.000091
757.000000, 0.000670
756.000000, -0.000638
755.000000, -0.001271
754.000000, -0.001268
753.000000, -0.000793
752.000000, -0.000828
751.000000, -0.000227
750.000000, 0.000613
749.000000, -0.001320
748.000000, -0.001153
747.000000, -0.000798
746.000000, -0.000959
745.000000, -0.001234
744.000000, -0.000496
743.000000, -0.000807
742.000000, 0.000008
741.000000, -0.000396
740.000000, -0.000502
739.000000, -0.000012
738.000000, -0.000798
737.000000, -0.000857
736.000000, -0.000121
735.000000, 0.000108
734.000000, -0.001046
733.000000, -0.001143
732.000000, -0.000107
731.000000, -0.000183
730.000000, -0.000408
729.000000, -0.000045
728.000000, 0.000107
727.000000, -0.000381
726.000000, -0.000264
725.000000, 0.000067
724.000000, -0.000571
723.000000, -0.001412
722.000000, -0.001654
721.000000, -0.001060
720.000000, -0.000623
719.000000, -0.000426
718.000000, -0.000655
717.000000, -0.000667
716.000000, -0.000700
715.000000, -0.000544
714.000000, -0.000397
713.000000, 0.000626
712.000000, -0.000135
711.000000, -0.000292
710.000000, -0.000194
709.000000, -0.000475
708.000000, -0.000277
707.000000, 0.000859
706.000000, 0.000436
705.000000, 0.000616
704.000000, 0.000166
703.000000, -0.000164
702.000000, -0.000537
701.000000, -0.000447
700.000000, -0.000330
699.000000, -0.000957
698.000000, -0.000385
697.000000, -0.000243
696.000000, -0.000276
695.000000, -0.000124
694.000000, -0.000583
693.000000, -0.001086
692.000000, -0.000076
691.000000, 0.000066
690.000000, -0.000681
689.000000, -0.000502
688.000000, 0.000234
687.000000, -0.000469
686.000000, -0.001404
685.000000, -0.001280
684.000000, -0.000450
683.000000, -0.000699
682.000000, -0.000618
681.000000, 0.000127
680.000000, -0.000192
679.000000, -0.000605
678.000000, -0.000302
677.000000, -0.000516
676.000000, -0.000506
675.000000, -0.000215
674.000000, -0.000845
673.000000, -0.000674
672.000000, 0.000257
671.000000, -0.000776
670.000000, -0.000950
669.000000, -0.000458
668.000000, -0.001092
667.000000, -0.001845
666.000000, -0.001046
665.000000, -0.000577
664.000000, -0.000404
663.000000, -0.000037
662.000000, -0.000362
661.000000, -0.000735
660.000000, 0.000054
659.000000, 0.000324
658.000000, -0.000582
657.000000, -0.000653
656.000000, -0.000016
655.000000, -0.000216
654.000000, -0.000150
653.000000, -0.000296
652.000000, -0.000673
651.000000, -0.000302
650.000000, 0.000372
649.000000, -0.000039
648.000000, 0.000237
647.000000, -0.000866
646.000000, 0.000068
645.000000, 0.000541
644.000000, 0.000465
643.000000, 0.000053
642.000000, -0.001029
641.000000, -0.000148
640.000000, 0.000331
639.000000, 0.000073
638.000000, 0.000629
637.000000, -0.000153
636.000000, -0.000249
635.000000, 0.000519
634.000000, 0.000345
633.000000, -0.000384
632.000000, -0.000621
631.000000, -0.000920
630.000000, -0.001024
629.000000, 0.000267
628.000000, 0.000060
627.000000, 0.000151
626.000000, 0.000168
625.000000, 0.000066
624.000000, 0.000076
623.000000, 0.000144
622.000000, -0.000323
621.000000, 0.000282
620.000000, -0.000244
619.000000, -0.000110
618.000000, -0.000300
617.000000, 0.000088
616.000000, 0.001118
615.000000, 0.000720
614.000000, 0.000195
