nm, A
800.000000, -0.000331
799.000000, -0.000681
798.000000, -0.000568
797.000000, -0.001287
796.000000, -0.000963
795.000000, -0.000743
794.000000, -0.000348
793.000000, -0.000249
792.000000, -0.000139
791.000000, -0.000509
790.000000, -0.001508
789.000000, -0.000569
788.000000, 0.000315
787.000000, -0.000714
786.000000, -0.001319
785.000000, -0.000397
784.000000, -0.000952
783.000000, -0.000266
782.000000, -0.000256
781.000000, -0.000501
780.000000, -0.000392
779.000000, -0.001102
778.000000, -0.000058
777.000000, -0.000365
776.000000, 0.000080
775.000000, -0.000327
774.000000, 0.000536
773.000000, 0.000103
772.000000, 0.000779
771.000000, -0.000131
770.000000, 0.000924
769.000000, 0.000061
768.000000, -0.000394
767.000000, 0.000772
766.000000, 0.000322
765.000000, 0.000522
764.000000, -0.000425
763.000000, 0.000773
762.000000, -0.000241
761.000000, -0.000815
760.000000, -0.000249
759.000000, -0.000581
758.000000, 0.000027
757.000000, -0.000048
756.000000, -0.000440
755.000000, 0.000367
754.000000, 0.000400
753.000000, 0.000082
752.000000, -0.000075
751.000000, 0.000720
750.000000, 0.000900
749.000000, -0.000415
748.000000, -0.000408
747.000000, -0.000071
746.000000, -0.000349
745.000000, -0.000271
744.000000, -0.000373
743.000000, -0.001200
742.000000, 0.000539
741.000000, 0.000247
740.000000, -0.000294
739.000000, 0.000696
738.000000, 0.001226
737.000000, -0.000182
736.000000, 0.000390
735.000000, 0.000067
734.000000, -0.000495
733.000000, -0.000558
732.000000, 0.000422
731.000000, -0.000047
730.000000, 0.000327
729.000000, 0.000475
728.000000, 0.000816
727.000000, 0.000372
726.000000, 0.000135
725.000000, -0.000517
724.000000, -0.000532
723.000000, -0.000334
722.000000, -0.000089
721.000000, 0.000646
720.000000, 0.000083
719.000000, -0.000020
718.000000, -0.000298
717.000000, -0.000497
716.000000, 0.000222
715.000000, -0.000174
714.000000, 0.000150
713.000000, 0.000348
712.000000, 0.000357
711.000000, -0.000433
710.000000, -0.000276
709.000000, 0.000183
708.000000, 0.000795
707.000000, 0.000883
706.000000, 0.000928
705.000000, 0.001107
704.000000, 0.000134
703.000000, -0.000569
702.000000, -0.000194
701.000000, -0.000159
700.000000, -0.000084
699.000000, -0.000681
698.000000, -0.000312
697.000000, -0.000230
696.000000, 0.000156
695.000000, 0.001027
694.000000, 0.000379
693.000000, -0.000750
692.000000, -0.000045
691.000000, 0.000706
690.000000, 0.000741
689.000000, 0.000164
688.000000, -0.000539
687.000000, -0.000707
686.000000, -0.000632
685.000000, -0.000906
684.000000, -0.000939
683.000000, 0.000694
682.000000, 0.000867
681.000000, 0.000839
680.000000, 0.000818
679.000000, 0.000490
678.000000, 0.000123
677.000000, -0.000350
676.000000, 0.000140
675.000000, 0.000182
674.000000, 0.000092
673.000000, 0.000593
672.000000, 0.000391
671.000000, 0.000453
670.000000, -0.000001
669.000000, -0.000287
668.000000, 0.000193
667.000000, 0.000551
666.000000, 0.000974
665.000000, 0.000577
664.000000, -0.000265
663.000000, -0.000080
662.000000, 0.000213
