nm, A
800.000000, 0.001908
799.000000, 0.004069
798.000000, 0.002583
797.000000, 0.002994
796.000000, 0.003410
795.000000, 0.003092
794.000000, 0.003250
793.000000, 0.003337
792.000000, 0.004001
791.000000, 0.003388
790.000000, 0.002293
789.000000, 0.002774
788.000000, 0.004010
787.000000, 0.002657
786.000000, 0.001973
785.000000, 0.003487
784.000000, 0.002527
783.000000, 0.003648
782.000000, 0.003710
781.000000, 0.003202
780.000000, 0.002376
779.000000, 0.002073
778.000000, 0.004251
777.000000, 0.003241
776.000000, 0.003490
775.000000, 0.004120
774.000000, 0.003398
773.000000, 0.003479
772.000000, 0.005412
771.000000, 0.004383
770.000000, 0.003795
769.000000, 0.003064
768.000000, 0.002936
767.000000, 0.004297
766.000000, 0.003847
765.000000, 0.003410
764.000000, 0.004090
763.000000, 0.004627
762.000000, 0.004643
761.000000, 0.003335
760.000000, 0.003469
759.000000, 0.003849
758.000000, 0.004115
757.000000, 0.004517
756.000000, 0.004174
755.000000, 0.004172
754.000000, 0.004269
753.000000, 0.003625
752.000000, 0.003235
751.000000, 0.003846
750.000000, 0.003518
749.000000, 0.002351
748.000000, 0.003167
747.000000, 0.002825
746.000000, 0.002709
745.000000, 0.003541
744.000000, 0.004097
743.000000, 0.002722
742.000000, 0.004501
741.000000, 0.004031
740.000000, 0.004139
739.000000, 0.003676
738.000000, 0.003844
737.000000, 0.003349
736.000000, 0.004279
735.000000, 0.003907
734.000000, 0.003094
733.000000, 0.003568
732.000000, 0.004140
731.000000, 0.003637
730.000000, 0.003361
729.000000, 0.003818
728.000000, 0.005014
727.000000, 0.005757
726.000000, 0.005162
725.000000, 0.004187
724.000000, 0.004394
723.000000, 0.003989
722.000000, 0.002996
721.000000, 0.003715
720.000000, 0.004411
719.000000, 0.005019
718.000000, 0.004977
717.000000, 0.003446
716.000000, 0.004150
715.000000, 0.004010
714.000000, 0.004199
713.000000, 0.004491
712.000000, 0.004262
711.000000, 0.004140
710.000000, 0.003943
709.000000, 0.004800
708.000000, 0.004909
707.000000, 0.005325
706.000000, 0.005164
705.000000, 0.005133
704.000000, 0.004277
703.000000, 0.004392
702.000000, 0.004217
701.000000, 0.004262
