Sample ID, Description, Type
50-5-10m, , Sample
0-5-1h, , Sample
25-5-1h, , Sample
50-5-1h, , Sample
0-3-10m, , Sample
25-3-10m, , Sample
50-3-10m, , Sample
0-3-1h, , Sample
25-3-1h, , Sample
50-3-1h, , Sample
0-10-10m-Del, , Sample
25-10-10m, , Sample
50-10-10m, , Sample
0-10-1h, , Sample
25-10-1h, , Sample
50-10-1h, , Sample
25-1-3h, , Sample
25-3-3h, , Sample
25-5-3h, , Sample
25-10-3h, , Sample
25-NPL-12-7x hex , , Sample
25-NPL-13-7x hex, , Sample
25-NPL-12-7x hex+MeOH+H2O, , Sample
25-NPL-13-7x hex+ MeOH+H2O, , Sample
0-10-10, , Sample
