nm, A
800.000000, 0.032703
799.000000, 0.032562
798.000000, 0.032495
797.000000, 0.032656
796.000000, 0.032552
795.000000, 0.031912
794.000000, 0.032542
793.000000, 0.032502
792.000000, 0.032259
791.000000, 0.032577
790.000000, 0.032152
789.000000, 0.032438
788.000000, 0.031662
787.000000, 0.032116
786.000000, 0.032762
785.000000, 0.032328
784.000000, 0.032553
783.000000, 0.032131
782.000000, 0.032902
781.000000, 0.033215
780.000000, 0.032593
779.000000, 0.032608
778.000000, 0.033051
777.000000, 0.032420
776.000000, 0.033222
775.000000, 0.033471
774.000000, 0.033405
773.000000, 0.033549
772.000000, 0.033609
771.000000, 0.033597
770.000000, 0.034288
769.000000, 0.034851
768.000000, 0.035131
767.000000, 0.035373
766.000000, 0.036065
765.000000, 0.036569
764.000000, 0.037309
763.000000, 0.037901
762.000000, 0.037328
761.000000, 0.037467
760.000000, 0.037730
759.000000, 0.037734
758.000000, 0.037838
757.000000, 0.037862
756.000000, 0.038540
755.000000, 0.037624
754.000000, 0.037031
753.000000, 0.037859
752.000000, 0.037338
751.000000, 0.038523
750.000000, 0.038991
749.000000, 0.040154
748.000000, 0.039863
747.000000, 0.039949
746.000000, 0.039346
745.000000, 0.038907
744.000000, 0.038304
743.000000, 0.038602
742.000000, 0.039480
741.000000, 0.038797
740.000000, 0.038354
739.000000, 0.037281
738.000000, 0.036839
737.000000, 0.036958
736.000000, 0.037327
735.000000, 0.037442
734.000000, 0.037455
733.000000, 0.037327
732.000000, 0.036368
731.000000, 0.036596
730.000000, 0.036964
729.000000, 0.037145
728.000000, 0.037152
727.000000, 0.036694
726.000000, 0.036912
725.000000, 0.036245
724.000000, 0.036267
723.000000, 0.036386
722.000000, 0.036653
721.000000, 0.037044
720.000000, 0.036756
719.000000, 0.036342
718.000000, 0.036411
717.000000, 0.037095
716.000000, 0.037205
715.000000, 0.036556
714.000000, 0.036542
713.000000, 0.037168
712.000000, 0.037054
711.000000, 0.036784
710.000000, 0.036896
709.000000, 0.036803
708.000000, 0.036875
707.000000, 0.037133
706.000000, 0.037279
705.000000, 0.037393
704.000000, 0.037360
703.000000, 0.037085
702.000000, 0.037404
701.000000, 0.037196
700.000000, 0.037184
699.000000, 0.037236
698.000000, 0.037478
697.000000, 0.037024
696.000000, 0.036831
695.000000, 0.037182
694.000000, 0.037667
693.000000, 0.037728
692.000000, 0.037476
691.000000, 0.037342
690.000000, 0.037362
689.000000, 0.037148
688.000000, 0.037440
687.000000, 0.037380
686.000000, 0.037007
685.000000, 0.036867
684.000000, 0.036959
683.000000, 0.036883
682.000000, 0.036273
681.000000, 0.036402
680.000000, 0.036840
679.000000, 0.036731
678.000000, 0.036582
677.000000, 0.036339
676.000000, 0.036764
675.000000, 0.036866
674.000000, 0.037050
673.000000, 0.037017
672.000000, 0.036484
671.000000, 0.036758
670.000000, 0.036806
669.000000, 0.036012
668.000000, 0.036305
667.000000, 0.036743
666.000000, 0.036239
665.000000, 0.036526
664.000000, 0.036578
663.000000, 0.035999
662.000000, 0.035825
661.000000, 0.035932
660.000000, 0.036297
659.000000, 0.036982
658.000000, 0.036311
657.000000, 0.036314
656.000000, 0.036094
655.000000, 0.035064
654.000000, 0.035514
653.000000, 0.036230
652.000000, 0.035358
651.000000, 0.035870
650.000000, 0.035948
649.000000, 0.035975
648.000000, 0.035668
647.000000, 0.035457
646.000000, 0.035736
645.000000, 0.035705
644.000000, 0.035074
643.000000, 0.035434
642.000000, 0.035081
641.000000, 0.034851
640.000000, 0.034714
639.000000, 0.035184
638.000000, 0.034901
637.000000, 0.034449
636.000000, 0.034446
635.000000, 0.034445
634.000000, 0.034404
633.000000, 0.034807
632.000000, 0.034802
631.000000, 0.034348
630.000000, 0.033899
629.000000, 0.033943
628.000000, 0.033879
627.000000, 0.033506
626.000000, 0.033176
625.000000, 0.032961
624.000000, 0.032972
623.000000, 0.032473
622.000000, 0.032752
621.000000, 0.033092
620.000000, 0.033126
619.000000, 0.032421
618.000000, 0.032000
617.000000, 0.032576
616.000000, 0.032077
615.000000, 0.032934
614.000000, 0.031824
613.000000, 0.031900
612.000000, 0.031632
611.000000, 0.032235
610.000000, 0.031742
609.000000, 0.031726
608.000000, 0.031454
607.000000, 0.030771
606.000000, 0.031477
605.000000, 0.031080
604.000000, 0.031021
603.000000, 0.030736
602.000000, 0.030950
601.000000, 0.030524
600.000000, 0.031162
599.000000, 0.030814
598.000000, 0.031391
597.000000, 0.031090
596.000000, 0.030565
595.000000, 0.030503
594.000000, 0.030705
593.000000, 0.030306
592.000000, 0.030323
591.000000, 0.030568
590.000000, 0.030729
589.000000, 0.030065
588.000000, 0.029881
587.000000, 0.029243
586.000000, 0.029801
585.000000, 0.030181
584.000000, 0.030033
583.000000, 0.030442
582.000000, 0.029989
581.000000, 0.029918
580.000000, 0.029246
579.000000, 0.029930
578.000000, 0.029477
577.000000, 0.029114
576.000000, 0.029460
575.000000, 0.029477
574.000000, 0.029788
573.000000, 0.028841
572.000000, 0.028950
571.000000, 0.029321
570.000000, 0.029144
569.000000, 0.029472
568.000000, 0.029148
567.000000, 0.028216
566.000000, 0.029500
565.000000, 0.028485
564.000000, 0.028597
563.000000, 0.028814
562.000000, 0.028745
561.000000, 0.028678
560.000000, 0.028462
559.000000, 0.028542
558.000000, 0.028670
557.000000, 0.027411
556.000000, 0.027951
555.000000, 0.027200
554.000000, 0.027373
553.000000, 0.027614
552.000000, 0.028140
551.000000, 0.027178
550.000000, 0.027667
549.000000, 0.026904
548.000000, 0.027608
547.000000, 0.028035
546.000000, 0.027547
545.000000, 0.027600
544.000000, 0.027261
543.000000, 0.027115
542.000000, 0.027469
541.000000, 0.028002
540.000000, 0.027999
539.000000, 0.027701
538.000000, 0.028304
537.000000, 0.028088
536.000000, 0.027961
535.000000, 0.028431
534.000000, 0.028065
533.000000, 0.028290
532.000000, 0.028478
531.000000, 0.029337
530.000000, 0.029456
529.000000, 0.029518
528.000000, 0.028946
527.000000, 0.029669
526.000000, 0.029279
525.000000, 0.030493
524.000000, 0.030246
523.000000, 0.029647
522.000000, 0.030126
521.000000, 0.030818
520.000000, 0.031370
519.000000, 0.031926
518.000000, 0.031983
517.000000, 0.032516
516.000000, 0.032219
515.000000, 0.033128
514.000000, 0.033684
513.000000, 0.035048
512.000000, 0.034516
511.000000, 0.034383
510.000000, 0.033788
509.000000, 0.034004
508.000000, 0.034706
507.000000, 0.034501
506.000000, 0.033208
505.000000, 0.033821
504.000000, 0.033748
503.000000, 0.032366
502.000000, 0.032708
501.000000, 0.032592
500.000000, 0.032852
499.000000, 0.033242
498.000000, 0.032047
497.000000, 0.031495
496.000000, 0.032014
495.000000, 0.032032
494.000000, 0.031079
493.000000, 0.031039
492.000000, 0.031247
491.000000, 0.030837
490.000000, 0.030333
489.000000, 0.030371
488.000000, 0.030138
487.000000, 0.030142
486.000000, 0.031008
485.000000, 0.030669
484.000000, 0.029861
483.000000, 0.029294
482.000000, 0.029195
481.000000, 0.029253
480.000000, 0.030304
479.000000, 0.031324
478.000000, 0.031622
477.000000, 0.031373
476.000000, 0.031994
475.000000, 0.032444
474.000000, 0.032460
473.000000, 0.032843
472.000000, 0.032754
471.000000, 0.033114
470.000000, 0.033989
469.000000, 0.034016
468.000000, 0.033443
467.000000, 0.033708
466.000000, 0.033191
465.000000, 0.033476
464.000000, 0.034089
463.000000, 0.034431
462.000000, 0.034395
461.000000, 0.034550
460.000000, 0.034599
459.000000, 0.034154
458.000000, 0.034848
457.000000, 0.035003
456.000000, 0.035117
455.000000, 0.035014
454.000000, 0.034536
453.000000, 0.034530
452.000000, 0.034599
451.000000, 0.034477
450.000000, 0.034125
449.000000, 0.033570
448.000000, 0.033548
447.000000, 0.033970
446.000000, 0.033875
445.000000, 0.033527
444.000000, 0.034064
443.000000, 0.034516
442.000000, 0.034211
441.000000, 0.034375
440.000000, 0.034983
439.000000, 0.035307
438.000000, 0.034679
437.000000, 0.034512
436.000000, 0.034531
435.000000, 0.035064
434.000000, 0.036063
433.000000, 0.035870
432.000000, 0.035463
431.000000, 0.035354
430.000000, 0.035443
429.000000, 0.035439
428.000000, 0.035855
427.000000, 0.035746
426.000000, 0.035647
425.000000, 0.035965
424.000000, 0.036256
423.000000, 0.036863
422.000000, 0.036894
421.000000, 0.036648
420.000000, 0.036450
419.000000, 0.036114
418.000000, 0.035877
417.000000, 0.036286
416.000000, 0.036977
415.000000, 0.037414
414.000000, 0.037221
413.000000, 0.036449
412.000000, 0.037109
411.000000, 0.037565
410.000000, 0.037776
409.000000, 0.037934
408.000000, 0.037899
407.000000, 0.038201
406.000000, 0.037706
405.000000, 0.037459
404.000000, 0.037795
403.000000, 0.038069
402.000000, 0.038488
401.000000, 0.038515
400.000000, 0.038702
399.000000, 0.038846
398.000000, 0.038671
397.000000, 0.039085
396.000000, 0.038982
395.000000, 0.039187
394.000000, 0.039262
393.000000, 0.039226
392.000000, 0.039564
391.000000, 0.039800
390.000000, 0.040059
389.000000, 0.040286
388.000000, 0.040301
