nm, A
800.000000, 0.000915
799.000000, 0.001015
798.000000, 0.000835
797.000000, 0.000262
796.000000, -0.000191
795.000000, 0.000710
794.000000, -0.000271
793.000000, 0.001228
792.000000, 0.000706
791.000000, -0.000593
790.000000, 0.000369
789.000000, 0.000342
788.000000, 0.000898
787.000000, 0.000881
786.000000, -0.000109
785.000000, -0.000169
784.000000, 0.000324
783.000000, 0.000433
782.000000, -0.000025
781.000000, -0.000758
780.000000, -0.000755
779.000000, 0.000898
778.000000, 0.000763
777.000000, 0.000620
776.000000, 0.000039
775.000000, -0.000506
774.000000, 0.000214
773.000000, 0.001053
772.000000, 0.000477
771.000000, 0.000848
770.000000, -0.000100
769.000000, -0.000455
768.000000, 0.000375
767.000000, -0.000366
766.000000, -0.000305
765.000000, 0.000005
764.000000, -0.001057
763.000000, -0.000521
762.000000, 0.000341
761.000000, 0.000257
760.000000, -0.000000
759.000000, -0.000749
758.000000, -0.001404
757.000000, -0.000233
756.000000, -0.000522
755.000000, 0.001104
754.000000, 0.001071
753.000000, 0.000066
752.000000, 0.001264
751.000000, 0.000421
750.000000, 0.000204
749.000000, 0.000060
748.000000, 0.000610
747.000000, -0.000254
746.000000, 0.000723
745.000000, 0.001665
744.000000, 0.002069
743.000000, 0.000915
742.000000, -0.000342
741.000000, -0.000405
740.000000, -0.001094
739.000000, 0.000991
738.000000, 0.001333
737.000000, 0.000048
736.000000, -0.000205
735.000000, -0.001064
734.000000, -0.001057
733.000000, -0.000529
732.000000, 0.000632
731.000000, 0.000644
730.000000, -0.000590
729.000000, -0.000668
728.000000, -0.000152
727.000000, 0.000324
726.000000, 0.000035
725.000000, 0.000689
724.000000, 0.000296
723.000000, 0.000736
722.000000, 0.000723
721.000000, 0.000504
720.000000, 0.000442
719.000000, 0.000993
718.000000, 0.000275
717.000000, -0.000943
716.000000, -0.001131
715.000000, 0.000371
714.000000, 0.001385
713.000000, -0.000044
712.000000, -0.000380
711.000000, 0.000703
710.000000, 0.000455
709.000000, 0.000183
708.000000, 0.000665
707.000000, 0.000528
706.000000, 0.000029
705.000000, -0.000891
704.000000, -0.000844
703.000000, 0.000212
702.000000, -0.000471
701.000000, 0.000356
700.000000, 0.000725
699.000000, 0.000372
698.000000, -0.000281
697.000000, 0.000008
696.000000, 0.000450
695.000000, 0.000193
694.000000, -0.000510
693.000000, -0.000268
692.000000, 0.000236
691.000000, 0.000036
690.000000, 0.000262
689.000000, 0.000576
688.000000, 0.000326
687.000000, 0.000865
686.000000, 0.000335
685.000000, -0.000227
684.000000, 0.000040
683.000000, 0.000428
682.000000, 0.001047
681.000000, 0.001155
680.000000, 0.000808
679.000000, 0.000777
678.000000, 0.000077
677.000000, 0.000703
676.000000, 0.000832
675.000000, -0.000183
674.000000, -0.000265
673.000000, 0.000561
672.000000, 0.001037
671.000000, 0.000255
670.000000, -0.000181
669.000000, 0.001077
668.000000, 0.000884
667.000000, -0.000035
666.000000, 0.000335
665.000000, 0.000104
664.000000, -0.000103
663.000000, 0.000375
662.000000, 0.000362
661.000000, 0.000573
660.000000, 0.000114
659.000000, -0.000606
658.000000, -0.000102
657.000000, -0.000123
656.000000, 0.000012
655.000000, 0.000441
654.000000, 0.000569
653.000000, -0.000071
652.000000, 0.000441
651.000000, 0.000311
650.000000, 0.000828
649.000000, 0.000516
648.000000, 0.000935
647.000000, 0.001197
646.000000, 0.000537
