nm, A
800.000000, 0.031651
799.000000, 0.031920
798.000000, 0.032094
797.000000, 0.032726
796.000000, 0.031662
795.000000, 0.032658
794.000000, 0.032019
793.000000, 0.032653
792.000000, 0.031963
791.000000, 0.032056
790.000000, 0.032772
789.000000, 0.032750
788.000000, 0.032518
787.000000, 0.032071
786.000000, 0.032552
785.000000, 0.032787
784.000000, 0.032704
783.000000, 0.032295
782.000000, 0.033218
781.000000, 0.032133
780.000000, 0.032873
779.000000, 0.033458
778.000000, 0.032686
777.000000, 0.032204
776.000000, 0.032616
775.000000, 0.033672
774.000000, 0.033966
773.000000, 0.032586
772.000000, 0.033447
771.000000, 0.034492
770.000000, 0.034322
769.000000, 0.034731
768.000000, 0.035033
767.000000, 0.035551
766.000000, 0.035084
765.000000, 0.036291
764.000000, 0.036722
763.000000, 0.037076
762.000000, 0.037715
761.000000, 0.038174
760.000000, 0.037274
759.000000, 0.037016
758.000000, 0.037587
757.000000, 0.037992
756.000000, 0.038326
755.000000, 0.037861
754.000000, 0.038659
753.000000, 0.038853
752.000000, 0.038497
751.000000, 0.038428
750.000000, 0.039161
749.000000, 0.039476
748.000000, 0.039447
747.000000, 0.039701
746.000000, 0.039087
745.000000, 0.039220
744.000000, 0.039262
743.000000, 0.039854
742.000000, 0.039816
741.000000, 0.038580
740.000000, 0.038409
739.000000, 0.038451
738.000000, 0.037570
737.000000, 0.038061
736.000000, 0.037114
735.000000, 0.036411
734.000000, 0.036726
733.000000, 0.037314
732.000000, 0.036508
731.000000, 0.036282
730.000000, 0.036549
729.000000, 0.035955
728.000000, 0.036322
727.000000, 0.036802
726.000000, 0.036793
725.000000, 0.036250
724.000000, 0.035810
723.000000, 0.036546
722.000000, 0.036499
721.000000, 0.036684
720.000000, 0.036935
719.000000, 0.037078
718.000000, 0.036639
717.000000, 0.036671
716.000000, 0.036390
715.000000, 0.036677
714.000000, 0.037039
713.000000, 0.037076
712.000000, 0.036544
711.000000, 0.036633
710.000000, 0.037074
709.000000, 0.037255
708.000000, 0.036932
707.000000, 0.036955
706.000000, 0.037056
705.000000, 0.036864
704.000000, 0.036820
703.000000, 0.037744
702.000000, 0.037767
701.000000, 0.037683
700.000000, 0.037472
699.000000, 0.037335
698.000000, 0.037111
697.000000, 0.036634
696.000000, 0.036879
695.000000, 0.036857
694.000000, 0.036823
693.000000, 0.037637
692.000000, 0.037594
691.000000, 0.037595
690.000000, 0.038163
689.000000, 0.037609
688.000000, 0.036906
687.000000, 0.037039
686.000000, 0.037430
685.000000, 0.037076
684.000000, 0.036729
683.000000, 0.036697
682.000000, 0.037056
681.000000, 0.037283
680.000000, 0.037332
679.000000, 0.037277
678.000000, 0.036883
677.000000, 0.036911
676.000000, 0.037207
675.000000, 0.037112
674.000000, 0.036580
673.000000, 0.036834
672.000000, 0.037007
671.000000, 0.036663
670.000000, 0.036673
669.000000, 0.036825
668.000000, 0.036679
667.000000, 0.036179
666.000000, 0.036135
665.000000, 0.036013
664.000000, 0.035978
663.000000, 0.036167
662.000000, 0.036202
661.000000, 0.035999
660.000000, 0.035288
659.000000, 0.034998
658.000000, 0.035663
657.000000, 0.036040
656.000000, 0.036016
655.000000, 0.036067
654.000000, 0.036355
653.000000, 0.035764
652.000000, 0.036005
651.000000, 0.036589
650.000000, 0.035647
649.000000, 0.035817
648.000000, 0.036024
647.000000, 0.035312
646.000000, 0.034979
645.000000, 0.035379
644.000000, 0.035702
643.000000, 0.034812
642.000000, 0.035046
641.000000, 0.035737
640.000000, 0.035703
639.000000, 0.034729
638.000000, 0.034761
637.000000, 0.034968
636.000000, 0.035022
635.000000, 0.035526
634.000000, 0.034963
633.000000, 0.034627
632.000000, 0.034176
631.000000, 0.033908
630.000000, 0.034689
629.000000, 0.034035
628.000000, 0.034510
627.000000, 0.033889
626.000000, 0.033531
625.000000, 0.033330
624.000000, 0.032898
623.000000, 0.032918
622.000000, 0.032917
621.000000, 0.033458
620.000000, 0.033430
619.000000, 0.032597
618.000000, 0.032886
617.000000, 0.032672
616.000000, 0.032405
615.000000, 0.032584
614.000000, 0.032386
613.000000, 0.032092
612.000000, 0.031917
611.000000, 0.031306
610.000000, 0.031704
609.000000, 0.032144
608.000000, 0.031656
607.000000, 0.031443
606.000000, 0.031451
605.000000, 0.031717
604.000000, 0.031549
603.000000, 0.031708
602.000000, 0.030844
601.000000, 0.030552
600.000000, 0.030439
599.000000, 0.029922
598.000000, 0.030740
597.000000, 0.030275
596.000000, 0.029932
595.000000, 0.030092
594.000000, 0.030125
593.000000, 0.030415
592.000000, 0.030491
591.000000, 0.030608
590.000000, 0.029360
589.000000, 0.029158
588.000000, 0.030228
587.000000, 0.029981
586.000000, 0.029835
585.000000, 0.029687
584.000000, 0.029645
583.000000, 0.029712
582.000000, 0.028974
581.000000, 0.029261
580.000000, 0.029093
579.000000, 0.028750
578.000000, 0.028682
577.000000, 0.028662
576.000000, 0.029360
575.000000, 0.029108
574.000000, 0.028908
573.000000, 0.029741
572.000000, 0.028805
571.000000, 0.028997
570.000000, 0.028518
569.000000, 0.028449
568.000000, 0.029437
567.000000, 0.028865
566.000000, 0.028888
565.000000, 0.028286
564.000000, 0.028519
563.000000, 0.028545
562.000000, 0.028294
561.000000, 0.028639
560.000000, 0.027993
559.000000, 0.028527
558.000000, 0.027612
557.000000, 0.027957
556.000000, 0.027530
555.000000, 0.027703
554.000000, 0.028002
553.000000, 0.027402
552.000000, 0.028055
551.000000, 0.027637
550.000000, 0.027981
549.000000, 0.027390
548.000000, 0.026887
547.000000, 0.027680
546.000000, 0.026745
545.000000, 0.027605
544.000000, 0.027471
543.000000, 0.027830
542.000000, 0.027045
541.000000, 0.026922
540.000000, 0.026929
539.000000, 0.027091
538.000000, 0.027740
537.000000, 0.027617
536.000000, 0.027312
535.000000, 0.027550
534.000000, 0.027972
533.000000, 0.027493
532.000000, 0.027270
531.000000, 0.028773
530.000000, 0.028592
529.000000, 0.028253
528.000000, 0.028565
527.000000, 0.028658
526.000000, 0.028920
525.000000, 0.029447
524.000000, 0.029976
523.000000, 0.029109
522.000000, 0.029790
521.000000, 0.030517
520.000000, 0.030276
519.000000, 0.030568
518.000000, 0.031123
517.000000, 0.031416
516.000000, 0.031262
515.000000, 0.031788
514.000000, 0.032152
513.000000, 0.032958
512.000000, 0.033051
511.000000, 0.033269
510.000000, 0.033045
509.000000, 0.032803
508.000000, 0.032584
507.000000, 0.033263
506.000000, 0.033002
505.000000, 0.032797
504.000000, 0.032179
503.000000, 0.032535
502.000000, 0.031189
501.000000, 0.031459
500.000000, 0.031707
499.000000, 0.031050
498.000000, 0.030487
497.000000, 0.030729
496.000000, 0.030226
495.000000, 0.030608
494.000000, 0.030233
493.000000, 0.030315
492.000000, 0.030232
491.000000, 0.029533
490.000000, 0.029998
489.000000, 0.030254
488.000000, 0.029958
487.000000, 0.029842
486.000000, 0.029519
485.000000, 0.029109
484.000000, 0.028433
483.000000, 0.027985
482.000000, 0.028364
481.000000, 0.028291
480.000000, 0.028379
479.000000, 0.029432
478.000000, 0.030885
477.000000, 0.030779
476.000000, 0.030505
475.000000, 0.030498
474.000000, 0.031544
473.000000, 0.031327
472.000000, 0.031059
471.000000, 0.031760
470.000000, 0.031930
469.000000, 0.032736
468.000000, 0.033034
467.000000, 0.032952
466.000000, 0.032644
465.000000, 0.032955
464.000000, 0.032584
463.000000, 0.033540
462.000000, 0.033468
461.000000, 0.033773
460.000000, 0.034948
459.000000, 0.034642
458.000000, 0.034040
457.000000, 0.033754
456.000000, 0.034013
455.000000, 0.033129
454.000000, 0.033447
453.000000, 0.033421
452.000000, 0.033555
451.000000, 0.033702
450.000000, 0.033233
449.000000, 0.033681
448.000000, 0.033822
447.000000, 0.033257
446.000000, 0.033554
445.000000, 0.032995
444.000000, 0.032535
443.000000, 0.032676
442.000000, 0.033157
441.000000, 0.033929
440.000000, 0.033944
439.000000, 0.033269
438.000000, 0.032928
437.000000, 0.033477
436.000000, 0.033509
435.000000, 0.033309
434.000000, 0.033828
433.000000, 0.033927
432.000000, 0.034042
431.000000, 0.034617
430.000000, 0.034290
429.000000, 0.033743
428.000000, 0.034162
427.000000, 0.033955
426.000000, 0.033904
425.000000, 0.034517
424.000000, 0.034219
423.000000, 0.034154
422.000000, 0.034786
421.000000, 0.034874
420.000000, 0.035508
419.000000, 0.036144
418.000000, 0.035856
417.000000, 0.035551
416.000000, 0.035971
415.000000, 0.035629
414.000000, 0.035188
413.000000, 0.036052
412.000000, 0.036375
411.000000, 0.036116
410.000000, 0.036553
409.000000, 0.036354
408.000000, 0.036476
407.000000, 0.036454
406.000000, 0.036311
405.000000, 0.036379
404.000000, 0.036937
403.000000, 0.037025
402.000000, 0.036953
401.000000, 0.037560
400.000000, 0.037024
399.000000, 0.037276
398.000000, 0.037899
397.000000, 0.037182
396.000000, 0.037650
395.000000, 0.038338
