nm, A
800.000000, 0.000692
799.000000, 0.000685
798.000000, 0.001039
797.000000, 0.000149
796.000000, 0.000713
795.000000, 0.000514
794.000000, 0.000149
793.000000, -0.000211
792.000000, 0.000162
791.000000, -0.000280
790.000000, 0.000323
789.000000, -0.000192
788.000000, -0.000331
787.000000, -0.000160
786.000000, 0.000929
785.000000, 0.000507
784.000000, 0.000929
783.000000, -0.000086
782.000000, -0.000088
781.000000, 0.000993
780.000000, -0.000096
779.000000, 0.000701
778.000000, 0.001006
777.000000, 0.001112
776.000000, 0.000229
775.000000, 0.000096
774.000000, -0.000536
773.000000, 0.001834
772.000000, 0.000765
771.000000, -0.000325
770.000000, 0.000658
769.000000, 0.000376
768.000000, -0.000126
767.000000, 0.000205
766.000000, 0.001131
765.000000, 0.001493
764.000000, 0.000377
763.000000, 0.000342
762.000000, -0.000119
761.000000, -0.000084
760.000000, 0.000872
759.000000, 0.000375
758.000000, 0.000859
757.000000, -0.000578
756.000000, -0.000025
755.000000, 0.000035
754.000000, -0.000862
753.000000, -0.000830
752.000000, -0.000026
751.000000, 0.000994
750.000000, 0.000541
749.000000, 0.000679
748.000000, 0.000174
747.000000, 0.000383
746.000000, 0.001999
745.000000, 0.001245
744.000000, 0.000857
743.000000, 0.000251
742.000000, -0.000920
741.000000, -0.000191
740.000000, -0.000417
739.000000, -0.000221
738.000000, 0.000555
737.000000, -0.000215
736.000000, 0.000585
735.000000, 0.000556
734.000000, 0.000119
733.000000, -0.001100
732.000000, 0.000549
731.000000, 0.001042
730.000000, 0.000324
729.000000, 0.000960
728.000000, 0.001104
727.000000, 0.000990
726.000000, 0.000431
725.000000, 0.000682
724.000000, 0.000927
723.000000, 0.000994
722.000000, 0.000726
721.000000, 0.000520
720.000000, 0.000618
719.000000, 0.000440
718.000000, 0.000976
717.000000, 0.001009
716.000000, 0.001332
715.000000, 0.000843
714.000000, 0.000982
713.000000, 0.000829
712.000000, 0.000541
711.000000, -0.000047
710.000000, 0.000218
709.000000, 0.000576
708.000000, 0.000896
707.000000, 0.000200
706.000000, 0.000282
705.000000, 0.000306
704.000000, 0.000760
703.000000, 0.000272
702.000000, 0.000402
701.000000, -0.000068
700.000000, 0.000177
699.000000, 0.000027
698.000000, 0.000400
697.000000, 0.001175
696.000000, 0.000983
695.000000, 0.000698
694.000000, 0.000515
693.000000, 0.000044
692.000000, 0.000765
691.000000, 0.000682
690.000000, -0.000306
689.000000, -0.000033
688.000000, 0.000492
687.000000, 0.001090
686.000000, 0.000906
685.000000, 0.001394
684.000000, 0.001463
683.000000, 0.000781
682.000000, 0.000366
681.000000, 0.000334
680.000000, 0.000174
679.000000, 0.000371
678.000000, 0.000834
677.000000, 0.000559
676.000000, -0.000020
675.000000, 0.000518
674.000000, 0.001078
673.000000, 0.000297
672.000000, 0.000379
671.000000, 0.000649
670.000000, 0.000426
669.000000, 0.000757
668.000000, 0.001089
667.000000, 0.000921
666.000000, 0.000910
665.000000, 0.000902
664.000000, 0.001528
663.000000, 0.001730
662.000000, 0.001265
661.000000, 0.001362
660.000000, 0.002057
659.000000, 0.001316
658.000000, 0.001110
657.000000, 0.001296
656.000000, 0.001673
655.000000, 0.001073
654.000000, 0.000419
653.000000, 0.000834
652.000000, 0.001306
651.000000, 0.000804
650.000000, 0.001380
649.000000, 0.001473
648.000000, 0.001774
647.000000, 0.001662
646.000000, 0.002092
645.000000, 0.002000
644.000000, 0.001395
643.000000, 0.001683
642.000000, 0.001336
641.000000, 0.000749
640.000000, 0.001000
639.000000, 0.001994
638.000000, 0.001387
637.000000, 0.001152
636.000000, 0.001659
635.000000, 0.000871
634.000000, 0.001458
633.000000, 0.002221
632.000000, 0.001610
631.000000, 0.001849
630.000000, 0.001103
629.000000, 0.001258
628.000000, 0.000494
627.000000, 0.001526
626.000000, 0.001673
625.000000, 0.001814
624.000000, 0.001982
623.000000, 0.002030
622.000000, 0.001877
621.000000, 0.000796
620.000000, 0.001775
619.000000, 0.001526
618.000000, 0.000889
617.000000, 0.002096
616.000000, 0.002250
615.000000, 0.001753
614.000000, 0.001669
613.000000, 0.002166
612.000000, 0.001810
611.000000, 0.002333
610.000000, 0.001748
609.000000, 0.001000
608.000000, 0.002925
607.000000, 0.001799
606.000000, 0.000859
605.000000, 0.000979
604.000000, 0.001572
603.000000, 0.001034
602.000000, 0.002128
601.000000, 0.001991
600.000000, 0.002835
599.000000, 0.002620
598.000000, 0.001976
597.000000, 0.002965
596.000000, 0.003071
595.000000, 0.002822
594.000000, 0.002318
593.000000, 0.001566
592.000000, 0.002427
591.000000, 0.001913
590.000000, 0.003689
589.000000, 0.003554
588.000000, 0.001730
587.000000, 0.002143
586.000000, 0.002811
585.000000, 0.002169
584.000000, 0.003056
583.000000, 0.003172
582.000000, 0.003020
581.000000, 0.003281
580.000000, 0.003444
579.000000, 0.003433
578.000000, 0.003154
577.000000, 0.003541
576.000000, 0.003323
575.000000, 0.003549
574.000000, 0.003472
573.000000, 0.003086
572.000000, 0.003938
571.000000, 0.003378
570.000000, 0.004187
569.000000, 0.004039
568.000000, 0.002990
567.000000, 0.003581
566.000000, 0.003960
565.000000, 0.004239
564.000000, 0.004098
563.000000, 0.004596
562.000000, 0.004912
561.000000, 0.003908
560.000000, 0.004068
559.000000, 0.004023
558.000000, 0.005280
557.000000, 0.003416
556.000000, 0.004574
555.000000, 0.004308
554.000000, 0.004962
553.000000, 0.006277
552.000000, 0.004579
551.000000, 0.005710
550.000000, 0.005962
549.000000, 0.006388
548.000000, 0.007429
547.000000, 0.007045
546.000000, 0.007647
545.000000, 0.007106
544.000000, 0.006791
543.000000, 0.006608
542.000000, 0.008358
541.000000, 0.008028
540.000000, 0.007926
539.000000, 0.008862
538.000000, 0.007816
537.000000, 0.007097
536.000000, 0.008785
535.000000, 0.008816
534.000000, 0.008798
533.000000, 0.008403
532.000000, 0.010064
531.000000, 0.008391
530.000000, 0.008578
529.000000, 0.009024
528.000000, 0.010097
527.000000, 0.010120
526.000000, 0.010332
525.000000, 0.011009
