nm, A
800.000000, 0.001862
799.000000, 0.000065
798.000000, 0.000688
797.000000, -0.000306
796.000000, 0.001179
795.000000, 0.000529
794.000000, 0.000676
793.000000, -0.000825
792.000000, 0.000688
791.000000, 0.000449
790.000000, 0.000180
789.000000, -0.000466
788.000000, 0.000042
787.000000, 0.001892
786.000000, 0.000358
785.000000, -0.000003
784.000000, 0.000566
783.000000, 0.001001
782.000000, -0.000128
781.000000, 0.002020
780.000000, 0.000381
779.000000, -0.000613
778.000000, 0.001240
777.000000, 0.001478
776.000000, 0.001185
775.000000, 0.000009
774.000000, -0.000049
773.000000, 0.001965
772.000000, 0.000616
771.000000, 0.000952
770.000000, 0.000779
769.000000, 0.000472
768.000000, 0.000277
767.000000, 0.000700
766.000000, 0.002307
765.000000, 0.001449
764.000000, -0.000244
763.000000, 0.000177
762.000000, 0.000068
761.000000, 0.000185
760.000000, 0.001257
759.000000, 0.001578
758.000000, 0.001000
757.000000, 0.001060
756.000000, 0.000213
755.000000, 0.000850
754.000000, -0.000124
753.000000, -0.000508
752.000000, 0.000382
751.000000, 0.000564
750.000000, 0.000478
749.000000, 0.000702
748.000000, 0.000902
747.000000, 0.000426
746.000000, 0.000869
745.000000, 0.000255
744.000000, 0.000245
743.000000, 0.000170
742.000000, -0.000457
741.000000, 0.000230
740.000000, -0.000445
739.000000, -0.000295
738.000000, 0.000712
737.000000, 0.000151
736.000000, 0.001117
735.000000, 0.001187
734.000000, 0.001252
733.000000, 0.000582
732.000000, 0.001165
731.000000, 0.001078
730.000000, 0.001405
729.000000, 0.001066
728.000000, 0.000578
727.000000, 0.000063
726.000000, 0.000225
725.000000, 0.000573
724.000000, 0.001447
723.000000, 0.000140
722.000000, 0.000668
721.000000, 0.000838
720.000000, 0.000607
719.000000, 0.000044
718.000000, 0.000611
717.000000, 0.000259
716.000000, 0.000588
715.000000, 0.000868
714.000000, 0.000747
713.000000, 0.000828
712.000000, 0.001530
711.000000, 0.001397
710.000000, 0.000595
709.000000, 0.000052
708.000000, 0.000380
707.000000, 0.000838
706.000000, 0.000980
705.000000, 0.001054
704.000000, 0.000308
703.000000, -0.000388
702.000000, -0.000003
701.000000, -0.000134
700.000000, 0.000168
699.000000, 0.000230
698.000000, 0.000687
697.000000, 0.001014
696.000000, 0.000623
695.000000, 0.001452
694.000000, 0.001361
693.000000, 0.000300
692.000000, 0.000366
691.000000, -0.000063
690.000000, -0.000204
689.000000, 0.000761
688.000000, 0.001529
687.000000, 0.001286
686.000000, 0.001143
685.000000, 0.000868
684.000000, 0.000631
683.000000, 0.001253
682.000000, 0.000956
681.000000, 0.000862
680.000000, 0.001224
679.000000, 0.001160
678.000000, 0.001241
677.000000, 0.000902
676.000000, 0.000445
675.000000, 0.000984
674.000000, 0.002073
673.000000, 0.001276
672.000000, 0.000875
671.000000, 0.001211
670.000000, 0.001035
669.000000, 0.001140
668.000000, 0.000790
667.000000, 0.000974
666.000000, 0.001502
665.000000, 0.001925
664.000000, 0.001207
663.000000, 0.000548
662.000000, 0.001282
661.000000, 0.001638
660.000000, 0.002214
659.000000, 0.002457
658.000000, 0.001933
657.000000, 0.001434
656.000000, 0.001389
655.000000, 0.001143
654.000000, 0.001006
653.000000, 0.001213
652.000000, 0.001314
651.000000, 0.001457
650.000000, 0.002464
649.000000, 0.001594
648.000000, 0.000994
647.000000, 0.001780
646.000000, 0.001984
645.000000, 0.001631
644.000000, 0.001232
643.000000, 0.001597
642.000000, 0.002206
641.000000, 0.001404
640.000000, 0.001861
639.000000, 0.002414
638.000000, 0.002807
637.000000, 0.001775
636.000000, 0.001901
635.000000, 0.001409
634.000000, 0.001913
633.000000, 0.001926
632.000000, 0.001705
631.000000, 0.002286
630.000000, 0.001410
629.000000, 0.001054
628.000000, 0.000636
627.000000, 0.001814
626.000000, 0.001803
625.000000, 0.001999
624.000000, 0.001425
623.000000, 0.001653
622.000000, 0.002527
621.000000, 0.002165
620.000000, 0.002156
619.000000, 0.002602
618.000000, 0.001701
617.000000, 0.002174
616.000000, 0.002673
615.000000, 0.002315
614.000000, 0.002054
613.000000, 0.001986
612.000000, 0.002484
611.000000, 0.003381
610.000000, 0.002004
609.000000, 0.001551
608.000000, 0.002012
607.000000, 0.002069
606.000000, 0.001627
605.000000, 0.001546
604.000000, 0.002195
603.000000, 0.002328
602.000000, 0.002325
601.000000, 0.002470
600.000000, 0.002960
599.000000, 0.003025
598.000000, 0.002923
597.000000, 0.003404
596.000000, 0.003695
595.000000, 0.003762
594.000000, 0.003060
593.000000, 0.002995
592.000000, 0.002737
591.000000, 0.002236
590.000000, 0.003369
589.000000, 0.003246
588.000000, 0.002616
587.000000, 0.002924
586.000000, 0.002697
585.000000, 0.002949
584.000000, 0.002953
583.000000, 0.002727
582.000000, 0.004321
581.000000, 0.003056
580.000000, 0.004093
579.000000, 0.004502
578.000000, 0.004626
577.000000, 0.004468
576.000000, 0.003657
575.000000, 0.003858
574.000000, 0.003140
573.000000, 0.003343
572.000000, 0.003652
571.000000, 0.003736
570.000000, 0.004581
569.000000, 0.004429
568.000000, 0.003415
567.000000, 0.004028
566.000000, 0.004506
565.000000, 0.004714
564.000000, 0.004496
563.000000, 0.004728
562.000000, 0.004378
561.000000, 0.004176
560.000000, 0.004297
559.000000, 0.004587
558.000000, 0.006082
557.000000, 0.004549
556.000000, 0.006192
555.000000, 0.005384
554.000000, 0.005807
553.000000, 0.006466
552.000000, 0.004956
551.000000, 0.006276
550.000000, 0.005316
549.000000, 0.005724
548.000000, 0.007297
547.000000, 0.006900
546.000000, 0.008925
545.000000, 0.007111
544.000000, 0.008337
543.000000, 0.007196
542.000000, 0.008681
541.000000, 0.008733
540.000000, 0.009401
539.000000, 0.008493
538.000000, 0.007732
537.000000, 0.008125
536.000000, 0.008278
535.000000, 0.009070
534.000000, 0.008504
533.000000, 0.008763
532.000000, 0.009635
531.000000, 0.008787
530.000000, 0.008704
529.000000, 0.010287
528.000000, 0.010492
527.000000, 0.010855
526.000000, 0.011969
525.000000, 0.012281
524.000000, 0.013581
523.000000, 0.016902
522.000000, 0.019280
521.000000, 0.023498
520.000000, 0.032003
519.000000, 0.045210
518.000000, 0.065641
517.000000, 0.096675
516.000000, 0.137987
515.000000, 0.181974
514.000000, 0.216601
513.000000, 0.232203
512.000000, 0.228774
511.000000, 0.213438
510.000000, 0.195600
509.000000, 0.178082
508.000000, 0.162638
507.000000, 0.148890
506.000000, 0.138354
505.000000, 0.129600
504.000000, 0.122504
503.000000, 0.115771
502.000000, 0.111043
501.000000, 0.105872
500.000000, 0.102965
499.000000, 0.100733
498.000000, 0.100037
497.000000, 0.099089
496.000000, 0.099451
495.000000, 0.100786
494.000000, 0.103620
493.000000, 0.106753
492.000000, 0.109921
491.000000, 0.116855
490.000000, 0.123059
489.000000, 0.130883
488.000000, 0.139874
487.000000, 0.148646
486.000000, 0.157173
485.000000, 0.165581
484.000000, 0.172814
483.000000, 0.178498
482.000000, 0.181269
481.000000, 0.182362
480.000000, 0.180594
479.000000, 0.176321
478.000000, 0.170795
477.000000, 0.166644
476.000000, 0.160858
475.000000, 0.155285
474.000000, 0.148784
473.000000, 0.143241
472.000000, 0.138253
471.000000, 0.133166
470.000000, 0.129292
469.000000, 0.124784
468.000000, 0.121220
467.000000, 0.118126
466.000000, 0.115406
465.000000, 0.112944
464.000000, 0.110989
463.000000, 0.108105
462.000000, 0.106937
461.000000, 0.105191
460.000000, 0.102413
459.000000, 0.101263
458.000000, 0.100477
457.000000, 0.099163
456.000000, 0.098375
455.000000, 0.098956
454.000000, 0.098836
