nm, A
800.000000, -0.000457
799.000000, -0.001398
798.000000, -0.001462
797.000000, -0.001094
796.000000, -0.000770
795.000000, 0.000689
794.000000, -0.000837
793.000000, -0.000582
792.000000, -0.000028
791.000000, -0.001537
790.000000, -0.000809
789.000000, 0.000320
788.000000, -0.001607
787.000000, -0.000431
786.000000, 0.000316
785.000000, -0.000591
784.000000, -0.000448
783.000000, -0.000803
782.000000, -0.000630
781.000000, -0.000210
780.000000, -0.000272
779.000000, -0.001463
778.000000, 0.000198
777.000000, 0.001627
776.000000, -0.000549
775.000000, 0.000571
774.000000, -0.000827
773.000000, -0.000617
772.000000, 0.000127
771.000000, -0.000456
770.000000, -0.000495
769.000000, -0.001239
768.000000, -0.000839
767.000000, 0.000127
766.000000, -0.001903
765.000000, -0.000575
764.000000, -0.000025
763.000000, 0.000379
762.000000, -0.000494
761.000000, -0.001082
760.000000, -0.000784
759.000000, 0.000753
758.000000, -0.000159
757.000000, -0.001428
756.000000, -0.000359
755.000000, -0.000861
754.000000, 0.000024
753.000000, -0.001762
752.000000, -0.001838
751.000000, -0.001269
750.000000, -0.000024
749.000000, -0.001410
748.000000, -0.001602
747.000000, -0.000757
746.000000, -0.000682
745.000000, -0.001432
744.000000, -0.000544
743.000000, -0.001452
742.000000, -0.001700
741.000000, -0.000945
740.000000, 0.000139
739.000000, -0.000278
738.000000, -0.000547
737.000000, -0.001081
736.000000, -0.000266
735.000000, 0.000050
734.000000, -0.000109
733.000000, -0.001131
732.000000, -0.001188
731.000000, -0.001032
730.000000, -0.001029
729.000000, -0.000915
728.000000, -0.000380
727.000000, -0.000037
726.000000, 0.000553
725.000000, 0.000125
724.000000, -0.000896
723.000000, -0.001098
722.000000, -0.000990
721.000000, 0.000035
720.000000, 0.000425
719.000000, -0.000434
718.000000, 0.000065
717.000000, -0.000984
716.000000, -0.001411
715.000000, -0.001996
714.000000, -0.001284
713.000000, -0.000496
712.000000, -0.000523
711.000000, -0.001253
710.000000, -0.001096
709.000000, -0.001182
708.000000, -0.000365
707.000000, 0.000042
706.000000, 0.000467
705.000000, -0.000739
