nm, A
800.000000, -0.000946
799.000000, -0.001664
798.000000, -0.002719
797.000000, -0.002651
796.000000, -0.001083
795.000000, -0.000435
794.000000, -0.001548
793.000000, -0.001777
792.000000, 0.000029
791.000000, -0.000346
790.000000, -0.000441
789.000000, -0.000826
788.000000, -0.001436
787.000000, -0.000989
786.000000, -0.000977
785.000000, -0.000821
784.000000, -0.001755
783.000000, -0.000917
782.000000, -0.001814
781.000000, -0.000800
780.000000, -0.001865
779.000000, -0.001493
778.000000, -0.001214
777.000000, -0.001187
776.000000, -0.001438
775.000000, -0.000509
774.000000, -0.001397
773.000000, -0.001630
772.000000, -0.000934
771.000000, -0.001562
770.000000, -0.001664
769.000000, -0.001265
768.000000, -0.000170
767.000000, -0.001003
766.000000, -0.001125
765.000000, -0.000426
764.000000, -0.000516
763.000000, -0.000626
762.000000, -0.001468
761.000000, -0.002223
760.000000, -0.001389
759.000000, -0.000658
758.000000, -0.000995
757.000000, -0.001369
756.000000, -0.002252
755.000000, -0.001648
754.000000, -0.001042
753.000000, -0.002781
752.000000, -0.002739
751.000000, -0.001330
750.000000, -0.000925
749.000000, -0.002137
748.000000, -0.002118
747.000000, -0.001118
746.000000, -0.001033
745.000000, -0.001133
744.000000, -0.001375
743.000000, -0.001609
742.000000, -0.001620
741.000000, -0.001820
740.000000, -0.000841
739.000000, -0.001898
738.000000, -0.002175
737.000000, -0.001013
736.000000, -0.000207
735.000000, -0.000259
734.000000, -0.000409
733.000000, -0.001867
732.000000, -0.001328
731.000000, -0.001659
730.000000, -0.001341
729.000000, -0.001015
728.000000, -0.000592
727.000000, -0.001131
726.000000, -0.000424
725.000000, -0.001178
724.000000, -0.001730
723.000000, -0.001346
722.000000, -0.001474
721.000000, -0.001391
720.000000, -0.000873
719.000000, -0.000886
718.000000, 0.000122
717.000000, -0.001469
716.000000, -0.001761
715.000000, -0.002020
714.000000, -0.001018
713.000000, -0.000921
712.000000, -0.000503
711.000000, -0.001122
710.000000, -0.002247
709.000000, -0.002154
708.000000, -0.000840
707.000000, -0.000249
706.000000, 0.000353
705.000000, -0.000693
704.000000, -0.001140
703.000000, -0.000818
702.000000, -0.001083
701.000000, -0.001687
700.000000, -0.002303
699.000000, -0.002436
698.000000, -0.001746
697.000000, -0.002122
696.000000, -0.001724
695.000000, -0.001173
694.000000, -0.001994
693.000000, -0.001993
692.000000, -0.000300
691.000000, -0.000463
690.000000, -0.001189
689.000000, -0.001451
688.000000, -0.002135
687.000000, -0.002197
686.000000, -0.001699
685.000000, -0.001786
684.000000, -0.001944
683.000000, -0.001268
682.000000, -0.001253
681.000000, -0.001456
680.000000, -0.001050
679.000000, -0.001423
678.000000, -0.001919
677.000000, -0.001808
676.000000, -0.001250
675.000000, -0.000511
674.000000, -0.000733
673.000000, -0.001256
672.000000, -0.002313
671.000000, -0.002199
670.000000, -0.001063
669.000000, -0.001986
668.000000, -0.002073
667.000000, -0.001549
666.000000, -0.001388
665.000000, -0.001680
664.000000, -0.001359
663.000000, -0.001147
662.000000, -0.001331
661.000000, -0.001837
660.000000, -0.001818
659.000000, -0.001330
658.000000, -0.001430
657.000000, -0.001641
656.000000, -0.001577
655.000000, -0.001800
654.000000, -0.002248
653.000000, -0.001227
652.000000, -0.000499
651.000000, -0.000898
650.000000, -0.001302
649.000000, -0.001309
648.000000, -0.001201
647.000000, -0.001424
646.000000, -0.001552
645.000000, -0.002009
644.000000, -0.002454
643.000000, -0.001623
642.000000, -0.002107
641.000000, -0.001944
640.000000, -0.001102
639.000000, -0.000581
638.000000, -0.000603
637.000000, -0.000517
636.000000, -0.001661
635.000000, -0.001210
634.000000, -0.000866
633.000000, -0.001177
632.000000, -0.000923
631.000000, -0.001523
630.000000, -0.001966
629.000000, -0.002526
628.000000, -0.001825
627.000000, -0.000662
626.000000, -0.001025
625.000000, -0.000985
624.000000, -0.000842
623.000000, -0.002100
622.000000, -0.002004
621.000000, -0.001139
620.000000, -0.001322
619.000000, -0.000974
618.000000, -0.000279
617.000000, -0.001059
616.000000, -0.000373
615.000000, -0.000381
614.000000, -0.000506
613.000000, -0.001087
612.000000, -0.001686
611.000000, -0.001964
610.000000, -0.001853
609.000000, -0.000553
608.000000, -0.001421
607.000000, -0.001745
606.000000, -0.001445
605.000000, -0.002036
604.000000, -0.000749
603.000000, -0.001584
602.000000, -0.002517
601.000000, -0.001459
600.000000, -0.001040
599.000000, -0.000504
598.000000, -0.002242
597.000000, -0.001723
596.000000, -0.000389
595.000000, -0.000594
594.000000, -0.001156
593.000000, -0.001333
592.000000, -0.001904
591.000000, -0.001507
590.000000, -0.000339
589.000000, -0.000853
588.000000, -0.000953
587.000000, -0.000778
586.000000, -0.000830
585.000000, -0.000293
584.000000, -0.001369
583.000000, -0.001230
582.000000, -0.001186
581.000000, -0.001183
580.000000, -0.001625
579.000000, -0.000873
578.000000, -0.000464
577.000000, 0.000008
576.000000, -0.000638
575.000000, -0.001011
574.000000, -0.000463
573.000000, -0.001529
572.000000, -0.000730
571.000000, -0.001161
570.000000, -0.000981
569.000000, -0.000607
568.000000, -0.000420
567.000000, -0.000827
566.000000, 0.000011
565.000000, -0.000509
564.000000, -0.000750
563.000000, -0.000847
562.000000, -0.000076
561.000000, -0.000872
560.000000, -0.000740
559.000000, -0.000125
558.000000, -0.000594
557.000000, -0.001352
556.000000, 0.000113
555.000000, -0.001137
554.000000, -0.000234
553.000000, -0.000606
552.000000, -0.001137
551.000000, 0.000815
550.000000, -0.000143
549.000000, 0.000223
548.000000, 0.000252
547.000000, -0.000244
546.000000, -0.000078
545.000000, -0.000808
544.000000, 0.000449
543.000000, 0.000172
542.000000, 0.001265
541.000000, -0.000019
540.000000, 0.000821
539.000000, -0.000517
538.000000, 0.000322
537.000000, -0.000103
536.000000, 0.001073
535.000000, -0.000164
534.000000, 0.000070
533.000000, 0.000918
532.000000, 0.000065
531.000000, 0.000884
530.000000, 0.000137
529.000000, 0.001380
528.000000, 0.000205
527.000000, -0.000208
526.000000, 0.001486
525.000000, 0.001262
524.000000, 0.001535
523.000000, 0.002738
522.000000, 0.002751
521.000000, 0.003691
520.000000, 0.005702
519.000000, 0.009826
518.000000, 0.014378
517.000000, 0.023205
516.000000, 0.035747
515.000000, 0.052270
514.000000, 0.073715
513.000000, 0.094558
512.000000, 0.109792
511.000000, 0.114376
510.000000, 0.109205
509.000000, 0.099736
508.000000, 0.088834
507.000000, 0.079217
506.000000, 0.067893
505.000000, 0.061044
504.000000, 0.057034
503.000000, 0.051470
502.000000, 0.048020
501.000000, 0.047375
500.000000, 0.045828
499.000000, 0.043483
498.000000, 0.043392
497.000000, 0.043009
496.000000, 0.043200
495.000000, 0.043940
494.000000, 0.045164
493.000000, 0.046024
492.000000, 0.046587
491.000000, 0.048570
490.000000, 0.051802
489.000000, 0.054267
488.000000, 0.057018
487.000000, 0.061780
486.000000, 0.065565
485.000000, 0.069467
484.000000, 0.072441
483.000000, 0.075130
482.000000, 0.076268
481.000000, 0.077170
480.000000, 0.077576
479.000000, 0.075385
478.000000, 0.073861
477.000000, 0.071943
476.000000, 0.070064
475.000000, 0.067796
474.000000, 0.065729
473.000000, 0.062969
472.000000, 0.059755
471.000000, 0.057809
470.000000, 0.055736
469.000000, 0.054614
468.000000, 0.053526
467.000000, 0.051476
466.000000, 0.050225
465.000000, 0.048752
464.000000, 0.048044
463.000000, 0.046401
462.000000, 0.046370
461.000000, 0.045747
460.000000, 0.045091
459.000000, 0.043568
458.000000, 0.043599
457.000000, 0.044629
456.000000, 0.044346
455.000000, 0.042256
454.000000, 0.041770
453.000000, 0.042506
452.000000, 0.042089
451.000000, 0.041797
450.000000, 0.042096
449.000000, 0.041808
448.000000, 0.041825
447.000000, 0.042095
446.000000, 0.042206
445.000000, 0.042391
444.000000, 0.044281
443.000000, 0.044342
442.000000, 0.044042
441.000000, 0.044443
440.000000, 0.045768
439.000000, 0.047876
438.000000, 0.049897
437.000000, 0.050165
436.000000, 0.049758
435.000000, 0.051344
434.000000, 0.053795
433.000000, 0.054993
432.000000, 0.055122
431.000000, 0.055442
430.000000, 0.057158
429.000000, 0.058838
428.000000, 0.059426
427.000000, 0.060269
426.000000, 0.060389
425.000000, 0.059429
424.000000, 0.060417
423.000000, 0.061362
422.000000, 0.060540
421.000000, 0.060370
420.000000, 0.060316
419.000000, 0.060179
418.000000, 0.059640
417.000000, 0.059866
416.000000, 0.060220
415.000000, 0.060178
414.000000, 0.060174
413.000000, 0.059881
412.000000, 0.059908
411.000000, 0.059944
410.000000, 0.059943
409.000000, 0.059805
408.000000, 0.059692
407.000000, 0.059358
406.000000, 0.059747
405.000000, 0.060424
404.000000, 0.059902
403.000000, 0.060130
402.000000, 0.060452
401.000000, 0.059592
400.000000, 0.059344
399.000000, 0.059517
398.000000, 0.059613
397.000000, 0.060569
396.000000, 0.059719
395.000000, 0.059318
394.000000, 0.058973
393.000000, 0.060321
392.000000, 0.060469
391.000000, 0.059875
390.000000, 0.060143
389.000000, 0.060004
388.000000, 0.059249
387.000000, 0.059389
386.000000, 0.060250
385.000000, 0.060377
384.000000, 0.059715
383.000000, 0.060466
382.000000, 0.061186
381.000000, 0.060033
380.000000, 0.059680
379.000000, 0.059875
378.000000, 0.060669
377.000000, 0.061304
376.000000, 0.061543
375.000000, 0.060608
374.000000, 0.061029
373.000000, 0.061379
372.000000, 0.060813
371.000000, 0.061441
370.000000, 0.061143
369.000000, 0.061916
368.000000, 0.062338
367.000000, 0.062560
366.000000, 0.062742
365.000000, 0.063280
364.000000, 0.062897
363.000000, 0.064323
362.000000, 0.064374
361.000000, 0.063486
360.000000, 0.064376
359.000000, 0.065260
358.000000, 0.064732
357.000000, 0.066764
356.000000, 0.067055
355.000000, 0.066893
354.000000, 0.067793
353.000000, 0.068758
352.000000, 0.069757
351.000000, 0.068499
350.000000, 0.069269
349.000000, 0.072420
348.000000, 0.073254
347.000000, 0.075333
346.000000, 0.076509
345.000000, 0.079221
344.000000, 0.079804
343.000000, 0.081417
342.000000, 0.084642
341.000000, 0.084856
340.000000, 0.086396
339.000000, 0.087792
338.000000, 0.089466
337.000000, 0.092956
336.000000, 0.095777
335.000000, 0.096497
334.000000, 0.098489
333.000000, 0.100500
332.000000, 0.104104
331.000000, 0.107320
330.000000, 0.110039
329.000000, 0.114231
328.000000, 0.116463
327.000000, 0.120159
326.000000, 0.125836
325.000000, 0.129686
324.000000, 0.135369
323.000000, 0.139803
322.000000, 0.144686
321.000000, 0.150246
320.000000, 0.153448
319.000000, 0.156353
318.000000, 0.159670
317.000000, 0.162641
316.000000, 0.164178
315.000000, 0.164995
314.000000, 0.167814
313.000000, 0.168642
312.000000, 0.172540
311.000000, 0.175174
310.000000, 0.176553
309.000000, 0.179985
308.000000, 0.181517
307.000000, 0.184187
306.000000, 0.187441
305.000000, 0.190191
304.000000, 0.192407
303.000000, 0.194364
302.000000, 0.196298
301.000000, 0.198468
300.000000, 0.200794
