nm, A
800.000000, 0.034846
799.000000, 0.034262
798.000000, 0.034048
797.000000, 0.033991
796.000000, 0.033925
795.000000, 0.033597
794.000000, 0.035093
793.000000, 0.034796
792.000000, 0.034431
791.000000, 0.034776
790.000000, 0.033327
789.000000, 0.035416
788.000000, 0.033756
787.000000, 0.034100
786.000000, 0.033967
785.000000, 0.035024
784.000000, 0.034238
783.000000, 0.034130
782.000000, 0.033600
781.000000, 0.034893
780.000000, 0.033979
779.000000, 0.034295
778.000000, 0.035203
777.000000, 0.035960
776.000000, 0.034750
775.000000, 0.034660
774.000000, 0.034930
773.000000, 0.036203
772.000000, 0.036094
771.000000, 0.034911
770.000000, 0.035961
769.000000, 0.036350
768.000000, 0.036904
767.000000, 0.037121
766.000000, 0.038011
765.000000, 0.038038
764.000000, 0.038539
763.000000, 0.039340
762.000000, 0.039992
761.000000, 0.039368
760.000000, 0.038965
759.000000, 0.039875
758.000000, 0.039572
757.000000, 0.040058
756.000000, 0.040156
755.000000, 0.039608
754.000000, 0.039679
753.000000, 0.040093
752.000000, 0.040688
751.000000, 0.041073
750.000000, 0.040824
749.000000, 0.040895
748.000000, 0.041910
747.000000, 0.041526
746.000000, 0.042271
745.000000, 0.041702
744.000000, 0.041758
743.000000, 0.040420
742.000000, 0.040326
741.000000, 0.040363
740.000000, 0.040293
739.000000, 0.039894
738.000000, 0.039377
737.000000, 0.039269
736.000000, 0.038790
735.000000, 0.038252
734.000000, 0.038375
733.000000, 0.038521
732.000000, 0.038312
731.000000, 0.038608
730.000000, 0.038362
729.000000, 0.037579
728.000000, 0.038512
727.000000, 0.038603
726.000000, 0.038517
725.000000, 0.039232
724.000000, 0.038801
723.000000, 0.038215
722.000000, 0.037939
721.000000, 0.038081
720.000000, 0.039144
719.000000, 0.039466
718.000000, 0.038649
717.000000, 0.038446
716.000000, 0.038692
715.000000, 0.039189
714.000000, 0.039058
713.000000, 0.039243
712.000000, 0.039657
711.000000, 0.039564
710.000000, 0.039357
709.000000, 0.038972
708.000000, 0.038916
707.000000, 0.038898
706.000000, 0.038506
705.000000, 0.038235
704.000000, 0.039275
703.000000, 0.039596
702.000000, 0.039390
701.000000, 0.039054
700.000000, 0.039349
699.000000, 0.039674
698.000000, 0.039258
697.000000, 0.039519
696.000000, 0.039237
695.000000, 0.039284
694.000000, 0.039452
693.000000, 0.039066
692.000000, 0.039149
691.000000, 0.039405
690.000000, 0.039740
689.000000, 0.040146
688.000000, 0.039764
687.000000, 0.039213
686.000000, 0.039008
685.000000, 0.038926
684.000000, 0.039255
683.000000, 0.039791
682.000000, 0.039573
681.000000, 0.038590
680.000000, 0.038917
679.000000, 0.039504
678.000000, 0.038795
677.000000, 0.038890
676.000000, 0.039182
675.000000, 0.039301
674.000000, 0.039492
673.000000, 0.038841
672.000000, 0.037866
671.000000, 0.038685
670.000000, 0.039639
669.000000, 0.039082
668.000000, 0.039062
667.000000, 0.038670
666.000000, 0.038365
665.000000, 0.038145
664.000000, 0.038685
663.000000, 0.038740
662.000000, 0.038653
661.000000, 0.039326
660.000000, 0.038822
659.000000, 0.038014
658.000000, 0.037593
657.000000, 0.037792
656.000000, 0.038339
655.000000, 0.038347
654.000000, 0.037842
653.000000, 0.037560
652.000000, 0.037990
651.000000, 0.038196
650.000000, 0.038680
649.000000, 0.038051
648.000000, 0.037417
647.000000, 0.037958
646.000000, 0.038115
645.000000, 0.038001
644.000000, 0.038660
643.000000, 0.038215
642.000000, 0.037909
641.000000, 0.037742
640.000000, 0.037639
639.000000, 0.037692
638.000000, 0.037171
637.000000, 0.037092
636.000000, 0.036591
635.000000, 0.036636
634.000000, 0.037443
633.000000, 0.037469
632.000000, 0.037116
631.000000, 0.036601
630.000000, 0.035655
629.000000, 0.036323
628.000000, 0.036702
627.000000, 0.036694
626.000000, 0.036042
625.000000, 0.035204
624.000000, 0.035435
623.000000, 0.035507
622.000000, 0.035489
621.000000, 0.035212
620.000000, 0.035260
619.000000, 0.035592
618.000000, 0.035342
617.000000, 0.034985
616.000000, 0.034204
615.000000, 0.033430
