nm, A
800.000000, 0.001303
799.000000, 0.000989
798.000000, 0.001729
797.000000, 0.001903
796.000000, 0.001281
795.000000, 0.003447
794.000000, 0.000990
793.000000, 0.001183
792.000000, 0.002149
791.000000, 0.001347
790.000000, 0.002716
789.000000, 0.001804
788.000000, 0.002582
787.000000, 0.001185
786.000000, 0.001097
785.000000, 0.002177
784.000000, 0.002000
783.000000, 0.001688
782.000000, 0.002547
781.000000, 0.001589
780.000000, 0.002917
779.000000, 0.002462
778.000000, 0.001488
777.000000, 0.000365
776.000000, 0.001912
775.000000, 0.002673
774.000000, 0.002219
773.000000, 0.001185
772.000000, 0.001209
771.000000, 0.003364
770.000000, 0.002026
769.000000, 0.002199
768.000000, 0.001991
767.000000, 0.003010
766.000000, 0.001993
765.000000, 0.002479
764.000000, 0.002426
763.000000, 0.002015
762.000000, 0.001593
761.000000, 0.001249
760.000000, 0.001929
759.000000, 0.001753
758.000000, 0.002609
757.000000, 0.001778
756.000000, 0.001077
755.000000, 0.001030
754.000000, 0.001694
753.000000, 0.002388
752.000000, 0.001825
751.000000, 0.001710
750.000000, 0.002236
749.000000, 0.001877
748.000000, 0.000937
747.000000, 0.001107
746.000000, 0.001596
745.000000, 0.001596
744.000000, 0.001355
743.000000, 0.002375
742.000000, 0.002025
741.000000, 0.001792
740.000000, 0.002286
739.000000, 0.001088
738.000000, 0.001267
737.000000, 0.001715
736.000000, 0.002520
735.000000, 0.002706
734.000000, 0.002305
733.000000, 0.002676
732.000000, 0.002760
731.000000, 0.001699
730.000000, 0.001434
729.000000, 0.003365
728.000000, 0.002530
727.000000, 0.001852
726.000000, 0.001144
725.000000, 0.000927
724.000000, 0.000736
723.000000, 0.002374
722.000000, 0.003147
721.000000, 0.002021
720.000000, 0.001168
719.000000, 0.001229
718.000000, 0.002178
717.000000, 0.002633
716.000000, 0.002137
715.000000, 0.001259
714.000000, 0.002117
713.000000, 0.001867
712.000000, 0.000169
711.000000, -0.000075
710.000000, 0.001225
709.000000, 0.002364
708.000000, 0.002138
707.000000, 0.002069
706.000000, 0.001726
705.000000, 0.002132
704.000000, 0.001498
703.000000, 0.001639
702.000000, 0.001961
701.000000, 0.001984
700.000000, 0.001637
699.000000, 0.001316
698.000000, 0.001250
697.000000, 0.001069
696.000000, 0.002176
695.000000, 0.002857
694.000000, 0.002402
693.000000, 0.001705
692.000000, 0.001775
691.000000, 0.002268
690.000000, 0.001948
689.000000, 0.001141
688.000000, 0.001406
687.000000, 0.001589
686.000000, 0.001620
685.000000, 0.002191
684.000000, 0.001594
683.000000, 0.001209
682.000000, 0.002271
681.000000, 0.002839
680.000000, 0.002486
679.000000, 0.001929
678.000000, 0.002176
677.000000, 0.002150
676.000000, 0.001702
675.000000, 0.001615
674.000000, 0.001232
673.000000, 0.001500
672.000000, 0.002578
671.000000, 0.001931
670.000000, 0.001198
669.000000, 0.001794
668.000000, 0.001999
667.000000, 0.002710
666.000000, 0.002496
665.000000, 0.002898
664.000000, 0.002942
663.000000, 0.002087
662.000000, 0.001889
661.000000, 0.001395
660.000000, 0.001533
659.000000, 0.002607
658.000000, 0.003407
657.000000, 0.003009
656.000000, 0.002154
655.000000, 0.001568
654.000000, 0.002121
653.000000, 0.002530
652.000000, 0.002429
651.000000, 0.002139
650.000000, 0.001393
649.000000, 0.001909
648.000000, 0.001992
647.000000, 0.002086
646.000000, 0.002248
645.000000, 0.002105
644.000000, 0.001305
643.000000, 0.001264
642.000000, 0.002065
641.000000, 0.001953
640.000000, 0.001946
639.000000, 0.001763
638.000000, 0.002316
637.000000, 0.002139
636.000000, 0.002966
635.000000, 0.003031
634.000000, 0.001564
633.000000, 0.001319
632.000000, 0.001950
631.000000, 0.001879
630.000000, 0.002717
629.000000, 0.001823
628.000000, 0.001443
627.000000, 0.000955
626.000000, 0.002132
625.000000, 0.002553
624.000000, 0.002253
623.000000, 0.001672
622.000000, 0.001646
621.000000, 0.001771
620.000000, 0.001386
619.000000, 0.001799
618.000000, 0.002356
617.000000, 0.001364
616.000000, 0.002589
615.000000, 0.004379
614.000000, 0.003289
613.000000, 0.001829
612.000000, 0.001259
611.000000, 0.002406
610.000000, 0.002807
609.000000, 0.002193
608.000000, 0.002492
607.000000, 0.002493
606.000000, 0.002117
605.000000, 0.001654
604.000000, 0.002052
603.000000, 0.003211
602.000000, 0.003163
601.000000, 0.002178
600.000000, 0.001825
599.000000, 0.002076
598.000000, 0.001980
597.000000, 0.002947
596.000000, 0.002884
595.000000, 0.002735
594.000000, 0.002586
593.000000, 0.002334
592.000000, 0.002356
591.000000, 0.002807
590.000000, 0.004010
589.000000, 0.003276
588.000000, 0.002938
587.000000, 0.002561
586.000000, 0.002198
585.000000, 0.002699
584.000000, 0.003178
583.000000, 0.002290
582.000000, 0.002331
581.000000, 0.002298
580.000000, 0.003422
579.000000, 0.001629
578.000000, 0.001438
577.000000, 0.003185
576.000000, 0.002598
575.000000, 0.002618
574.000000, 0.002519
573.000000, 0.003014
572.000000, 0.002850
571.000000, 0.003406
570.000000, 0.002814
569.000000, 0.002532
568.000000, 0.003635
567.000000, 0.003716
566.000000, 0.002982
565.000000, 0.003362
564.000000, 0.002137
563.000000, 0.004184
562.000000, 0.004678
561.000000, 0.003198
560.000000, 0.004354
559.000000, 0.004243
558.000000, 0.004187
557.000000, 0.004465
556.000000, 0.004393
555.000000, 0.005985
554.000000, 0.006322
553.000000, 0.007253
552.000000, 0.006351
551.000000, 0.007753
550.000000, 0.007486
549.000000, 0.008423
548.000000, 0.009654
547.000000, 0.011381
546.000000, 0.011421
545.000000, 0.012579
544.000000, 0.012762
543.000000, 0.014634
542.000000, 0.015470
541.000000, 0.016876
540.000000, 0.017841
539.000000, 0.020541
538.000000, 0.021893
537.000000, 0.022319
536.000000, 0.024980
535.000000, 0.026022
534.000000, 0.027031
533.000000, 0.028791
532.000000, 0.029735
531.000000, 0.032158
530.000000, 0.033833
529.000000, 0.034499
528.000000, 0.035350
527.000000, 0.034802
526.000000, 0.035830
525.000000, 0.037240
524.000000, 0.037610
523.000000, 0.038403
522.000000, 0.038090
521.000000, 0.038734
520.000000, 0.038776
519.000000, 0.039530
518.000000, 0.040007
517.000000, 0.042558
516.000000, 0.042991
515.000000, 0.045575
514.000000, 0.044611
513.000000, 0.044541
512.000000, 0.045035
511.000000, 0.043718
510.000000, 0.041220
509.000000, 0.040497
508.000000, 0.037458
507.000000, 0.037329
506.000000, 0.036465
505.000000, 0.034472
504.000000, 0.033741
503.000000, 0.033460
502.000000, 0.032110
501.000000, 0.031677
500.000000, 0.030753
499.000000, 0.031187
498.000000, 0.029917
497.000000, 0.030189
496.000000, 0.030738
495.000000, 0.030620
494.000000, 0.030243
493.000000, 0.031238
492.000000, 0.032157
491.000000, 0.031696
490.000000, 0.032642
489.000000, 0.034132
488.000000, 0.034390
487.000000, 0.034704
486.000000, 0.036160
485.000000, 0.035357
484.000000, 0.036642
483.000000, 0.036948
482.000000, 0.037439
481.000000, 0.037216
480.000000, 0.037668
479.000000, 0.037735
478.000000, 0.038359
477.000000, 0.038043
476.000000, 0.038233
475.000000, 0.038124
474.000000, 0.038050
473.000000, 0.038166
472.000000, 0.037499
471.000000, 0.036858
470.000000, 0.037305
469.000000, 0.038389
468.000000, 0.038615
467.000000, 0.037280
466.000000, 0.037101
465.000000, 0.037613
464.000000, 0.037213
463.000000, 0.038419
462.000000, 0.039133
461.000000, 0.038722
460.000000, 0.038884
459.000000, 0.039069
458.000000, 0.038116
457.000000, 0.038735
456.000000, 0.039362
455.000000, 0.039624
454.000000, 0.040555
453.000000, 0.040264
452.000000, 0.041574
451.000000, 0.042695
450.000000, 0.043721
449.000000, 0.044108
448.000000, 0.044353
447.000000, 0.045602
446.000000, 0.046986
445.000000, 0.048347
444.000000, 0.049906
443.000000, 0.049536
442.000000, 0.050184
441.000000, 0.052539
440.000000, 0.054389
439.000000, 0.055520
438.000000, 0.055315
437.000000, 0.055418
436.000000, 0.057064
435.000000, 0.058394
434.000000, 0.058971
433.000000, 0.059475
432.000000, 0.060185
431.000000, 0.060189
430.000000, 0.061038
429.000000, 0.062903
428.000000, 0.062630
427.000000, 0.062233
426.000000, 0.061844
425.000000, 0.061988
424.000000, 0.061960
423.000000, 0.062138
422.000000, 0.062803
421.000000, 0.062701
420.000000, 0.062500
419.000000, 0.063092
418.000000, 0.062782
417.000000, 0.063141
416.000000, 0.062192
415.000000, 0.061120
414.000000, 0.061740
413.000000, 0.062706
412.000000, 0.063049
411.000000, 0.062930
410.000000, 0.062475
409.000000, 0.062360
408.000000, 0.062145
407.000000, 0.061705
406.000000, 0.062513
405.000000, 0.063237
404.000000, 0.063572
403.000000, 0.062216
402.000000, 0.062029
401.000000, 0.062316
400.000000, 0.062378
399.000000, 0.062992
398.000000, 0.063119
397.000000, 0.064043
396.000000, 0.064165
395.000000, 0.063566
394.000000, 0.064660
393.000000, 0.065581
392.000000, 0.065962
391.000000, 0.066432
390.000000, 0.066248
389.000000, 0.066504
388.000000, 0.066907
387.000000, 0.067572
386.000000, 0.069082
385.000000, 0.069196
384.000000, 0.070027
383.000000, 0.071018
382.000000, 0.071455
381.000000, 0.072743
380.000000, 0.072726
379.000000, 0.072761
378.000000, 0.074204
377.000000, 0.075698
376.000000, 0.076481
375.000000, 0.077211
374.000000, 0.077096
373.000000, 0.077984
372.000000, 0.079486
371.000000, 0.080068
370.000000, 0.080717
369.000000, 0.081777
368.000000, 0.082222
367.000000, 0.083213
366.000000, 0.084733
365.000000, 0.086429
364.000000, 0.086042
363.000000, 0.086653
362.000000, 0.087229
361.000000, 0.088321
360.000000, 0.088509
359.000000, 0.090098
358.000000, 0.090434
357.000000, 0.092349
356.000000, 0.093082
355.000000, 0.092825
354.000000, 0.092313
353.000000, 0.094346
352.000000, 0.094447
351.000000, 0.094904
350.000000, 0.095185
349.000000, 0.095587
348.000000, 0.096059
347.000000, 0.098699
346.000000, 0.098792
345.000000, 0.099955
344.000000, 0.100413
343.000000, 0.100480
342.000000, 0.102347
341.000000, 0.102452
340.000000, 0.104002
339.000000, 0.106496
338.000000, 0.107202
337.000000, 0.107943
336.000000, 0.108485
335.000000, 0.110058
334.000000, 0.111181
333.000000, 0.112196
332.000000, 0.113658
331.000000, 0.113806
330.000000, 0.116903
329.000000, 0.116782
328.000000, 0.118213
327.000000, 0.120651
326.000000, 0.122025
325.000000, 0.122967
324.000000, 0.124952
323.000000, 0.126467
322.000000, 0.128218
321.000000, 0.131221
320.000000, 0.131852
319.000000, 0.134851
318.000000, 0.135707
317.000000, 0.137406
316.000000, 0.138937
315.000000, 0.140700
314.000000, 0.144047
313.000000, 0.146341
312.000000, 0.148736
311.000000, 0.151350
310.000000, 0.152973
309.000000, 0.154043
308.000000, 0.156738
307.000000, 0.159265
306.000000, 0.161929
305.000000, 0.164552
304.000000, 0.167254
303.000000, 0.170597
302.000000, 0.173354
301.000000, 0.175101
300.000000, 0.180260
