nm, A
800.000000, -0.002237
799.000000, -0.001546
798.000000, -0.000915
797.000000, -0.001031
796.000000, -0.001287
795.000000, -0.000983
794.000000, -0.003003
793.000000, -0.002628
792.000000, -0.002849
791.000000, -0.002655
790.000000, -0.000301
789.000000, -0.002725
788.000000, -0.001545
787.000000, -0.002472
786.000000, -0.001743
785.000000, -0.003062
784.000000, -0.001467
783.000000, -0.001900
782.000000, -0.001134
781.000000, -0.002071
780.000000, -0.001302
779.000000, -0.001298
778.000000, -0.002339
777.000000, -0.002192
776.000000, -0.001151
775.000000, -0.001908
774.000000, -0.002032
773.000000, -0.002557
772.000000, -0.002792
771.000000, -0.001264
770.000000, -0.001877
769.000000, -0.001533
768.000000, -0.002104
767.000000, -0.000676
766.000000, -0.000932
765.000000, -0.000936
764.000000, -0.001794
763.000000, -0.002488
762.000000, -0.002877
761.000000, -0.001433
760.000000, -0.000930
759.000000, -0.002558
758.000000, -0.002082
757.000000, -0.002937
756.000000, -0.002880
755.000000, -0.002546
754.000000, -0.001538
753.000000, -0.001538
752.000000, -0.002364
751.000000, -0.002202
750.000000, -0.001186
749.000000, -0.001652
748.000000, -0.001823
747.000000, -0.001543
746.000000, -0.002420
745.000000, -0.002052
744.000000, -0.002126
743.000000, -0.000863
742.000000, -0.001467
741.000000, -0.002050
740.000000, -0.001935
739.000000, -0.002224
738.000000, -0.001451
737.000000, -0.001360
736.000000, -0.001298
735.000000, -0.001505
734.000000, -0.000746
733.000000, -0.001152
732.000000, -0.001224
731.000000, -0.002316
730.000000, -0.003273
729.000000, -0.002227
728.000000, -0.001858
727.000000, -0.001918
726.000000, -0.001851
725.000000, -0.002736
724.000000, -0.002394
723.000000, -0.002108
722.000000, -0.001193
721.000000, -0.000987
720.000000, -0.002245
719.000000, -0.002484
718.000000, -0.000498
717.000000, -0.000756
716.000000, -0.001036
715.000000, -0.001161
714.000000, -0.000803
713.000000, -0.001222
712.000000, -0.002331
711.000000, -0.002518
710.000000, -0.002088
709.000000, -0.001080
708.000000, -0.001085
707.000000, -0.001362
706.000000, -0.000844
705.000000, -0.000682
704.000000, -0.001903
703.000000, -0.002364
702.000000, -0.001942
701.000000, -0.001416
700.000000, -0.001759
699.000000, -0.001858
698.000000, -0.002047
697.000000, -0.002515
696.000000, -0.000988
695.000000, -0.001080
694.000000, -0.001609
693.000000, -0.001119
692.000000, -0.001270
691.000000, -0.001650
690.000000, -0.001368
689.000000, -0.001912
688.000000, -0.002429
687.000000, -0.001792
686.000000, -0.001472
685.000000, -0.001122
684.000000, -0.001394
683.000000, -0.002376
682.000000, -0.001919
681.000000, -0.001115
680.000000, -0.001233
679.000000, -0.001880
678.000000, -0.002057
677.000000, -0.002194
676.000000, -0.002045
675.000000, -0.002041
674.000000, -0.002367
673.000000, -0.002048
672.000000, -0.000974
671.000000, -0.001302
670.000000, -0.001730
669.000000, -0.001996
668.000000, -0.002405
667.000000, -0.001850
666.000000, -0.001445
665.000000, -0.000769
664.000000, -0.001394
663.000000, -0.001812
662.000000, -0.001720
661.000000, -0.001921
660.000000, -0.001295
659.000000, -0.000509
658.000000, -0.000378
657.000000, -0.000602
656.000000, -0.001309
655.000000, -0.001461
654.000000, -0.000676
653.000000, -0.001007
652.000000, -0.002045
651.000000, -0.001356
650.000000, -0.001380
649.000000, -0.001228
648.000000, -0.000640
647.000000, -0.001136
646.000000, -0.001073
645.000000, -0.001962
644.000000, -0.002588
643.000000, -0.001234
642.000000, -0.001227
641.000000, -0.001470
640.000000, -0.001772
639.000000, -0.001454
638.000000, -0.001013
637.000000, -0.000811
636.000000, -0.000182
635.000000, -0.001004
634.000000, -0.001890
633.000000, -0.001743
632.000000, -0.001887
631.000000, -0.001169
630.000000, -0.000291
629.000000, -0.001977
628.000000, -0.002123
627.000000, -0.002097
626.000000, -0.001682
625.000000, -0.001323
624.000000, -0.000582
623.000000, -0.000438
622.000000, -0.000351
621.000000, -0.000718
620.000000, -0.001545
619.000000, -0.001605
618.000000, -0.001026
617.000000, -0.001260
616.000000, -0.000668
615.000000, -0.000170
614.000000, -0.000466
613.000000, -0.000685
612.000000, -0.001706
611.000000, -0.001613
610.000000, -0.001182
609.000000, -0.001311
608.000000, 0.000059
607.000000, -0.000040
606.000000, -0.001283
605.000000, -0.001216
604.000000, -0.001569
603.000000, -0.001283
602.000000, -0.000211
601.000000, -0.000802
600.000000, -0.000536
599.000000, -0.000022
598.000000, -0.000791
597.000000, -0.001574
596.000000, -0.000781
595.000000, -0.000604
594.000000, -0.000749
593.000000, -0.001669
592.000000, -0.001321
591.000000, -0.001259
590.000000, -0.000914
589.000000, -0.000612
588.000000, -0.000950
587.000000, -0.000234
586.000000, -0.000244
585.000000, -0.001384
584.000000, -0.000251
583.000000, -0.000546
582.000000, -0.000772
581.000000, -0.000368
580.000000, -0.000656
579.000000, -0.000649
578.000000, -0.000093
577.000000, 0.000283
576.000000, -0.000124
575.000000, -0.000801
574.000000, -0.000515
573.000000, 0.000390
572.000000, -0.000769
571.000000, -0.000597
570.000000, -0.000582
569.000000, -0.000202
568.000000, -0.000973
567.000000, -0.000449
566.000000, -0.001443
565.000000, 0.000018
564.000000, -0.000092
563.000000, 0.000454
562.000000, 0.000148
561.000000, -0.001333
560.000000, -0.000602
559.000000, 0.000687
558.000000, 0.000051
557.000000, 0.000854
556.000000, 0.000548
555.000000, 0.000013
554.000000, 0.000451
553.000000, -0.000249
552.000000, -0.001107
551.000000, 0.000319
550.000000, -0.000437
549.000000, 0.000013
548.000000, 0.000182
547.000000, 0.001428
546.000000, -0.000452
545.000000, 0.000530
544.000000, 0.000142
543.000000, -0.000007
542.000000, 0.000730
541.000000, 0.000505
540.000000, -0.000327
539.000000, 0.000625
538.000000, 0.000782
537.000000, 0.000000
536.000000, 0.000637
535.000000, 0.001013
534.000000, 0.000999
533.000000, 0.001153
532.000000, 0.000425
531.000000, 0.001143
530.000000, 0.001366
529.000000, 0.001167
528.000000, 0.000766
527.000000, 0.000625
526.000000, 0.001392
525.000000, 0.001335
524.000000, 0.001514
523.000000, 0.001201
522.000000, 0.002103
521.000000, 0.003892
520.000000, 0.005605
519.000000, 0.008825
518.000000, 0.012355
517.000000, 0.018827
516.000000, 0.026901
515.000000, 0.036618
514.000000, 0.044204
513.000000, 0.047903
512.000000, 0.046873
511.000000, 0.044514
510.000000, 0.040462
509.000000, 0.037337
508.000000, 0.033198
507.000000, 0.031181
506.000000, 0.028025
505.000000, 0.026927
504.000000, 0.025360
503.000000, 0.023903
502.000000, 0.022345
501.000000, 0.021383
500.000000, 0.020124
499.000000, 0.020627
498.000000, 0.020349
497.000000, 0.019676
496.000000, 0.020169
495.000000, 0.019933
494.000000, 0.020112
493.000000, 0.021139
492.000000, 0.022388
491.000000, 0.023384
490.000000, 0.025701
489.000000, 0.027819
488.000000, 0.029415
487.000000, 0.030893
486.000000, 0.032615
485.000000, 0.034191
484.000000, 0.035705
483.000000, 0.036037
482.000000, 0.037225
481.000000, 0.037705
480.000000, 0.036998
479.000000, 0.036170
478.000000, 0.036019
477.000000, 0.034529
476.000000, 0.033826
475.000000, 0.031843
474.000000, 0.029801
473.000000, 0.030048
472.000000, 0.028934
471.000000, 0.027590
470.000000, 0.026173
469.000000, 0.026569
468.000000, 0.026181
467.000000, 0.025376
466.000000, 0.024376
465.000000, 0.023843
464.000000, 0.022568
463.000000, 0.021508
462.000000, 0.022412
461.000000, 0.022054
460.000000, 0.021601
459.000000, 0.021708
458.000000, 0.021689
457.000000, 0.021499
456.000000, 0.021288
455.000000, 0.021935
454.000000, 0.021497
453.000000, 0.020618
452.000000, 0.021469
451.000000, 0.020629
450.000000, 0.021231
449.000000, 0.020714
448.000000, 0.020259
447.000000, 0.021325
446.000000, 0.021298
445.000000, 0.021857
444.000000, 0.022731
443.000000, 0.021441
442.000000, 0.021501
441.000000, 0.022682
440.000000, 0.023805
439.000000, 0.024947
438.000000, 0.024433
437.000000, 0.024246
436.000000, 0.025873
435.000000, 0.026543
434.000000, 0.026575
433.000000, 0.027617
432.000000, 0.028453
431.000000, 0.029151
430.000000, 0.029724
429.000000, 0.031015
428.000000, 0.031640
427.000000, 0.030578
426.000000, 0.030090
425.000000, 0.030444
424.000000, 0.030201
423.000000, 0.030188
422.000000, 0.031535
421.000000, 0.031222
420.000000, 0.030157
419.000000, 0.030802
418.000000, 0.030807
417.000000, 0.030030
416.000000, 0.030008
415.000000, 0.030028
414.000000, 0.029321
413.000000, 0.030074
412.000000, 0.030601
411.000000, 0.030376
410.000000, 0.030222
409.000000, 0.029782
408.000000, 0.029433
407.000000, 0.029929
406.000000, 0.030810
405.000000, 0.031663
404.000000, 0.030606
403.000000, 0.029753
402.000000, 0.029736
