nm, A
800.000000, 0.000740
799.000000, 0.000916
798.000000, 0.002140
797.000000, 0.001612
796.000000, 0.000695
795.000000, 0.001382
794.000000, -0.000444
793.000000, -0.000042
792.000000, 0.001069
791.000000, 0.001332
790.000000, 0.002204
789.000000, -0.000236
788.000000, 0.002029
787.000000, 0.001015
786.000000, 0.000630
785.000000, 0.001024
784.000000, 0.000542
783.000000, 0.001759
782.000000, 0.002835
781.000000, 0.000868
780.000000, 0.002190
779.000000, 0.001928
778.000000, 0.000392
777.000000, 0.000534
776.000000, 0.001573
775.000000, 0.002060
774.000000, 0.001326
773.000000, 0.000837
772.000000, 0.000546
771.000000, 0.003279
770.000000, 0.002101
769.000000, 0.002380
768.000000, 0.001627
767.000000, 0.001421
766.000000, 0.000868
765.000000, 0.001017
764.000000, 0.000856
763.000000, 0.000216
762.000000, -0.000236
761.000000, 0.001335
760.000000, 0.002168
759.000000, 0.000294
758.000000, 0.001896
757.000000, 0.001537
756.000000, 0.000662
755.000000, 0.002172
754.000000, 0.001866
753.000000, 0.001930
752.000000, 0.002350
751.000000, 0.001927
750.000000, 0.001481
749.000000, 0.001881
748.000000, 0.001639
747.000000, 0.001539
746.000000, 0.000361
745.000000, 0.001270
744.000000, 0.001765
743.000000, 0.002300
742.000000, 0.002361
741.000000, 0.002010
740.000000, 0.000865
739.000000, 0.001887
738.000000, 0.002793
737.000000, 0.001992
736.000000, 0.001921
735.000000, 0.003030
734.000000, 0.002304
733.000000, 0.002384
732.000000, 0.003426
731.000000, 0.002919
730.000000, 0.002103
729.000000, 0.001923
728.000000, 0.000624
727.000000, 0.001399
726.000000, 0.002196
725.000000, 0.001719
724.000000, 0.001483
723.000000, 0.001635
722.000000, 0.002154
721.000000, 0.002694
720.000000, 0.001503
719.000000, 0.000936
718.000000, 0.001920
717.000000, 0.002151
716.000000, 0.001758
715.000000, 0.000794
714.000000, 0.001896
713.000000, 0.002345
712.000000, 0.001402
711.000000, 0.000877
710.000000, 0.000973
709.000000, 0.001711
708.000000, 0.001427
707.000000, 0.001208
706.000000, 0.002503
705.000000, 0.002381
704.000000, 0.001255
703.000000, 0.001293
702.000000, 0.001764
701.000000, 0.002217
700.000000, 0.001730
699.000000, 0.000941
698.000000, 0.002027
697.000000, 0.001933
696.000000, 0.001909
695.000000, 0.001749
694.000000, 0.001731
693.000000, 0.001629
692.000000, 0.001240
691.000000, 0.001670
690.000000, 0.001654
689.000000, 0.001568
688.000000, 0.002334
687.000000, 0.002613
686.000000, 0.001448
685.000000, 0.001792
684.000000, 0.002057
683.000000, 0.001319
682.000000, 0.001979
681.000000, 0.002894
680.000000, 0.002587
679.000000, 0.001788
678.000000, 0.001708
677.000000, 0.001989
676.000000, 0.002130
675.000000, 0.002101
674.000000, 0.001682
673.000000, 0.001920
672.000000, 0.003038
671.000000, 0.002838
670.000000, 0.001509
669.000000, 0.001727
668.000000, 0.001909
667.000000, 0.002008
666.000000, 0.002376
665.000000, 0.002752
664.000000, 0.002013
663.000000, 0.002005
662.000000, 0.002535
661.000000, 0.001313
660.000000, 0.001432
659.000000, 0.002724
658.000000, 0.003364
657.000000, 0.003376
656.000000, 0.002596
655.000000, 0.002285
654.000000, 0.002652
653.000000, 0.002708
652.000000, 0.002461
651.000000, 0.002698
650.000000, 0.002052
649.000000, 0.002342
648.000000, 0.002396
647.000000, 0.002132
646.000000, 0.002259
645.000000, 0.001391
644.000000, 0.001032
643.000000, 0.001656
642.000000, 0.001771
641.000000, 0.002911
640.000000, 0.002648
639.000000, 0.002030
638.000000, 0.003027
637.000000, 0.002520
636.000000, 0.002775
