nm, A
800.000000, 0.001453
799.000000, 0.002692
798.000000, 0.002948
797.000000, 0.002625
796.000000, 0.002658
795.000000, 0.003541
794.000000, 0.002364
793.000000, 0.000866
792.000000, 0.002373
791.000000, 0.001863
790.000000, 0.003554
789.000000, 0.000714
788.000000, 0.002527
787.000000, 0.003133
786.000000, 0.002908
785.000000, 0.001847
784.000000, 0.003146
783.000000, 0.003412
782.000000, 0.003465
781.000000, 0.002293
780.000000, 0.004010
779.000000, 0.003459
778.000000, 0.002067
777.000000, 0.002224
776.000000, 0.002746
775.000000, 0.003031
774.000000, 0.002904
773.000000, 0.002396
772.000000, 0.003035
771.000000, 0.004207
770.000000, 0.002814
769.000000, 0.003046
768.000000, 0.002705
767.000000, 0.002819
766.000000, 0.002659
765.000000, 0.003148
764.000000, 0.002127
763.000000, 0.002032
762.000000, 0.002096
761.000000, 0.003402
760.000000, 0.003520
759.000000, 0.002140
758.000000, 0.001951
757.000000, 0.003034
756.000000, 0.002919
755.000000, 0.002740
754.000000, 0.002246
753.000000, 0.002212
752.000000, 0.002347
751.000000, 0.002527
750.000000, 0.003158
749.000000, 0.003467
748.000000, 0.002451
747.000000, 0.003146
746.000000, 0.003107
745.000000, 0.001928
744.000000, 0.002136
743.000000, 0.002854
742.000000, 0.003662
741.000000, 0.002842
740.000000, 0.002028
739.000000, 0.002191
738.000000, 0.002532
737.000000, 0.002936
736.000000, 0.002999
735.000000, 0.002566
734.000000, 0.002789
733.000000, 0.002782
732.000000, 0.003502
731.000000, 0.002642
730.000000, 0.001744
729.000000, 0.002339
728.000000, 0.002176
727.000000, 0.002307
726.000000, 0.002613
725.000000, 0.002651
724.000000, 0.002346
723.000000, 0.003661
722.000000, 0.004148
721.000000, 0.003277
720.000000, 0.002339
719.000000, 0.002226
718.000000, 0.002895
717.000000, 0.002762
716.000000, 0.002669
715.000000, 0.002395
714.000000, 0.002476
713.000000, 0.002622
712.000000, 0.001965
711.000000, 0.001557
710.000000, 0.001579
709.000000, 0.001720
708.000000, 0.002839
707.000000, 0.002853
706.000000, 0.002742
705.000000, 0.003138
704.000000, 0.001817
703.000000, 0.000978
702.000000, 0.001972
701.000000, 0.002892
700.000000, 0.002259
699.000000, 0.002017
698.000000, 0.002527
697.000000, 0.002398
696.000000, 0.002331
695.000000, 0.002008
694.000000, 0.002104
693.000000, 0.002289
692.000000, 0.002449
691.000000, 0.002775
690.000000, 0.002138
689.000000, 0.001506
688.000000, 0.002218
687.000000, 0.003135
686.000000, 0.002905
685.000000, 0.002880
684.000000, 0.002630
683.000000, 0.001975
682.000000, 0.002130
681.000000, 0.003350
680.000000, 0.002588
679.000000, 0.002375
678.000000, 0.003180
677.000000, 0.002530
676.000000, 0.002470
675.000000, 0.002557
674.000000, 0.001877
673.000000, 0.002329
672.000000, 0.003760
671.000000, 0.003221
670.000000, 0.002337
669.000000, 0.002370
668.000000, 0.002468
667.000000, 0.002858
666.000000, 0.002902
665.000000, 0.002705
664.000000, 0.002504
663.000000, 0.003008
662.000000, 0.003461
661.000000, 0.002495
660.000000, 0.002887
659.000000, 0.003441
658.000000, 0.003957
657.000000, 0.003586
656.000000, 0.002908
655.000000, 0.002877
654.000000, 0.002600
653.000000, 0.002659
652.000000, 0.002602
651.000000, 0.003331
650.000000, 0.002438
649.000000, 0.002520
648.000000, 0.003199
647.000000, 0.002530
646.000000, 0.002535
645.000000, 0.002253
644.000000, 0.001997
643.000000, 0.002549
642.000000, 0.002586
641.000000, 0.002274
