nm, A
800.000000, -0.003004
799.000000, -0.002025
798.000000, -0.001794
797.000000, -0.000817
796.000000, -0.001652
795.000000, -0.000458
794.000000, -0.003544
793.000000, -0.001695
792.000000, -0.001567
791.000000, -0.001651
790.000000, -0.000785
789.000000, -0.003400
788.000000, -0.000935
787.000000, -0.001925
786.000000, -0.000799
785.000000, -0.002179
784.000000, -0.001315
783.000000, -0.000693
782.000000, -0.000620
781.000000, -0.002212
780.000000, -0.000638
779.000000, -0.000880
778.000000, -0.001427
777.000000, -0.001433
776.000000, -0.001395
775.000000, -0.001410
774.000000, -0.000970
773.000000, -0.001388
772.000000, -0.002304
771.000000, -0.000528
770.000000, -0.001260
769.000000, -0.001862
768.000000, -0.000736
767.000000, -0.000080
766.000000, -0.001037
765.000000, -0.002149
764.000000, -0.001814
763.000000, -0.001632
762.000000, -0.001833
761.000000, -0.001569
760.000000, -0.001230
759.000000, -0.002175
758.000000, -0.001429
757.000000, -0.001575
756.000000, -0.001984
755.000000, -0.001211
754.000000, -0.001133
753.000000, -0.001376
752.000000, -0.001962
751.000000, -0.001971
750.000000, -0.000287
749.000000, 0.000605
748.000000, -0.001536
747.000000, -0.000800
746.000000, -0.002025
745.000000, -0.002116
744.000000, -0.001765
743.000000, -0.000679
742.000000, -0.000814
741.000000, -0.001464
740.000000, -0.002050
739.000000, -0.001426
738.000000, -0.001639
737.000000, -0.001110
736.000000, -0.000681
735.000000, -0.000613
734.000000, -0.000812
733.000000, -0.000993
732.000000, -0.000924
731.000000, -0.001282
730.000000, -0.001231
729.000000, -0.000283
728.000000, -0.001030
727.000000, -0.000490
726.000000, -0.001182
725.000000, -0.003196
724.000000, -0.002007
723.000000, -0.001514
722.000000, -0.001066
721.000000, -0.001113
720.000000, -0.001946
719.000000, -0.002429
718.000000, -0.001716
717.000000, -0.000923
716.000000, -0.001227
715.000000, -0.002378
714.000000, -0.002063
713.000000, -0.001456
712.000000, -0.002237
711.000000, -0.001927
710.000000, -0.001483
709.000000, -0.001523
708.000000, -0.000821
707.000000, -0.001065
706.000000, -0.001007
705.000000, -0.001243
704.000000, -0.002548
703.000000, -0.002805
702.000000, -0.001524
701.000000, -0.001279
700.000000, -0.001451
699.000000, -0.001749
698.000000, -0.001694
697.000000, -0.002136
696.000000, -0.001511
695.000000, -0.001391
694.000000, -0.001389
693.000000, -0.001142
692.000000, -0.001478
691.000000, -0.001504
690.000000, -0.001611
689.000000, -0.001775
688.000000, -0.001356
687.000000, -0.001034
686.000000, -0.000564
685.000000, -0.000934
684.000000, -0.001726
683.000000, -0.001762
682.000000, -0.001570
681.000000, -0.000694
680.000000, -0.000851
679.000000, -0.001314
678.000000, -0.000874
677.000000, -0.001511
676.000000, -0.001970
675.000000, -0.001984
674.000000, -0.001851
673.000000, -0.001436
672.000000, -0.000701
671.000000, -0.001318
670.000000, -0.002198
669.000000, -0.001780
668.000000, -0.002522
667.000000, -0.001986
666.000000, -0.001075
665.000000, -0.000591
664.000000, -0.001573
663.000000, -0.001668
662.000000, -0.001511
661.000000, -0.003170
660.000000, -0.002668
659.000000, -0.001149
658.000000, -0.000646
657.000000, -0.001051
656.000000, -0.001777
655.000000, -0.002231
654.000000, -0.002267
653.000000, -0.001332
652.000000, -0.000362
651.000000, -0.000857
650.000000, -0.002314
649.000000, -0.001618
648.000000, -0.001070
647.000000, -0.002034
646.000000, -0.001626
645.000000, -0.001226
644.000000, -0.002108
643.000000, -0.002291
642.000000, -0.001851
641.000000, -0.001731
640.000000, -0.001447
639.000000, -0.001332
638.000000, -0.000951
637.000000, -0.001404
636.000000, -0.000666
635.000000, -0.000661
634.000000, -0.002363
633.000000, -0.002021
632.000000, -0.001765
631.000000, -0.001887
630.000000, -0.000788
629.000000, -0.001475
628.000000, -0.001674
627.000000, -0.002446
626.000000, -0.001723
625.000000, -0.000798
624.000000, -0.001525
623.000000, -0.001288
622.000000, -0.001555
621.000000, -0.000480
620.000000, -0.001301
619.000000, -0.001486
618.000000, -0.001917
617.000000, -0.002035
616.000000, -0.001360
615.000000, 0.000989
614.000000, -0.000540
613.000000, -0.001495
612.000000, -0.002793
611.000000, -0.002108
610.000000, -0.000581
609.000000, -0.000962
608.000000, -0.000516
607.000000, 0.000237
606.000000, -0.000955
605.000000, -0.001008
604.000000, -0.001720
603.000000, -0.001370
602.000000, -0.000180
601.000000, -0.000432
600.000000, -0.000903
599.000000, -0.000440
598.000000, -0.001540
597.000000, -0.001493
596.000000, -0.001846
595.000000, -0.000648
594.000000, -0.000562
593.000000, -0.001187
592.000000, -0.001527
591.000000, -0.000680
590.000000, -0.000134
589.000000, -0.000726
588.000000, -0.000515
587.000000, -0.000429
586.000000, -0.000158
585.000000, -0.001518
584.000000, -0.000063
583.000000, -0.001252
582.000000, -0.001784
581.000000, -0.000138
580.000000, -0.000628
579.000000, -0.001649
578.000000, -0.000952
577.000000, -0.001548
576.000000, -0.001264
575.000000, -0.000892
574.000000, -0.000524
573.000000, -0.000193
572.000000, -0.001240
571.000000, -0.000535
570.000000, -0.002069
569.000000, -0.000306
568.000000, 0.000438
567.000000, -0.001415
566.000000, -0.001172
565.000000, -0.000077
564.000000, -0.000387
563.000000, 0.001089
562.000000, 0.000238
561.000000, -0.000536
560.000000, -0.000615
559.000000, 0.000124
558.000000, -0.000591
557.000000, -0.000678
556.000000, -0.001079
555.000000, -0.000335
554.000000, 0.000007
553.000000, -0.000646
552.000000, -0.000813
551.000000, 0.001022
550.000000, -0.000562
549.000000, 0.000210
548.000000, -0.000084
547.000000, 0.000361
546.000000, 0.000525
545.000000, 0.000694
544.000000, -0.000697
543.000000, -0.000378
542.000000, -0.000127
541.000000, -0.000760
540.000000, 0.000330
539.000000, 0.000668
538.000000, 0.001670
537.000000, 0.000645
536.000000, 0.000345
535.000000, 0.000248
534.000000, -0.000791
533.000000, 0.000742
532.000000, 0.000104
531.000000, 0.000876
530.000000, 0.000420
529.000000, 0.000537
528.000000, 0.000533
527.000000, 0.001037
526.000000, 0.001007
525.000000, 0.000569
524.000000, 0.001126
523.000000, 0.001321
522.000000, 0.001296
521.000000, 0.002993
520.000000, 0.004130
519.000000, 0.007162
518.000000, 0.011356
517.000000, 0.016499
516.000000, 0.024960
515.000000, 0.034732
514.000000, 0.041713
513.000000, 0.046923
512.000000, 0.047405
511.000000, 0.044128
510.000000, 0.040245
509.000000, 0.037409
508.000000, 0.033807
507.000000, 0.030720
506.000000, 0.028402
505.000000, 0.025682
504.000000, 0.023777
503.000000, 0.023555
502.000000, 0.021285
501.000000, 0.020960
500.000000, 0.019367
499.000000, 0.019662
498.000000, 0.018589
497.000000, 0.019097
496.000000, 0.018501
495.000000, 0.019288
494.000000, 0.018489
493.000000, 0.019990
492.000000, 0.020854
491.000000, 0.022237
490.000000, 0.024043
489.000000, 0.026027
488.000000, 0.027248
487.000000, 0.028259
486.000000, 0.029889
485.000000, 0.032297
484.000000, 0.034750
483.000000, 0.035556
482.000000, 0.037009
481.000000, 0.036993
480.000000, 0.036259
479.000000, 0.035603
478.000000, 0.034332
477.000000, 0.032351
476.000000, 0.031933
475.000000, 0.031026
474.000000, 0.029221
473.000000, 0.029051
472.000000, 0.028067
471.000000, 0.026391
470.000000, 0.025669
469.000000, 0.025133
468.000000, 0.023786
467.000000, 0.022580
466.000000, 0.022924
465.000000, 0.022127
464.000000, 0.020130
463.000000, 0.021053
462.000000, 0.022254
461.000000, 0.021361
460.000000, 0.020687
459.000000, 0.020075
458.000000, 0.019149
457.000000, 0.019456
456.000000, 0.018480
455.000000, 0.019186
454.000000, 0.019560
453.000000, 0.018336
452.000000, 0.019321
451.000000, 0.019471
450.000000, 0.019872
449.000000, 0.019063
448.000000, 0.018729
447.000000, 0.019756
446.000000, 0.020464
445.000000, 0.020273
444.000000, 0.019854
443.000000, 0.019630
442.000000, 0.019686
441.000000, 0.020688
440.000000, 0.022333
439.000000, 0.023265
438.000000, 0.023285
437.000000, 0.022408
436.000000, 0.024070
435.000000, 0.025046
434.000000, 0.025545
433.000000, 0.026282
432.000000, 0.026685
431.000000, 0.026909
430.000000, 0.027396
429.000000, 0.028530
428.000000, 0.028876
427.000000, 0.028741
426.000000, 0.029076
425.000000, 0.029663
424.000000, 0.029184
423.000000, 0.028845
422.000000, 0.028645
421.000000, 0.028767
420.000000, 0.028926
419.000000, 0.029503
418.000000, 0.029355
417.000000, 0.029161
416.000000, 0.028555
415.000000, 0.027517
414.000000, 0.026993
413.000000, 0.027415
412.000000, 0.027841
411.000000, 0.028417
410.000000, 0.028378
409.000000, 0.028053
408.000000, 0.027893
407.000000, 0.028013
406.000000, 0.028635
405.000000, 0.029499
404.000000, 0.028935
403.000000, 0.027993
402.000000, 0.027301
401.000000, 0.026857
400.000000, 0.026774
399.000000, 0.027458
398.000000, 0.027294
397.000000, 0.027017
396.000000, 0.027815
395.000000, 0.027510
394.000000, 0.027091
393.000000, 0.026555
392.000000, 0.027270
391.000000, 0.028088
390.000000, 0.028099
389.000000, 0.027513
388.000000, 0.026973
387.000000, 0.027536
386.000000, 0.028003
385.000000, 0.028845
384.000000, 0.028508
383.000000, 0.028881
382.000000, 0.029224
381.000000, 0.029548
380.000000, 0.029107
379.000000, 0.029425
378.000000, 0.029222
377.000000, 0.029461
376.000000, 0.028519
375.000000, 0.028840
374.000000, 0.028837
373.000000, 0.028665
372.000000, 0.029114
371.000000, 0.030140
370.000000, 0.029428
369.000000, 0.030196
368.000000, 0.029969
367.000000, 0.030197
366.000000, 0.030554
365.000000, 0.031245
364.000000, 0.030316
363.000000, 0.031018
362.000000, 0.030861
361.000000, 0.030531
360.000000, 0.030452
359.000000, 0.030818
358.000000, 0.031634
357.000000, 0.032144
356.000000, 0.032261
355.000000, 0.033467
354.000000, 0.032667
353.000000, 0.032932
352.000000, 0.033575
351.000000, 0.033476
350.000000, 0.032649
349.000000, 0.034460
348.000000, 0.035316
347.000000, 0.036337
346.000000, 0.035856
345.000000, 0.037442
344.000000, 0.038497
343.000000, 0.038896
342.000000, 0.040590
341.000000, 0.040973
340.000000, 0.041373
339.000000, 0.043326
338.000000, 0.043262
337.000000, 0.044363
336.000000, 0.045258
335.000000, 0.047368
334.000000, 0.047050
333.000000, 0.048979
332.000000, 0.049546
331.000000, 0.050423
330.000000, 0.053561
329.000000, 0.053461
328.000000, 0.054332
327.000000, 0.057843
326.000000, 0.060731
325.000000, 0.061166
324.000000, 0.063869
323.000000, 0.066289
322.000000, 0.068225
321.000000, 0.070351
320.000000, 0.071483
319.000000, 0.073905
318.000000, 0.074772
317.000000, 0.075729
316.000000, 0.076473
315.000000, 0.077433
314.000000, 0.078602
313.000000, 0.080060
312.000000, 0.080951
311.000000, 0.082894
310.000000, 0.083696
309.000000, 0.084509
308.000000, 0.085032
307.000000, 0.087401
306.000000, 0.087387
305.000000, 0.088366
304.000000, 0.090733
303.000000, 0.091344
302.000000, 0.091611
301.000000, 0.093687
300.000000, 0.096085
