nm, A
800.000000, 0.001759
799.000000, 0.000912
798.000000, -0.000057
797.000000, 0.000269
796.000000, 0.001075
795.000000, 0.000057
794.000000, 0.000773
793.000000, 0.000822
792.000000, 0.000886
791.000000, 0.001640
790.000000, 0.000313
789.000000, -0.000276
788.000000, 0.000524
787.000000, 0.000913
786.000000, -0.000021
785.000000, 0.000705
784.000000, -0.000199
783.000000, 0.000741
782.000000, -0.000581
781.000000, 0.001740
780.000000, -0.000155
779.000000, -0.000655
778.000000, 0.000713
777.000000, 0.001099
776.000000, 0.001372
775.000000, -0.000220
774.000000, -0.000669
773.000000, 0.001031
772.000000, 0.000814
771.000000, -0.000022
770.000000, 0.000422
769.000000, 0.000406
768.000000, 0.000553
767.000000, 0.001017
766.000000, 0.001490
765.000000, 0.000349
764.000000, 0.000816
763.000000, 0.001018
762.000000, 0.000518
761.000000, 0.000310
760.000000, 0.001382
759.000000, 0.001178
758.000000, 0.000464
757.000000, -0.000026
756.000000, -0.000454
755.000000, 0.000391
754.000000, -0.000753
753.000000, -0.000086
752.000000, 0.000085
751.000000, 0.001266
750.000000, 0.000408
749.000000, 0.001477
748.000000, 0.001713
747.000000, 0.000429
746.000000, 0.001314
745.000000, 0.000476
744.000000, 0.000328
743.000000, 0.000075
742.000000, -0.000544
741.000000, -0.000233
740.000000, 0.000351
739.000000, 0.000139
738.000000, 0.000932
737.000000, 0.000090
736.000000, 0.001066
735.000000, 0.000921
734.000000, 0.000325
733.000000, 0.000076
732.000000, 0.001097
731.000000, 0.001458
730.000000, 0.001124
729.000000, 0.000704
728.000000, -0.000014
727.000000, 0.000095
726.000000, 0.000466
725.000000, 0.000643
724.000000, 0.001151
723.000000, 0.001298
722.000000, 0.001436
721.000000, 0.000982
720.000000, 0.000376
719.000000, 0.000550
718.000000, 0.001076
717.000000, 0.000785
716.000000, 0.001313
715.000000, 0.000863
714.000000, 0.000528
713.000000, 0.000460
712.000000, 0.001411
711.000000, 0.000882
710.000000, -0.000420
709.000000, 0.000359
708.000000, 0.001489
707.000000, 0.001636
706.000000, 0.000787
705.000000, 0.000798
704.000000, 0.000497
703.000000, -0.000391
702.000000, -0.000008
701.000000, 0.000222
700.000000, 0.000262
699.000000, 0.000105
698.000000, 0.000809
697.000000, 0.001321
696.000000, 0.001353
695.000000, 0.001421
694.000000, 0.001487
693.000000, 0.000527
692.000000, 0.001014
691.000000, 0.001586
690.000000, 0.000614
689.000000, 0.000832
688.000000, 0.001211
687.000000, 0.000976
686.000000, 0.000656
685.000000, 0.000367
684.000000, 0.000432
683.000000, 0.000451
682.000000, 0.000541
681.000000, 0.000364
680.000000, 0.000166
679.000000, 0.000199
678.000000, 0.001010
677.000000, 0.000991
676.000000, 0.000336
675.000000, 0.000550
674.000000, 0.001195
673.000000, 0.001289
672.000000, 0.000843
671.000000, 0.001105
670.000000, 0.001463
669.000000, 0.000835
668.000000, 0.000731
667.000000, 0.001399
666.000000, 0.001513
665.000000, 0.001822
664.000000, 0.001932
663.000000, 0.001122
662.000000, 0.000022
661.000000, 0.000482
660.000000, 0.002118
659.000000, 0.002476
658.000000, 0.001399
657.000000, 0.001199
656.000000, 0.000920
655.000000, 0.000773
654.000000, 0.000863
653.000000, 0.001830
652.000000, 0.001608
651.000000, 0.000298
650.000000, 0.001606
649.000000, 0.001486
648.000000, 0.001232
647.000000, 0.001360
646.000000, 0.001387
645.000000, 0.001321
644.000000, 0.001084
643.000000, 0.001824
642.000000, 0.001580
641.000000, 0.001005
640.000000, 0.001218
639.000000, 0.001683
638.000000, 0.001943
637.000000, 0.001833
636.000000, 0.001367
635.000000, 0.000750
634.000000, 0.000461
633.000000, 0.001447
632.000000, 0.002252
631.000000, 0.002183
630.000000, 0.001143
629.000000, 0.001214
628.000000, 0.001787
627.000000, 0.002407
626.000000, 0.002094
625.000000, 0.001782
624.000000, 0.001758
623.000000, 0.002110
622.000000, 0.002180
621.000000, 0.001997
620.000000, 0.002107
619.000000, 0.002378
618.000000, 0.001104
617.000000, 0.001173
616.000000, 0.001936
615.000000, 0.001745
614.000000, 0.001688
613.000000, 0.001893
612.000000, 0.002187
611.000000, 0.002352
610.000000, 0.001439
609.000000, 0.001184
