nm, A
800.000000, -0.001155
799.000000, 0.000216
798.000000, 0.000718
797.000000, -0.000550
796.000000, 0.000863
795.000000, 0.000210
794.000000, 0.000178
793.000000, -0.000008
792.000000, 0.000074
791.000000, 0.000192
790.000000, -0.000561
789.000000, -0.000684
788.000000, 0.000043
787.000000, 0.000143
786.000000, 0.000676
785.000000, 0.000051
784.000000, 0.000463
783.000000, -0.000930
782.000000, -0.000549
781.000000, 0.000916
780.000000, 0.000738
779.000000, 0.000584
778.000000, 0.000342
777.000000, -0.000915
776.000000, -0.000833
775.000000, -0.000449
774.000000, 0.000856
773.000000, -0.000384
772.000000, -0.000573
771.000000, 0.000159
770.000000, 0.000445
769.000000, 0.000103
768.000000, 0.000897
767.000000, 0.000239
766.000000, -0.000845
765.000000, -0.000293
764.000000, 0.000295
763.000000, 0.001736
762.000000, 0.000659
761.000000, 0.000209
760.000000, -0.000147
759.000000, -0.000231
758.000000, 0.000590
757.000000, -0.000180
756.000000, -0.000118
755.000000, -0.000181
754.000000, -0.000322
753.000000, -0.000698
752.000000, -0.000266
751.000000, 0.000691
750.000000, 0.001367
749.000000, 0.001217
748.000000, 0.000230
747.000000, 0.000495
746.000000, 0.000446
745.000000, 0.000907
744.000000, 0.000763
743.000000, 0.000394
742.000000, 0.000008
741.000000, 0.000106
740.000000, 0.001191
739.000000, 0.000036
738.000000, -0.000467
737.000000, -0.000226
736.000000, 0.000096
735.000000, -0.000192
734.000000, -0.000091
733.000000, -0.000428
732.000000, -0.000360
731.000000, 0.000740
730.000000, 0.000010
729.000000, 0.000840
728.000000, -0.000077
727.000000, -0.000135
726.000000, 0.000098
725.000000, -0.000241
724.000000, -0.000364
723.000000, 0.000797
722.000000, -0.000256
721.000000, -0.000883
720.000000, -0.000022
719.000000, 0.000106
718.000000, -0.000796
717.000000, -0.000857
716.000000, -0.000612
715.000000, 0.000453
714.000000, -0.000162
713.000000, 0.000201
712.000000, -0.000100
711.000000, -0.000607
710.000000, -0.001041
709.000000, -0.000638
708.000000, -0.000164
707.000000, 0.000002
706.000000, -0.000839
705.000000, -0.000548
704.000000, 0.001164
703.000000, 0.001029
702.000000, 0.000338
701.000000, -0.000034
700.000000, 0.000164
699.000000, -0.000365
698.000000, -0.000393
697.000000, -0.000384
696.000000, -0.000180
695.000000, 0.000647
694.000000, 0.000526
693.000000, 0.001063
692.000000, 0.000425
691.000000, -0.000279
690.000000, -0.000070
689.000000, 0.000549
688.000000, 0.000575
687.000000, -0.000218
686.000000, -0.000113
685.000000, 0.000422
684.000000, 0.000948
683.000000, 0.001033
682.000000, 0.001351
681.000000, 0.001453
680.000000, 0.000998
679.000000, 0.000518
678.000000, -0.000145
677.000000, -0.000298
676.000000, 0.000099
675.000000, 0.000430
674.000000, 0.000295
673.000000, 0.000373
672.000000, 0.000981
671.000000, 0.001094
670.000000, 0.000987
669.000000, 0.000900
668.000000, 0.000241
667.000000, -0.000333
666.000000, 0.000143
665.000000, -0.000158
664.000000, -0.000080
663.000000, 0.000374
662.000000, 0.000056
661.000000, -0.000028
660.000000, 0.001163
659.000000, 0.001297
658.000000, -0.000027
657.000000, 0.000147
656.000000, 0.000512
655.000000, 0.000181
654.000000, 0.000651
653.000000, -0.000302
652.000000, -0.000289
651.000000, 0.000773
650.000000, 0.000693
649.000000, 0.000416
648.000000, 0.000459
647.000000, 0.000703
646.000000, 0.001128
645.000000, 0.001050
644.000000, 0.000991
643.000000, 0.000468
642.000000, 0.000092
641.000000, -0.000587
640.000000, -0.000060
