nm, A
800.000000, 0.001731
799.000000, 0.001687
798.000000, 0.001095
797.000000, 0.001581
796.000000, 0.001570
795.000000, 0.001041
794.000000, 0.001698
793.000000, 0.001238
792.000000, 0.000450
791.000000, 0.001517
790.000000, 0.001321
789.000000, 0.001659
788.000000, 0.000711
787.000000, 0.000993
786.000000, 0.001761
785.000000, 0.001282
784.000000, 0.000882
783.000000, 0.001311
782.000000, 0.002263
781.000000, 0.001174
780.000000, 0.000412
779.000000, 0.000577
778.000000, 0.001017
777.000000, 0.001582
776.000000, 0.000526
775.000000, 0.000091
774.000000, 0.000936
773.000000, 0.000977
772.000000, 0.001710
771.000000, 0.000636
770.000000, 0.000739
769.000000, 0.000408
768.000000, 0.001508
767.000000, 0.001353
766.000000, 0.001206
765.000000, 0.001689
764.000000, 0.001539
763.000000, 0.000425
762.000000, 0.001891
761.000000, 0.001768
760.000000, 0.001108
759.000000, 0.002227
758.000000, 0.000895
757.000000, 0.001318
756.000000, 0.002436
755.000000, 0.001310
754.000000, 0.001836
753.000000, 0.001862
752.000000, 0.001716
751.000000, 0.001568
750.000000, 0.001268
749.000000, 0.000572
748.000000, 0.001064
747.000000, 0.001502
746.000000, 0.001068
745.000000, 0.000019
744.000000, 0.001285
743.000000, 0.002382
742.000000, 0.002993
741.000000, 0.001686
740.000000, 0.000850
739.000000, 0.001066
738.000000, 0.001845
737.000000, 0.000573
736.000000, 0.000754
735.000000, 0.000999
734.000000, 0.001499
733.000000, 0.002321
732.000000, 0.002419
731.000000, 0.001043
730.000000, 0.000840
729.000000, 0.001557
728.000000, 0.001542
727.000000, 0.002572
726.000000, 0.001692
725.000000, 0.000636
724.000000, 0.000874
723.000000, 0.000893
722.000000, 0.001475
721.000000, 0.002834
720.000000, 0.001802
719.000000, 0.000766
718.000000, 0.000572
717.000000, 0.000685
716.000000, 0.001553
715.000000, 0.002070
714.000000, 0.001964
713.000000, 0.002133
712.000000, 0.001791
711.000000, 0.000552
710.000000, 0.000842
709.000000, 0.001958
708.000000, 0.001205
707.000000, 0.001605
706.000000, 0.002531
