nm, A
800.000000, 0.001463
799.000000, -0.000770
798.000000, 0.000298
797.000000, -0.001001
796.000000, -0.001682
795.000000, -0.001295
794.000000, 0.000437
793.000000, -0.000882
792.000000, -0.000759
791.000000, -0.000127
790.000000, -0.000491
789.000000, -0.000537
788.000000, -0.000268
787.000000, -0.000721
786.000000, -0.001353
785.000000, -0.000607
784.000000, -0.000690
783.000000, 0.000193
782.000000, 0.000599
781.000000, -0.001231
780.000000, -0.001692
779.000000, -0.002379
778.000000, -0.001663
777.000000, -0.000136
776.000000, 0.000518
775.000000, 0.000121
774.000000, -0.000712
773.000000, -0.000760
772.000000, 0.000434
771.000000, -0.000237
770.000000, -0.000980
769.000000, -0.000683
768.000000, -0.000732
767.000000, -0.000717
766.000000, -0.001433
765.000000, -0.000173
764.000000, 0.000263
763.000000, -0.000232
762.000000, 0.000045
761.000000, 0.000148
760.000000, -0.000485
759.000000, -0.000185
758.000000, -0.000964
757.000000, -0.000071
756.000000, 0.000873
755.000000, 0.000127
754.000000, 0.000410
753.000000, 0.000416
752.000000, -0.000730
751.000000, -0.000064
750.000000, 0.000827
749.000000, 0.000038
748.000000, 0.001136
747.000000, -0.000199
746.000000, -0.000680
745.000000, -0.001045
744.000000, 0.000175
743.000000, 0.001490
742.000000, 0.001152
741.000000, 0.000109
740.000000, -0.000712
739.000000, -0.000543
738.000000, 0.000565
737.000000, -0.000409
736.000000, 0.000014
735.000000, 0.000129
734.000000, 0.000484
733.000000, 0.000252
732.000000, 0.000972
731.000000, -0.000323
730.000000, 0.000532
729.000000, -0.000195
728.000000, -0.000436
727.000000, 0.000443
726.000000, 0.000476
725.000000, -0.000143
724.000000, -0.001094
723.000000, -0.001025
722.000000, -0.000861
721.000000, 0.001751
720.000000, 0.000699
719.000000, -0.000074
718.000000, -0.000211
717.000000, -0.001901
716.000000, -0.000677
715.000000, 0.000223
714.000000, -0.000145
713.000000, 0.000472
712.000000, 0.000005
711.000000, -0.000902
710.000000, -0.000450
709.000000, 0.000195
708.000000, -0.000783
707.000000, -0.001280
706.000000, 0.000340
705.000000, 0.000650
704.000000, 0.000250
703.000000, -0.000413
702.000000, -0.000360
701.000000, -0.000075
700.000000, 0.000280
699.000000, -0.000574
698.000000, 0.000203
697.000000, 0.000250
696.000000, -0.000474
695.000000, -0.000719
694.000000, -0.000378
693.000000, -0.000074
692.000000, -0.000497
691.000000, 0.000269
690.000000, 0.000478
689.000000, -0.000991
688.000000, 0.000039
687.000000, 0.000266
686.000000, -0.000704
685.000000, -0.000789
684.000000, -0.000938
683.000000, 0.000228
682.000000, 0.000615
681.000000, 0.000001
680.000000, -0.000236
679.000000, 0.000417
678.000000, 0.000555
677.000000, 0.000339
676.000000, 0.000755
675.000000, 0.000409
674.000000, -0.000804
673.000000, -0.000771
672.000000, -0.000016
671.000000, 0.000030
670.000000, 0.000253
669.000000, 0.000918
668.000000, 0.000881
667.000000, 0.000822
666.000000, 0.001261
665.000000, 0.000749
664.000000, 0.000624
663.000000, 0.000653
662.000000, 0.000879
661.000000, 0.000976
660.000000, 0.001093
659.000000, 0.000666
658.000000, 0.000428
657.000000, 0.001171
656.000000, 0.001241
655.000000, 0.000619
654.000000, -0.000231
653.000000, -0.000121
652.000000, 0.001632
651.000000, 0.001451
650.000000, 0.000431
649.000000, 0.000024
648.000000, 0.001104
647.000000, 0.000892
646.000000, 0.000319
645.000000, 0.000517
644.000000, 0.000143
643.000000, 0.000315
642.000000, 0.001339
641.000000, 0.000963
640.000000, 0.000622
639.000000, 0.000865
638.000000, 0.000185
637.000000, 0.000162
636.000000, -0.000092
635.000000, 0.000507
634.000000, 0.000528
633.000000, 0.000327
632.000000, 0.000912
631.000000, 0.000352
630.000000, -0.000223
629.000000, 0.001107
628.000000, 0.000749
627.000000, -0.000031
626.000000, 0.000487
625.000000, 0.001783
624.000000, 0.001589
623.000000, 0.001149
622.000000, 0.001551
621.000000, 0.000902
620.000000, 0.000613
619.000000, 0.001322
618.000000, 0.000460
617.000000, 0.000781
616.000000, 0.001504
615.000000, 0.000428
614.000000, 0.000939
613.000000, 0.000828
612.000000, 0.000958
611.000000, 0.000552
610.000000, 0.000882
609.000000, 0.000568
608.000000, 0.001453
607.000000, 0.001174
606.000000, 0.001660
605.000000, 0.002164
604.000000, 0.001637
603.000000, 0.000636
602.000000, 0.001454
601.000000, 0.001192
600.000000, 0.001826
599.000000, 0.001386
598.000000, 0.000860
597.000000, 0.000605
596.000000, 0.001569
595.000000, 0.001247
594.000000, 0.002106
593.000000, 0.000944
592.000000, 0.003005
591.000000, 0.002388
590.000000, 0.001431
589.000000, 0.000597
588.000000, 0.002106
587.000000, 0.002019
586.000000, 0.001012
585.000000, 0.001753
584.000000, 0.002475
583.000000, 0.002448
582.000000, 0.002075
581.000000, 0.002755
580.000000, 0.001814
579.000000, 0.001396
578.000000, 0.002576
577.000000, 0.002291
576.000000, 0.001783
575.000000, 0.001115
574.000000, 0.002079
573.000000, 0.003016
572.000000, 0.002683
571.000000, 0.002426
570.000000, 0.002013
569.000000, 0.003439
568.000000, 0.001761
567.000000, 0.002622
566.000000, 0.002898
565.000000, 0.003791
564.000000, 0.002817
563.000000, 0.002896
562.000000, 0.002728
561.000000, 0.002133
560.000000, 0.002016
559.000000, 0.002653
558.000000, 0.003234
557.000000, 0.002896
556.000000, 0.003100
555.000000, 0.002745
554.000000, 0.004691
553.000000, 0.002616
552.000000, 0.003069
551.000000, 0.004252
550.000000, 0.004006
549.000000, 0.004526
548.000000, 0.004751
547.000000, 0.005414
546.000000, 0.006618
545.000000, 0.005626
544.000000, 0.006145
543.000000, 0.005309
542.000000, 0.006944
541.000000, 0.006137
540.000000, 0.005985
539.000000, 0.005737
538.000000, 0.004991
537.000000, 0.006063
536.000000, 0.007250
535.000000, 0.005420
534.000000, 0.005235
533.000000, 0.005755
532.000000, 0.005036
531.000000, 0.006011
530.000000, 0.007264
529.000000, 0.006266
528.000000, 0.006429
527.000000, 0.008378
526.000000, 0.007598
525.000000, 0.009099
524.000000, 0.009980
523.000000, 0.011224
522.000000, 0.015276
521.000000, 0.017575
520.000000, 0.023705
519.000000, 0.033936
518.000000, 0.052107
517.000000, 0.078725
516.000000, 0.116710
515.000000, 0.159700
514.000000, 0.196142
513.000000, 0.212804
512.000000, 0.212038
511.000000, 0.196996
510.000000, 0.180534
509.000000, 0.163499
