nm, A
800.000000, -0.002148
799.000000, -0.002320
798.000000, -0.001965
797.000000, -0.001830
796.000000, -0.001295
795.000000, -0.001400
794.000000, -0.003182
793.000000, -0.002922
792.000000, -0.001540
791.000000, -0.002394
790.000000, -0.001386
789.000000, -0.003303
788.000000, -0.001460
787.000000, -0.001949
786.000000, -0.001413
785.000000, -0.002199
784.000000, -0.000900
783.000000, -0.001148
782.000000, -0.001007
781.000000, -0.001571
780.000000, -0.000955
779.000000, -0.000201
778.000000, -0.001931
777.000000, -0.002563
776.000000, -0.001592
775.000000, -0.001515
774.000000, -0.002791
773.000000, -0.003260
772.000000, -0.002368
771.000000, -0.001547
770.000000, -0.001735
769.000000, -0.001392
768.000000, -0.000986
767.000000, -0.001287
766.000000, -0.002292
765.000000, -0.002017
764.000000, -0.003073
763.000000, -0.002189
762.000000, -0.003529
761.000000, -0.001907
760.000000, -0.001840
759.000000, -0.002551
758.000000, -0.001540
757.000000, -0.002293
756.000000, -0.002570
755.000000, -0.001341
754.000000, -0.001282
753.000000, -0.002437
752.000000, -0.002809
751.000000, -0.002361
750.000000, -0.001630
749.000000, -0.001237
748.000000, -0.001665
747.000000, -0.002094
746.000000, -0.002899
745.000000, -0.002889
744.000000, -0.002627
743.000000, -0.000689
742.000000, -0.001859
741.000000, -0.002166
740.000000, -0.002287
739.000000, -0.002598
738.000000, -0.002658
737.000000, -0.002181
736.000000, -0.001688
735.000000, -0.001031
734.000000, -0.001225
733.000000, -0.000825
732.000000, -0.001322
731.000000, -0.002360
730.000000, -0.002084
729.000000, -0.000748
728.000000, -0.001426
727.000000, -0.002332
726.000000, -0.002187
725.000000, -0.002465
724.000000, -0.001673
723.000000, -0.001103
722.000000, -0.001224
721.000000, -0.001865
720.000000, -0.002753
719.000000, -0.003065
718.000000, -0.002316
717.000000, -0.001310
716.000000, -0.002216
715.000000, -0.002388
714.000000, -0.002295
713.000000, -0.002624
712.000000, -0.002295
711.000000, -0.002610
710.000000, -0.002638
709.000000, -0.002999
708.000000, -0.002074
707.000000, -0.001532
706.000000, -0.001946
705.000000, -0.001213
704.000000, -0.002318
703.000000, -0.002909
702.000000, -0.001824
701.000000, -0.001946
700.000000, -0.002134
699.000000, -0.002198
698.000000, -0.001779
697.000000, -0.002455
696.000000, -0.002422
695.000000, -0.001878
694.000000, -0.002484
693.000000, -0.001597
692.000000, -0.001542
691.000000, -0.001937
690.000000, -0.002171
689.000000, -0.003162
688.000000, -0.003222
687.000000, -0.001976
686.000000, -0.001274
685.000000, -0.001447
684.000000, -0.001826
683.000000, -0.002848
682.000000, -0.002716
681.000000, -0.001450
680.000000, -0.001678
679.000000, -0.002574
678.000000, -0.002127
677.000000, -0.002111
676.000000, -0.002701
675.000000, -0.002485
674.000000, -0.002817
673.000000, -0.002332
672.000000, -0.001114
671.000000, -0.002437
670.000000, -0.003438
669.000000, -0.002726
668.000000, -0.002249
667.000000, -0.002072
666.000000, -0.001878
665.000000, -0.001532
