nm, A
800.000000, 0.001065
799.000000, 0.000869
798.000000, 0.000267
797.000000, 0.000653
796.000000, 0.000841
795.000000, 0.000872
794.000000, 0.000520
793.000000, -0.000455
792.000000, 0.001161
791.000000, 0.001049
790.000000, 0.001477
789.000000, 0.001438
788.000000, 0.001520
787.000000, 0.001818
786.000000, 0.000153
785.000000, -0.000774
784.000000, 0.000508
783.000000, 0.000652
782.000000, 0.000212
781.000000, 0.000939
780.000000, 0.000928
779.000000, 0.000912
778.000000, 0.000707
777.000000, -0.000194
776.000000, 0.000292
775.000000, 0.000611
774.000000, 0.001581
773.000000, 0.000190
772.000000, -0.000137
771.000000, 0.000205
770.000000, 0.000826
769.000000, 0.001582
768.000000, 0.002025
767.000000, -0.001197
766.000000, -0.000461
765.000000, -0.000482
764.000000, 0.001374
763.000000, 0.000756
762.000000, 0.001631
761.000000, -0.000003
760.000000, 0.000026
759.000000, 0.000181
758.000000, 0.000202
757.000000, 0.000309
756.000000, 0.001669
755.000000, 0.000251
754.000000, -0.000599
753.000000, 0.000100
752.000000, 0.000067
751.000000, 0.000839
750.000000, 0.001080
749.000000, 0.000723
748.000000, -0.000406
747.000000, 0.000076
746.000000, -0.000510
745.000000, -0.000436
744.000000, 0.000355
743.000000, 0.001819
742.000000, 0.001737
741.000000, 0.001010
740.000000, 0.000277
739.000000, 0.000849
738.000000, 0.000537
737.000000, 0.000094
736.000000, 0.000142
735.000000, 0.000131
734.000000, 0.000294
733.000000, 0.001107
732.000000, 0.000377
731.000000, 0.000652
730.000000, 0.000801
729.000000, -0.000751
728.000000, -0.000179
727.000000, 0.000655
726.000000, 0.001677
725.000000, 0.000713
724.000000, 0.000765
723.000000, -0.000524
722.000000, 0.000626
721.000000, 0.000414
720.000000, 0.000845
719.000000, 0.000376
718.000000, 0.000198
717.000000, 0.000131
716.000000, -0.000493
715.000000, 0.000200
714.000000, 0.000481
713.000000, 0.001236
712.000000, 0.001342
711.000000, 0.000680
710.000000, 0.000528
709.000000, -0.000178
708.000000, -0.000265
707.000000, 0.000530
706.000000, 0.000701
705.000000, 0.001267
704.000000, 0.000916
703.000000, 0.000019
702.000000, 0.000219
701.000000, 0.000523
700.000000, 0.000262
699.000000, 0.000639
698.000000, 0.001266
697.000000, 0.001155
696.000000, -0.000217
695.000000, -0.000327
694.000000, 0.001050
693.000000, 0.000520
692.000000, -0.000177
691.000000, 0.000130
690.000000, 0.000988
689.000000, 0.000951
688.000000, 0.000467
687.000000, 0.001119
686.000000, 0.001284
685.000000, 0.000970
684.000000, 0.001317
683.000000, 0.001827
682.000000, 0.001209
681.000000, 0.000416
680.000000, 0.000521
679.000000, 0.000672
678.000000, 0.001153
677.000000, 0.002123
676.000000, 0.001735
675.000000, 0.000496
674.000000, 0.000815
673.000000, 0.001082
672.000000, 0.001196
671.000000, 0.001706
670.000000, 0.001402
669.000000, 0.000916
668.000000, 0.000270
667.000000, 0.000828
666.000000, 0.001018
665.000000, 0.000331
664.000000, 0.000207
663.000000, 0.000865
662.000000, 0.001075
661.000000, -0.000297
660.000000, -0.000007
659.000000, 0.001053
658.000000, 0.001289
657.000000, 0.001648
656.000000, 0.002410
655.000000, 0.001353
654.000000, 0.001351
653.000000, 0.000787
652.000000, 0.000609
651.000000, 0.000802
650.000000, 0.000772
649.000000, 0.001484
648.000000, 0.000956
647.000000, 0.000391
646.000000, 0.000827
645.000000, 0.001094
644.000000, 0.001666
643.000000, 0.001775
642.000000, 0.001200
641.000000, 0.000983
640.000000, 0.001927
639.000000, 0.001394
638.000000, 0.000166
637.000000, 0.000820
636.000000, 0.002123
635.000000, 0.002220
634.000000, 0.002015
633.000000, 0.001758
632.000000, 0.002002
631.000000, 0.001011
630.000000, 0.001441
629.000000, -0.000281
628.000000, 0.001624
627.000000, 0.002748
626.000000, 0.002345
625.000000, 0.002382
624.000000, 0.001760
623.000000, 0.001155
622.000000, 0.001395
621.000000, 0.001359
620.000000, 0.000702
619.000000, 0.000809
618.000000, 0.000717
617.000000, 0.001367
616.000000, 0.001994
615.000000, 0.001182
614.000000, 0.001102
613.000000, 0.000879
612.000000, 0.000471
611.000000, 0.001988
610.000000, 0.002002
609.000000, 0.001402
608.000000, 0.001721
607.000000, 0.001413
606.000000, 0.002601
605.000000, 0.001778
604.000000, 0.002270
603.000000, 0.001428
602.000000, 0.001988
601.000000, 0.002638
600.000000, 0.002628
599.000000, 0.001258
598.000000, 0.003212
597.000000, 0.002258
596.000000, 0.001725
595.000000, 0.001964
594.000000, 0.002041
593.000000, 0.002112
592.000000, 0.002700
591.000000, 0.002591
590.000000, 0.002096
589.000000, 0.001914
588.000000, 0.003123
587.000000, 0.002863
586.000000, 0.003209
585.000000, 0.002395
584.000000, 0.001876
583.000000, 0.001917
582.000000, 0.002694
581.000000, 0.001611
580.000000, 0.002026
579.000000, 0.002335
578.000000, 0.002361
577.000000, 0.002467
576.000000, 0.002906
575.000000, 0.001516
574.000000, 0.003291
573.000000, 0.003258
572.000000, 0.003398
571.000000, 0.002420
570.000000, 0.003296
569.000000, 0.004692
568.000000, 0.003035
567.000000, 0.003116
566.000000, 0.003259
565.000000, 0.003360
564.000000, 0.001666
563.000000, 0.003842
562.000000, 0.002581
