nm, A
800.000000, 0.001070
799.000000, 0.000918
798.000000, -0.000143
797.000000, -0.000343
796.000000, -0.000185
795.000000, -0.001200
794.000000, 0.000635
793.000000, -0.000032
792.000000, 0.000006
791.000000, 0.000528
790.000000, -0.000701
789.000000, 0.000267
788.000000, -0.000885
787.000000, 0.001259
786.000000, 0.001162
785.000000, -0.000191
784.000000, 0.000585
783.000000, -0.000766
782.000000, -0.001404
781.000000, 0.000156
780.000000, 0.000216
779.000000, 0.000320
778.000000, -0.000063
777.000000, -0.000051
776.000000, 0.000705
775.000000, 0.000700
774.000000, -0.000104
773.000000, 0.000841
772.000000, 0.000050
771.000000, -0.000302
770.000000, -0.000239
769.000000, 0.000634
768.000000, -0.000609
767.000000, 0.000407
766.000000, 0.000866
765.000000, 0.000060
764.000000, 0.000402
763.000000, 0.000012
762.000000, 0.000502
761.000000, 0.000002
760.000000, 0.000815
759.000000, 0.000261
758.000000, 0.000244
757.000000, 0.000060
756.000000, 0.000386
755.000000, -0.000824
754.000000, -0.000142
753.000000, 0.000778
752.000000, 0.000368
751.000000, 0.000713
750.000000, 0.000742
749.000000, -0.000129
748.000000, 0.000005
747.000000, -0.001613
746.000000, 0.000765
745.000000, 0.000314
744.000000, -0.000640
743.000000, -0.000794
742.000000, 0.000030
741.000000, 0.000123
740.000000, 0.001005
739.000000, 0.001335
738.000000, 0.000173
737.000000, -0.000051
736.000000, 0.000181
735.000000, -0.000240
734.000000, -0.000647
733.000000, 0.000652
732.000000, 0.000112
731.000000, -0.000555
730.000000, -0.000319
729.000000, -0.000410
728.000000, -0.000117
727.000000, 0.000386
726.000000, 0.000276
725.000000, 0.000651
724.000000, 0.000872
723.000000, 0.001148
722.000000, -0.000668
721.000000, -0.001028
720.000000, -0.000747
719.000000, -0.000843
718.000000, -0.000205
717.000000, 0.000083
716.000000, -0.000061
715.000000, -0.000147
714.000000, 0.000370
713.000000, 0.000573
712.000000, 0.000454
711.000000, 0.000173
710.000000, 0.000848
709.000000, 0.000731
708.000000, 0.000164
707.000000, -0.000345
706.000000, 0.000167
705.000000, 0.000021
704.000000, 0.000370
703.000000, 0.000615
702.000000, -0.000109
701.000000, 0.000121
700.000000, 0.000792
699.000000, -0.000289
698.000000, -0.000984
697.000000, 0.000570
696.000000, 0.001646
695.000000, 0.001019
694.000000, 0.000493
693.000000, 0.000185
692.000000, 0.000744
691.000000, 0.001274
690.000000, 0.001373
689.000000, 0.000676
688.000000, 0.000193
687.000000, 0.000086
686.000000, 0.000201
685.000000, -0.000386
684.000000, 0.000057
683.000000, 0.000337
682.000000, 0.000171
681.000000, 0.001475
680.000000, 0.002115
679.000000, 0.000108
678.000000, -0.000704
677.000000, -0.000216
676.000000, -0.000495
675.000000, -0.000869
674.000000, 0.000378
673.000000, 0.001216
672.000000, 0.000372
671.000000, 0.000231
670.000000, 0.001295
669.000000, 0.000429
668.000000, 0.000164
667.000000, 0.000796
666.000000, -0.000611
665.000000, -0.000385
664.000000, 0.000636
663.000000, 0.000594
662.000000, 0.000466
661.000000, 0.000454
660.000000, 0.000158
659.000000, -0.000275
658.000000, -0.000269
657.000000, -0.000025
656.000000, 0.000287
655.000000, 0.000585
654.000000, 0.000029
653.000000, -0.000637
652.000000, -0.001018
651.000000, -0.000835
650.000000, 0.000315
649.000000, 0.000763
648.000000, 0.000096
647.000000, 0.000251
646.000000, 0.000235
645.000000, 0.000553
644.000000, 0.001421
643.000000, 0.000579
642.000000, 0.000524
641.000000, 0.000926
640.000000, 0.000168
639.000000, 0.000709
638.000000, 0.001372
637.000000, 0.000823
636.000000, 0.000279
635.000000, -0.000403
634.000000, -0.000096
633.000000, 0.000670
632.000000, -0.000489
631.000000, -0.000426
630.000000, 0.000823
629.000000, 0.000436
628.000000, 0.000528
627.000000, 0.000438
626.000000, -0.000306
625.000000, 0.000797
624.000000, 0.000909
623.000000, 0.000068
622.000000, -0.000716
621.000000, -0.000595
620.000000, -0.000079
619.000000, 0.000272
618.000000, 0.000518
617.000000, 0.000155
616.000000, 0.000565
615.000000, -0.000015
614.000000, 0.000891
613.000000, -0.000200
612.000000, 0.000037
611.000000, 0.000328
610.000000, 0.000853
609.000000, 0.000160
608.000000, -0.000103
607.000000, -0.000339
606.000000, -0.000715
605.000000, 0.000028
604.000000, -0.000106
603.000000, 0.000861
602.000000, 0.000105
601.000000, -0.000299
600.000000, -0.000559
599.000000, -0.000265
598.000000, 0.000644
597.000000, -0.000691
596.000000, -0.000154
595.000000, -0.000212
594.000000, 0.000005
593.000000, -0.001534
592.000000, 0.000053
591.000000, -0.000268
590.000000, 0.000168
589.000000, 0.000651
588.000000, 0.000100
587.000000, -0.000396
586.000000, -0.000166
585.000000, 0.001041
584.000000, 0.000477
583.000000, 0.000786
582.000000, -0.000330
581.000000, 0.000503
580.000000, -0.000847
579.000000, 0.000851
578.000000, -0.000074
577.000000, 0.000550
576.000000, -0.000033
575.000000, -0.000006
574.000000, 0.000378
573.000000, -0.000690
572.000000, 0.000447
571.000000, 0.001021
570.000000, 0.000246
569.000000, 0.000141
568.000000, -0.000035
