nm, A
800.000000, -0.000080
799.000000, -0.000912
798.000000, -0.000860
797.000000, -0.001347
796.000000, -0.001040
795.000000, -0.000720
794.000000, -0.000432
793.000000, 0.000281
792.000000, -0.000230
791.000000, -0.000406
790.000000, -0.001843
789.000000, -0.000901
788.000000, -0.000407
787.000000, -0.002808
786.000000, -0.001501
785.000000, -0.000872
784.000000, -0.001123
783.000000, -0.000165
782.000000, -0.000978
781.000000, -0.000558
780.000000, -0.000839
779.000000, -0.000699
778.000000, 0.000339
777.000000, 0.000235
776.000000, -0.000764
775.000000, -0.000861
774.000000, 0.000103
773.000000, -0.000704
772.000000, 0.001049
771.000000, 0.000219
770.000000, -0.000549
769.000000, -0.000148
768.000000, -0.000480
767.000000, -0.000007
766.000000, -0.000545
765.000000, 0.000388
764.000000, -0.000237
763.000000, 0.000449
762.000000, -0.000264
761.000000, -0.000903
760.000000, -0.000668
759.000000, -0.000015
758.000000, -0.000101
757.000000, 0.000879
756.000000, 0.000163
755.000000, 0.000049
754.000000, 0.000279
753.000000, -0.000186
752.000000, -0.000215
751.000000, -0.000026
750.000000, 0.000706
749.000000, -0.000635
748.000000, -0.000903
747.000000, -0.000382
746.000000, -0.000462
745.000000, -0.000275
744.000000, -0.000455
743.000000, -0.001543
742.000000, 0.000135
741.000000, 0.000111
740.000000, -0.000554
739.000000, 0.000075
738.000000, 0.001518
737.000000, 0.000468
736.000000, 0.001136
735.000000, 0.000585
734.000000, -0.000353
733.000000, -0.000030
732.000000, -0.000115
731.000000, 0.000188
730.000000, 0.000294
729.000000, 0.000491
728.000000, 0.001072
727.000000, 0.001625
726.000000, 0.000279
725.000000, -0.000618
724.000000, -0.000698
723.000000, -0.000550
722.000000, -0.000491
721.000000, -0.000021
720.000000, 0.000565
719.000000, 0.000096
718.000000, 0.000523
717.000000, 0.000553
716.000000, 0.000573
715.000000, 0.000787
714.000000, 0.000905
713.000000, 0.000758
712.000000, 0.000308
711.000000, 0.000101
710.000000, 0.000954
709.000000, 0.001308
708.000000, 0.001208
707.000000, 0.000749
706.000000, 0.000567
705.000000, 0.000714
704.000000, 0.000144
703.000000, 0.000112
702.000000, -0.000034
701.000000, 0.000223
700.000000, 0.000405
699.000000, 0.000188
698.000000, -0.000569
697.000000, -0.000314
696.000000, 0.000182
695.000000, 0.001692
694.000000, 0.001307
693.000000, -0.000155
692.000000, -0.000504
691.000000, 0.000471
690.000000, 0.000015
689.000000, 0.000311
688.000000, 0.000490
687.000000, -0.000236
686.000000, 0.000044
685.000000, -0.000281
684.000000, -0.000313
683.000000, 0.000746
682.000000, 0.001518
681.000000, 0.001597
680.000000, 0.000755
679.000000, -0.000376
678.000000, 0.000103
677.000000, -0.000262
676.000000, -0.000380
675.000000, -0.000107
674.000000, -0.000680
673.000000, 0.000226
672.000000, 0.000513
671.000000, 0.000080
670.000000, 0.000244
669.000000, 0.000079
668.000000, 0.000356
667.000000, 0.000519
666.000000, 0.000707
665.000000, 0.000363
664.000000, -0.000332
663.000000, 0.000190
662.000000, -0.000188
661.000000, -0.000185
660.000000, 0.000778
659.000000, 0.001164
658.000000, 0.001398
657.000000, 0.001013
656.000000, 0.001084
655.000000, 0.001097
654.000000, 0.001530
653.000000, 0.001462
652.000000, 0.001176
651.000000, 0.000798
650.000000, 0.000687
649.000000, 0.000720
648.000000, 0.001409
647.000000, 0.001132
646.000000, 0.000751
645.000000, 0.001399
644.000000, 0.001844
643.000000, 0.001926
642.000000, 0.000905
641.000000, 0.000666
640.000000, 0.001638
639.000000, 0.001214
638.000000, 0.001192
637.000000, 0.001237
636.000000, 0.001605
635.000000, 0.001240
634.000000, 0.000640
633.000000, 0.000141
632.000000, -0.000273
631.000000, 0.000471
630.000000, 0.000879
629.000000, 0.001576
628.000000, 0.001579
627.000000, 0.000837
626.000000, 0.000712
625.000000, 0.000509
624.000000, 0.000551
623.000000, 0.000460
622.000000, 0.000784
621.000000, 0.000842
620.000000, 0.000403
619.000000, -0.000343
618.000000, 0.000252
617.000000, 0.000481
616.000000, 0.001954
615.000000, 0.001275
614.000000, 0.000951
613.000000, 0.000558
612.000000, 0.000715
611.000000, 0.000755
610.000000, 0.001000
609.000000, 0.000717
608.000000, 0.000614
607.000000, 0.000342
606.000000, -0.000296
605.000000, 0.000862
604.000000, 0.001723
603.000000, 0.002389
602.000000, 0.002411
601.000000, 0.001480
600.000000, 0.001062
599.000000, 0.000690
598.000000, 0.001205
597.000000, 0.000714
596.000000, 0.001779
595.000000, 0.002064
594.000000, 0.001518
593.000000, 0.000765
592.000000, 0.000391
591.000000, 0.001514
590.000000, 0.001322
589.000000, 0.001534
588.000000, 0.001368
587.000000, 0.001820
586.000000, 0.001749
585.000000, 0.000892
584.000000, 0.000931
583.000000, 0.001603
582.000000, 0.001135
581.000000, 0.000215
580.000000, 0.001549
579.000000, 0.001119
578.000000, 0.001952
577.000000, 0.001181
576.000000, 0.001354
575.000000, 0.001006
574.000000, 0.001593
573.000000, 0.000932
572.000000, 0.000817
571.000000, 0.001643
570.000000, 0.001329
569.000000, 0.001069
568.000000, 0.001934
567.000000, 0.002208
566.000000, 0.002371
565.000000, 0.002199
564.000000, 0.001511
563.000000, 0.000762
562.000000, 0.001295
561.000000, 0.000520
560.000000, 0.001467
559.000000, 0.001795
558.000000, 0.002421
557.000000, 0.001619
556.000000, 0.001660
555.000000, 0.001161
554.000000, 0.000955
553.000000, 0.003113
552.000000, 0.002359
551.000000, 0.002470
550.000000, 0.002066
549.000000, 0.000997
548.000000, 0.003057
547.000000, 0.002770
546.000000, 0.003035
545.000000, 0.002525
544.000000, 0.002339
543.000000, 0.002418
542.000000, 0.002486
541.000000, 0.003287
540.000000, 0.003259
539.000000, 0.002899
538.000000, 0.002374
537.000000, 0.002762
536.000000, 0.003143
535.000000, 0.002967
534.000000, 0.003713
533.000000, 0.002243
532.000000, 0.002424
531.000000, 0.002783
530.000000, 0.002780
529.000000, 0.003349
528.000000, 0.003312
527.000000, 0.002938
526.000000, 0.003796
525.000000, 0.004561
524.000000, 0.004362
523.000000, 0.004812
522.000000, 0.006420
521.000000, 0.006460
520.000000, 0.006973
519.000000, 0.010249
518.000000, 0.015410
517.000000, 0.022331
516.000000, 0.032382
515.000000, 0.046407
514.000000, 0.062580
513.000000, 0.078127
512.000000, 0.087955
511.000000, 0.091136
510.000000, 0.087053
509.000000, 0.080264
508.000000, 0.070877
507.000000, 0.063670
506.000000, 0.056808
505.000000, 0.051200
504.000000, 0.047767
503.000000, 0.044023
502.000000, 0.041797
501.000000, 0.039957
500.000000, 0.039390
499.000000, 0.037437
498.000000, 0.037675
497.000000, 0.037653
496.000000, 0.038122
495.000000, 0.037947
494.000000, 0.038225
493.000000, 0.038111
492.000000, 0.039706
491.000000, 0.041392
490.000000, 0.045069
489.000000, 0.046864
488.000000, 0.049161
487.000000, 0.052710
486.000000, 0.054919
485.000000, 0.057026
484.000000, 0.059030
483.000000, 0.061971
482.000000, 0.064210
481.000000, 0.064938
480.000000, 0.064542
479.000000, 0.063940
478.000000, 0.061904
477.000000, 0.060680
476.000000, 0.058879
475.000000, 0.056849
474.000000, 0.055648
473.000000, 0.054186
472.000000, 0.051728
471.000000, 0.050056
470.000000, 0.048266
469.000000, 0.046412
468.000000, 0.044809
467.000000, 0.043468
466.000000, 0.043256
465.000000, 0.042396
464.000000, 0.041311
463.000000, 0.040192
462.000000, 0.040683
461.000000, 0.040236
460.000000, 0.039518
459.000000, 0.038711
458.000000, 0.038423
457.000000, 0.038881
456.000000, 0.038511
455.000000, 0.038510
454.000000, 0.037647
453.000000, 0.037349
452.000000, 0.036974
451.000000, 0.036996
450.000000, 0.036657
449.000000, 0.037107
448.000000, 0.037684
447.000000, 0.037539
446.000000, 0.037309
445.000000, 0.037399
444.000000, 0.038446
443.000000, 0.039031
442.000000, 0.039376
441.000000, 0.040163
440.000000, 0.041438
439.000000, 0.042750
438.000000, 0.044124
437.000000, 0.044636
436.000000, 0.044248
435.000000, 0.045216
434.000000, 0.046749
