nm, A
800.000000, -0.000888
799.000000, -0.000521
798.000000, -0.001855
797.000000, -0.002265
796.000000, -0.001257
795.000000, -0.000742
794.000000, -0.000709
793.000000, -0.000723
792.000000, 0.000048
791.000000, -0.000578
790.000000, -0.001465
789.000000, -0.000834
788.000000, -0.000712
787.000000, -0.001742
786.000000, -0.001127
785.000000, -0.000803
784.000000, -0.000742
783.000000, -0.000953
782.000000, -0.000873
781.000000, -0.001699
780.000000, -0.001651
779.000000, -0.001608
778.000000, -0.001086
777.000000, -0.001468
776.000000, -0.000722
775.000000, -0.000452
774.000000, -0.000252
773.000000, -0.000243
772.000000, 0.000803
771.000000, -0.000160
770.000000, 0.000245
769.000000, -0.000333
768.000000, -0.001280
767.000000, -0.000150
766.000000, 0.000599
765.000000, -0.000609
764.000000, -0.000516
763.000000, 0.000074
762.000000, 0.000112
761.000000, -0.000042
760.000000, -0.000830
759.000000, -0.000167
758.000000, -0.000201
757.000000, 0.000289
756.000000, -0.001290
755.000000, -0.001282
754.000000, -0.000045
753.000000, -0.000648
752.000000, -0.001159
751.000000, 0.000129
750.000000, 0.000382
749.000000, -0.000368
748.000000, -0.000704
747.000000, -0.000171
746.000000, -0.000689
745.000000, -0.000808
744.000000, -0.001293
743.000000, -0.001525
742.000000, -0.000369
741.000000, -0.000165
740.000000, -0.000950
739.000000, -0.000923
738.000000, -0.000161
737.000000, -0.000864
736.000000, -0.000309
735.000000, -0.000366
734.000000, -0.000159
733.000000, -0.001131
732.000000, -0.000531
731.000000, -0.001048
730.000000, -0.001378
729.000000, -0.000567
728.000000, -0.000010
727.000000, 0.000153
726.000000, -0.000737
725.000000, -0.000917
724.000000, -0.000608
723.000000, 0.000059
722.000000, -0.000639
721.000000, -0.001014
720.000000, -0.001313
719.000000, -0.000598
718.000000, 0.000140
717.000000, -0.000847
716.000000, 0.000042
715.000000, -0.000264
714.000000, -0.001131
713.000000, 0.000116
712.000000, 0.000411
711.000000, -0.000398
710.000000, 0.000334
709.000000, 0.000049
708.000000, 0.000654
707.000000, 0.000244
706.000000, -0.000530
705.000000, -0.000254
704.000000, -0.000338
703.000000, -0.000978
702.000000, -0.000471
701.000000, -0.000288
700.000000, 0.000011
699.000000, -0.000700
698.000000, -0.000855
697.000000, -0.000817
696.000000, 0.000247
695.000000, 0.001164
694.000000, 0.000923
693.000000, -0.000078
692.000000, -0.000807
691.000000, -0.000392
690.000000, -0.000388
689.000000, -0.000217
688.000000, -0.000484
687.000000, -0.001402
686.000000, -0.000973
685.000000, -0.001009
684.000000, -0.000938
683.000000, -0.000509
682.000000, -0.000127
681.000000, 0.001312
680.000000, 0.001529
679.000000, 0.000506
678.000000, 0.000215
677.000000, -0.000435
676.000000, -0.000412
675.000000, 0.000298
674.000000, -0.000165
673.000000, 0.000054
672.000000, 0.000125
671.000000, -0.000144
670.000000, -0.000068
669.000000, -0.000468
668.000000, -0.001307
667.000000, -0.001240
666.000000, -0.000247
665.000000, -0.000820
664.000000, -0.000040
663.000000, 0.000539
662.000000, -0.000139
661.000000, 0.000137
660.000000, 0.000405
659.000000, 0.000131
658.000000, -0.000248
657.000000, -0.000344
656.000000, 0.000687
655.000000, 0.000676
654.000000, 0.000288
653.000000, 0.000653
652.000000, 0.000224
651.000000, -0.000005
650.000000, 0.000234
649.000000, -0.000791
648.000000, -0.000298
647.000000, 0.000121
646.000000, 0.000461
645.000000, 0.000711
644.000000, 0.001364
643.000000, 0.000505
642.000000, -0.000716
641.000000, 0.000293
640.000000, 0.001209
639.000000, 0.000848
638.000000, 0.000934
637.000000, 0.000695
636.000000, 0.000278
635.000000, -0.000196
634.000000, 0.000207
633.000000, -0.000224
632.000000, -0.000039
631.000000, 0.000405
630.000000, -0.000194
629.000000, 0.001002
628.000000, 0.000141
627.000000, -0.000067
626.000000, 0.000820
625.000000, 0.000481
624.000000, 0.000243
623.000000, 0.000522
622.000000, 0.000186
621.000000, 0.000105
620.000000, 0.000832
619.000000, -0.000110
618.000000, 0.000745
617.000000, 0.000663
616.000000, 0.000558
615.000000, 0.000483
614.000000, 0.000149
613.000000, 0.000126
612.000000, 0.000732
611.000000, 0.001170
610.000000, 0.001022
609.000000, -0.000204
608.000000, -0.000652
607.000000, -0.000209
606.000000, -0.000637
605.000000, 0.000341
604.000000, 0.000291
603.000000, 0.000766
602.000000, 0.001511
601.000000, 0.000235
600.000000, 0.000724
599.000000, 0.000111
598.000000, 0.000654
597.000000, 0.000195
596.000000, 0.001028
595.000000, 0.001380
594.000000, 0.000794
593.000000, 0.001364
592.000000, 0.000238
591.000000, 0.000902
590.000000, 0.001243
589.000000, 0.001490
588.000000, 0.000584
587.000000, 0.001258
586.000000, 0.001115
585.000000, 0.000379
584.000000, 0.001354
583.000000, 0.001061
582.000000, 0.000522
581.000000, 0.000793
580.000000, 0.001610
579.000000, 0.000603
578.000000, 0.000542
577.000000, 0.001405
576.000000, 0.000315
575.000000, -0.000249
574.000000, 0.000405
573.000000, 0.001005
572.000000, 0.000538
571.000000, 0.002430
570.000000, 0.001347
569.000000, 0.000598
568.000000, 0.002382
567.000000, 0.002501
566.000000, 0.001319
565.000000, 0.000834
564.000000, -0.000191
563.000000, 0.000559
562.000000, 0.000582
561.000000, 0.000506
560.000000, 0.000128
559.000000, -0.000484
558.000000, 0.001830
557.000000, -0.000142
556.000000, 0.001676
555.000000, 0.000511
554.000000, 0.000490
553.000000, 0.002437
552.000000, 0.002723
551.000000, 0.000879
550.000000, 0.001894
549.000000, 0.000884
548.000000, 0.001298
547.000000, 0.001455
546.000000, 0.001553
545.000000, 0.001259
544.000000, 0.001468
543.000000, 0.002405
542.000000, 0.002786
541.000000, 0.002862
540.000000, 0.002291
539.000000, 0.001995
538.000000, 0.001093
537.000000, 0.001818
536.000000, 0.003009
535.000000, 0.002499
534.000000, 0.002433
533.000000, 0.001947
532.000000, 0.001245
531.000000, 0.002151
530.000000, 0.002178
529.000000, 0.002536
528.000000, 0.002039
527.000000, 0.001994
526.000000, 0.002281
525.000000, 0.002644
524.000000, 0.003621
523.000000, 0.003979
522.000000, 0.004714
521.000000, 0.005317
520.000000, 0.007602
519.000000, 0.011103
518.000000, 0.015441
517.000000, 0.023693
516.000000, 0.036901
515.000000, 0.055140
514.000000, 0.075717
513.000000, 0.095789
512.000000, 0.108662
511.000000, 0.111564
510.000000, 0.107407
509.000000, 0.096981
508.000000, 0.085777
507.000000, 0.076143
506.000000, 0.067643
505.000000, 0.061001
504.000000, 0.055586
503.000000, 0.052026
502.000000, 0.049698
501.000000, 0.047787
500.000000, 0.046825
499.000000, 0.044631
498.000000, 0.044605
497.000000, 0.044235
496.000000, 0.044204
495.000000, 0.043996
494.000000, 0.044800
493.000000, 0.044961
492.000000, 0.046482
491.000000, 0.048665
490.000000, 0.051914
489.000000, 0.054457
488.000000, 0.057673
487.000000, 0.062173
486.000000, 0.065166
485.000000, 0.068737
484.000000, 0.072012
483.000000, 0.074104
482.000000, 0.076959
481.000000, 0.077696
480.000000, 0.076461
479.000000, 0.075310
478.000000, 0.073600
477.000000, 0.072177
476.000000, 0.070013
475.000000, 0.066704
474.000000, 0.064637
473.000000, 0.063249
472.000000, 0.060466
471.000000, 0.058375
470.000000, 0.056302
469.000000, 0.054645
468.000000, 0.052946
467.000000, 0.050812
466.000000, 0.050432
465.000000, 0.048972
464.000000, 0.048054
463.000000, 0.046941
462.000000, 0.047203
461.000000, 0.046306
460.000000, 0.045985
459.000000, 0.045270
458.000000, 0.044519
457.000000, 0.044344
456.000000, 0.044471
455.000000, 0.043936
454.000000, 0.044475
453.000000, 0.044075
452.000000, 0.042790
451.000000, 0.042736
450.000000, 0.042426
449.000000, 0.042393
448.000000, 0.043350
447.000000, 0.044258
446.000000, 0.043726
445.000000, 0.043739
444.000000, 0.044173
