nm, A
800.000000, 0.001052
799.000000, 0.000227
798.000000, 0.000748
797.000000, 0.001151
796.000000, -0.000094
795.000000, 0.001380
794.000000, 0.000527
793.000000, 0.000836
792.000000, 0.002247
791.000000, 0.000952
790.000000, 0.001010
789.000000, 0.000764
788.000000, -0.000090
787.000000, 0.000412
786.000000, 0.000693
785.000000, 0.001172
784.000000, 0.000857
783.000000, 0.000527
782.000000, 0.001282
781.000000, 0.001580
780.000000, 0.000013
779.000000, 0.000241
778.000000, 0.000863
777.000000, 0.001063
776.000000, 0.002153
775.000000, 0.001833
774.000000, 0.001434
773.000000, 0.001283
772.000000, 0.002082
771.000000, 0.000466
770.000000, 0.000674
769.000000, 0.002513
768.000000, 0.000816
767.000000, 0.000791
766.000000, 0.001611
765.000000, 0.001374
764.000000, 0.001066
763.000000, 0.000563
762.000000, 0.000956
761.000000, 0.000395
760.000000, 0.001666
759.000000, 0.002185
758.000000, 0.001418
757.000000, 0.000856
756.000000, 0.001632
755.000000, 0.001857
754.000000, -0.000543
753.000000, 0.000670
752.000000, 0.000893
751.000000, 0.001512
750.000000, -0.000189
749.000000, 0.000998
748.000000, 0.001910
747.000000, 0.000745
746.000000, 0.000227
745.000000, 0.000739
744.000000, 0.000624
743.000000, 0.001325
742.000000, 0.000547
741.000000, 0.000311
740.000000, 0.001370
739.000000, 0.001392
738.000000, 0.001692
737.000000, 0.001092
736.000000, 0.001003
735.000000, 0.001573
734.000000, 0.000993
733.000000, 0.000752
732.000000, 0.000861
731.000000, 0.001411
730.000000, 0.000521
729.000000, 0.000228
728.000000, 0.000807
727.000000, 0.000060
726.000000, 0.001477
725.000000, 0.000201
724.000000, -0.000080
723.000000, 0.000377
722.000000, 0.001006
721.000000, 0.001087
720.000000, 0.000842
719.000000, 0.000671
718.000000, 0.001050
717.000000, 0.001978
716.000000, 0.000840
715.000000, 0.001432
714.000000, 0.001631
713.000000, 0.001905
712.000000, 0.001430
711.000000, 0.001076
710.000000, 0.000478
709.000000, 0.000591
708.000000, 0.000767
707.000000, 0.000916
706.000000, 0.000125
705.000000, 0.000516
704.000000, 0.000813
703.000000, -0.000422
702.000000, 0.000977
701.000000, 0.001273
700.000000, 0.001427
699.000000, 0.001409
698.000000, 0.001241
697.000000, 0.001071
696.000000, 0.000652
695.000000, 0.000662
694.000000, 0.001033
693.000000, 0.001108
692.000000, 0.001707
691.000000, 0.001663
690.000000, 0.001666
689.000000, 0.001160
688.000000, 0.001226
687.000000, 0.001038
686.000000, 0.000780
685.000000, 0.000513
684.000000, 0.000867
683.000000, 0.000878
682.000000, 0.000601
681.000000, 0.001702
680.000000, 0.001264
679.000000, 0.000903
678.000000, 0.001636
677.000000, 0.001967
676.000000, 0.001499
675.000000, 0.000970
674.000000, 0.000735
673.000000, 0.000897
672.000000, 0.001340
671.000000, 0.001408
670.000000, 0.000950
669.000000, 0.001108
668.000000, 0.001370
667.000000, 0.000611
666.000000, 0.000878
665.000000, 0.001763
664.000000, 0.001424
663.000000, 0.001828
662.000000, 0.001690
661.000000, 0.001101
660.000000, 0.000344
659.000000, 0.000475
658.000000, 0.001775
657.000000, 0.002301
656.000000, 0.001768
655.000000, 0.000915
654.000000, 0.000017
653.000000, 0.000422
652.000000, 0.000962
651.000000, 0.001509
650.000000, 0.001610
649.000000, 0.001150
648.000000, 0.001129
647.000000, 0.001544
646.000000, 0.001379
645.000000, 0.001496
644.000000, 0.000975
643.000000, 0.000577
642.000000, 0.001092
641.000000, 0.002166
640.000000, 0.001599
639.000000, 0.001442
638.000000, 0.001335
637.000000, 0.000516
636.000000, 0.001733
635.000000, 0.002275
634.000000, 0.000878
633.000000, 0.000092
632.000000, 0.000979
631.000000, 0.002424
630.000000, 0.001624
629.000000, 0.000605
628.000000, 0.001688
627.000000, 0.002288
626.000000, 0.001903
625.000000, 0.001523
624.000000, 0.001531
623.000000, 0.000476
622.000000, 0.000800
621.000000, 0.001898
620.000000, 0.000863
619.000000, 0.001337
618.000000, 0.001242
617.000000, 0.001259
616.000000, 0.002010
615.000000, 0.001865
614.000000, 0.002039
613.000000, 0.000959
612.000000, 0.001717
611.000000, 0.001643
610.000000, 0.001250
609.000000, 0.001770
608.000000, 0.001204
607.000000, 0.001137
606.000000, 0.002278
605.000000, 0.002498
604.000000, 0.002866
603.000000, 0.000829
602.000000, 0.001513
601.000000, 0.001502
600.000000, 0.001044
599.000000, 0.001540
598.000000, 0.001200
597.000000, 0.002493
596.000000, 0.001750
595.000000, 0.001647
594.000000, 0.001698
593.000000, 0.001660
592.000000, 0.002322
591.000000, 0.001956
590.000000, 0.001517
589.000000, 0.002421
588.000000, 0.001368
587.000000, 0.001208
586.000000, 0.001891
585.000000, 0.001933
584.000000, 0.001259
583.000000, 0.001486
582.000000, 0.002361
581.000000, 0.002265
580.000000, 0.001055
579.000000, 0.001537
578.000000, 0.002830
577.000000, 0.003030
576.000000, 0.001729
575.000000, 0.002120
574.000000, 0.001868
573.000000, 0.002741
572.000000, 0.001540
571.000000, 0.002813
570.000000, 0.003387
569.000000, 0.002073
568.000000, 0.002370
567.000000, 0.001658
566.000000, 0.002498
565.000000, 0.002451
564.000000, 0.003471
563.000000, 0.002697
562.000000, 0.001496
561.000000, 0.001311
560.000000, 0.002187
559.000000, 0.001580
558.000000, 0.002789
557.000000, 0.002867
556.000000, 0.002308
555.000000, 0.003386
554.000000, 0.002824
553.000000, 0.003436
552.000000, 0.003469
551.000000, 0.002907
550.000000, 0.003202
549.000000, 0.003700
548.000000, 0.001898
547.000000, 0.002764
546.000000, 0.003705
545.000000, 0.004104
544.000000, 0.003464
543.000000, 0.003447
542.000000, 0.002940
541.000000, 0.004643
540.000000, 0.003084
539.000000, 0.004030
538.000000, 0.003412
537.000000, 0.003428
536.000000, 0.003553
535.000000, 0.003867
534.000000, 0.003915
533.000000, 0.003532
532.000000, 0.004798
531.000000, 0.003752
530.000000, 0.003118
529.000000, 0.003129
528.000000, 0.004825
527.000000, 0.004488
526.000000, 0.004348
525.000000, 0.005440
524.000000, 0.003489
523.000000, 0.006076
522.000000, 0.004197
521.000000, 0.005889
520.000000, 0.008433
