nm, A
800.000000, 0.034906
799.000000, 0.035361
798.000000, 0.035545
797.000000, 0.035515
796.000000, 0.034878
795.000000, 0.033907
794.000000, 0.034462
793.000000, 0.034250
792.000000, 0.034275
791.000000, 0.034253
790.000000, 0.034025
789.000000, 0.033886
788.000000, 0.035436
787.000000, 0.034713
786.000000, 0.033738
785.000000, 0.034430
784.000000, 0.035124
783.000000, 0.034869
782.000000, 0.034889
781.000000, 0.034999
780.000000, 0.035119
779.000000, 0.035944
778.000000, 0.034584
777.000000, 0.034652
776.000000, 0.035611
775.000000, 0.035131
774.000000, 0.036085
773.000000, 0.036125
772.000000, 0.036082
771.000000, 0.036458
770.000000, 0.037299
769.000000, 0.037647
768.000000, 0.037471
767.000000, 0.037692
766.000000, 0.039018
765.000000, 0.038656
764.000000, 0.038221
763.000000, 0.038465
762.000000, 0.039981
761.000000, 0.040754
760.000000, 0.040330
759.000000, 0.039436
758.000000, 0.040256
757.000000, 0.040769
756.000000, 0.041000
755.000000, 0.040305
754.000000, 0.040292
753.000000, 0.041700
752.000000, 0.042126
751.000000, 0.041656
750.000000, 0.041130
749.000000, 0.042706
748.000000, 0.042718
747.000000, 0.042155
746.000000, 0.041772
745.000000, 0.042072
744.000000, 0.042479
743.000000, 0.042540
742.000000, 0.041806
741.000000, 0.041015
740.000000, 0.039736
739.000000, 0.039965
738.000000, 0.040048
737.000000, 0.039496
736.000000, 0.038823
735.000000, 0.038835
734.000000, 0.039436
733.000000, 0.039965
732.000000, 0.039789
731.000000, 0.039633
730.000000, 0.039329
729.000000, 0.039081
728.000000, 0.038958
727.000000, 0.039090
726.000000, 0.038357
725.000000, 0.038786
724.000000, 0.039398
723.000000, 0.039193
722.000000, 0.039201
721.000000, 0.039345
720.000000, 0.038944
719.000000, 0.039000
718.000000, 0.038837
717.000000, 0.039806
716.000000, 0.039611
715.000000, 0.039852
714.000000, 0.039347
713.000000, 0.039194
712.000000, 0.039231
711.000000, 0.039667
710.000000, 0.039877
709.000000, 0.040251
708.000000, 0.039689
707.000000, 0.039253
706.000000, 0.038484
705.000000, 0.039570
704.000000, 0.040251
703.000000, 0.039704
702.000000, 0.039771
701.000000, 0.039770
700.000000, 0.040576
699.000000, 0.040810
698.000000, 0.040286
697.000000, 0.040150
696.000000, 0.039999
695.000000, 0.039935
694.000000, 0.039804
693.000000, 0.040236
692.000000, 0.039688
691.000000, 0.039271
690.000000, 0.039857
689.000000, 0.039821
688.000000, 0.039809
687.000000, 0.040145
686.000000, 0.040268
685.000000, 0.039842
684.000000, 0.039648
683.000000, 0.039291
682.000000, 0.039960
681.000000, 0.040098
680.000000, 0.039895
679.000000, 0.040283
678.000000, 0.040014
677.000000, 0.039521
676.000000, 0.038997
675.000000, 0.039194
674.000000, 0.040157
673.000000, 0.039628
672.000000, 0.039916
671.000000, 0.039902
670.000000, 0.039114
669.000000, 0.039579
668.000000, 0.039677
667.000000, 0.039294
666.000000, 0.038935
665.000000, 0.039384
664.000000, 0.039268
663.000000, 0.038696
662.000000, 0.039180
661.000000, 0.039555
660.000000, 0.039176
659.000000, 0.039080
658.000000, 0.039241
657.000000, 0.039019
656.000000, 0.038874
655.000000, 0.038718
654.000000, 0.039066
653.000000, 0.038458
652.000000, 0.038038
651.000000, 0.038312
650.000000, 0.038877
649.000000, 0.038642
648.000000, 0.038099
647.000000, 0.038343
646.000000, 0.038651
645.000000, 0.038726
644.000000, 0.039031
643.000000, 0.038330
642.000000, 0.037637
641.000000, 0.038062
640.000000, 0.037833
639.000000, 0.037443
638.000000, 0.037193
637.000000, 0.037342
636.000000, 0.038322
635.000000, 0.037271
634.000000, 0.037333
633.000000, 0.037618
632.000000, 0.037179
631.000000, 0.036872
630.000000, 0.037384
629.000000, 0.037292
628.000000, 0.036393
627.000000, 0.036139
626.000000, 0.036074
625.000000, 0.036273
624.000000, 0.036128
623.000000, 0.036614
622.000000, 0.036390
621.000000, 0.035932
620.000000, 0.035581
619.000000, 0.035160
618.000000, 0.035077
617.000000, 0.035111
616.000000, 0.034558
615.000000, 0.034312
614.000000, 0.034578
613.000000, 0.034053
612.000000, 0.035261
611.000000, 0.035079
610.000000, 0.034793
609.000000, 0.034046
608.000000, 0.034475
607.000000, 0.034184
606.000000, 0.033970
605.000000, 0.034792
604.000000, 0.034119
603.000000, 0.034308
602.000000, 0.034452
601.000000, 0.033263
600.000000, 0.033328
599.000000, 0.032735
598.000000, 0.034000
597.000000, 0.033807
596.000000, 0.033096
595.000000, 0.033803
594.000000, 0.032705
593.000000, 0.033014
592.000000, 0.033376
591.000000, 0.032841
590.000000, 0.032234
589.000000, 0.032677
588.000000, 0.032581
587.000000, 0.032508
586.000000, 0.032417
585.000000, 0.031980
584.000000, 0.032301
583.000000, 0.032564
582.000000, 0.032916
581.000000, 0.032516
580.000000, 0.032412
579.000000, 0.031624
578.000000, 0.032548
577.000000, 0.031764
576.000000, 0.031807
575.000000, 0.031481
574.000000, 0.032274
573.000000, 0.031999
572.000000, 0.031782
571.000000, 0.031619
570.000000, 0.031796
569.000000, 0.031200
568.000000, 0.031974
567.000000, 0.031995
566.000000, 0.031133
565.000000, 0.031368
564.000000, 0.031591
563.000000, 0.031588
562.000000, 0.031100
561.000000, 0.031327
560.000000, 0.031430
559.000000, 0.030784
558.000000, 0.031074
557.000000, 0.031118
556.000000, 0.029635
555.000000, 0.030980
554.000000, 0.030258
553.000000, 0.030863
552.000000, 0.031097
551.000000, 0.029856
550.000000, 0.030047
549.000000, 0.030033
548.000000, 0.031013
547.000000, 0.031059
546.000000, 0.029724
545.000000, 0.030699
544.000000, 0.029884
543.000000, 0.030110
542.000000, 0.029692
541.000000, 0.030150
540.000000, 0.030473
539.000000, 0.031272
538.000000, 0.030271
537.000000, 0.031258
536.000000, 0.030676
535.000000, 0.030556
534.000000, 0.031257
533.000000, 0.030915
532.000000, 0.031350
531.000000, 0.031258
530.000000, 0.032059
529.000000, 0.031075
528.000000, 0.032044
527.000000, 0.032455
526.000000, 0.032199
525.000000, 0.032756
524.000000, 0.032556
523.000000, 0.032095
522.000000, 0.033344
521.000000, 0.033647
520.000000, 0.033356
519.000000, 0.033908
518.000000, 0.034929
517.000000, 0.034790
516.000000, 0.034879
515.000000, 0.035551
514.000000, 0.035847
513.000000, 0.036170
512.000000, 0.035919
511.000000, 0.036019
510.000000, 0.036209
509.000000, 0.036210
508.000000, 0.036707
507.000000, 0.034769
506.000000, 0.036171
505.000000, 0.035840
504.000000, 0.034703
503.000000, 0.035516
