nm, A
800.000000, 0.000670
799.000000, 0.000037
798.000000, 0.000926
797.000000, 0.000299
796.000000, -0.000570
795.000000, 0.000975
794.000000, 0.001939
793.000000, 0.001399
792.000000, 0.001356
791.000000, 0.000847
790.000000, 0.000422
789.000000, 0.000698
788.000000, -0.000271
787.000000, 0.000783
786.000000, -0.000202
785.000000, 0.000116
784.000000, 0.000200
783.000000, 0.000185
782.000000, 0.000763
781.000000, 0.000995
780.000000, -0.000091
779.000000, 0.000250
778.000000, 0.000815
777.000000, 0.000119
776.000000, 0.000453
775.000000, 0.000311
774.000000, 0.000570
773.000000, 0.000941
772.000000, 0.001692
771.000000, 0.000858
770.000000, 0.001040
769.000000, 0.000927
768.000000, 0.000735
767.000000, 0.000620
766.000000, 0.000819
765.000000, -0.001160
764.000000, -0.000132
763.000000, 0.000904
762.000000, 0.001718
761.000000, 0.000757
760.000000, 0.000229
759.000000, 0.001149
758.000000, 0.001107
757.000000, 0.000816
756.000000, 0.001776
755.000000, 0.001039
754.000000, -0.000188
753.000000, -0.000157
752.000000, -0.000719
751.000000, 0.001137
750.000000, 0.000512
749.000000, 0.000589
748.000000, 0.000583
747.000000, -0.000302
746.000000, -0.000718
745.000000, 0.000697
744.000000, 0.000391
743.000000, 0.000070
742.000000, 0.000227
741.000000, 0.000659
740.000000, 0.001234
739.000000, 0.001018
738.000000, 0.000892
737.000000, 0.000701
736.000000, 0.000935
735.000000, 0.000375
734.000000, -0.000364
733.000000, -0.000017
732.000000, 0.000124
731.000000, 0.000618
730.000000, 0.000238
729.000000, -0.000202
728.000000, -0.000459
727.000000, -0.000155
726.000000, 0.001123
725.000000, -0.000333
724.000000, 0.000172
723.000000, 0.000402
722.000000, 0.000610
721.000000, 0.001184
720.000000, 0.001400
719.000000, 0.001075
718.000000, 0.001323
717.000000, 0.001136
716.000000, 0.000871
715.000000, 0.000542
714.000000, 0.000004
713.000000, 0.000497
712.000000, 0.000573
711.000000, 0.000435
710.000000, -0.000245
709.000000, 0.000533
708.000000, 0.000712
707.000000, 0.000693
706.000000, 0.000146
705.000000, 0.000971
704.000000, 0.000382
703.000000, -0.000106
702.000000, 0.000571
701.000000, 0.000161
700.000000, 0.000055
699.000000, 0.000316
698.000000, 0.000570
697.000000, 0.000665
696.000000, 0.000691
695.000000, 0.000476
694.000000, 0.000513
693.000000, 0.000095
692.000000, 0.000407
691.000000, 0.001602
690.000000, 0.000912
689.000000, 0.000125
688.000000, 0.000621
687.000000, 0.000858
686.000000, 0.000907
685.000000, 0.000351
684.000000, 0.000218
683.000000, 0.000187
682.000000, 0.000710
681.000000, 0.001267
680.000000, 0.000772
679.000000, 0.000692
678.000000, 0.001162
677.000000, 0.001285
676.000000, 0.000953
675.000000, 0.000285
674.000000, -0.000370
673.000000, 0.000361
672.000000, 0.000855
671.000000, 0.001345
670.000000, 0.001191
669.000000, 0.001045
668.000000, 0.001216
667.000000, 0.000039
666.000000, 0.000034
665.000000, 0.001039
664.000000, 0.000924
663.000000, 0.001516
662.000000, 0.001644
661.000000, 0.001136
660.000000, 0.000451
659.000000, -0.000136
658.000000, 0.000519
657.000000, 0.001324
656.000000, 0.001209
655.000000, 0.000234
654.000000, -0.000385
653.000000, -0.000049
652.000000, 0.000243
651.000000, 0.000724
650.000000, 0.000877
649.000000, 0.000907
648.000000, 0.001339
647.000000, 0.001039
646.000000, 0.000568
645.000000, 0.001708
644.000000, 0.001470
643.000000, 0.000724
642.000000, 0.000600
641.000000, 0.000973
640.000000, 0.001174
639.000000, 0.000557
638.000000, 0.000872
637.000000, 0.000613
636.000000, 0.002270
635.000000, 0.001658
634.000000, 0.000453
633.000000, 0.000179
632.000000, 0.000234
631.000000, 0.001330
630.000000, 0.001715
629.000000, 0.001027
628.000000, 0.001653
627.000000, 0.001410
626.000000, 0.001059
625.000000, 0.000607
624.000000, 0.000407
623.000000, 0.001190
622.000000, 0.001602
621.000000, 0.001233
620.000000, 0.000523
619.000000, 0.001500
618.000000, 0.000509
617.000000, 0.001121
616.000000, 0.002153
615.000000, 0.002543
614.000000, 0.001781
613.000000, 0.001675
612.000000, 0.002349
611.000000, 0.001475
610.000000, 0.000766
609.000000, 0.001859
608.000000, 0.001614
607.000000, 0.000623
606.000000, 0.001732
605.000000, 0.001146
604.000000, 0.001441
603.000000, 0.000442
602.000000, 0.001026
601.000000, 0.001470
600.000000, 0.001266
599.000000, 0.001170
598.000000, 0.001191
597.000000, 0.001758
596.000000, 0.001235
595.000000, 0.001131
594.000000, 0.000312
593.000000, 0.002203
592.000000, 0.002507
591.000000, 0.001174
590.000000, 0.001112
589.000000, 0.002333
588.000000, 0.001579
587.000000, 0.002135
586.000000, 0.001578
585.000000, 0.001897
584.000000, 0.001927
583.000000, 0.002253
582.000000, 0.001540
581.000000, 0.001362
580.000000, 0.002575
579.000000, 0.002646
578.000000, 0.001834
577.000000, 0.002203
576.000000, 0.001544
575.000000, 0.002337
574.000000, 0.003574
573.000000, 0.002666
572.000000, 0.002551
571.000000, 0.002179
570.000000, 0.003202
569.000000, 0.001660
568.000000, 0.002925
567.000000, 0.003126
566.000000, 0.003480
565.000000, 0.002518
564.000000, 0.003475
563.000000, 0.003052
562.000000, 0.001670
561.000000, 0.003073
560.000000, 0.002266
559.000000, 0.003905
558.000000, 0.003314
557.000000, 0.003272
556.000000, 0.003289
555.000000, 0.003976
554.000000, 0.004109
553.000000, 0.004256
552.000000, 0.004169
551.000000, 0.004124
550.000000, 0.004583
549.000000, 0.003994
548.000000, 0.003870
547.000000, 0.005171
546.000000, 0.004678
545.000000, 0.004992
544.000000, 0.005584
543.000000, 0.004254
542.000000, 0.005588
541.000000, 0.005533
540.000000, 0.004259
539.000000, 0.005044
538.000000, 0.005193
537.000000, 0.005062
536.000000, 0.005710
535.000000, 0.004650
534.000000, 0.005099
533.000000, 0.004349
532.000000, 0.005704
531.000000, 0.005268
530.000000, 0.006065
529.000000, 0.004597
528.000000, 0.007520
527.000000, 0.006089
526.000000, 0.006715
525.000000, 0.008058
524.000000, 0.007236
523.000000, 0.010141
522.000000, 0.009386
521.000000, 0.013414
520.000000, 0.018219
519.000000, 0.025376
518.000000, 0.037361
517.000000, 0.053959
516.000000, 0.083460
515.000000, 0.124269
514.000000, 0.174564
513.000000, 0.223257
512.000000, 0.257818
511.000000, 0.267138
510.000000, 0.255614
509.000000, 0.231095
508.000000, 0.206216
507.000000, 0.182232
506.000000, 0.160940
505.000000, 0.145940
504.000000, 0.134451
503.000000, 0.124138
502.000000, 0.117126
501.000000, 0.113719
500.000000, 0.111060
499.000000, 0.108145
498.000000, 0.104457
497.000000, 0.104505
496.000000, 0.104681
495.000000, 0.105928
494.000000, 0.107320
493.000000, 0.108583
492.000000, 0.111691
491.000000, 0.115761
490.000000, 0.121098
489.000000, 0.128581
488.000000, 0.137512
487.000000, 0.145682
486.000000, 0.154514
485.000000, 0.163021
484.000000, 0.170475
483.000000, 0.175926
482.000000, 0.180631
481.000000, 0.182402
480.000000, 0.181790
479.000000, 0.179923
478.000000, 0.175644
477.000000, 0.170698
476.000000, 0.165161
475.000000, 0.159948
474.000000, 0.154507
473.000000, 0.148491
472.000000, 0.142309
471.000000, 0.137409
470.000000, 0.132621
469.000000, 0.128921
468.000000, 0.125644
467.000000, 0.121565
466.000000, 0.118465
465.000000, 0.115875
464.000000, 0.113689
463.000000, 0.111751
462.000000, 0.110491
461.000000, 0.107761
460.000000, 0.106048
459.000000, 0.106701
458.000000, 0.105719
457.000000, 0.104263
456.000000, 0.103634
455.000000, 0.102523
454.000000, 0.101276
453.000000, 0.100921
452.000000, 0.101408
451.000000, 0.101646
450.000000, 0.101417
449.000000, 0.100990
448.000000, 0.101634
447.000000, 0.102457
446.000000, 0.102190
445.000000, 0.103268
444.000000, 0.105405
443.000000, 0.105857
442.000000, 0.106329
441.000000, 0.107779
440.000000, 0.109945
439.000000, 0.112315
438.000000, 0.114909
437.000000, 0.118263
436.000000, 0.120892
435.000000, 0.124046
434.000000, 0.126701
433.000000, 0.128411
432.000000, 0.131363
431.000000, 0.133537
430.000000, 0.135112
429.000000, 0.137857
428.000000, 0.140270
427.000000, 0.140607
426.000000, 0.140539
425.000000, 0.141323
424.000000, 0.142010
423.000000, 0.142895
422.000000, 0.143314
421.000000, 0.142889
420.000000, 0.142293
419.000000, 0.142388
418.000000, 0.142902
417.000000, 0.143210
416.000000, 0.142932
415.000000, 0.142630
414.000000, 0.142239
413.000000, 0.142023
412.000000, 0.141824
411.000000, 0.141636
410.000000, 0.142122
409.000000, 0.143109
408.000000, 0.142142
407.000000, 0.141966
406.000000, 0.142568
405.000000, 0.142946
404.000000, 0.143388
403.000000, 0.143294
402.000000, 0.142112
401.000000, 0.140736
400.000000, 0.141131
399.000000, 0.142139
398.000000, 0.142476
397.000000, 0.141435
396.000000, 0.141339
395.000000, 0.141558
394.000000, 0.139693
393.000000, 0.140070
392.000000, 0.140246
391.000000, 0.139433
390.000000, 0.140883
389.000000, 0.140468
388.000000, 0.141085
387.000000, 0.141655
386.000000, 0.141878
385.000000, 0.140909
384.000000, 0.142241
383.000000, 0.142493
382.000000, 0.143187
381.000000, 0.143075
380.000000, 0.143213
379.000000, 0.142524
378.000000, 0.143589
377.000000, 0.144396
376.000000, 0.144943
375.000000, 0.145364
374.000000, 0.146244
373.000000, 0.146264
372.000000, 0.145677
371.000000, 0.147101
370.000000, 0.147556
369.000000, 0.147905
368.000000, 0.148273
367.000000, 0.150387
366.000000, 0.150666
365.000000, 0.150477
364.000000, 0.151302
363.000000, 0.151189
362.000000, 0.152753
361.000000, 0.153800
360.000000, 0.154383
359.000000, 0.154997
358.000000, 0.156424
357.000000, 0.157549
356.000000, 0.158622
355.000000, 0.160740
354.000000, 0.161532
353.000000, 0.163029
352.000000, 0.165757
351.000000, 0.167304
350.000000, 0.170157
349.000000, 0.172346
348.000000, 0.175428
347.000000, 0.178892
346.000000, 0.182653
345.000000, 0.185505
344.000000, 0.188357
343.000000, 0.194117
342.000000, 0.198308
341.000000, 0.201466
340.000000, 0.205131
339.000000, 0.209456
338.000000, 0.214421
337.000000, 0.217671
336.000000, 0.223962
335.000000, 0.229449
334.000000, 0.234411
333.000000, 0.239101
332.000000, 0.245486
331.000000, 0.251507
330.000000, 0.260254
329.000000, 0.267140
328.000000, 0.275976
327.000000, 0.284839
326.000000, 0.295443
325.000000, 0.307732
324.000000, 0.318430
323.000000, 0.329895
322.000000, 0.340594
321.000000, 0.350898
320.000000, 0.360502
319.000000, 0.368145
318.000000, 0.373405
317.000000, 0.378886
316.000000, 0.384725
315.000000, 0.387713
314.000000, 0.393346
313.000000, 0.397767
312.000000, 0.402621
311.000000, 0.408180
310.000000, 0.413075
309.000000, 0.417451
308.000000, 0.425342
307.000000, 0.431236
306.000000, 0.436217
305.000000, 0.441883
304.000000, 0.447921
303.000000, 0.451037
302.000000, 0.458423
301.000000, 0.460372
300.000000, 0.466404
