nm, A
800.000000, -0.000786
799.000000, -0.001550
798.000000, 0.000675
797.000000, -0.000211
796.000000, 0.000065
795.000000, 0.000161
794.000000, -0.000420
793.000000, -0.000278
792.000000, 0.000173
791.000000, -0.000182
790.000000, -0.000142
789.000000, 0.000042
788.000000, 0.000215
787.000000, 0.000449
786.000000, -0.000161
785.000000, -0.000255
784.000000, 0.000293
783.000000, 0.001084
782.000000, 0.000081
781.000000, -0.000513
780.000000, -0.001138
779.000000, -0.000139
778.000000, 0.000421
777.000000, 0.000320
776.000000, -0.000392
775.000000, -0.000016
774.000000, 0.000019
773.000000, -0.000041
772.000000, -0.000039
771.000000, -0.000385
770.000000, 0.000349
769.000000, 0.000511
768.000000, 0.000615
767.000000, 0.000061
766.000000, 0.000101
765.000000, 0.000151
764.000000, 0.000054
763.000000, -0.000077
762.000000, 0.000010
761.000000, 0.000232
760.000000, -0.000391
759.000000, -0.000580
758.000000, 0.000025
757.000000, -0.000263
756.000000, -0.000103
755.000000, 0.000283
754.000000, 0.000923
753.000000, -0.000466
752.000000, -0.000635
751.000000, -0.000491
750.000000, 0.000352
749.000000, -0.000139
748.000000, 0.000575
747.000000, -0.000028
746.000000, -0.000162
745.000000, -0.000062
744.000000, 0.000444
743.000000, 0.000721
742.000000, 0.000074
741.000000, -0.000365
740.000000, 0.000240
739.000000, -0.000243
738.000000, 0.000200
737.000000, -0.001407
736.000000, -0.000379
735.000000, 0.000191
734.000000, 0.000023
733.000000, -0.000628
732.000000, 0.000346
731.000000, 0.000315
730.000000, -0.000348
729.000000, -0.001588
728.000000, -0.000298
727.000000, -0.000281
726.000000, -0.000186
725.000000, -0.000136
724.000000, 0.000160
723.000000, 0.001075
722.000000, 0.000598
721.000000, 0.000477
720.000000, 0.000227
719.000000, 0.000148
718.000000, 0.001015
717.000000, 0.000263
716.000000, -0.000531
715.000000, -0.000016
714.000000, 0.000100
713.000000, -0.000141
712.000000, -0.000719
711.000000, -0.000622
710.000000, -0.000440
709.000000, -0.000142
708.000000, 0.000424
707.000000, 0.000315
706.000000, 0.000422
705.000000, 0.000320
704.000000, 0.000192
703.000000, -0.000116
702.000000, -0.000951
701.000000, -0.000552
700.000000, -0.000099
699.000000, -0.000544
698.000000, -0.000964
697.000000, -0.000117
696.000000, 0.000901
695.000000, -0.000012
694.000000, -0.000564
693.000000, -0.000455
692.000000, 0.000236
691.000000, 0.000700
690.000000, 0.001143
689.000000, 0.000410
688.000000, 0.000552
687.000000, 0.000594
686.000000, 0.000311
685.000000, 0.000806
684.000000, 0.000167
683.000000, -0.000488
682.000000, 0.000023
681.000000, 0.000057
680.000000, 0.000449
679.000000, 0.000005
678.000000, -0.000054
677.000000, 0.000840
676.000000, 0.000628
675.000000, 0.000761
674.000000, 0.000457
673.000000, -0.000065
672.000000, -0.000483
671.000000, -0.001321
670.000000, -0.000625
669.000000, 0.000353
668.000000, 0.000342
667.000000, 0.000565
666.000000, -0.000035
665.000000, -0.000575
664.000000, -0.000164
663.000000, -0.000930
662.000000, -0.000605
661.000000, 0.000278
660.000000, 0.000139
659.000000, -0.000013
658.000000, 0.000804
657.000000, 0.000096
656.000000, 0.000091
655.000000, -0.000360
654.000000, -0.000139
653.000000, 0.000628
652.000000, 0.000329
651.000000, -0.001284
650.000000, -0.000688
649.000000, 0.000292
648.000000, 0.000024
647.000000, 0.000063
646.000000, 0.000382
645.000000, 0.000190
644.000000, 0.000447
643.000000, 0.000317
642.000000, 0.000598
641.000000, 0.000409
640.000000, 0.000201
639.000000, -0.000529
638.000000, -0.000785
637.000000, -0.000041
636.000000, 0.000443
635.000000, 0.000018
634.000000, -0.000104
633.000000, 0.000243
632.000000, -0.000095
631.000000, -0.000469
630.000000, 0.000217
629.000000, 0.000430
628.000000, 0.000611
627.000000, -0.000409
626.000000, -0.000121
625.000000, 0.000143
624.000000, -0.001076
623.000000, -0.000611
622.000000, 0.000205
621.000000, -0.000155
620.000000, 0.000075
619.000000, 0.000143
618.000000, 0.000460
617.000000, 0.000624
616.000000, -0.000563
615.000000, -0.001614
614.000000, -0.000442
613.000000, -0.000173
612.000000, -0.000324
611.000000, 0.000527
610.000000, -0.000627
609.000000, -0.000949
608.000000, -0.000090
607.000000, 0.000345
606.000000, -0.001277
605.000000, 0.000162
604.000000, -0.000470
603.000000, -0.000296
602.000000, -0.000634
601.000000, -0.000398
600.000000, 0.000440
599.000000, 0.000468
598.000000, -0.000724
597.000000, 0.000109
596.000000, -0.000140
595.000000, 0.000049
594.000000, -0.000240
593.000000, -0.000392
592.000000, 0.000232
591.000000, -0.000087
590.000000, 0.000317
589.000000, 0.000214
588.000000, 0.000343
587.000000, -0.001166
586.000000, 0.000214
585.000000, -0.000570
584.000000, 0.000542
583.000000, 0.000199
582.000000, -0.000186
581.000000, 0.001357
580.000000, 0.000314
579.000000, -0.000119
578.000000, 0.001097
577.000000, -0.000056
576.000000, -0.000015
575.000000, 0.000605
574.000000, -0.000173
573.000000, -0.000899
572.000000, -0.000745
571.000000, 0.000675
570.000000, -0.000645
569.000000, -0.000457
568.000000, 0.001039
567.000000, 0.000416
566.000000, -0.000650
565.000000, 0.000202
564.000000, -0.001164
563.000000, 0.000028
562.000000, 0.000558
561.000000, 0.000770
560.000000, 0.001764
559.000000, -0.000173
558.000000, 0.000046
557.000000, -0.000563
556.000000, -0.000107
555.000000, -0.000384
554.000000, 0.000201
553.000000, 0.000665
552.000000, 0.001080
551.000000, 0.000749
550.000000, 0.000695
549.000000, 0.000378
548.000000, 0.000828
547.000000, 0.001123
546.000000, -0.000260
545.000000, 0.000173
544.000000, -0.000357
543.000000, -0.000480
542.000000, 0.000256
541.000000, 0.000898
540.000000, 0.000631
539.000000, 0.000622
538.000000, 0.000696
537.000000, 0.000582
536.000000, 0.000021
535.000000, 0.000714
534.000000, 0.000010
533.000000, 0.001180
532.000000, 0.001275
531.000000, 0.000908
530.000000, 0.000783
529.000000, 0.000757
528.000000, 0.000304
527.000000, 0.000115
526.000000, 0.000438
525.000000, 0.000141
524.000000, 0.001150
523.000000, 0.001488
522.000000, 0.001905
521.000000, 0.001647
520.000000, 0.002595
519.000000, 0.004234
518.000000, 0.007031
517.000000, 0.010111
516.000000, 0.015321
515.000000, 0.022826
514.000000, 0.033216
513.000000, 0.044838
512.000000, 0.054739
511.000000, 0.059516
510.000000, 0.061289
509.000000, 0.057985
508.000000, 0.052773
507.000000, 0.047628
506.000000, 0.041193
505.000000, 0.037021
504.000000, 0.033961
503.000000, 0.030745
502.000000, 0.027282
501.000000, 0.026452
500.000000, 0.025849
499.000000, 0.025243
498.000000, 0.024515
497.000000, 0.023531
496.000000, 0.024600
495.000000, 0.024624
494.000000, 0.023711
493.000000, 0.024222
492.000000, 0.025889
491.000000, 0.026969
490.000000, 0.027534
489.000000, 0.030440
488.000000, 0.032551
487.000000, 0.034062
486.000000, 0.036334
485.000000, 0.039411
484.000000, 0.040179
483.000000, 0.040807
482.000000, 0.042235
481.000000, 0.043356
480.000000, 0.043618
479.000000, 0.042962
478.000000, 0.040996
477.000000, 0.040521
476.000000, 0.039781
475.000000, 0.037183
474.000000, 0.036555
473.000000, 0.035542
472.000000, 0.034423
471.000000, 0.033211
470.000000, 0.031334
469.000000, 0.030840
468.000000, 0.030704
467.000000, 0.029277
466.000000, 0.028039
465.000000, 0.028336
464.000000, 0.028712
463.000000, 0.027949
462.000000, 0.027501
461.000000, 0.025851
460.000000, 0.025713
459.000000, 0.025736
458.000000, 0.025521
457.000000, 0.024536
456.000000, 0.025357
455.000000, 0.024480
454.000000, 0.024395
453.000000, 0.024808
452.000000, 0.024781
451.000000, 0.023670
450.000000, 0.023952
449.000000, 0.023708
448.000000, 0.023470
447.000000, 0.024130
446.000000, 0.024684
445.000000, 0.024183
444.000000, 0.025300
443.000000, 0.026064
442.000000, 0.026392
441.000000, 0.025699
440.000000, 0.026609
439.000000, 0.027609
438.000000, 0.027722
437.000000, 0.028310
436.000000, 0.029751
435.000000, 0.029954
434.000000, 0.030037
433.000000, 0.031128
432.000000, 0.032071
431.000000, 0.031982
430.000000, 0.032145
429.000000, 0.033067
428.000000, 0.033579
427.000000, 0.034230
426.000000, 0.033839
425.000000, 0.032762
424.000000, 0.033479
423.000000, 0.035134
422.000000, 0.034696
421.000000, 0.034247
420.000000, 0.035421
419.000000, 0.035369
418.000000, 0.035013
417.000000, 0.034787
416.000000, 0.033757
415.000000, 0.033423
414.000000, 0.034201
413.000000, 0.033870
412.000000, 0.033570
411.000000, 0.034592
410.000000, 0.034857
409.000000, 0.034113
408.000000, 0.033335
407.000000, 0.033948
406.000000, 0.034634
405.000000, 0.034931
404.000000, 0.034182
403.000000, 0.034730
402.000000, 0.035242
401.000000, 0.033958
400.000000, 0.032805
399.000000, 0.033509
398.000000, 0.033433
397.000000, 0.033448
396.000000, 0.033518
395.000000, 0.032402
394.000000, 0.033386
393.000000, 0.033703
392.000000, 0.034689
391.000000, 0.035109
390.000000, 0.033277
389.000000, 0.032685
388.000000, 0.033175
387.000000, 0.033678
386.000000, 0.034092
385.000000, 0.032841
384.000000, 0.032619
383.000000, 0.033351
382.000000, 0.034735
381.000000, 0.034791
380.000000, 0.033298
379.000000, 0.033426
378.000000, 0.034294
377.000000, 0.034436
376.000000, 0.033701
375.000000, 0.034707
374.000000, 0.033998
373.000000, 0.033729
372.000000, 0.034337
371.000000, 0.034468
370.000000, 0.035108
369.000000, 0.034748
368.000000, 0.035134
367.000000, 0.035209
366.000000, 0.035099
365.000000, 0.035320
364.000000, 0.035881
363.000000, 0.035705
362.000000, 0.035690
361.000000, 0.035791
360.000000, 0.036248
359.000000, 0.036041
358.000000, 0.035540
357.000000, 0.036611
356.000000, 0.035915
355.000000, 0.037008
354.000000, 0.037152
353.000000, 0.037417
352.000000, 0.038581
351.000000, 0.038883
350.000000, 0.039465
349.000000, 0.040279
348.000000, 0.041186
347.000000, 0.041972
346.000000, 0.043359
345.000000, 0.043679
344.000000, 0.043561
343.000000, 0.043787
342.000000, 0.045019
341.000000, 0.045837
340.000000, 0.047096
339.000000, 0.048320
338.000000, 0.050092
337.000000, 0.050564
336.000000, 0.051093
335.000000, 0.053555
334.000000, 0.053973
333.000000, 0.056182
332.000000, 0.056304
331.000000, 0.059804
330.000000, 0.060075
329.000000, 0.062080
328.000000, 0.064589
327.000000, 0.066924
326.000000, 0.068636
325.000000, 0.071318
324.000000, 0.073811
323.000000, 0.077213
322.000000, 0.079419
321.000000, 0.082225
320.000000, 0.084462
319.000000, 0.086402
318.000000, 0.087737
317.000000, 0.090210
316.000000, 0.091888
315.000000, 0.092469
314.000000, 0.092943
313.000000, 0.093288
312.000000, 0.095884
311.000000, 0.095866
310.000000, 0.098444
309.000000, 0.098640
308.000000, 0.099609
307.000000, 0.102132
306.000000, 0.103929
305.000000, 0.105556
304.000000, 0.106202
303.000000, 0.107616
302.000000, 0.109385
301.000000, 0.111747
300.000000, 0.112616
