nm, A
800.000000, -0.001148
799.000000, -0.000996
798.000000, -0.000889
797.000000, -0.000905
796.000000, -0.003340
795.000000, -0.002580
794.000000, -0.001566
793.000000, -0.001853
792.000000, -0.002359
791.000000, -0.002772
790.000000, -0.002024
789.000000, -0.003004
788.000000, -0.000927
787.000000, -0.002480
786.000000, -0.002527
785.000000, -0.001151
784.000000, -0.000601
783.000000, -0.002193
782.000000, -0.001719
781.000000, -0.002028
780.000000, -0.003070
779.000000, -0.001639
778.000000, -0.002068
777.000000, -0.000915
776.000000, -0.001178
775.000000, -0.001597
774.000000, -0.002249
773.000000, -0.001004
772.000000, -0.001874
771.000000, -0.001524
770.000000, -0.001080
769.000000, -0.000867
768.000000, -0.000808
767.000000, -0.001639
766.000000, -0.000651
765.000000, -0.001100
764.000000, -0.001125
763.000000, -0.001130
762.000000, -0.001021
761.000000, -0.000889
760.000000, -0.001689
759.000000, -0.001301
758.000000, -0.001435
757.000000, -0.001472
756.000000, -0.001399
755.000000, -0.001705
754.000000, -0.000251
753.000000, -0.000872
752.000000, -0.001275
751.000000, -0.000943
750.000000, -0.001073
749.000000, -0.001069
748.000000, -0.001656
747.000000, -0.002509
746.000000, -0.001422
745.000000, -0.001136
744.000000, -0.001101
743.000000, -0.001853
742.000000, -0.001853
741.000000, -0.001070
740.000000, -0.000127
739.000000, -0.001050
738.000000, -0.001005
737.000000, -0.001565
736.000000, -0.001386
735.000000, -0.000880
734.000000, -0.000743
733.000000, -0.000571
732.000000, -0.001876
731.000000, -0.001860
730.000000, -0.002125
729.000000, -0.001476
728.000000, -0.001571
727.000000, -0.000826
726.000000, 0.000263
725.000000, -0.001138
724.000000, -0.001280
723.000000, -0.001247
722.000000, -0.001001
721.000000, -0.000927
720.000000, -0.000989
719.000000, -0.000223
718.000000, -0.001311
717.000000, -0.001643
716.000000, -0.000951
715.000000, -0.001403
714.000000, -0.001284
713.000000, -0.001412
712.000000, -0.001327
711.000000, -0.000527
710.000000, -0.001380
709.000000, -0.001400
708.000000, -0.000809
707.000000, -0.000752
706.000000, -0.001493
705.000000, -0.001858
704.000000, -0.001338
703.000000, -0.001573
702.000000, -0.001499
701.000000, -0.000553
700.000000, -0.000633
699.000000, -0.000866
698.000000, -0.000750
697.000000, -0.001564
696.000000, -0.002114
695.000000, -0.002590
694.000000, -0.002463
693.000000, -0.002193
692.000000, -0.001906
691.000000, -0.001361
690.000000, -0.000964
689.000000, -0.000894
688.000000, -0.001871
687.000000, -0.001992
686.000000, -0.001209
685.000000, -0.000971
684.000000, -0.001227
683.000000, -0.001097
682.000000, -0.000748
681.000000, -0.001191
680.000000, -0.002154
679.000000, -0.002268
678.000000, -0.001409
677.000000, -0.000451
676.000000, -0.000604
675.000000, -0.001243
674.000000, -0.001313
673.000000, -0.000614
672.000000, -0.000355
671.000000, -0.001080
670.000000, -0.000921
669.000000, 0.000093
668.000000, -0.000449
667.000000, -0.001384
666.000000, -0.001294
665.000000, -0.001527
664.000000, -0.001549
663.000000, -0.001247
662.000000, -0.001420
661.000000, -0.001788
660.000000, -0.001744
659.000000, -0.001372
658.000000, -0.001196
657.000000, -0.001235
656.000000, -0.001058
655.000000, -0.001356
654.000000, -0.001564
653.000000, -0.001924
652.000000, -0.002289
651.000000, -0.001936
650.000000, -0.001126
649.000000, -0.001330
648.000000, -0.000591
647.000000, -0.001166
646.000000, -0.002449
645.000000, -0.002303
644.000000, -0.001523
643.000000, -0.001905
642.000000, -0.001509
641.000000, -0.001716
640.000000, -0.001843
639.000000, -0.001843
638.000000, -0.000660
637.000000, -0.000962
636.000000, -0.001250
635.000000, -0.000982
634.000000, -0.001553
633.000000, -0.001487
632.000000, -0.001215
631.000000, -0.001560
630.000000, -0.001139
629.000000, -0.001163
628.000000, -0.001492
627.000000, -0.001793
626.000000, -0.001474
625.000000, -0.000836
624.000000, -0.001566
623.000000, -0.001860
622.000000, -0.002130
621.000000, -0.001592
620.000000, -0.000774
619.000000, -0.001606
618.000000, -0.001838
617.000000, -0.001705
616.000000, -0.001312
615.000000, -0.001814
614.000000, -0.001379
613.000000, -0.001473
612.000000, -0.001917
611.000000, -0.001527
610.000000, -0.001394
609.000000, -0.001313
608.000000, -0.002437
607.000000, -0.001131
606.000000, -0.000791
605.000000, -0.001784
604.000000, -0.001975
603.000000, -0.001623
602.000000, -0.002802
601.000000, -0.001316
600.000000, -0.000841
599.000000, -0.001855
598.000000, -0.001643
597.000000, -0.001745
596.000000, -0.001720
595.000000, -0.001829
594.000000, -0.001430
593.000000, -0.001660
592.000000, -0.002120
591.000000, -0.001339
590.000000, -0.000607
589.000000, -0.001573
588.000000, -0.001043
587.000000, -0.001162
586.000000, -0.001806
585.000000, -0.001634
584.000000, -0.001491
583.000000, -0.001570
582.000000, -0.001415
581.000000, -0.002565
580.000000, -0.002318
579.000000, -0.002144
578.000000, -0.001252
577.000000, -0.001623
576.000000, -0.001538
575.000000, -0.001926
574.000000, -0.001812
573.000000, -0.001908
572.000000, -0.002508
571.000000, -0.000517
570.000000, -0.001747
569.000000, -0.001539
568.000000, -0.001956
567.000000, -0.002025
566.000000, -0.002927
565.000000, -0.002346
564.000000, -0.001847
563.000000, -0.001343
562.000000, -0.002314
561.000000, -0.001123
560.000000, -0.001557
559.000000, -0.001881
558.000000, -0.001799
557.000000, -0.001629
556.000000, -0.002078
555.000000, -0.002599
554.000000, -0.001911
553.000000, -0.000823
552.000000, -0.002451
551.000000, -0.001501
550.000000, -0.001955
549.000000, -0.000676
548.000000, -0.001103
547.000000, -0.001356
546.000000, -0.000755
545.000000, -0.001846
