nm, A
800.000000, -0.000465
799.000000, 0.001938
798.000000, 0.001651
797.000000, 0.000682
796.000000, 0.001275
795.000000, 0.001323
794.000000, -0.000572
793.000000, 0.000721
792.000000, 0.000882
791.000000, 0.000235
790.000000, 0.001507
789.000000, 0.000987
788.000000, 0.000419
787.000000, 0.001328
786.000000, 0.000697
785.000000, 0.000961
784.000000, 0.001139
783.000000, 0.000837
782.000000, 0.001026
781.000000, 0.000554
780.000000, 0.001248
779.000000, 0.001454
778.000000, 0.001292
777.000000, 0.000710
776.000000, 0.001945
775.000000, 0.001176
774.000000, 0.001394
773.000000, 0.000340
772.000000, 0.001314
771.000000, 0.001029
770.000000, 0.000389
769.000000, 0.000769
768.000000, 0.000385
767.000000, 0.001067
766.000000, 0.002013
765.000000, 0.001448
764.000000, 0.001094
763.000000, 0.002087
762.000000, 0.001496
761.000000, 0.000715
760.000000, 0.001774
759.000000, 0.002388
758.000000, 0.001201
757.000000, 0.000646
756.000000, 0.001057
755.000000, 0.001669
754.000000, 0.000818
753.000000, 0.000634
752.000000, 0.000790
751.000000, -0.000173
750.000000, 0.001003
749.000000, 0.001063
748.000000, 0.001404
747.000000, 0.001941
746.000000, 0.000752
745.000000, 0.000586
744.000000, 0.000586
743.000000, 0.000793
742.000000, 0.002291
741.000000, 0.001460
740.000000, 0.001023
739.000000, 0.001151
738.000000, 0.001086
737.000000, 0.001594
736.000000, 0.001437
735.000000, 0.001859
734.000000, 0.001350
733.000000, 0.002048
732.000000, 0.001814
731.000000, 0.001353
730.000000, 0.001456
729.000000, 0.001326
728.000000, 0.000889
727.000000, 0.000994
726.000000, 0.001604
725.000000, 0.001200
724.000000, 0.001390
723.000000, 0.001203
722.000000, 0.001181
721.000000, 0.002048
720.000000, 0.002376
719.000000, 0.001822
718.000000, 0.001464
717.000000, 0.002075
716.000000, 0.002604
715.000000, 0.001306
714.000000, 0.001260
713.000000, 0.001649
712.000000, 0.002466
711.000000, 0.001600
710.000000, 0.001345
709.000000, 0.001821
708.000000, 0.001827
707.000000, 0.001297
706.000000, 0.000884
705.000000, 0.001504
704.000000, 0.001081
703.000000, 0.002060
702.000000, 0.003025
701.000000, 0.001880
700.000000, 0.001908
699.000000, 0.002016
698.000000, 0.000934
697.000000, 0.001822
696.000000, 0.002114
695.000000, 0.002179
694.000000, 0.003237
693.000000, 0.002340
692.000000, 0.001805
691.000000, 0.001900
690.000000, 0.002161
689.000000, 0.002103
688.000000, 0.001753
687.000000, 0.001102
686.000000, 0.001857
685.000000, 0.002081
684.000000, 0.001596
683.000000, 0.002289
682.000000, 0.002654
681.000000, 0.002014
680.000000, 0.002082
679.000000, 0.002753
678.000000, 0.002594
677.000000, 0.002895
676.000000, 0.003027
675.000000, 0.002563
674.000000, 0.002955
673.000000, 0.002979
672.000000, 0.002806
671.000000, 0.002877
670.000000, 0.002963
669.000000, 0.002588
668.000000, 0.002189
667.000000, 0.002578
666.000000, 0.002803
665.000000, 0.002483
664.000000, 0.002443
663.000000, 0.002359
662.000000, 0.002327
661.000000, 0.002487
660.000000, 0.002690
659.000000, 0.002191
658.000000, 0.002304
657.000000, 0.002247
656.000000, 0.002132
655.000000, 0.002353
654.000000, 0.002446
653.000000, 0.001931
652.000000, 0.002237
651.000000, 0.001838
650.000000, 0.002174
649.000000, 0.003025
648.000000, 0.002324
647.000000, 0.002068
646.000000, 0.002349
645.000000, 0.002473
644.000000, 0.002405
643.000000, 0.002473
642.000000, 0.002632
641.000000, 0.002027
640.000000, 0.002741
639.000000, 0.002798
638.000000, 0.002239
637.000000, 0.002784
636.000000, 0.002624
635.000000, 0.002899
634.000000, 0.003519
633.000000, 0.002464
632.000000, 0.002207
631.000000, 0.002606
630.000000, 0.002522
629.000000, 0.002539
628.000000, 0.002534
627.000000, 0.002338
626.000000, 0.002792
625.000000, 0.002986
624.000000, 0.003312
623.000000, 0.002953
622.000000, 0.003245
621.000000, 0.003184
620.000000, 0.002830
