nm, A
800.000000, 0.002204
799.000000, 0.002475
798.000000, 0.003151
797.000000, 0.001225
796.000000, 0.002254
795.000000, 0.002875
794.000000, 0.000916
793.000000, 0.002381
792.000000, 0.002845
791.000000, 0.002571
790.000000, 0.002249
789.000000, 0.000941
788.000000, 0.002306
787.000000, 0.002862
786.000000, 0.002635
785.000000, 0.002088
784.000000, 0.003242
783.000000, 0.002708
782.000000, 0.001918
781.000000, 0.003000
780.000000, 0.003008
779.000000, 0.003059
778.000000, 0.003289
777.000000, 0.002418
776.000000, 0.003983
775.000000, 0.002486
774.000000, 0.003012
773.000000, 0.003477
772.000000, 0.003292
771.000000, 0.002680
770.000000, 0.002323
769.000000, 0.001942
768.000000, 0.001989
767.000000, 0.003097
766.000000, 0.003621
765.000000, 0.002283
764.000000, 0.002861
763.000000, 0.003394
762.000000, 0.002210
761.000000, 0.002301
760.000000, 0.003110
759.000000, 0.002068
758.000000, 0.002255
757.000000, 0.002656
756.000000, 0.002931
755.000000, 0.003434
754.000000, 0.002779
753.000000, 0.002204
752.000000, 0.002497
751.000000, 0.002395
750.000000, 0.003486
749.000000, 0.002834
748.000000, 0.003250
747.000000, 0.003170
746.000000, 0.002602
745.000000, 0.002865
744.000000, 0.002715
743.000000, 0.003402
742.000000, 0.003768
741.000000, 0.003308
740.000000, 0.003251
739.000000, 0.002231
738.000000, 0.002878
737.000000, 0.003180
736.000000, 0.002942
735.000000, 0.002471
734.000000, 0.002953
733.000000, 0.003180
732.000000, 0.002522
731.000000, 0.003010
730.000000, 0.003941
729.000000, 0.003420
728.000000, 0.002596
727.000000, 0.002529
726.000000, 0.002731
725.000000, 0.001964
724.000000, 0.003222
723.000000, 0.003608
722.000000, 0.003712
721.000000, 0.004498
720.000000, 0.004042
719.000000, 0.002637
718.000000, 0.003455
717.000000, 0.003923
716.000000, 0.003659
715.000000, 0.003000
714.000000, 0.002942
713.000000, 0.002583
712.000000, 0.003746
711.000000, 0.003411
710.000000, 0.003141
709.000000, 0.003336
708.000000, 0.002615
707.000000, 0.002396
706.000000, 0.002369
705.000000, 0.003627
704.000000, 0.003674
703.000000, 0.003968
702.000000, 0.003983
