nm, A
800.000000, -0.000817
799.000000, -0.001243
798.000000, -0.000259
797.000000, -0.000439
796.000000, -0.001502
795.000000, -0.001442
794.000000, -0.000989
793.000000, -0.000434
792.000000, 0.000075
791.000000, -0.000597
790.000000, -0.001227
789.000000, -0.000740
788.000000, -0.001551
787.000000, -0.001501
786.000000, -0.000787
785.000000, 0.000200
784.000000, -0.001211
783.000000, -0.000865
782.000000, -0.000754
781.000000, -0.001664
780.000000, -0.000714
779.000000, -0.001172
778.000000, -0.002000
777.000000, -0.001647
776.000000, -0.000930
775.000000, -0.001519
774.000000, -0.000956
773.000000, -0.001289
772.000000, -0.001432
771.000000, -0.001833
770.000000, -0.000563
769.000000, -0.001945
768.000000, -0.001775
767.000000, -0.001140
766.000000, -0.000224
765.000000, -0.001060
764.000000, -0.001153
763.000000, -0.000657
762.000000, -0.001348
761.000000, -0.001115
760.000000, -0.001091
759.000000, -0.000344
758.000000, -0.000826
757.000000, 0.000173
756.000000, 0.000102
755.000000, -0.000897
754.000000, -0.000361
753.000000, -0.001340
752.000000, -0.001104
751.000000, -0.000553
750.000000, -0.001259
749.000000, -0.001498
748.000000, 0.000696
747.000000, -0.000827
746.000000, -0.001032
745.000000, -0.000547
744.000000, -0.001009
743.000000, -0.000708
742.000000, -0.000956
741.000000, -0.000807
740.000000, -0.000791
739.000000, -0.001514
738.000000, -0.000974
737.000000, -0.001202
736.000000, 0.000476
735.000000, -0.000173
734.000000, -0.000775
733.000000, -0.000567
732.000000, 0.000335
731.000000, -0.000652
730.000000, -0.001263
729.000000, -0.001315
728.000000, -0.000969
727.000000, -0.000857
726.000000, -0.000644
725.000000, -0.000567
724.000000, -0.000272
723.000000, -0.000288
722.000000, -0.000285
721.000000, 0.000031
720.000000, 0.000162
719.000000, -0.000599
718.000000, -0.000323
717.000000, -0.000482
716.000000, -0.000123
715.000000, -0.001330
714.000000, -0.001352
713.000000, -0.000978
712.000000, -0.001334
711.000000, -0.001018
710.000000, -0.000529
709.000000, -0.000864
708.000000, -0.000654
707.000000, -0.000863
706.000000, -0.000994
705.000000, -0.000964
704.000000, -0.001177
703.000000, -0.001475
702.000000, -0.001276
701.000000, -0.000852
700.000000, -0.000829
699.000000, -0.000643
698.000000, -0.000903
697.000000, -0.000371
696.000000, -0.000342
695.000000, -0.001020
694.000000, -0.000777
693.000000, -0.000726
692.000000, -0.001514
691.000000, -0.001095
690.000000, -0.000957
689.000000, -0.001473
688.000000, -0.000630
687.000000, 0.000009
686.000000, -0.001024
685.000000, -0.000252
684.000000, -0.000348
683.000000, -0.001582
682.000000, -0.001033
681.000000, -0.000175
680.000000, -0.000568
679.000000, -0.000383
678.000000, 0.000298
677.000000, -0.000455
676.000000, -0.001151
675.000000, -0.001074
674.000000, -0.000921
673.000000, -0.000631
672.000000, 0.000080
671.000000, 0.000151
670.000000, -0.000215
669.000000, -0.000984
668.000000, -0.001657
667.000000, -0.001114
