nm, A
800.000000, -0.000804
799.000000, -0.001451
798.000000, -0.000135
797.000000, -0.000850
796.000000, 0.000175
795.000000, 0.000355
794.000000, -0.000048
793.000000, -0.001070
792.000000, 0.000349
791.000000, -0.001148
790.000000, -0.000867
789.000000, -0.000211
788.000000, -0.000941
787.000000, -0.000655
786.000000, -0.000010
785.000000, 0.000137
784.000000, -0.001730
783.000000, -0.000257
782.000000, -0.000332
781.000000, -0.000638
780.000000, 0.000302
779.000000, -0.000186
778.000000, -0.000324
777.000000, -0.000652
776.000000, -0.001663
775.000000, -0.001031
774.000000, -0.000377
773.000000, -0.000799
772.000000, 0.000017
771.000000, 0.000007
770.000000, 0.000546
769.000000, -0.000222
768.000000, 0.000182
767.000000, 0.000242
766.000000, 0.001621
765.000000, 0.001126
764.000000, 0.000972
763.000000, 0.000741
762.000000, -0.000483
761.000000, 0.000625
760.000000, -0.000079
759.000000, 0.000010
758.000000, -0.000193
757.000000, -0.000413
756.000000, -0.000019
755.000000, -0.000346
754.000000, -0.000783
753.000000, -0.001406
752.000000, -0.001175
751.000000, -0.000080
750.000000, -0.000081
749.000000, -0.000897
748.000000, 0.000471
747.000000, -0.000817
746.000000, -0.001486
745.000000, -0.001197
744.000000, -0.000600
743.000000, -0.000403
742.000000, -0.000624
741.000000, 0.000124
740.000000, -0.001451
739.000000, -0.002423
738.000000, -0.001131
737.000000, -0.000123
736.000000, -0.000538
735.000000, -0.000496
734.000000, -0.000874
733.000000, -0.001135
732.000000, -0.000570
731.000000, -0.001121
730.000000, -0.000277
729.000000, -0.000698
728.000000, -0.001236
727.000000, -0.000948
726.000000, -0.000456
725.000000, -0.000104
724.000000, 0.000423
723.000000, 0.000228
722.000000, 0.000192
721.000000, 0.000486
720.000000, -0.000082
719.000000, -0.000991
718.000000, -0.001103
717.000000, -0.001237
716.000000, -0.000409
715.000000, -0.000654
714.000000, -0.000653
713.000000, -0.000488
712.000000, -0.000921
711.000000, -0.001392
710.000000, -0.000984
709.000000, -0.000464
708.000000, -0.000166
707.000000, -0.000658
706.000000, -0.000197
705.000000, -0.000753
704.000000, -0.001035
703.000000, -0.001104
702.000000, -0.001677
701.000000, -0.000770
700.000000, -0.000582
699.000000, -0.000819
698.000000, -0.001076
697.000000, -0.001102
696.000000, -0.001372
695.000000, -0.001183
694.000000, -0.000278
693.000000, -0.000557
692.000000, -0.001200
691.000000, -0.000539
690.000000, -0.000513
689.000000, -0.001226
688.000000, -0.000922
687.000000, -0.000597
686.000000, -0.000763
685.000000, 0.000456
684.000000, -0.000074
683.000000, -0.000649
682.000000, -0.001431
681.000000, -0.001232
680.000000, -0.000719
679.000000, -0.000753
678.000000, 0.000335
677.000000, -0.000062
676.000000, -0.000742
675.000000, -0.000619
674.000000, -0.000551
673.000000, -0.000122
672.000000, -0.000419
671.000000, -0.000523
670.000000, -0.000557
669.000000, -0.000441
668.000000, 0.000187
667.000000, 0.000465
666.000000, 0.000127
665.000000, -0.000309
664.000000, -0.000795
663.000000, -0.000359
662.000000, 0.000018
661.000000, -0.000528
660.000000, -0.000889
659.000000, -0.000177
658.000000, 0.000322
657.000000, -0.000075
656.000000, -0.000098
655.000000, 0.000234
654.000000, -0.000327
653.000000, -0.000159
652.000000, 0.001001
651.000000, 0.000879
650.000000, 0.000366
649.000000, 0.000054
648.000000, -0.000176
647.000000, -0.000522
646.000000, -0.000463
645.000000, -0.001082
644.000000, -0.001159
643.000000, -0.000067
642.000000, 0.000059
641.000000, -0.000535
640.000000, 0.000366
639.000000, 0.000734
638.000000, 0.000163
637.000000, 0.000467
636.000000, 0.000531
635.000000, 0.000450
634.000000, 0.000638
633.000000, 0.000055
632.000000, -0.000379
631.000000, -0.000455
630.000000, 0.000274
629.000000, 0.000421
628.000000, 0.000222
627.000000, 0.000530
626.000000, -0.000224
625.000000, 0.000205
624.000000, -0.000876
623.000000, -0.000333
622.000000, -0.000192
621.000000, -0.000398
620.000000, 0.000191
619.000000, 0.000385
618.000000, 0.000596
617.000000, 0.000599
616.000000, -0.000086
615.000000, -0.000363
614.000000, -0.000272
613.000000, 0.000749
612.000000, -0.000341
611.000000, -0.000907
610.000000, -0.000725
609.000000, 0.000327
608.000000, -0.000169
607.000000, 0.000287
606.000000, 0.000507
605.000000, 0.000431
604.000000, 0.000841
603.000000, 0.000451
602.000000, -0.000293
601.000000, 0.000745
600.000000, 0.000346
599.000000, -0.000470
598.000000, 0.001118
597.000000, -0.000011
596.000000, 0.000493
595.000000, -0.000160
594.000000, 0.000068
593.000000, 0.000375
592.000000, 0.001252
591.000000, 0.000315
590.000000, -0.000920
589.000000, -0.000037
588.000000, -0.000504
587.000000, 0.000161
586.000000, 0.000775
585.000000, 0.000226
584.000000, 0.000332
583.000000, 0.000343
582.000000, 0.000000
581.000000, -0.000184
580.000000, 0.000262
579.000000, 0.000240
578.000000, 0.000349
577.000000, -0.000254
576.000000, 0.000189
575.000000, 0.000982
574.000000, -0.000175
573.000000, 0.001015
572.000000, 0.000710
571.000000, 0.000781
570.000000, -0.000021
569.000000, -0.000226
568.000000, 0.000791
567.000000, 0.000939
566.000000, 0.000539
565.000000, -0.000147
564.000000, 0.000925
563.000000, 0.001003
562.000000, 0.000811
561.000000, -0.000135
560.000000, 0.000835
559.000000, 0.000580
558.000000, 0.001038
557.000000, 0.000343
556.000000, 0.000200
555.000000, 0.000469
554.000000, 0.000294
553.000000, 0.000759
552.000000, 0.000358
551.000000, 0.000962
550.000000, 0.000393
549.000000, 0.001023
548.000000, -0.000115
547.000000, 0.000311
546.000000, 0.000764
545.000000, -0.000137
544.000000, 0.001500
543.000000, 0.000979
542.000000, 0.000477
541.000000, 0.000660
540.000000, 0.000902
539.000000, 0.001353
538.000000, 0.002250
537.000000, 0.001577
536.000000, 0.001432
535.000000, 0.000909
534.000000, 0.000782
533.000000, 0.000967
532.000000, 0.001446
531.000000, 0.000886
530.000000, 0.001436
529.000000, 0.001839
528.000000, 0.001995
527.000000, 0.002299
526.000000, 0.001535
525.000000, 0.001701
524.000000, 0.002889
523.000000, 0.003345
522.000000, 0.004157
521.000000, 0.005020
520.000000, 0.005230
519.000000, 0.008801
518.000000, 0.014003
517.000000, 0.022057
516.000000, 0.033799
515.000000, 0.047957
514.000000, 0.062875
513.000000, 0.075885
512.000000, 0.082693
511.000000, 0.081557
510.000000, 0.075840
509.000000, 0.069710
508.000000, 0.062713
507.000000, 0.055716
506.000000, 0.051006
505.000000, 0.045951
504.000000, 0.041902
503.000000, 0.039727
502.000000, 0.037987
501.000000, 0.036198
500.000000, 0.034583
499.000000, 0.033959
498.000000, 0.033083
497.000000, 0.033017
496.000000, 0.033183
495.000000, 0.033859
494.000000, 0.033975
493.000000, 0.035203
492.000000, 0.036063
491.000000, 0.037415
490.000000, 0.038317
489.000000, 0.041535
488.000000, 0.045271
487.000000, 0.048278
486.000000, 0.051036
485.000000, 0.054260
484.000000, 0.056303
483.000000, 0.057887
482.000000, 0.059218
481.000000, 0.059195
480.000000, 0.058636
479.000000, 0.058615
478.000000, 0.056825
477.000000, 0.054753
476.000000, 0.053405
475.000000, 0.051955
474.000000, 0.050003
473.000000, 0.047380
472.000000, 0.045114
471.000000, 0.043117
470.000000, 0.042258
469.000000, 0.040656
468.000000, 0.040149
467.000000, 0.039872
466.000000, 0.038227
465.000000, 0.036638
464.000000, 0.036841
463.000000, 0.035668
462.000000, 0.035987
461.000000, 0.035135
460.000000, 0.034374
459.000000, 0.034331
458.000000, 0.033889
457.000000, 0.032968
456.000000, 0.031649
455.000000, 0.031833
454.000000, 0.032456
453.000000, 0.032621
452.000000, 0.032964
451.000000, 0.033595
450.000000, 0.033692
449.000000, 0.032475
448.000000, 0.032225
447.000000, 0.032511
446.000000, 0.032142
445.000000, 0.032870
444.000000, 0.033353
443.000000, 0.032775
442.000000, 0.033484
441.000000, 0.034228
440.000000, 0.035018
439.000000, 0.036098
438.000000, 0.036857
437.000000, 0.038112
436.000000, 0.038982
435.000000, 0.038554
434.000000, 0.040160
433.000000, 0.042148
432.000000, 0.042984
431.000000, 0.043713
430.000000, 0.043959
429.000000, 0.043864
428.000000, 0.044546
427.000000, 0.045425
426.000000, 0.045729
425.000000, 0.045907
424.000000, 0.045439
423.000000, 0.045866
422.000000, 0.045860
421.000000, 0.045188
420.000000, 0.045518
419.000000, 0.046527
418.000000, 0.046315
417.000000, 0.045896
416.000000, 0.046446
415.000000, 0.046625
414.000000, 0.045547
413.000000, 0.045736
412.000000, 0.046290
411.000000, 0.045621
410.000000, 0.045311
409.000000, 0.045363
408.000000, 0.046536
407.000000, 0.046288
406.000000, 0.045233
405.000000, 0.044603
404.000000, 0.045658
403.000000, 0.046547
402.000000, 0.046884
401.000000, 0.046593
400.000000, 0.045358
399.000000, 0.045491
398.000000, 0.044898
397.000000, 0.044625
396.000000, 0.045134
395.000000, 0.044832
394.000000, 0.045021
393.000000, 0.045469
392.000000, 0.045045
391.000000, 0.045002
390.000000, 0.044890
389.000000, 0.044381
388.000000, 0.045052
387.000000, 0.045286
386.000000, 0.044757
385.000000, 0.044857
384.000000, 0.045811
383.000000, 0.046095
382.000000, 0.045872
381.000000, 0.046070
380.000000, 0.045472
379.000000, 0.044820
378.000000, 0.046414
377.000000, 0.046991
376.000000, 0.045167
375.000000, 0.046124
374.000000, 0.046640
373.000000, 0.046734
372.000000, 0.046907
371.000000, 0.047182
370.000000, 0.047022
369.000000, 0.048060
368.000000, 0.047412
367.000000, 0.047284
366.000000, 0.047855
365.000000, 0.047784
364.000000, 0.048257
363.000000, 0.047755
362.000000, 0.048343
361.000000, 0.048588
360.000000, 0.048887
359.000000, 0.049132
358.000000, 0.049435
357.000000, 0.049449
356.000000, 0.050865
355.000000, 0.051872
354.000000, 0.051419
353.000000, 0.052174
352.000000, 0.053566
351.000000, 0.053521
350.000000, 0.054513
349.000000, 0.055041
348.000000, 0.055953
347.000000, 0.056860
346.000000, 0.058070
345.000000, 0.059269
344.000000, 0.060670
343.000000, 0.061257
342.000000, 0.063216
341.000000, 0.064785
