nm, A
800.000000, -0.000848
799.000000, -0.000197
798.000000, 0.000961
797.000000, -0.000215
796.000000, 0.000396
795.000000, -0.000063
794.000000, -0.000855
793.000000, -0.000693
792.000000, -0.000339
791.000000, 0.000040
790.000000, -0.000743
789.000000, -0.001021
788.000000, -0.000127
787.000000, -0.000929
786.000000, -0.000855
785.000000, -0.001035
784.000000, -0.000670
783.000000, -0.000907
782.000000, 0.000120
781.000000, -0.001268
780.000000, -0.000866
779.000000, -0.001786
778.000000, -0.000984
777.000000, -0.000688
776.000000, 0.000287
775.000000, -0.001543
774.000000, -0.000696
773.000000, -0.001180
772.000000, -0.001614
771.000000, -0.001860
770.000000, -0.000622
769.000000, -0.001094
768.000000, -0.001653
767.000000, -0.002088
766.000000, -0.001248
765.000000, -0.001608
764.000000, -0.000734
763.000000, -0.001173
762.000000, -0.001897
761.000000, -0.000243
760.000000, -0.001861
759.000000, -0.001124
758.000000, -0.000788
757.000000, -0.001557
756.000000, -0.001299
755.000000, -0.001602
754.000000, -0.002512
753.000000, -0.002598
752.000000, -0.001577
751.000000, -0.001268
750.000000, -0.001122
749.000000, -0.001913
748.000000, -0.002239
747.000000, -0.000489
746.000000, -0.000873
745.000000, -0.000333
744.000000, -0.001779
743.000000, -0.001082
742.000000, 0.000305
741.000000, -0.000572
740.000000, -0.001099
739.000000, -0.001380
738.000000, -0.001474
737.000000, -0.001664
736.000000, -0.000789
735.000000, -0.000977
734.000000, -0.001733
733.000000, -0.002171
732.000000, -0.002210
731.000000, -0.001808
730.000000, -0.001311
729.000000, -0.001478
728.000000, -0.001947
727.000000, -0.001549
726.000000, -0.000629
725.000000, -0.000522
724.000000, -0.000583
723.000000, -0.000727
722.000000, -0.001100
721.000000, -0.002167
720.000000, -0.001582
719.000000, -0.000714
718.000000, -0.001198
717.000000, -0.001598
716.000000, -0.001345
715.000000, -0.001774
714.000000, -0.001697
713.000000, -0.001698
712.000000, -0.002003
711.000000, -0.001891
710.000000, -0.000981
709.000000, -0.001568
708.000000, -0.001314
707.000000, -0.001253
706.000000, -0.001354
705.000000, -0.001470
704.000000, -0.001970
703.000000, -0.002224
702.000000, -0.001347
701.000000, -0.001796
700.000000, -0.001302
699.000000, -0.000858
698.000000, -0.001277
697.000000, -0.000940
696.000000, -0.001324
695.000000, -0.002087
694.000000, -0.002038
693.000000, -0.002148
692.000000, -0.001987
691.000000, -0.001140
690.000000, -0.001424
689.000000, -0.002294
688.000000, -0.000969
687.000000, -0.000442
686.000000, -0.000577
685.000000, -0.001003
684.000000, -0.001412
683.000000, -0.000791
682.000000, -0.000845
681.000000, -0.002073
680.000000, -0.002239
679.000000, -0.001595
678.000000, -0.001447
677.000000, -0.000972
676.000000, -0.000522
675.000000, -0.000897
674.000000, -0.002047
673.000000, -0.002036
672.000000, -0.002457
671.000000, -0.002100
670.000000, -0.000855
669.000000, -0.000768
668.000000, -0.001834
667.000000, -0.002400
666.000000, -0.002388
665.000000, -0.002278
664.000000, -0.001798
663.000000, -0.001288
662.000000, -0.001202
661.000000, -0.000742
660.000000, -0.002352
659.000000, -0.002853
658.000000, -0.002579
657.000000, -0.002819
656.000000, -0.001906
655.000000, -0.000720
654.000000, -0.000526
653.000000, -0.001631
652.000000, -0.002203
651.000000, -0.002844
650.000000, -0.002210
649.000000, -0.001605
648.000000, -0.000792
647.000000, -0.000028
646.000000, -0.001058
645.000000, -0.002297
644.000000, -0.001583
643.000000, -0.002097
642.000000, -0.001297
641.000000, -0.001203
640.000000, -0.002359
639.000000, -0.002091
638.000000, -0.001679
637.000000, -0.001315
636.000000, -0.001696
635.000000, -0.002160
634.000000, -0.001720
633.000000, -0.001736
632.000000, -0.002216
631.000000, -0.002306
630.000000, -0.001950
629.000000, -0.001714
628.000000, -0.002135
627.000000, -0.001671
626.000000, -0.001167
625.000000, -0.002248
624.000000, -0.002740
623.000000, -0.001546
622.000000, -0.000903
621.000000, -0.001804
620.000000, -0.001538
619.000000, -0.001195
