nm, A
800.000000, 0.001278
799.000000, 0.000444
798.000000, 0.002766
797.000000, 0.001576
796.000000, 0.002077
795.000000, 0.001943
794.000000, 0.001367
793.000000, 0.001506
792.000000, 0.000958
791.000000, 0.000517
790.000000, 0.002174
789.000000, 0.001606
788.000000, 0.001705
787.000000, 0.002242
786.000000, 0.000447
785.000000, 0.001020
784.000000, 0.000862
783.000000, 0.001614
782.000000, 0.001702
781.000000, 0.001994
780.000000, 0.000526
779.000000, 0.002158
778.000000, 0.001595
777.000000, 0.001355
776.000000, 0.000126
775.000000, 0.001505
774.000000, 0.001697
773.000000, 0.001957
772.000000, 0.001649
771.000000, 0.001246
770.000000, 0.002158
769.000000, 0.001738
768.000000, 0.002791
767.000000, 0.001625
766.000000, 0.002333
765.000000, 0.001953
764.000000, 0.001463
763.000000, 0.002065
762.000000, 0.002336
761.000000, 0.001804
760.000000, 0.002284
759.000000, 0.001339
758.000000, 0.001282
757.000000, 0.001163
756.000000, 0.001689
755.000000, 0.002069
754.000000, 0.002597
753.000000, 0.002056
752.000000, 0.000990
751.000000, 0.001680
750.000000, 0.002444
749.000000, 0.001171
748.000000, 0.002365
747.000000, 0.001871
746.000000, 0.000622
745.000000, 0.001097
744.000000, 0.001569
743.000000, 0.001633
742.000000, 0.001731
741.000000, 0.001624
740.000000, 0.001276
739.000000, 0.001021
738.000000, 0.002389
737.000000, 0.001138
736.000000, 0.002145
735.000000, 0.001789
734.000000, 0.001760
733.000000, 0.001636
732.000000, 0.001251
731.000000, 0.000945
730.000000, 0.001505
729.000000, 0.001227
728.000000, 0.001328
727.000000, 0.000377
726.000000, 0.001794
725.000000, 0.001925
724.000000, 0.002042
723.000000, 0.002690
722.000000, 0.002109
721.000000, 0.001705
720.000000, 0.000972
719.000000, 0.002288
718.000000, 0.001757
717.000000, 0.001333
716.000000, 0.001694
715.000000, 0.002153
714.000000, 0.001834
713.000000, 0.001948
712.000000, 0.002250
711.000000, 0.001807
710.000000, 0.001750
709.000000, 0.002565
708.000000, 0.002391
707.000000, 0.001668
706.000000, 0.001990
705.000000, 0.001638
704.000000, 0.001456
703.000000, 0.002244
702.000000, 0.001814
701.000000, 0.001444
700.000000, 0.002375
699.000000, 0.001893
698.000000, 0.001492
697.000000, 0.001516
696.000000, 0.002844
695.000000, 0.002567
694.000000, 0.002330
693.000000, 0.002006
692.000000, 0.002610
691.000000, 0.002618
690.000000, 0.002868
689.000000, 0.003166
688.000000, 0.002668
687.000000, 0.003056
686.000000, 0.002969
685.000000, 0.002091
684.000000, 0.001607
683.000000, 0.002091
682.000000, 0.002720
681.000000, 0.001933
680.000000, 0.001628
679.000000, 0.002204
678.000000, 0.002994
677.000000, 0.003529
676.000000, 0.002982
675.000000, 0.003085
674.000000, 0.002694
673.000000, 0.002338
672.000000, 0.002527
