nm, A
800.000000, -0.000293
799.000000, -0.000174
798.000000, -0.000068
797.000000, -0.000956
796.000000, -0.001037
795.000000, -0.001146
794.000000, 0.000002
793.000000, -0.000858
792.000000, -0.000064
791.000000, -0.000645
790.000000, -0.000509
789.000000, -0.001288
788.000000, -0.000431
787.000000, -0.000392
786.000000, -0.000763
785.000000, 0.000027
784.000000, -0.000343
783.000000, -0.000276
782.000000, -0.000434
781.000000, -0.000689
780.000000, -0.000203
779.000000, -0.001478
778.000000, -0.000282
777.000000, 0.000131
776.000000, 0.000546
775.000000, -0.000769
774.000000, -0.000180
773.000000, -0.000547
772.000000, 0.000095
771.000000, -0.000096
770.000000, 0.000131
769.000000, -0.000659
768.000000, -0.000594
767.000000, -0.001113
766.000000, -0.001105
765.000000, -0.000246
764.000000, -0.000574
763.000000, -0.000238
762.000000, -0.000556
761.000000, -0.001053
760.000000, -0.001003
759.000000, -0.000879
758.000000, -0.001253
757.000000, -0.000929
756.000000, -0.000140
755.000000, -0.000280
754.000000, -0.000672
753.000000, -0.000808
752.000000, -0.000629
751.000000, -0.000407
750.000000, -0.000506
749.000000, -0.000902
748.000000, -0.000530
747.000000, -0.000721
746.000000, -0.001366
745.000000, -0.001185
744.000000, -0.000725
743.000000, -0.000803
742.000000, -0.000451
741.000000, -0.000438
740.000000, -0.001459
739.000000, -0.001325
738.000000, -0.000588
737.000000, -0.001580
736.000000, -0.000359
735.000000, -0.000985
734.000000, -0.001372
733.000000, -0.001011
732.000000, -0.001108
731.000000, -0.000976
730.000000, -0.000692
729.000000, -0.000884
728.000000, -0.000969
727.000000, -0.001077
726.000000, -0.000653
725.000000, -0.001054
724.000000, -0.000571
723.000000, -0.000797
722.000000, -0.000802
721.000000, -0.000635
720.000000, -0.000663
719.000000, -0.000916
718.000000, -0.001173
717.000000, -0.001348
716.000000, -0.000870
715.000000, -0.000005
714.000000, -0.000043
713.000000, -0.001057
712.000000, -0.000888
711.000000, -0.000841
710.000000, -0.001039
709.000000, -0.000819
708.000000, -0.000595
707.000000, -0.000179
706.000000, -0.000913
705.000000, -0.001336
704.000000, -0.002216
703.000000, -0.002056
702.000000, -0.000612
701.000000, -0.000681
700.000000, -0.001637
699.000000, -0.001992
698.000000, -0.001579
697.000000, -0.001038
696.000000, -0.001782
695.000000, -0.001941
694.000000, -0.001155
693.000000, -0.000085
692.000000, -0.000311
691.000000, -0.000600
690.000000, -0.001684
689.000000, -0.002214
688.000000, -0.001154
687.000000, -0.000452
686.000000, -0.000957
685.000000, -0.000741
684.000000, 0.000093
683.000000, -0.000493
682.000000, -0.001528
681.000000, -0.001378
680.000000, -0.000785
679.000000, -0.001260
678.000000, -0.002100
677.000000, -0.001068
676.000000, -0.000197
675.000000, -0.000396
674.000000, -0.001061
673.000000, -0.001626
672.000000, -0.001011
671.000000, -0.000705
670.000000, -0.001823
669.000000, -0.002116
668.000000, -0.001578
667.000000, -0.001121
666.000000, -0.000821
665.000000, -0.000523
664.000000, 0.000162
663.000000, -0.000559
662.000000, -0.001353
661.000000, -0.001585
660.000000, -0.001198
659.000000, -0.000093
658.000000, -0.000080
657.000000, -0.000075
656.000000, -0.000990
655.000000, -0.001793
654.000000, -0.001893
653.000000, -0.001994
652.000000, -0.001325
651.000000, -0.001071
650.000000, -0.000491
649.000000, -0.001000
648.000000, -0.001751
647.000000, -0.001341
646.000000, -0.001670
645.000000, -0.001237
