nm, A
800.000000, -0.001291
799.000000, -0.001062
798.000000, -0.000319
797.000000, -0.001156
796.000000, 0.000791
795.000000, -0.001184
794.000000, -0.001234
793.000000, 0.000048
792.000000, -0.001047
791.000000, 0.000200
790.000000, -0.001151
789.000000, 0.000231
788.000000, -0.000831
787.000000, -0.000960
786.000000, -0.001126
785.000000, -0.000523
784.000000, -0.001103
783.000000, -0.001609
782.000000, -0.001802
781.000000, -0.001437
780.000000, 0.000180
779.000000, -0.000490
778.000000, -0.000206
777.000000, -0.000795
776.000000, 0.000540
775.000000, -0.001383
774.000000, -0.000638
773.000000, -0.000686
772.000000, -0.001006
771.000000, -0.000883
770.000000, -0.000209
769.000000, -0.000998
768.000000, -0.001438
767.000000, -0.002293
766.000000, 0.000306
765.000000, -0.000861
764.000000, -0.000554
763.000000, -0.000427
762.000000, -0.000703
761.000000, -0.000345
760.000000, -0.000569
759.000000, 0.000296
758.000000, 0.000038
757.000000, -0.000280
756.000000, 0.000084
755.000000, -0.000654
754.000000, -0.001703
753.000000, -0.001008
752.000000, -0.000872
751.000000, -0.000080
750.000000, -0.000833
749.000000, -0.001032
748.000000, -0.001728
747.000000, -0.000785
746.000000, -0.000980
745.000000, -0.000753
744.000000, -0.001472
743.000000, -0.001174
742.000000, -0.000815
741.000000, -0.001171
740.000000, -0.000150
739.000000, -0.001130
738.000000, -0.001103
737.000000, -0.000858
736.000000, -0.000652
735.000000, -0.000791
734.000000, -0.000627
733.000000, -0.001609
732.000000, -0.000914
731.000000, -0.000878
730.000000, -0.000354
729.000000, -0.001782
728.000000, -0.001788
727.000000, -0.001344
726.000000, -0.000774
725.000000, -0.001977
724.000000, -0.001550
723.000000, -0.000730
722.000000, -0.000779
721.000000, -0.001953
720.000000, -0.001474
719.000000, -0.000131
718.000000, -0.000570
717.000000, -0.000290
716.000000, -0.000763
715.000000, -0.001242
714.000000, -0.001766
713.000000, -0.001989
712.000000, -0.001938
711.000000, -0.001945
710.000000, -0.002058
709.000000, -0.001537
708.000000, -0.000881
707.000000, -0.000945
706.000000, -0.001227
705.000000, -0.001978
704.000000, -0.001812
703.000000, -0.002062
702.000000, -0.001931
701.000000, -0.001484
700.000000, -0.001974
699.000000, -0.001341
698.000000, -0.001618
697.000000, -0.001490
696.000000, -0.001206
695.000000, -0.001668
694.000000, -0.001484
693.000000, -0.001347
692.000000, -0.001582
691.000000, -0.001133
690.000000, -0.001285
689.000000, -0.001434
688.000000, -0.000657
687.000000, -0.000354
686.000000, -0.000615
685.000000, -0.000931
684.000000, -0.000893
683.000000, -0.000561
682.000000, -0.001159
681.000000, -0.002092
680.000000, -0.001691
679.000000, -0.001599
678.000000, -0.001254
677.000000, -0.000731
676.000000, -0.001304
675.000000, -0.001445
674.000000, -0.001300
673.000000, -0.001560
672.000000, -0.002283
671.000000, -0.002223
670.000000, -0.001657
669.000000, -0.001060
668.000000, -0.002653
667.000000, -0.003122
666.000000, -0.002246
665.000000, -0.001781
664.000000, -0.001226
663.000000, -0.001052
662.000000, -0.001388
661.000000, -0.000944
660.000000, -0.001624
659.000000, -0.002231
658.000000, -0.001947
657.000000, -0.001757
656.000000, -0.001440
655.000000, -0.001894
654.000000, -0.001368
653.000000, -0.001337
652.000000, -0.001800
651.000000, -0.002000
650.000000, -0.001972
649.000000, -0.002284
648.000000, -0.001338
647.000000, -0.000778
646.000000, -0.002034
645.000000, -0.002498
644.000000, -0.001517
643.000000, -0.001828
642.000000, -0.001414
641.000000, -0.001148
640.000000, -0.001529
639.000000, -0.002088
638.000000, -0.001426
637.000000, -0.000820
636.000000, -0.001645
635.000000, -0.002467
634.000000, -0.001792
633.000000, -0.001098
632.000000, -0.001673
631.000000, -0.002621
630.000000, -0.002184
629.000000, -0.001830
628.000000, -0.001753
627.000000, -0.001740
626.000000, -0.001708
625.000000, -0.002543
624.000000, -0.003015
623.000000, -0.002081
622.000000, -0.001571
621.000000, -0.001632
620.000000, -0.001237
619.000000, -0.001608
618.000000, -0.001099
617.000000, -0.000873
616.000000, -0.001225
615.000000, -0.002235
614.000000, -0.001175
613.000000, -0.001821
612.000000, -0.001234
611.000000, -0.001216
610.000000, -0.000999
609.000000, -0.001368
608.000000, -0.001938
607.000000, -0.002242
606.000000, -0.002053
605.000000, -0.001175
604.000000, -0.001963
603.000000, -0.001818
602.000000, -0.001709
601.000000, -0.003053
600.000000, -0.001784
599.000000, -0.002301
598.000000, -0.002078
597.000000, -0.002215
596.000000, -0.001822
595.000000, -0.001874
594.000000, -0.002466
593.000000, -0.001187
592.000000, -0.002228
591.000000, -0.001393
590.000000, -0.000996
589.000000, -0.001494
588.000000, -0.001457
587.000000, -0.001176
586.000000, -0.002036
585.000000, -0.001383
584.000000, -0.001595
583.000000, -0.002922
582.000000, -0.002407
581.000000, -0.002306
580.000000, -0.001442
579.000000, -0.002408
578.000000, -0.002524
577.000000, -0.002100
576.000000, -0.001612
575.000000, -0.002584
574.000000, -0.002404
573.000000, -0.002981
572.000000, -0.001862
571.000000, -0.002063
570.000000, -0.001843
569.000000, -0.001856
568.000000, -0.001693
567.000000, -0.002231
566.000000, -0.001458
565.000000, -0.003244
564.000000, -0.001531
563.000000, -0.001861
562.000000, -0.000775
561.000000, -0.002206
560.000000, -0.002069
559.000000, -0.001736
558.000000, -0.001755
557.000000, -0.002210
556.000000, -0.002734
555.000000, -0.002210
554.000000, -0.003763
553.000000, -0.003102
552.000000, -0.001118
551.000000, -0.002198
