nm, A
800.000000, -0.001218
799.000000, -0.000377
798.000000, 0.000604
797.000000, -0.001761
796.000000, -0.000527
795.000000, -0.001932
794.000000, -0.001798
793.000000, -0.000549
792.000000, 0.000487
791.000000, -0.001298
790.000000, -0.001129
789.000000, -0.000533
788.000000, -0.001017
787.000000, 0.000364
786.000000, -0.000866
785.000000, -0.000394
784.000000, -0.000322
783.000000, -0.001714
782.000000, -0.000500
781.000000, -0.001461
780.000000, -0.000289
779.000000, -0.000796
778.000000, -0.001446
777.000000, -0.002210
776.000000, -0.000422
775.000000, -0.002509
774.000000, -0.002276
773.000000, -0.001744
772.000000, -0.002172
771.000000, -0.001819
770.000000, 0.000065
769.000000, -0.000328
768.000000, -0.001496
767.000000, -0.001071
766.000000, -0.000628
765.000000, -0.001662
764.000000, -0.001805
763.000000, -0.001152
762.000000, -0.001092
761.000000, -0.000830
760.000000, -0.001848
759.000000, -0.001215
758.000000, -0.000329
757.000000, -0.000808
756.000000, -0.001724
755.000000, -0.000264
754.000000, -0.001403
753.000000, -0.002232
752.000000, -0.001169
751.000000, 0.000336
750.000000, -0.001180
749.000000, -0.001588
748.000000, -0.002347
747.000000, -0.001704
746.000000, -0.002244
745.000000, -0.001608
744.000000, -0.002199
743.000000, -0.000946
742.000000, -0.001088
741.000000, -0.000887
740.000000, -0.000821
739.000000, -0.000791
738.000000, -0.001176
737.000000, -0.000890
736.000000, -0.000953
735.000000, -0.001147
734.000000, -0.001732
733.000000, -0.001907
732.000000, -0.001480
731.000000, -0.001089
730.000000, -0.000934
729.000000, -0.001671
728.000000, -0.002418
727.000000, -0.001888
726.000000, -0.001349
725.000000, -0.001731
724.000000, -0.001720
723.000000, -0.001289
722.000000, -0.001932
721.000000, -0.001650
720.000000, -0.001070
719.000000, -0.000974
718.000000, -0.001506
717.000000, -0.001678
716.000000, -0.001850
715.000000, -0.002195
714.000000, -0.001357
713.000000, -0.000973
712.000000, -0.001224
711.000000, -0.001671
710.000000, -0.002115
709.000000, -0.002096
708.000000, -0.001113
707.000000, -0.000689
706.000000, -0.000593
705.000000, -0.001453
704.000000, -0.001880
703.000000, -0.002237
702.000000, -0.001402
701.000000, -0.001485
700.000000, -0.001465
699.000000, -0.000926
698.000000, -0.001166
697.000000, -0.001372
696.000000, -0.001831
695.000000, -0.001444
694.000000, -0.000612
693.000000, -0.001190
692.000000, -0.001589
691.000000, -0.001108
690.000000, -0.001800
689.000000, -0.001977
688.000000, -0.000976
687.000000, -0.000825
686.000000, -0.000676
685.000000, -0.000962
684.000000, -0.000886
683.000000, -0.000871
682.000000, -0.001611
681.000000, -0.002268
680.000000, -0.002144
679.000000, -0.001526
678.000000, -0.001354
677.000000, -0.000954
676.000000, -0.000866
675.000000, -0.001059
674.000000, -0.002052
673.000000, -0.002573
672.000000, -0.002408
671.000000, -0.002224
670.000000, -0.001627
669.000000, -0.001540
668.000000, -0.002663
667.000000, -0.002741
666.000000, -0.002428
665.000000, -0.002027
664.000000, -0.000974
663.000000, -0.001262
662.000000, -0.001898
661.000000, -0.001017
660.000000, -0.001644
659.000000, -0.002434
658.000000, -0.002219
657.000000, -0.002008
656.000000, -0.001827
655.000000, -0.001873
654.000000, -0.001276
653.000000, -0.001654
652.000000, -0.001925
651.000000, -0.002872
650.000000, -0.002872
649.000000, -0.002603
648.000000, -0.001603
647.000000, -0.000418
646.000000, -0.001804
645.000000, -0.002748
644.000000, -0.001956
643.000000, -0.001654
642.000000, -0.001685
641.000000, -0.000703
640.000000, -0.001373
639.000000, -0.002108
638.000000, -0.001719
637.000000, -0.001244
636.000000, -0.002495
635.000000, -0.002331
634.000000, -0.001272
633.000000, -0.001535
632.000000, -0.002371
631.000000, -0.001877
630.000000, -0.001596
629.000000, -0.002136
628.000000, -0.001944
627.000000, -0.001809
626.000000, -0.001279
625.000000, -0.002101
624.000000, -0.002258
623.000000, -0.002766
622.000000, -0.001719
621.000000, -0.001576
620.000000, -0.002352
619.000000, -0.002585
618.000000, -0.002099
617.000000, -0.001978
616.000000, -0.001504
615.000000, -0.001987
614.000000, -0.001161
613.000000, -0.001218
612.000000, -0.001555
611.000000, -0.002302
610.000000, -0.002711
609.000000, -0.001822
608.000000, -0.002089
607.000000, -0.002128
606.000000, -0.001695
605.000000, -0.001447
604.000000, -0.001659
603.000000, -0.002072
602.000000, -0.002515
601.000000, -0.002934
600.000000, -0.001532
599.000000, -0.001697
598.000000, -0.003004
597.000000, -0.002963
596.000000, -0.001324
595.000000, -0.002218
594.000000, -0.002155
593.000000, -0.001456
592.000000, -0.002550
