nm, A
800.000000, 0.000825
799.000000, 0.001165
798.000000, -0.000118
797.000000, 0.000018
796.000000, 0.000191
795.000000, -0.000915
794.000000, 0.000298
793.000000, -0.000568
792.000000, -0.000228
791.000000, 0.000005
790.000000, -0.000056
789.000000, 0.000381
788.000000, -0.000843
787.000000, -0.000905
786.000000, -0.001143
785.000000, 0.000199
784.000000, -0.000346
783.000000, -0.000144
782.000000, 0.000044
781.000000, 0.000203
780.000000, -0.000829
779.000000, -0.000026
778.000000, -0.001642
777.000000, -0.000536
776.000000, -0.000484
775.000000, -0.000443
774.000000, 0.000287
773.000000, 0.000036
772.000000, 0.001048
771.000000, 0.001005
770.000000, 0.000451
769.000000, -0.000005
768.000000, 0.001417
767.000000, -0.000386
766.000000, 0.000351
765.000000, -0.000863
764.000000, -0.000830
763.000000, 0.000848
762.000000, 0.000371
761.000000, 0.000870
760.000000, -0.000522
759.000000, 0.000211
758.000000, -0.000927
757.000000, -0.000699
756.000000, 0.000792
755.000000, 0.000829
754.000000, 0.000176
753.000000, -0.000079
752.000000, -0.000058
751.000000, -0.000671
750.000000, -0.000339
749.000000, 0.000366
748.000000, 0.001194
747.000000, -0.000041
746.000000, 0.000032
745.000000, -0.000206
744.000000, 0.000165
743.000000, -0.000016
742.000000, 0.000425
741.000000, 0.000447
740.000000, 0.000656
739.000000, -0.000247
738.000000, -0.000687
737.000000, -0.000803
736.000000, 0.000632
735.000000, 0.000208
734.000000, -0.000286
733.000000, 0.000721
732.000000, 0.000286
731.000000, -0.000158
730.000000, 0.000408
729.000000, -0.000039
728.000000, -0.000610
727.000000, -0.001144
726.000000, 0.000012
725.000000, 0.000357
724.000000, 0.000188
723.000000, -0.000166
722.000000, -0.000408
721.000000, 0.000439
720.000000, -0.000078
719.000000, -0.000211
718.000000, 0.001065
717.000000, 0.000303
716.000000, -0.000435
715.000000, 0.000347
714.000000, 0.000693
713.000000, -0.000751
712.000000, -0.000376
711.000000, 0.000010
710.000000, 0.000010
709.000000, 0.000231
708.000000, 0.000370
707.000000, 0.000513
706.000000, 0.000400
705.000000, 0.000039
704.000000, -0.000453
703.000000, -0.000737
702.000000, 0.000204
701.000000, 0.000224
700.000000, -0.000563
699.000000, -0.000560
698.000000, -0.000062
697.000000, -0.000128
696.000000, -0.000491
695.000000, -0.000809
694.000000, -0.000936
693.000000, -0.001132
692.000000, -0.000251
691.000000, 0.000147
690.000000, -0.001009
689.000000, -0.000977
688.000000, -0.000066
687.000000, 0.000520
686.000000, -0.000084
685.000000, -0.000660
684.000000, -0.000339
683.000000, 0.000059
682.000000, -0.000051
681.000000, -0.000173
680.000000, -0.000218
679.000000, -0.000723
678.000000, -0.001231
677.000000, -0.000846
676.000000, -0.000191
675.000000, 0.000142
674.000000, 0.000027
673.000000, -0.000197
672.000000, -0.000622
671.000000, -0.001266
670.000000, -0.002149
669.000000, -0.001579
668.000000, -0.000145
667.000000, 0.000311
666.000000, 0.000366
665.000000, 0.000301
664.000000, 0.000460
663.000000, 0.000092
662.000000, -0.000422
661.000000, -0.001006
660.000000, -0.000848
659.000000, 0.000003
658.000000, 0.000330
657.000000, -0.000004
656.000000, -0.000104
655.000000, -0.000861
654.000000, -0.001772
653.000000, -0.001544
652.000000, 0.000360
651.000000, 0.000288
650.000000, -0.000161
649.000000, -0.000564
648.000000, -0.000361
647.000000, -0.000830
646.000000, -0.000043
645.000000, -0.000386
644.000000, -0.001090
643.000000, 0.000078
642.000000, -0.000169
641.000000, -0.000857
640.000000, -0.000498
639.000000, -0.000211
638.000000, -0.000296
637.000000, -0.000452
636.000000, -0.001019
635.000000, -0.001258
634.000000, -0.000940
633.000000, -0.000117
632.000000, 0.000084
631.000000, -0.000657
630.000000, -0.001471
629.000000, -0.001365
628.000000, 0.000062
627.000000, -0.000059
626.000000, 0.000028
625.000000, -0.000941
624.000000, -0.001115
623.000000, -0.001447
622.000000, -0.000659
621.000000, -0.000973
620.000000, -0.001097
619.000000, -0.000335
618.000000, -0.000454
617.000000, 0.000115
616.000000, -0.000160
615.000000, -0.000451
614.000000, 0.000206
613.000000, -0.001002
612.000000, -0.000702
611.000000, 0.000207
610.000000, -0.000051
609.000000, -0.000086
608.000000, -0.000086
607.000000, -0.000448
606.000000, -0.000584
605.000000, -0.000603
604.000000, -0.000089
603.000000, -0.000795
602.000000, -0.000128
601.000000, 0.000534
600.000000, 0.000009
599.000000, -0.001394
598.000000, -0.001087
597.000000, 0.000109
596.000000, 0.000146
595.000000, -0.000289
594.000000, -0.000362
593.000000, -0.001068
592.000000, -0.000460
591.000000, -0.001031
590.000000, -0.000208
589.000000, -0.000705
588.000000, -0.000026
587.000000, -0.000125
586.000000, 0.000200
585.000000, -0.000600
584.000000, -0.000116
583.000000, 0.000046
582.000000, -0.001247
581.000000, 0.000041
580.000000, -0.000230
579.000000, 0.000007
578.000000, -0.000675
577.000000, -0.000222
576.000000, 0.000598
575.000000, -0.000817
574.000000, -0.000278
573.000000, -0.000151
572.000000, -0.001036
571.000000, -0.000158
570.000000, -0.001012
569.000000, 0.000937
568.000000, -0.000601
567.000000, -0.000513
566.000000, 0.000053
565.000000, -0.000118
564.000000, -0.000210
563.000000, -0.001333
562.000000, -0.000774
561.000000, 0.000086
560.000000, -0.000093
559.000000, 0.000735
558.000000, 0.000621
557.000000, -0.001516
556.000000, -0.000081
555.000000, 0.000160
554.000000, -0.000483
553.000000, -0.000795
552.000000, -0.000319
551.000000, -0.000558
550.000000, 0.000865
549.000000, -0.000548
548.000000, 0.000309
547.000000, 0.000127
546.000000, 0.000455
545.000000, 0.000974
544.000000, 0.000453
543.000000, 0.000224
542.000000, -0.000213
541.000000, 0.000491
540.000000, -0.000597
539.000000, -0.001080
538.000000, -0.000891
537.000000, 0.000399
536.000000, 0.000516
535.000000, 0.000634
534.000000, 0.000213
533.000000, 0.000494
532.000000, 0.001412
531.000000, 0.001156
530.000000, 0.002105
529.000000, 0.001136
528.000000, 0.001646
527.000000, 0.001489
526.000000, 0.001928
525.000000, 0.001638
524.000000, 0.002069
523.000000, 0.002738
522.000000, 0.004099
521.000000, 0.005695
520.000000, 0.008119
519.000000, 0.012934
518.000000, 0.020045
517.000000, 0.031411
516.000000, 0.048301
515.000000, 0.069243
514.000000, 0.092791
513.000000, 0.111972
512.000000, 0.122818
511.000000, 0.123431
510.000000, 0.116124
509.000000, 0.104784
508.000000, 0.093496
507.000000, 0.084106
506.000000, 0.077280
505.000000, 0.070744
504.000000, 0.065237
503.000000, 0.061266
502.000000, 0.057608
501.000000, 0.055321
500.000000, 0.052975
499.000000, 0.051818
498.000000, 0.051476
497.000000, 0.049911
496.000000, 0.049843
495.000000, 0.050601
494.000000, 0.051722
493.000000, 0.053308
492.000000, 0.053609
491.000000, 0.056467
490.000000, 0.060386
489.000000, 0.063563
488.000000, 0.068533
487.000000, 0.072517
486.000000, 0.077535
485.000000, 0.081830
484.000000, 0.085219
483.000000, 0.088336
482.000000, 0.091044
481.000000, 0.090513
480.000000, 0.090573
479.000000, 0.088863
478.000000, 0.087235
477.000000, 0.085293
476.000000, 0.082990
475.000000, 0.079142
474.000000, 0.075925
473.000000, 0.072580
472.000000, 0.070544
471.000000, 0.067668
470.000000, 0.065754
469.000000, 0.063620
468.000000, 0.062019
467.000000, 0.058971
466.000000, 0.057206
465.000000, 0.056885
464.000000, 0.055277
463.000000, 0.054026
462.000000, 0.053798
461.000000, 0.052455
460.000000, 0.051897
459.000000, 0.051815
458.000000, 0.051209
457.000000, 0.050960
456.000000, 0.049957
455.000000, 0.049642
454.000000, 0.049946
453.000000, 0.049613
452.000000, 0.049080
451.000000, 0.048980
450.000000, 0.049518
449.000000, 0.049845
448.000000, 0.049208
447.000000, 0.049656
446.000000, 0.050301
445.000000, 0.049618
444.000000, 0.050144
443.000000, 0.051681
442.000000, 0.052191
441.000000, 0.052610
440.000000, 0.053602
439.000000, 0.054629
438.000000, 0.056250
437.000000, 0.058149
436.000000, 0.059149
435.000000, 0.061120
434.000000, 0.062947
433.000000, 0.064414
432.000000, 0.066224
431.000000, 0.067175
430.000000, 0.067199
429.000000, 0.067350
428.000000, 0.068657
427.000000, 0.069467
426.000000, 0.069873
425.000000, 0.070564
424.000000, 0.070575
423.000000, 0.070408
422.000000, 0.070618
421.000000, 0.071036
420.000000, 0.070324
419.000000, 0.070109
418.000000, 0.070796
417.000000, 0.071138
416.000000, 0.070668
415.000000, 0.070646
414.000000, 0.070830
413.000000, 0.070652
412.000000, 0.070971
411.000000, 0.071219
410.000000, 0.070005
409.000000, 0.070224
408.000000, 0.070429
407.000000, 0.070391
406.000000, 0.070665
405.000000, 0.070718
404.000000, 0.070563
403.000000, 0.070749
402.000000, 0.070388
401.000000, 0.069615
400.000000, 0.070251
399.000000, 0.070217
398.000000, 0.070136
397.000000, 0.069382
