nm, A
800.000000, 0.000845
799.000000, -0.000212
798.000000, 0.000128
797.000000, 0.000654
796.000000, -0.000314
795.000000, 0.000086
794.000000, 0.000356
793.000000, -0.000274
792.000000, -0.000072
791.000000, -0.000574
790.000000, -0.000158
789.000000, 0.000111
788.000000, 0.001037
787.000000, 0.000061
786.000000, -0.000674
785.000000, 0.000140
784.000000, -0.000045
783.000000, 0.001072
782.000000, 0.000327
781.000000, 0.000699
780.000000, 0.000240
779.000000, 0.000581
778.000000, 0.000066
777.000000, 0.000223
776.000000, 0.000279
775.000000, 0.001585
774.000000, 0.001833
773.000000, 0.000887
772.000000, 0.000579
771.000000, 0.001119
770.000000, -0.000229
769.000000, 0.000289
768.000000, 0.001119
767.000000, 0.000180
766.000000, 0.000498
765.000000, 0.001609
764.000000, 0.000616
763.000000, 0.000712
762.000000, 0.001113
761.000000, 0.000794
760.000000, 0.001042
759.000000, 0.000244
758.000000, 0.000422
757.000000, 0.000684
756.000000, 0.000565
755.000000, 0.001396
754.000000, 0.001434
753.000000, 0.000752
752.000000, -0.000042
751.000000, 0.001299
750.000000, 0.001449
749.000000, 0.001234
748.000000, 0.001552
747.000000, -0.000302
746.000000, -0.000093
745.000000, 0.000399
744.000000, -0.000063
743.000000, 0.000086
742.000000, 0.000418
741.000000, 0.000095
740.000000, 0.000544
739.000000, 0.000673
738.000000, 0.001212
737.000000, 0.000313
736.000000, 0.000903
735.000000, 0.001144
734.000000, -0.000754
733.000000, 0.000199
732.000000, 0.001229
731.000000, -0.000370
730.000000, -0.000312
729.000000, -0.000236
728.000000, 0.000691
727.000000, -0.000059
726.000000, 0.000615
725.000000, 0.000398
724.000000, 0.000732
723.000000, 0.001311
722.000000, 0.000810
721.000000, 0.000758
720.000000, 0.000277
719.000000, 0.000779
718.000000, 0.000727
717.000000, 0.000446
716.000000, 0.000004
715.000000, 0.000415
714.000000, 0.001327
713.000000, 0.000838
712.000000, 0.000379
711.000000, 0.000366
710.000000, 0.000558
709.000000, 0.000886
708.000000, 0.001087
707.000000, 0.001523
706.000000, 0.000941
705.000000, 0.000576
704.000000, 0.000002
703.000000, 0.000431
702.000000, 0.000412
701.000000, 0.001236
700.000000, 0.001515
699.000000, 0.000130
698.000000, 0.000096
697.000000, 0.000543
696.000000, 0.001030
695.000000, 0.000315
694.000000, 0.000960
693.000000, 0.001038
692.000000, 0.000391
691.000000, 0.000726
690.000000, 0.001288
689.000000, 0.001206
688.000000, 0.000668
687.000000, 0.001000
686.000000, 0.001683
685.000000, 0.001402
684.000000, -0.000441
683.000000, -0.000585
682.000000, 0.000991
681.000000, 0.000632
680.000000, 0.000457
679.000000, 0.000699
678.000000, 0.001068
677.000000, 0.000864
676.000000, 0.000588
675.000000, 0.001113
674.000000, 0.000673
673.000000, 0.000061
672.000000, 0.000485
671.000000, 0.000522
670.000000, 0.001064
669.000000, 0.000685
668.000000, 0.000400
667.000000, 0.000978
666.000000, 0.000465
665.000000, 0.000521
664.000000, 0.000468
663.000000, -0.000688
662.000000, -0.000292
661.000000, 0.000418
660.000000, 0.000353
659.000000, 0.000150
658.000000, 0.001240
657.000000, 0.000914
656.000000, 0.000947
655.000000, -0.000033
654.000000, -0.000451
653.000000, 0.000445
652.000000, 0.001083
651.000000, -0.000400
650.000000, -0.000208
649.000000, 0.000732
648.000000, 0.000689
647.000000, 0.001315
646.000000, 0.000366
645.000000, 0.000418
644.000000, 0.000483
643.000000, 0.000402
642.000000, 0.000518
641.000000, 0.000526
640.000000, 0.000642
639.000000, -0.000487
638.000000, -0.000151
637.000000, 0.000294
636.000000, 0.000757
635.000000, 0.000822
634.000000, 0.000551
633.000000, 0.000249
632.000000, 0.000374
631.000000, 0.000145
630.000000, 0.001273
629.000000, 0.000372
628.000000, 0.000378
627.000000, 0.000238
626.000000, -0.000163
625.000000, 0.000712
624.000000, 0.000406
623.000000, 0.000747
622.000000, -0.000370
621.000000, 0.001067
620.000000, 0.000905
619.000000, 0.000137
618.000000, 0.001232
617.000000, 0.000951
616.000000, 0.000635
615.000000, -0.000377
614.000000, 0.000298
613.000000, 0.001122
612.000000, 0.000113
611.000000, 0.001132
610.000000, 0.000303
609.000000, 0.000175
608.000000, 0.001200
607.000000, 0.000904
606.000000, -0.000059
605.000000, 0.000490
604.000000, 0.000665
603.000000, -0.000268
602.000000, -0.000081
601.000000, 0.000264
600.000000, 0.000874
599.000000, 0.000512
598.000000, 0.000609
597.000000, 0.000776
596.000000, -0.000165
595.000000, 0.000153
594.000000, 0.000691
593.000000, 0.001397
592.000000, 0.001355
591.000000, 0.000641
590.000000, 0.000966
589.000000, 0.000986
588.000000, 0.000491
587.000000, 0.000673
586.000000, 0.000734
585.000000, -0.000224
584.000000, 0.001062
583.000000, 0.001843
582.000000, 0.001411
581.000000, 0.001945
580.000000, 0.001252
579.000000, 0.000516
578.000000, 0.001148
577.000000, 0.000430
576.000000, 0.000609
575.000000, 0.001234
574.000000, 0.001286
573.000000, 0.000343
