nm, A
800.000000, -0.004541
799.000000, -0.004416
798.000000, -0.003635
797.000000, -0.003904
796.000000, -0.003632
795.000000, -0.004565
794.000000, -0.004956
793.000000, -0.004423
792.000000, -0.004725
791.000000, -0.005104
790.000000, -0.003736
789.000000, -0.004711
788.000000, -0.003596
787.000000, -0.004410
786.000000, -0.005012
785.000000, -0.005039
784.000000, -0.003341
783.000000, -0.005363
782.000000, -0.005317
781.000000, -0.005490
780.000000, -0.005499
779.000000, -0.003515
778.000000, -0.004110
777.000000, -0.005439
776.000000, -0.005362
775.000000, -0.004881
774.000000, -0.004380
773.000000, -0.005793
772.000000, -0.004750
771.000000, -0.005774
770.000000, -0.004233
769.000000, -0.004763
768.000000, -0.005203
767.000000, -0.006090
766.000000, -0.004415
765.000000, -0.004837
764.000000, -0.004705
763.000000, -0.005108
762.000000, -0.005542
761.000000, -0.005287
760.000000, -0.005369
759.000000, -0.005405
758.000000, -0.004912
757.000000, -0.004276
756.000000, -0.005109
755.000000, -0.004694
754.000000, -0.004883
753.000000, -0.005476
752.000000, -0.005548
751.000000, -0.004599
750.000000, -0.004306
749.000000, -0.004703
748.000000, -0.005395
747.000000, -0.005502
746.000000, -0.006596
745.000000, -0.005306
744.000000, -0.005306
743.000000, -0.004503
742.000000, -0.003854
741.000000, -0.005187
740.000000, -0.006068
739.000000, -0.005850
738.000000, -0.004793
737.000000, -0.005300
736.000000, -0.004376
735.000000, -0.005111
734.000000, -0.005230
733.000000, -0.005690
732.000000, -0.005342
731.000000, -0.005935
730.000000, -0.005639
729.000000, -0.005175
728.000000, -0.005209
727.000000, -0.005178
726.000000, -0.005653
725.000000, -0.005902
724.000000, -0.004722
723.000000, -0.005030
722.000000, -0.004649
721.000000, -0.004852
720.000000, -0.005736
719.000000, -0.006134
718.000000, -0.006329
717.000000, -0.006038
716.000000, -0.005855
715.000000, -0.005684
714.000000, -0.005117
713.000000, -0.004656
712.000000, -0.005467
711.000000, -0.005547
710.000000, -0.004749
709.000000, -0.006138
708.000000, -0.005965
707.000000, -0.005436
706.000000, -0.005164
705.000000, -0.004823
704.000000, -0.004669
703.000000, -0.004431
702.000000, -0.005258
701.000000, -0.005588
700.000000, -0.006120
699.000000, -0.006040
698.000000, -0.005743
697.000000, -0.004896
696.000000, -0.005378
695.000000, -0.005401
694.000000, -0.005228
693.000000, -0.005462
692.000000, -0.005792
691.000000, -0.006050
690.000000, -0.005938
689.000000, -0.005832
688.000000, -0.005467
687.000000, -0.005947
686.000000, -0.006302
685.000000, -0.005150
684.000000, -0.005765
683.000000, -0.005887
682.000000, -0.005966
681.000000, -0.006627
680.000000, -0.006702
679.000000, -0.005900
678.000000, -0.005443
677.000000, -0.005749
676.000000, -0.006216
675.000000, -0.005944
674.000000, -0.005667
673.000000, -0.006129
672.000000, -0.005897
671.000000, -0.006237
670.000000, -0.006438
669.000000, -0.005840
668.000000, -0.006034
667.000000, -0.005973
666.000000, -0.005949
665.000000, -0.006348
664.000000, -0.006011
663.000000, -0.005536
662.000000, -0.005537
661.000000, -0.005505
660.000000, -0.006352
659.000000, -0.006811
658.000000, -0.006472
657.000000, -0.006807
656.000000, -0.006406
655.000000, -0.006064
654.000000, -0.005870
653.000000, -0.005235
652.000000, -0.006098
651.000000, -0.006367
650.000000, -0.006330
649.000000, -0.005771
648.000000, -0.005339
647.000000, -0.005700
646.000000, -0.006256
645.000000, -0.006177
644.000000, -0.006237
643.000000, -0.006972
642.000000, -0.007037
641.000000, -0.005514
640.000000, -0.005256
639.000000, -0.006666
638.000000, -0.006760
637.000000, -0.006417
636.000000, -0.006252
635.000000, -0.006650
634.000000, -0.006169
633.000000, -0.006154
632.000000, -0.006271
631.000000, -0.006387
630.000000, -0.006591
629.000000, -0.006908
628.000000, -0.006564
627.000000, -0.006987
626.000000, -0.007669
625.000000, -0.007007
624.000000, -0.005891
623.000000, -0.005291
622.000000, -0.006701
621.000000, -0.006631
620.000000, -0.006347
619.000000, -0.007073
618.000000, -0.007373
617.000000, -0.007255
616.000000, -0.006686
615.000000, -0.006616
614.000000, -0.006717
613.000000, -0.007302
612.000000, -0.006460
611.000000, -0.006699
610.000000, -0.007064
609.000000, -0.006752
608.000000, -0.007271
607.000000, -0.006667
606.000000, -0.007030
605.000000, -0.007556
604.000000, -0.005826
603.000000, -0.006228
602.000000, -0.006173
601.000000, -0.006904
600.000000, -0.006679
599.000000, -0.006195
598.000000, -0.007185
597.000000, -0.006830
596.000000, -0.007016
595.000000, -0.007333
594.000000, -0.005684
593.000000, -0.007130
592.000000, -0.007265
591.000000, -0.006963
590.000000, -0.007109
589.000000, -0.007097
588.000000, -0.006533
587.000000, -0.006457
586.000000, -0.006675
585.000000, -0.005936
584.000000, -0.007362
583.000000, -0.005941
582.000000, -0.006329
581.000000, -0.007383
580.000000, -0.006887
579.000000, -0.005932
578.000000, -0.006180
577.000000, -0.006659
576.000000, -0.006821
575.000000, -0.007268
574.000000, -0.006513
573.000000, -0.006281
572.000000, -0.006620
571.000000, -0.007872
570.000000, -0.006894
569.000000, -0.007681
568.000000, -0.007096
567.000000, -0.007491
566.000000, -0.007347
565.000000, -0.008153
564.000000, -0.006926
563.000000, -0.006642
562.000000, -0.008120
561.000000, -0.007509
560.000000, -0.007096
559.000000, -0.007826
558.000000, -0.008094
557.000000, -0.007723
556.000000, -0.007943
555.000000, -0.007160
554.000000, -0.006062
553.000000, -0.006014
552.000000, -0.007126
551.000000, -0.007264
550.000000, -0.005973
549.000000, -0.006177
548.000000, -0.005790
547.000000, -0.006484
546.000000, -0.006567
545.000000, -0.006707
544.000000, -0.006809
543.000000, -0.007151
542.000000, -0.006393
541.000000, -0.007063
540.000000, -0.006428
539.000000, -0.006570
538.000000, -0.005610
537.000000, -0.005702
536.000000, -0.005177
535.000000, -0.006644
534.000000, -0.005912
533.000000, -0.006198
532.000000, -0.006688
531.000000, -0.007145
530.000000, -0.006626
529.000000, -0.005916
528.000000, -0.005375
527.000000, -0.006003
526.000000, -0.005295
525.000000, -0.004571
524.000000, -0.005296
523.000000, -0.005521
522.000000, -0.004630
521.000000, -0.004130
520.000000, -0.004278
519.000000, -0.002650
518.000000, -0.000555
517.000000, 0.004033
516.000000, 0.009806
515.000000, 0.019062
514.000000, 0.033470
513.000000, 0.052303
512.000000, 0.074798
511.000000, 0.094875
510.000000, 0.109671
509.000000, 0.115210
508.000000, 0.113254
507.000000, 0.106334
506.000000, 0.096162
505.000000, 0.085279
504.000000, 0.075147
503.000000, 0.066229
502.000000, 0.056661
501.000000, 0.051955
500.000000, 0.047655
499.000000, 0.043311
498.000000, 0.041069
497.000000, 0.039313
496.000000, 0.039955
495.000000, 0.040177
494.000000, 0.040131
493.000000, 0.041574
492.000000, 0.041350
491.000000, 0.043692
490.000000, 0.046124
489.000000, 0.049614
488.000000, 0.052913
487.000000, 0.057680
486.000000, 0.061499
485.000000, 0.066719
484.000000, 0.070766
483.000000, 0.074185
482.000000, 0.077278
481.000000, 0.078565
480.000000, 0.079051
479.000000, 0.079525
478.000000, 0.078281
477.000000, 0.075829
476.000000, 0.073812
475.000000, 0.071973
474.000000, 0.069007
473.000000, 0.066700
472.000000, 0.063843
471.000000, 0.060999
470.000000, 0.059084
469.000000, 0.057186
468.000000, 0.055116
467.000000, 0.052891
466.000000, 0.051520
465.000000, 0.050880
464.000000, 0.049554
463.000000, 0.048508
462.000000, 0.047894
461.000000, 0.046535
