nm, A
800.000000, 0.001577
799.000000, 0.000679
798.000000, 0.001212
797.000000, 0.000536
796.000000, 0.002039
795.000000, 0.001344
794.000000, 0.000848
793.000000, 0.001513
792.000000, 0.002379
791.000000, 0.002290
790.000000, 0.001944
789.000000, 0.001188
788.000000, 0.001162
787.000000, 0.001552
786.000000, 0.001226
785.000000, 0.001069
784.000000, 0.000780
783.000000, 0.001470
782.000000, 0.001800
781.000000, 0.001052
780.000000, 0.002673
779.000000, 0.002098
778.000000, 0.003245
777.000000, 0.001841
776.000000, 0.002285
775.000000, 0.001222
774.000000, 0.001268
773.000000, 0.000866
772.000000, 0.002012
771.000000, 0.001711
770.000000, 0.000828
769.000000, 0.001419
768.000000, 0.001140
767.000000, 0.001470
766.000000, 0.002143
765.000000, 0.001887
764.000000, 0.001840
763.000000, 0.003078
762.000000, 0.002012
761.000000, 0.001245
760.000000, 0.002353
759.000000, 0.002048
758.000000, 0.001148
757.000000, 0.001220
756.000000, 0.002319
755.000000, 0.001926
754.000000, 0.001812
753.000000, 0.001126
752.000000, 0.001533
751.000000, 0.000524
750.000000, 0.001397
749.000000, 0.001863
748.000000, 0.002284
747.000000, 0.002788
746.000000, 0.001891
745.000000, 0.001402
744.000000, 0.001217
743.000000, 0.001214
742.000000, 0.002563
741.000000, 0.001052
740.000000, 0.000589
739.000000, 0.000869
738.000000, 0.001069
737.000000, 0.002442
736.000000, 0.002057
735.000000, 0.002437
734.000000, 0.001087
733.000000, 0.001600
732.000000, 0.001717
731.000000, 0.001470
730.000000, 0.001703
729.000000, 0.002016
728.000000, 0.002120
727.000000, 0.002172
726.000000, 0.001625
725.000000, 0.001465
724.000000, 0.001779
723.000000, 0.002182
722.000000, 0.003043
721.000000, 0.003569
720.000000, 0.002862
719.000000, 0.001629
718.000000, 0.001734
717.000000, 0.002787
716.000000, 0.002467
715.000000, 0.001022
714.000000, 0.001531
713.000000, 0.002036
712.000000, 0.002858
711.000000, 0.002522
710.000000, 0.002318
709.000000, 0.001832
708.000000, 0.002234
707.000000, 0.002169
706.000000, 0.002414
705.000000, 0.002490
704.000000, 0.002576
703.000000, 0.002636
702.000000, 0.001653
701.000000, 0.001782
700.000000, 0.001694
699.000000, 0.001909
698.000000, 0.001319
697.000000, 0.001469
696.000000, 0.001436
695.000000, 0.002426
694.000000, 0.002939
693.000000, 0.001995
692.000000, 0.001716
691.000000, 0.001453
690.000000, 0.001304
689.000000, 0.001185
688.000000, 0.001686
687.000000, 0.001899
686.000000, 0.002074
685.000000, 0.002341
684.000000, 0.002494
683.000000, 0.002060
682.000000, 0.002094
681.000000, 0.002868
680.000000, 0.002650
679.000000, 0.002446
678.000000, 0.002450
677.000000, 0.002517
676.000000, 0.003013
675.000000, 0.002604
674.000000, 0.002521
673.000000, 0.002958
672.000000, 0.002450
671.000000, 0.002252
670.000000, 0.003202
669.000000, 0.003423
668.000000, 0.002098
667.000000, 0.001827
666.000000, 0.002150
665.000000, 0.002277
664.000000, 0.002388
663.000000, 0.002208
662.000000, 0.002394
661.000000, 0.002759
660.000000, 0.002405
659.000000, 0.001590
658.000000, 0.002288
657.000000, 0.002546
656.000000, 0.002262
655.000000, 0.002037
654.000000, 0.002212
653.000000, 0.001719
652.000000, 0.002031
651.000000, 0.002742
650.000000, 0.002917
649.000000, 0.003149
648.000000, 0.002580
647.000000, 0.001926
646.000000, 0.002333
645.000000, 0.002290
644.000000, 0.002062
643.000000, 0.002677
642.000000, 0.003474
641.000000, 0.003230
640.000000, 0.003517
639.000000, 0.002616
638.000000, 0.002675
637.000000, 0.002995
636.000000, 0.002626
635.000000, 0.002730
634.000000, 0.002928
633.000000, 0.002723
632.000000, 0.002503
631.000000, 0.002409
630.000000, 0.002701
629.000000, 0.002674
628.000000, 0.002843
627.000000, 0.002804
626.000000, 0.003326
625.000000, 0.003423
624.000000, 0.003333
623.000000, 0.002773
622.000000, 0.003220
621.000000, 0.003897
620.000000, 0.003955
619.000000, 0.003039
618.000000, 0.003209
617.000000, 0.002536
616.000000, 0.003674
615.000000, 0.004032
614.000000, 0.004161
613.000000, 0.003193
612.000000, 0.002723
611.000000, 0.002742
610.000000, 0.003075
609.000000, 0.004469
608.000000, 0.002921
607.000000, 0.003494
606.000000, 0.004182
605.000000, 0.004213
604.000000, 0.003463
603.000000, 0.003220
602.000000, 0.003565
601.000000, 0.004441
600.000000, 0.004206
