nm, A
800.000000, -0.000466
799.000000, -0.000133
798.000000, 0.000622
797.000000, -0.001222
796.000000, 0.000600
795.000000, -0.000270
794.000000, -0.000513
793.000000, -0.000062
792.000000, 0.000211
791.000000, -0.000512
790.000000, 0.000397
789.000000, -0.000469
788.000000, -0.000539
787.000000, -0.000208
786.000000, 0.000103
785.000000, -0.000005
784.000000, 0.000447
783.000000, -0.000434
782.000000, 0.000944
781.000000, -0.000461
780.000000, 0.001181
779.000000, -0.000004
778.000000, -0.000138
777.000000, -0.000888
776.000000, 0.000088
775.000000, 0.000347
774.000000, 0.000600
773.000000, -0.000609
772.000000, 0.001095
771.000000, -0.000553
770.000000, -0.000454
769.000000, -0.000092
768.000000, -0.000316
767.000000, 0.000467
766.000000, -0.000065
765.000000, -0.000117
764.000000, -0.000229
763.000000, 0.000706
762.000000, 0.000414
761.000000, 0.000157
760.000000, 0.000793
759.000000, 0.000681
758.000000, 0.000138
757.000000, 0.000077
756.000000, 0.000319
755.000000, 0.001317
754.000000, 0.000474
753.000000, -0.000976
752.000000, -0.000503
751.000000, 0.000197
750.000000, 0.001085
749.000000, 0.000584
748.000000, 0.000559
747.000000, 0.001256
746.000000, 0.000627
745.000000, -0.000365
744.000000, -0.001249
743.000000, -0.000513
742.000000, 0.000764
741.000000, 0.000276
740.000000, -0.000761
739.000000, 0.000047
738.000000, -0.000893
737.000000, 0.001071
736.000000, 0.000346
735.000000, 0.000109
734.000000, -0.000609
733.000000, -0.000203
732.000000, -0.000301
731.000000, 0.000304
730.000000, 0.000413
729.000000, 0.001008
728.000000, 0.000535
727.000000, 0.000695
726.000000, 0.000380
725.000000, -0.000182
724.000000, -0.000135
723.000000, 0.000514
722.000000, 0.000796
721.000000, 0.000969
720.000000, 0.001135
719.000000, 0.000009
718.000000, 0.000807
717.000000, 0.001470
716.000000, 0.001276
715.000000, 0.000264
714.000000, 0.000255
713.000000, 0.000376
712.000000, 0.001457
711.000000, 0.000604
710.000000, 0.000601
709.000000, 0.000277
708.000000, 0.000140
707.000000, -0.000340
706.000000, 0.000641
705.000000, 0.001166
704.000000, 0.000399
703.000000, 0.000876
702.000000, 0.001170
701.000000, 0.000774
700.000000, 0.000092
699.000000, 0.000955
698.000000, 0.000853
697.000000, 0.001094
696.000000, 0.001548
695.000000, 0.001593
694.000000, 0.001434
693.000000, 0.000148
692.000000, -0.000428
691.000000, 0.000185
690.000000, 0.001020
689.000000, 0.000986
688.000000, 0.000852
687.000000, 0.001113
686.000000, 0.001341
685.000000, 0.001305
684.000000, 0.000804
683.000000, 0.000850
