nm, A
800.000000, -0.003632
799.000000, -0.002734
798.000000, -0.002272
797.000000, -0.003611
796.000000, -0.003129
795.000000, -0.002112
794.000000, -0.002991
793.000000, -0.003343
792.000000, -0.003070
791.000000, -0.004202
790.000000, -0.002525
789.000000, -0.002273
788.000000, -0.002385
787.000000, -0.003167
786.000000, -0.003433
785.000000, -0.002811
784.000000, -0.003243
783.000000, -0.004026
782.000000, -0.004748
781.000000, -0.003531
780.000000, -0.004819
779.000000, -0.002446
778.000000, -0.002477
777.000000, -0.003072
776.000000, -0.003615
775.000000, -0.003332
774.000000, -0.002896
773.000000, -0.005078
772.000000, -0.003142
771.000000, -0.003108
770.000000, -0.002612
769.000000, -0.004000
768.000000, -0.004133
767.000000, -0.003789
766.000000, -0.003744
765.000000, -0.004106
764.000000, -0.004228
763.000000, -0.004629
762.000000, -0.004156
761.000000, -0.003390
760.000000, -0.004385
759.000000, -0.004932
758.000000, -0.003863
757.000000, -0.002886
756.000000, -0.003721
755.000000, -0.003587
754.000000, -0.004413
753.000000, -0.004838
752.000000, -0.003146
751.000000, -0.002008
750.000000, -0.002868
749.000000, -0.004088
748.000000, -0.003023
747.000000, -0.003639
746.000000, -0.003816
745.000000, -0.003562
744.000000, -0.003575
743.000000, -0.003234
742.000000, -0.003545
741.000000, -0.004592
740.000000, -0.004539
739.000000, -0.003732
738.000000, -0.003108
737.000000, -0.003624
736.000000, -0.003333
735.000000, -0.002827
734.000000, -0.002903
733.000000, -0.003660
732.000000, -0.003602
731.000000, -0.004288
730.000000, -0.002906
729.000000, -0.003714
728.000000, -0.004138
727.000000, -0.004342
726.000000, -0.004119
725.000000, -0.003974
724.000000, -0.003353
723.000000, -0.003359
722.000000, -0.003395
721.000000, -0.003772
720.000000, -0.003701
719.000000, -0.003881
718.000000, -0.003268
717.000000, -0.003812
716.000000, -0.004103
715.000000, -0.004103
714.000000, -0.003793
713.000000, -0.003156
712.000000, -0.003890
711.000000, -0.004799
710.000000, -0.004463
709.000000, -0.004469
708.000000, -0.003700
707.000000, -0.003348
706.000000, -0.003790
705.000000, -0.003975
704.000000, -0.003575
703.000000, -0.003093
702.000000, -0.003689
701.000000, -0.004006
700.000000, -0.003652
699.000000, -0.004004
698.000000, -0.003941
697.000000, -0.002637
696.000000, -0.003209
695.000000, -0.004634
694.000000, -0.004291
693.000000, -0.002518
692.000000, -0.002962
691.000000, -0.003406
690.000000, -0.004512
689.000000, -0.004265
688.000000, -0.003395
687.000000, -0.003957
686.000000, -0.004405
685.000000, -0.003907
684.000000, -0.003595
683.000000, -0.005035
682.000000, -0.004987
681.000000, -0.003791
680.000000, -0.003487
679.000000, -0.003197
678.000000, -0.003813
677.000000, -0.003652
676.000000, -0.003658
675.000000, -0.003775
674.000000, -0.003670
673.000000, -0.004321
672.000000, -0.004264
671.000000, -0.004147
670.000000, -0.003645
669.000000, -0.003975
668.000000, -0.004128
667.000000, -0.003894
666.000000, -0.004403
665.000000, -0.004226
664.000000, -0.004867
663.000000, -0.004737
662.000000, -0.003721
661.000000, -0.003725
660.000000, -0.004249
659.000000, -0.004343
658.000000, -0.003702
657.000000, -0.004213
656.000000, -0.004259
655.000000, -0.004366
654.000000, -0.003981
653.000000, -0.003380
652.000000, -0.003696
651.000000, -0.003951
650.000000, -0.003989
649.000000, -0.003636
648.000000, -0.003499
647.000000, -0.004693
646.000000, -0.004781
645.000000, -0.004010
644.000000, -0.004338
643.000000, -0.004447
642.000000, -0.004175
641.000000, -0.004298
640.000000, -0.003890
639.000000, -0.004129
638.000000, -0.004320
637.000000, -0.004577
636.000000, -0.004228
635.000000, -0.004378
634.000000, -0.004430
633.000000, -0.004844
632.000000, -0.004316
631.000000, -0.003796
630.000000, -0.004370
629.000000, -0.005162
628.000000, -0.004378
627.000000, -0.005070
626.000000, -0.005352
625.000000, -0.004559
624.000000, -0.004413
623.000000, -0.003877
622.000000, -0.004061
621.000000, -0.003570
620.000000, -0.003796
619.000000, -0.005277
618.000000, -0.004904
617.000000, -0.004647
616.000000, -0.004401
615.000000, -0.004885
614.000000, -0.004188
613.000000, -0.004500
612.000000, -0.004045
611.000000, -0.003862
610.000000, -0.004540
609.000000, -0.004466
608.000000, -0.004046
607.000000, -0.004125
606.000000, -0.004174
605.000000, -0.004837
604.000000, -0.003278
603.000000, -0.004664
602.000000, -0.004673
601.000000, -0.005051
600.000000, -0.003781
599.000000, -0.003886
598.000000, -0.004077
597.000000, -0.003451
596.000000, -0.003851
595.000000, -0.004418
594.000000, -0.003681
593.000000, -0.004551
592.000000, -0.004688
591.000000, -0.004447
590.000000, -0.005192
589.000000, -0.004041
588.000000, -0.002850
587.000000, -0.004013
586.000000, -0.003898
585.000000, -0.003754
584.000000, -0.004465
583.000000, -0.004185
582.000000, -0.004501
581.000000, -0.004251
580.000000, -0.004744
579.000000, -0.004267
578.000000, -0.002589
577.000000, -0.003343
576.000000, -0.003794
575.000000, -0.004363
574.000000, -0.004815
573.000000, -0.003258
572.000000, -0.003690
571.000000, -0.004237
570.000000, -0.003969
569.000000, -0.005550
568.000000, -0.004450
567.000000, -0.004940
566.000000, -0.004675
565.000000, -0.004876
564.000000, -0.003718
563.000000, -0.004644
562.000000, -0.004747
561.000000, -0.003922
560.000000, -0.004163
559.000000, -0.004394
558.000000, -0.002745
557.000000, -0.003294
556.000000, -0.003736
555.000000, -0.004007
554.000000, -0.002581
553.000000, -0.003172
552.000000, -0.003815
551.000000, -0.002454
550.000000, -0.002442
549.000000, -0.002975
548.000000, -0.003431
547.000000, -0.003460
546.000000, -0.002512
545.000000, -0.002296
544.000000, -0.002426
543.000000, -0.002824
542.000000, -0.003364
541.000000, -0.002270
540.000000, -0.002352
539.000000, -0.002219
538.000000, -0.002642
537.000000, -0.000884
536.000000, -0.000506
535.000000, -0.001691
534.000000, -0.001402
533.000000, -0.001032
532.000000, -0.001481
531.000000, -0.002876
530.000000, -0.002170
529.000000, -0.000797
528.000000, -0.000735
527.000000, -0.000516
526.000000, 0.000215
525.000000, -0.000600
524.000000, 0.000528
523.000000, 0.001209
522.000000, 0.003189
521.000000, 0.004386
520.000000, 0.006577
519.000000, 0.011650
518.000000, 0.019442
517.000000, 0.032391
516.000000, 0.052489
515.000000, 0.081707
514.000000, 0.119098
513.000000, 0.156553
512.000000, 0.182938
511.000000, 0.193456
510.000000, 0.187806
509.000000, 0.171185
508.000000, 0.152497
507.000000, 0.134429
506.000000, 0.120193
505.000000, 0.108458
504.000000, 0.099689
503.000000, 0.091503
502.000000, 0.085699
501.000000, 0.081868
500.000000, 0.078425
499.000000, 0.076533
498.000000, 0.074968
497.000000, 0.073839
496.000000, 0.073670
495.000000, 0.074531
494.000000, 0.073624
493.000000, 0.076420
492.000000, 0.078856
491.000000, 0.083286
490.000000, 0.087226
489.000000, 0.091910
488.000000, 0.098940
487.000000, 0.106098
486.000000, 0.111580
485.000000, 0.119162
484.000000, 0.125393
483.000000, 0.129077
482.000000, 0.133436
481.000000, 0.135418
480.000000, 0.134812
479.000000, 0.133040
478.000000, 0.130864
477.000000, 0.127026
476.000000, 0.122729
475.000000, 0.118284
474.000000, 0.113544
473.000000, 0.109076
472.000000, 0.104525
471.000000, 0.100460
470.000000, 0.097293
469.000000, 0.093704
468.000000, 0.090457
467.000000, 0.087729
466.000000, 0.085847
465.000000, 0.083995
464.000000, 0.082427
463.000000, 0.080270
462.000000, 0.078527
461.000000, 0.076649
460.000000, 0.076063
459.000000, 0.074891
458.000000, 0.074162
457.000000, 0.073520
456.000000, 0.073304
455.000000, 0.072068
454.000000, 0.071284
453.000000, 0.071354
452.000000, 0.071622
451.000000, 0.071405
450.000000, 0.070851
449.000000, 0.070389
448.000000, 0.070626
447.000000, 0.071936
446.000000, 0.072628
445.000000, 0.073151
444.000000, 0.073682
443.000000, 0.075123
442.000000, 0.076061
441.000000, 0.077219
440.000000, 0.078609
439.000000, 0.080578
438.000000, 0.081731
437.000000, 0.083318
436.000000, 0.086536
435.000000, 0.089037
434.000000, 0.090649
433.000000, 0.093586
432.000000, 0.095361
431.000000, 0.097342
430.000000, 0.099062
429.000000, 0.100038
428.000000, 0.101006
