nm, A
800.000000, 0.002380
799.000000, 0.001877
798.000000, 0.002906
797.000000, 0.000761
796.000000, 0.001223
795.000000, 0.002127
794.000000, 0.001104
793.000000, 0.001731
792.000000, 0.002154
791.000000, 0.001049
790.000000, 0.001930
789.000000, 0.001594
788.000000, 0.001440
787.000000, 0.001614
786.000000, 0.001798
785.000000, 0.002034
784.000000, 0.002540
783.000000, 0.001984
782.000000, 0.002553
781.000000, 0.001109
780.000000, 0.002762
779.000000, 0.002441
778.000000, 0.002763
777.000000, 0.001313
776.000000, 0.002474
775.000000, 0.001377
774.000000, 0.002055
773.000000, 0.001177
772.000000, 0.002460
771.000000, 0.001528
770.000000, 0.001340
769.000000, 0.001169
768.000000, 0.001462
767.000000, 0.001412
766.000000, 0.001626
765.000000, 0.001993
764.000000, 0.002050
763.000000, 0.001992
762.000000, 0.001659
761.000000, 0.001936
760.000000, 0.002074
759.000000, 0.001523
758.000000, 0.001791
757.000000, 0.001467
756.000000, 0.001927
755.000000, 0.002027
754.000000, 0.001917
753.000000, 0.000684
752.000000, 0.000848
751.000000, 0.001236
750.000000, 0.002729
749.000000, 0.003320
748.000000, 0.002576
747.000000, 0.002761
746.000000, 0.002076
745.000000, 0.001860
744.000000, 0.001493
743.000000, 0.001977
742.000000, 0.002087
741.000000, 0.001317
740.000000, 0.001125
739.000000, 0.001645
738.000000, 0.002621
737.000000, 0.002705
736.000000, 0.002432
735.000000, 0.001942
734.000000, 0.001501
733.000000, 0.001397
732.000000, 0.002364
731.000000, 0.002786
730.000000, 0.002420
729.000000, 0.002251
728.000000, 0.001884
727.000000, 0.001810
726.000000, 0.002657
725.000000, 0.002262
724.000000, 0.003058
723.000000, 0.002797
722.000000, 0.002926
721.000000, 0.003622
720.000000, 0.003367
719.000000, 0.002906
718.000000, 0.002839
717.000000, 0.003032
716.000000, 0.002929
715.000000, 0.003009
714.000000, 0.002256
713.000000, 0.001631
712.000000, 0.002781
711.000000, 0.002635
710.000000, 0.002373
709.000000, 0.002949
708.000000, 0.002772
707.000000, 0.002960
706.000000, 0.002674
705.000000, 0.002424
704.000000, 0.002449
703.000000, 0.003141
702.000000, 0.003619
701.000000, 0.003288
700.000000, 0.002800
699.000000, 0.003109
698.000000, 0.002204
697.000000, 0.003147
696.000000, 0.003348
695.000000, 0.003545
694.000000, 0.003356
693.000000, 0.002391
692.000000, 0.002483
691.000000, 0.003046
690.000000, 0.003432
689.000000, 0.002851
688.000000, 0.002994
687.000000, 0.002700
686.000000, 0.003111
685.000000, 0.003239
684.000000, 0.002980
683.000000, 0.003417
682.000000, 0.003750
681.000000, 0.003536
680.000000, 0.003205
679.000000, 0.003508
678.000000, 0.003581
677.000000, 0.003109
676.000000, 0.003212
675.000000, 0.003086
674.000000, 0.002936
673.000000, 0.003108
672.000000, 0.003187
671.000000, 0.003097
670.000000, 0.004205
669.000000, 0.004369
668.000000, 0.003698
667.000000, 0.003531
