nm, A
800.000000, -0.004146
799.000000, -0.003900
798.000000, -0.002712
797.000000, -0.004335
796.000000, -0.002932
795.000000, -0.003886
794.000000, -0.004353
793.000000, -0.004494
792.000000, -0.004464
791.000000, -0.005160
790.000000, -0.002986
789.000000, -0.003096
788.000000, -0.003660
787.000000, -0.004481
786.000000, -0.004171
785.000000, -0.004335
784.000000, -0.003783
783.000000, -0.004695
782.000000, -0.005548
781.000000, -0.004576
780.000000, -0.006130
779.000000, -0.003584
778.000000, -0.004657
777.000000, -0.004742
776.000000, -0.005190
775.000000, -0.004648
774.000000, -0.003446
773.000000, -0.005622
772.000000, -0.003881
771.000000, -0.005565
770.000000, -0.004276
769.000000, -0.004915
768.000000, -0.004011
767.000000, -0.005506
766.000000, -0.004882
765.000000, -0.004973
764.000000, -0.005625
763.000000, -0.005387
762.000000, -0.005465
761.000000, -0.003722
760.000000, -0.005323
759.000000, -0.005122
758.000000, -0.005474
757.000000, -0.004490
756.000000, -0.003742
755.000000, -0.003976
754.000000, -0.004602
753.000000, -0.004698
752.000000, -0.004975
751.000000, -0.004495
750.000000, -0.004427
749.000000, -0.004960
748.000000, -0.004363
747.000000, -0.005218
746.000000, -0.005837
745.000000, -0.005652
744.000000, -0.005035
743.000000, -0.004876
742.000000, -0.005227
741.000000, -0.005459
740.000000, -0.005266
739.000000, -0.004662
738.000000, -0.003983
737.000000, -0.004723
736.000000, -0.003955
735.000000, -0.004567
734.000000, -0.004675
733.000000, -0.005208
732.000000, -0.005635
731.000000, -0.005436
730.000000, -0.004570
729.000000, -0.004659
728.000000, -0.005124
727.000000, -0.005666
726.000000, -0.005014
725.000000, -0.006154
724.000000, -0.005420
723.000000, -0.005120
722.000000, -0.004844
721.000000, -0.004341
720.000000, -0.004792
719.000000, -0.005358
718.000000, -0.005810
717.000000, -0.006058
716.000000, -0.005834
715.000000, -0.005166
714.000000, -0.003761
713.000000, -0.004666
712.000000, -0.006325
711.000000, -0.006081
710.000000, -0.004588
709.000000, -0.005154
708.000000, -0.005155
707.000000, -0.005588
706.000000, -0.004788
705.000000, -0.004597
704.000000, -0.004202
703.000000, -0.004518
702.000000, -0.005042
701.000000, -0.005274
700.000000, -0.005678
699.000000, -0.005837
698.000000, -0.005330
697.000000, -0.004471
696.000000, -0.004790
695.000000, -0.005315
694.000000, -0.004835
693.000000, -0.004223
692.000000, -0.005265
691.000000, -0.005201
690.000000, -0.005171
689.000000, -0.005182
688.000000, -0.005120
687.000000, -0.004703
686.000000, -0.005077
685.000000, -0.005047
684.000000, -0.004856
683.000000, -0.004951
682.000000, -0.005875
681.000000, -0.005569
680.000000, -0.005042
679.000000, -0.005175
678.000000, -0.004849
677.000000, -0.004636
676.000000, -0.004937
675.000000, -0.004711
674.000000, -0.004761
673.000000, -0.005338
672.000000, -0.005030
671.000000, -0.004806
670.000000, -0.004963
669.000000, -0.005720
668.000000, -0.005890
667.000000, -0.005456
666.000000, -0.005281
665.000000, -0.005458
664.000000, -0.005417
663.000000, -0.005450
662.000000, -0.005588
661.000000, -0.004743
660.000000, -0.004977
659.000000, -0.005501
658.000000, -0.004758
657.000000, -0.004829
656.000000, -0.005913
655.000000, -0.005908
654.000000, -0.004895
