nm, A
800.000000, -0.001153
799.000000, -0.000322
798.000000, -0.000458
797.000000, 0.000240
796.000000, -0.001307
795.000000, -0.000087
794.000000, -0.000641
793.000000, -0.001180
792.000000, -0.001591
791.000000, -0.001541
790.000000, -0.000424
789.000000, -0.000452
788.000000, -0.000670
787.000000, -0.001027
786.000000, -0.000916
785.000000, -0.000482
784.000000, -0.000215
783.000000, -0.000105
782.000000, -0.000177
781.000000, -0.000126
780.000000, -0.001061
779.000000, -0.000025
778.000000, -0.000839
777.000000, -0.000213
776.000000, -0.001132
775.000000, -0.001014
774.000000, -0.000685
773.000000, -0.000354
772.000000, -0.000448
771.000000, -0.000517
770.000000, 0.000289
769.000000, 0.000377
768.000000, -0.000164
767.000000, -0.000168
766.000000, -0.000961
765.000000, -0.000404
764.000000, -0.000913
763.000000, -0.001001
762.000000, -0.001162
761.000000, -0.000437
760.000000, -0.001217
759.000000, -0.001745
758.000000, -0.000665
757.000000, 0.000286
756.000000, -0.000501
755.000000, 0.000053
754.000000, -0.000501
753.000000, -0.001062
752.000000, -0.000520
751.000000, -0.000246
750.000000, 0.000097
749.000000, -0.000306
748.000000, -0.000536
747.000000, 0.000807
746.000000, -0.000540
745.000000, -0.000886
744.000000, -0.000296
743.000000, -0.000442
742.000000, -0.000051
741.000000, 0.000365
740.000000, -0.000402
739.000000, -0.000479
738.000000, 0.000722
737.000000, -0.000421
736.000000, -0.001975
735.000000, -0.000691
734.000000, -0.000668
733.000000, -0.000236
732.000000, -0.000513
731.000000, -0.001086
730.000000, -0.000463
729.000000, -0.000594
728.000000, -0.000531
727.000000, 0.000393
726.000000, 0.000461
725.000000, -0.000305
724.000000, -0.000655
723.000000, -0.000516
722.000000, -0.000626
721.000000, -0.000062
720.000000, -0.000429
719.000000, -0.000390
718.000000, -0.000739
717.000000, -0.000826
716.000000, -0.000838
715.000000, -0.000354
714.000000, -0.000020
713.000000, 0.000261
712.000000, 0.000632
711.000000, 0.000632
710.000000, -0.000325
709.000000, -0.000040
708.000000, 0.000466
707.000000, -0.000085
706.000000, -0.000044
705.000000, 0.000173
704.000000, -0.000141
703.000000, -0.000227
702.000000, -0.000241
701.000000, -0.000340
700.000000, -0.000346
699.000000, -0.000002
698.000000, -0.000228
697.000000, 0.000353
696.000000, 0.000252
695.000000, -0.000953
694.000000, -0.000574
693.000000, -0.000973
692.000000, 0.000353
691.000000, 0.001684
690.000000, 0.000409
689.000000, -0.001040
688.000000, -0.000424
687.000000, 0.000221
686.000000, -0.000370
685.000000, -0.000558
684.000000, -0.000804
683.000000, -0.001817
682.000000, -0.001258
681.000000, 0.000045
680.000000, -0.000326
679.000000, -0.000377
678.000000, -0.000658
677.000000, -0.000938
676.000000, -0.000987
675.000000, -0.000710
674.000000, -0.000253
673.000000, -0.000079
672.000000, -0.000258
671.000000, 0.000288
670.000000, 0.000419
669.000000, 0.000265
668.000000, 0.000560
667.000000, -0.000039
666.000000, 0.000107
665.000000, 0.000591
664.000000, 0.000678
663.000000, 0.000944
662.000000, 0.000113
661.000000, 0.000131
660.000000, 0.000054
659.000000, -0.000070
658.000000, 0.000399
657.000000, -0.000152
656.000000, -0.000394
655.000000, 0.000721
654.000000, 0.001279
653.000000, 0.001116
652.000000, 0.000389
651.000000, -0.000376
650.000000, -0.000518
649.000000, -0.000585
648.000000, -0.000461
647.000000, -0.000267
646.000000, 0.000119
645.000000, 0.000311
644.000000, -0.000607
643.000000, -0.000459
642.000000, -0.000222
641.000000, 0.001051
640.000000, 0.001081
639.000000, -0.000144
638.000000, 0.000105
637.000000, 0.000779
636.000000, -0.000089
635.000000, 0.000834
634.000000, 0.000475
