nm, A
800.000000, -0.000066
799.000000, -0.000488
798.000000, -0.000553
797.000000, -0.000417
796.000000, 0.000225
795.000000, -0.000779
794.000000, -0.001356
793.000000, 0.000033
792.000000, -0.000619
791.000000, 0.000466
790.000000, 0.000869
789.000000, 0.000289
788.000000, -0.000219
787.000000, 0.000797
786.000000, -0.000606
785.000000, 0.000545
784.000000, 0.000003
783.000000, -0.000150
782.000000, -0.000447
781.000000, -0.000113
780.000000, -0.000787
779.000000, 0.000317
778.000000, -0.000131
777.000000, -0.001272
776.000000, -0.000931
775.000000, -0.000481
774.000000, -0.000337
773.000000, -0.002526
772.000000, -0.000446
771.000000, -0.000111
770.000000, -0.001113
769.000000, -0.000481
768.000000, -0.001577
767.000000, -0.001148
766.000000, -0.000148
765.000000, -0.000346
764.000000, -0.000621
763.000000, -0.001618
762.000000, -0.000284
761.000000, -0.001785
760.000000, -0.000916
759.000000, -0.001278
758.000000, 0.000287
757.000000, -0.001450
756.000000, -0.001447
755.000000, -0.001107
754.000000, -0.001185
753.000000, -0.001061
752.000000, -0.000807
751.000000, -0.000745
750.000000, -0.000651
749.000000, -0.001161
748.000000, -0.000190
747.000000, -0.000918
746.000000, -0.002324
745.000000, -0.000886
744.000000, 0.000189
743.000000, -0.000840
742.000000, -0.000415
741.000000, -0.000809
740.000000, -0.001243
739.000000, -0.001117
738.000000, -0.000598
737.000000, -0.000249
736.000000, -0.000681
735.000000, -0.000467
734.000000, -0.000488
733.000000, -0.000958
732.000000, -0.000307
731.000000, -0.000512
730.000000, -0.000281
729.000000, -0.000355
728.000000, -0.001920
727.000000, -0.000585
726.000000, -0.000591
725.000000, -0.001176
724.000000, -0.000811
723.000000, -0.001030
722.000000, -0.000669
721.000000, -0.000246
720.000000, -0.001905
719.000000, -0.000819
718.000000, -0.000324
717.000000, -0.000416
716.000000, -0.001408
715.000000, -0.000875
714.000000, -0.000306
713.000000, -0.000011
712.000000, 0.000072
711.000000, -0.001029
710.000000, -0.000629
709.000000, -0.000499
708.000000, -0.001090
707.000000, -0.000430
706.000000, -0.000664
705.000000, -0.000682
704.000000, 0.000100
703.000000, 0.000164
702.000000, -0.000636
701.000000, -0.001203
700.000000, -0.000525
699.000000, -0.000717
698.000000, -0.000470
697.000000, -0.000712
696.000000, -0.000670
695.000000, -0.000422
694.000000, -0.000232
693.000000, -0.000892
692.000000, -0.001764
691.000000, -0.002081
690.000000, -0.001701
689.000000, -0.001715
688.000000, -0.000904
687.000000, -0.000956
686.000000, -0.000756
685.000000, -0.000104
684.000000, -0.000634
683.000000, -0.000725
682.000000, -0.000704
681.000000, -0.000789
680.000000, -0.001267
679.000000, -0.000581
678.000000, -0.000515
677.000000, -0.000897
676.000000, -0.000355
675.000000, -0.000282
674.000000, -0.000643
673.000000, -0.000270
672.000000, -0.000491
671.000000, -0.001004
670.000000, 0.000023
669.000000, 0.000894
668.000000, -0.000470
667.000000, -0.001172
666.000000, -0.001731
665.000000, -0.001158
664.000000, -0.000300
663.000000, -0.000535
662.000000, -0.000769
661.000000, -0.000858
660.000000, -0.000966
659.000000, -0.000187
658.000000, 0.000949
657.000000, 0.000640
656.000000, -0.000643
655.000000, -0.001180
654.000000, -0.000740
653.000000, -0.000660
652.000000, -0.000319
651.000000, 0.000388
650.000000, -0.000468
649.000000, -0.000874
648.000000, -0.000091
647.000000, 0.000435
646.000000, 0.000450
645.000000, -0.000618
644.000000, -0.000052
643.000000, -0.000247
642.000000, -0.001715
641.000000, -0.001069
640.000000, -0.000465
639.000000, -0.000367
638.000000, -0.000089
637.000000, -0.000782
636.000000, -0.001035
635.000000, 0.000248
634.000000, -0.000348
633.000000, -0.001397
632.000000, -0.000473
631.000000, -0.001525
630.000000, -0.001943
629.000000, -0.000681
628.000000, -0.000046
627.000000, -0.001193
626.000000, -0.000101
625.000000, -0.000779
624.000000, -0.001028
623.000000, -0.001152
622.000000, -0.000018
621.000000, -0.000046
620.000000, -0.000339
