nm, A
800.000000, -0.000397
799.000000, 0.000649
798.000000, -0.000365
797.000000, -0.000968
796.000000, -0.000511
795.000000, -0.000248
794.000000, -0.000698
793.000000, -0.001531
792.000000, -0.000442
791.000000, -0.000453
790.000000, 0.000405
789.000000, -0.000214
788.000000, 0.000623
787.000000, 0.000475
786.000000, 0.000953
785.000000, 0.000472
784.000000, 0.001196
783.000000, 0.001601
782.000000, 0.001820
781.000000, 0.002790
780.000000, 0.002227
779.000000, 0.002869
778.000000, 0.001048
777.000000, 0.000678
776.000000, -0.001018
775.000000, 0.000136
774.000000, -0.000216
773.000000, 0.000361
772.000000, 0.000047
771.000000, -0.000021
770.000000, 0.001011
769.000000, 0.000647
768.000000, -0.000487
767.000000, -0.000511
766.000000, -0.000115
765.000000, 0.000190
764.000000, -0.000346
763.000000, -0.000874
762.000000, -0.000340
761.000000, 0.000257
760.000000, -0.000129
759.000000, -0.000960
758.000000, -0.000763
757.000000, 0.000303
756.000000, -0.000397
755.000000, -0.001416
754.000000, -0.000641
753.000000, 0.000404
752.000000, 0.000117
751.000000, -0.000194
750.000000, 0.000409
749.000000, 0.000393
748.000000, -0.000488
747.000000, 0.000824
746.000000, -0.000456
745.000000, -0.000811
744.000000, -0.000103
743.000000, 0.000395
742.000000, 0.000386
741.000000, 0.000117
740.000000, -0.000361
739.000000, -0.000036
738.000000, 0.001371
737.000000, 0.000248
736.000000, -0.000475
735.000000, -0.000383
734.000000, 0.000438
733.000000, -0.000040
732.000000, 0.000288
731.000000, 0.000652
730.000000, 0.001377
729.000000, 0.000565
728.000000, 0.000916
727.000000, 0.000883
726.000000, 0.000778
725.000000, 0.001094
724.000000, 0.000047
723.000000, -0.000149
722.000000, -0.000098
721.000000, 0.000366
720.000000, 0.000995
719.000000, 0.000911
718.000000, 0.000231
717.000000, 0.000459
716.000000, -0.000405
715.000000, -0.000499
714.000000, -0.000002
713.000000, -0.000222
712.000000, 0.001057
711.000000, 0.001356
710.000000, 0.000583
709.000000, 0.000988
708.000000, 0.000555
707.000000, -0.000106
706.000000, 0.000313
705.000000, 0.000881
704.000000, 0.000415
703.000000, 0.000482
702.000000, 0.001243
701.000000, 0.001583
700.000000, 0.000987
699.000000, 0.000616
698.000000, 0.001110
697.000000, 0.001608
696.000000, 0.001184
695.000000, 0.000386
694.000000, 0.000123
693.000000, 0.000451
692.000000, 0.001303
691.000000, 0.002251
690.000000, 0.001852
689.000000, 0.000973
688.000000, 0.000650
687.000000, 0.000829
686.000000, 0.001046
685.000000, 0.000833
684.000000, 0.000694
683.000000, 0.000555
682.000000, 0.000095
681.000000, 0.001085
680.000000, 0.000945
679.000000, 0.000675
678.000000, 0.000889
677.000000, 0.000319
676.000000, 0.000618
675.000000, 0.000934
674.000000, 0.000620
673.000000, 0.000501
672.000000, 0.000770
671.000000, 0.001781
670.000000, 0.001404
669.000000, 0.000769
668.000000, 0.001089
667.000000, 0.000999
666.000000, 0.001170
665.000000, 0.001281
664.000000, 0.000544
663.000000, 0.001093
662.000000, 0.001142
661.000000, 0.000898
660.000000, 0.001235
659.000000, 0.001352
658.000000, 0.001268
657.000000, 0.000822
656.000000, 0.000515
655.000000, 0.001509
654.000000, 0.002158
653.000000, 0.002169
652.000000, 0.001262
651.000000, 0.000591
650.000000, -0.000078
649.000000, 0.000467
648.000000, 0.001297
647.000000, 0.002019
646.000000, 0.001099
645.000000, 0.001675
644.000000, 0.001255
643.000000, 0.001370
642.000000, 0.001396
641.000000, 0.001148
640.000000, 0.001730
639.000000, 0.001454
638.000000, 0.001528
637.000000, 0.002091
636.000000, 0.000779
635.000000, 0.001174
634.000000, 0.001112
633.000000, 0.000861
632.000000, 0.000488
631.000000, 0.001608
630.000000, 0.001058
629.000000, 0.000405
628.000000, 0.000425
627.000000, 0.001007
626.000000, 0.001115
625.000000, 0.001384
624.000000, 0.001056
623.000000, 0.001329
622.000000, 0.001522
621.000000, 0.001697
620.000000, 0.001874
619.000000, 0.001369
618.000000, 0.000938
617.000000, 0.001491
616.000000, 0.001193
615.000000, 0.001562
614.000000, 0.000357
613.000000, 0.000826
612.000000, 0.001437
611.000000, 0.001086
610.000000, 0.000533
609.000000, 0.001186
608.000000, 0.001973
607.000000, 0.001590
606.000000, 0.001412
605.000000, 0.001870
604.000000, 0.001781
603.000000, 0.001742
602.000000, 0.001741
601.000000, 0.000509
600.000000, 0.000928
599.000000, 0.001521
598.000000, 0.002109
597.000000, 0.001484
596.000000, 0.001404
595.000000, 0.001143
594.000000, 0.001444
593.000000, 0.001711
592.000000, 0.003336
591.000000, 0.002023
590.000000, 0.001862
589.000000, 0.001645
588.000000, 0.001472
587.000000, 0.001232
586.000000, 0.001875
585.000000, 0.001340
584.000000, 0.001641
583.000000, 0.001821
582.000000, 0.001035
581.000000, 0.001832
580.000000, 0.001781
579.000000, 0.001372
578.000000, 0.002075
577.000000, 0.002290
576.000000, 0.002049
575.000000, 0.001651
574.000000, 0.002015
573.000000, 0.000651
572.000000, 0.001155
571.000000, 0.002266
570.000000, 0.001758
569.000000, 0.002169
568.000000, 0.002815
567.000000, 0.002101
566.000000, 0.002520
565.000000, 0.002709
564.000000, 0.001584
563.000000, 0.003272
562.000000, 0.002281
561.000000, 0.003588
560.000000, 0.002584
559.000000, 0.003174
558.000000, 0.001193
557.000000, 0.003428
556.000000, 0.003793
555.000000, 0.002906
554.000000, 0.004003
553.000000, 0.002641
552.000000, 0.003575
551.000000, 0.003935
550.000000, 0.003230
549.000000, 0.004060
548.000000, 0.004046
547.000000, 0.003496
546.000000, 0.004068
545.000000, 0.003580
544.000000, 0.003952
543.000000, 0.004820
542.000000, 0.004318
541.000000, 0.004717
540.000000, 0.004727
539.000000, 0.004119
538.000000, 0.004701
537.000000, 0.003685
536.000000, 0.004472
535.000000, 0.004083
534.000000, 0.005843
533.000000, 0.005509
532.000000, 0.006107
531.000000, 0.005464
530.000000, 0.005575
529.000000, 0.005539
528.000000, 0.006722
527.000000, 0.005624
526.000000, 0.006766
525.000000, 0.008698
524.000000, 0.009616
523.000000, 0.011242
522.000000, 0.013442
521.000000, 0.016347
520.000000, 0.022078
519.000000, 0.030376
518.000000, 0.045092
517.000000, 0.066802
516.000000, 0.101624
515.000000, 0.151781
514.000000, 0.218963
513.000000, 0.293098
512.000000, 0.360428
511.000000, 0.398953
510.000000, 0.408020
509.000000, 0.390754
508.000000, 0.356363
507.000000, 0.319261
506.000000, 0.283769
505.000000, 0.252782
504.000000, 0.228439
503.000000, 0.209759
502.000000, 0.195250
501.000000, 0.185223
500.000000, 0.176435
499.000000, 0.172444
498.000000, 0.168324
497.000000, 0.166626
496.000000, 0.166464
495.000000, 0.167409
494.000000, 0.168701
493.000000, 0.173430
492.000000, 0.179242
491.000000, 0.185504
490.000000, 0.194440
489.000000, 0.204283
488.000000, 0.218372
487.000000, 0.232822
486.000000, 0.246927
485.000000, 0.260803
484.000000, 0.272136
483.000000, 0.282265
482.000000, 0.288886
481.000000, 0.291538
480.000000, 0.292393
479.000000, 0.289603
478.000000, 0.285142
477.000000, 0.277988
476.000000, 0.269527
475.000000, 0.261045
474.000000, 0.253408
473.000000, 0.245427
472.000000, 0.236478
471.000000, 0.229555
470.000000, 0.222634
469.000000, 0.215751
468.000000, 0.209436
467.000000, 0.204854
466.000000, 0.200624
465.000000, 0.196330
464.000000, 0.193851
463.000000, 0.190964
462.000000, 0.187576
461.000000, 0.185258
460.000000, 0.182546
459.000000, 0.179919
458.000000, 0.177477
457.000000, 0.175429
456.000000, 0.173507
455.000000, 0.171592
454.000000, 0.171213
453.000000, 0.170705
452.000000, 0.168763
451.000000, 0.167990
450.000000, 0.168446
449.000000, 0.167986
448.000000, 0.168415
447.000000, 0.169231
446.000000, 0.170202
445.000000, 0.172112
444.000000, 0.173227
443.000000, 0.175239
442.000000, 0.177629
441.000000, 0.179404
440.000000, 0.183144
439.000000, 0.187191
438.000000, 0.191165
437.000000, 0.196597
436.000000, 0.200998
435.000000, 0.205910
434.000000, 0.210855
433.000000, 0.215141
432.000000, 0.218822
431.000000, 0.221963
430.000000, 0.225213
429.000000, 0.228418
428.000000, 0.230854
427.000000, 0.231730
426.000000, 0.233590
425.000000, 0.235599
424.000000, 0.235877
423.000000, 0.236340
422.000000, 0.236896
421.000000, 0.236333
420.000000, 0.236761
419.000000, 0.237458
418.000000, 0.237239
417.000000, 0.236373
416.000000, 0.235767
415.000000, 0.235795
414.000000, 0.236007
413.000000, 0.235469
412.000000, 0.235340
411.000000, 0.236579
410.000000, 0.237632
409.000000, 0.237591
408.000000, 0.237501
407.000000, 0.237174
406.000000, 0.236069
405.000000, 0.236710
404.000000, 0.237353
403.000000, 0.236526
402.000000, 0.235585
401.000000, 0.235848
400.000000, 0.236185
399.000000, 0.236177
398.000000, 0.236110
397.000000, 0.236115
396.000000, 0.235892
395.000000, 0.235902
394.000000, 0.235558
393.000000, 0.234840
392.000000, 0.234726
391.000000, 0.235002
390.000000, 0.235289
389.000000, 0.235364
388.000000, 0.234846
387.000000, 0.234818
386.000000, 0.234857
385.000000, 0.235245
384.000000, 0.235900
383.000000, 0.236430
382.000000, 0.236368
381.000000, 0.236297
380.000000, 0.237023
379.000000, 0.238670
378.000000, 0.238758
377.000000, 0.238253
376.000000, 0.238895
375.000000, 0.240151
374.000000, 0.241188
373.000000, 0.241418
372.000000, 0.242579
371.000000, 0.243062
370.000000, 0.243670
369.000000, 0.244076
368.000000, 0.244971
367.000000, 0.246336
366.000000, 0.246628
365.000000, 0.248326
364.000000, 0.248185
363.000000, 0.249368
362.000000, 0.250897
361.000000, 0.252872
360.000000, 0.254378
359.000000, 0.254984
