nm, A
800.000000, 0.000757
799.000000, 0.000492
798.000000, -0.000131
797.000000, -0.000713
796.000000, 0.000810
795.000000, 0.000285
794.000000, 0.000209
793.000000, 0.000602
792.000000, -0.000353
791.000000, 0.000916
790.000000, -0.000157
789.000000, 0.000314
788.000000, -0.001218
787.000000, 0.000053
786.000000, 0.000444
785.000000, 0.001456
784.000000, -0.000117
783.000000, 0.000645
782.000000, -0.000280
781.000000, -0.000062
780.000000, 0.000294
779.000000, 0.000953
778.000000, 0.000535
777.000000, -0.000612
776.000000, -0.000528
775.000000, -0.000056
774.000000, 0.000380
773.000000, -0.001044
772.000000, 0.000380
771.000000, 0.000148
770.000000, -0.000200
769.000000, -0.000626
768.000000, -0.000604
767.000000, -0.000273
766.000000, 0.000557
765.000000, 0.001206
764.000000, -0.000212
763.000000, -0.000819
762.000000, -0.000003
761.000000, -0.001313
760.000000, -0.001112
759.000000, 0.000835
758.000000, 0.000546
757.000000, -0.001126
756.000000, -0.001185
755.000000, -0.000280
754.000000, -0.000775
753.000000, -0.000684
752.000000, -0.000562
751.000000, -0.000625
750.000000, -0.000722
749.000000, -0.000301
748.000000, 0.000595
747.000000, 0.000401
746.000000, -0.001177
745.000000, 0.000053
744.000000, 0.000440
743.000000, -0.000751
742.000000, -0.000622
741.000000, -0.000250
740.000000, 0.000270
739.000000, 0.000795
738.000000, 0.000604
737.000000, 0.001143
736.000000, -0.000144
735.000000, -0.000685
734.000000, -0.000029
733.000000, -0.000490
732.000000, 0.001051
731.000000, 0.000046
730.000000, -0.000278
729.000000, 0.000698
728.000000, -0.000923
727.000000, -0.000779
726.000000, -0.000454
725.000000, 0.000216
724.000000, 0.000306
723.000000, -0.000020
722.000000, -0.000211
721.000000, 0.000268
720.000000, -0.001403
719.000000, 0.000025
718.000000, 0.000793
717.000000, 0.000108
716.000000, -0.000426
715.000000, 0.000147
714.000000, -0.000282
713.000000, 0.000002
712.000000, 0.000149
711.000000, -0.000751
710.000000, -0.000639
709.000000, -0.000183
708.000000, 0.000183
707.000000, -0.000054
706.000000, -0.000433
705.000000, -0.000162
704.000000, 0.000345
703.000000, 0.000437
702.000000, -0.000173
701.000000, -0.000206
700.000000, 0.000373
699.000000, -0.000120
698.000000, -0.000328
697.000000, -0.000371
696.000000, -0.000150
695.000000, 0.000302
694.000000, -0.000002
693.000000, -0.000694
692.000000, -0.000830
691.000000, -0.000946
690.000000, -0.000710
689.000000, -0.000446
688.000000, 0.000000
687.000000, -0.000595
686.000000, -0.000534
685.000000, -0.000279
684.000000, -0.000366
683.000000, -0.000180
682.000000, 0.000099
681.000000, -0.000617
680.000000, -0.000673
679.000000, 0.000659
678.000000, 0.000802
677.000000, 0.000096
676.000000, -0.000284
675.000000, -0.000208
674.000000, 0.000079
673.000000, -0.000102
672.000000, -0.000381
671.000000, -0.001067
670.000000, -0.000791
669.000000, 0.000225
668.000000, 0.000042
667.000000, 0.000048
666.000000, -0.000537
665.000000, -0.000187
664.000000, 0.000599
663.000000, -0.000269
662.000000, -0.000204
661.000000, -0.000057
660.000000, 0.000164
659.000000, 0.001049
658.000000, 0.001177
657.000000, 0.001028
656.000000, 0.000194
655.000000, -0.000882
654.000000, -0.000938
653.000000, -0.000706
652.000000, 0.000190
651.000000, 0.001445
650.000000, 0.000479
649.000000, -0.000662
648.000000, 0.000415
647.000000, 0.001077
646.000000, 0.000239
645.000000, -0.000378
644.000000, 0.000300
643.000000, 0.000050
642.000000, -0.000705
641.000000, 0.000220
640.000000, 0.000206
639.000000, 0.000102
638.000000, 0.000713
637.000000, 0.000378
636.000000, -0.000892
635.000000, 0.000499
634.000000, 0.000456
633.000000, 0.000349
632.000000, 0.000992
631.000000, -0.000025
630.000000, -0.000772
629.000000, 0.000345
628.000000, 0.000641
627.000000, -0.000682
626.000000, -0.000298
625.000000, -0.000688
624.000000, -0.000903
623.000000, -0.000692
622.000000, 0.000362
621.000000, -0.000007
620.000000, -0.000754
619.000000, -0.001476
618.000000, -0.000914
617.000000, -0.001626
616.000000, -0.000276
615.000000, 0.000028
614.000000, 0.000382
613.000000, 0.000268
612.000000, -0.000277
611.000000, -0.000671
610.000000, -0.000772
609.000000, 0.001363
608.000000, 0.000067
607.000000, -0.000144
606.000000, 0.000209
605.000000, -0.000187
604.000000, 0.000026
603.000000, -0.000202
602.000000, 0.000093
601.000000, 0.000315
600.000000, -0.000012
599.000000, -0.000497
598.000000, 0.000270
597.000000, -0.001055
596.000000, -0.001323
595.000000, 0.000090
594.000000, 0.000216
593.000000, 0.000599
592.000000, 0.000363
591.000000, 0.000387
590.000000, 0.000637
589.000000, 0.000446
588.000000, 0.000243
587.000000, -0.000277
586.000000, -0.000081
585.000000, 0.000380
584.000000, 0.000182
583.000000, 0.000857
582.000000, 0.000090
581.000000, -0.000591
580.000000, 0.000975
579.000000, 0.000481
578.000000, 0.001009
577.000000, 0.000814
576.000000, -0.000813
575.000000, 0.000502
574.000000, 0.000582
573.000000, 0.000746
572.000000, 0.000763
571.000000, 0.000672
570.000000, 0.000491
569.000000, 0.000895
568.000000, 0.000390
567.000000, 0.000393
566.000000, -0.000479
565.000000, 0.000794
564.000000, 0.001477
563.000000, 0.000285
562.000000, 0.001501
561.000000, -0.000037
560.000000, 0.000992
559.000000, 0.000324
558.000000, 0.001592
557.000000, -0.000154
556.000000, 0.001539
555.000000, 0.001477
554.000000, 0.000372
553.000000, 0.002051
552.000000, 0.001065
551.000000, 0.000660
550.000000, 0.001113
549.000000, 0.000748
548.000000, 0.001504
547.000000, 0.001676
546.000000, 0.001813
545.000000, 0.001987
544.000000, 0.000998
543.000000, 0.001847
542.000000, 0.001431
541.000000, 0.001682
540.000000, 0.001650
539.000000, 0.001699
538.000000, 0.003256
537.000000, 0.003511
536.000000, 0.002193
535.000000, 0.002890
534.000000, 0.002847
533.000000, 0.002601
532.000000, 0.002039
531.000000, 0.003022
530.000000, 0.003745
529.000000, 0.003754
528.000000, 0.005137
527.000000, 0.005845
526.000000, 0.004405
525.000000, 0.005155
524.000000, 0.007459
523.000000, 0.010124
522.000000, 0.012967
521.000000, 0.018572
520.000000, 0.024002
519.000000, 0.036667
518.000000, 0.055657
517.000000, 0.088382
516.000000, 0.138437
515.000000, 0.207657
514.000000, 0.294954
513.000000, 0.379622
512.000000, 0.437045
511.000000, 0.455292
510.000000, 0.439141
509.000000, 0.399559
508.000000, 0.355790
507.000000, 0.315101
506.000000, 0.281534
505.000000, 0.251789
504.000000, 0.231434
503.000000, 0.214352
502.000000, 0.203220
501.000000, 0.194097
500.000000, 0.189233
499.000000, 0.185092
498.000000, 0.181708
497.000000, 0.178326
496.000000, 0.177368
495.000000, 0.178893
494.000000, 0.181769
493.000000, 0.185709
492.000000, 0.192810
491.000000, 0.199679
490.000000, 0.209986
489.000000, 0.222822
488.000000, 0.237205
487.000000, 0.253300
486.000000, 0.269676
485.000000, 0.284052
484.000000, 0.297703
483.000000, 0.308585
482.000000, 0.314694
481.000000, 0.316681
480.000000, 0.316979
479.000000, 0.312893
478.000000, 0.306014
477.000000, 0.298622
476.000000, 0.290021
475.000000, 0.280479
474.000000, 0.269824
473.000000, 0.259222
472.000000, 0.249995
471.000000, 0.241924
470.000000, 0.234463
469.000000, 0.227238
468.000000, 0.221174
467.000000, 0.217537
466.000000, 0.216829
465.000000, 0.217712
464.000000, 0.218876
463.000000, 0.219611
462.000000, 0.219859
461.000000, 0.215865
460.000000, 0.210452
459.000000, 0.206276
458.000000, 0.201578
457.000000, 0.197131
456.000000, 0.192549
455.000000, 0.189644
454.000000, 0.188056
453.000000, 0.186127
452.000000, 0.184346
451.000000, 0.183616
450.000000, 0.182035
449.000000, 0.181289
448.000000, 0.182044
447.000000, 0.183371
446.000000, 0.183854
445.000000, 0.186031
444.000000, 0.189232
443.000000, 0.191769
442.000000, 0.194263
441.000000, 0.197784
440.000000, 0.203068
439.000000, 0.208831
438.000000, 0.213999
437.000000, 0.219271
436.000000, 0.224383
435.000000, 0.230442
434.000000, 0.236073
433.000000, 0.240375
432.000000, 0.244158
431.000000, 0.245923
430.000000, 0.248293
429.000000, 0.251157
428.000000, 0.252462
427.000000, 0.253454
426.000000, 0.254535
425.000000, 0.254465
424.000000, 0.255586
423.000000, 0.256089
422.000000, 0.255047
421.000000, 0.255100
420.000000, 0.255282
419.000000, 0.254485
418.000000, 0.254609
417.000000, 0.253945
416.000000, 0.253324
415.000000, 0.253840
414.000000, 0.253009
413.000000, 0.251977
412.000000, 0.252394
411.000000, 0.252744
410.000000, 0.252111
409.000000, 0.251609
408.000000, 0.251812
407.000000, 0.252865
406.000000, 0.252555
405.000000, 0.251786
404.000000, 0.251717
403.000000, 0.252445
402.000000, 0.252493
401.000000, 0.252455
400.000000, 0.252024
399.000000, 0.251908
398.000000, 0.251916
397.000000, 0.252297
396.000000, 0.251908
395.000000, 0.251702
394.000000, 0.251944
393.000000, 0.252438
392.000000, 0.251328
391.000000, 0.250702
390.000000, 0.250718
389.000000, 0.251444
388.000000, 0.251698
387.000000, 0.252998
386.000000, 0.253693
385.000000, 0.253706
384.000000, 0.253470
383.000000, 0.253130
382.000000, 0.253577
381.000000, 0.253471
380.000000, 0.254860
379.000000, 0.255752
378.000000, 0.256258
377.000000, 0.257372
376.000000, 0.257669
375.000000, 0.257549
374.000000, 0.259750
373.000000, 0.260931
372.000000, 0.261173
371.000000, 0.260971
370.000000, 0.262313
369.000000, 0.263252
368.000000, 0.263748
367.000000, 0.264160
366.000000, 0.265647
365.000000, 0.267699
364.000000, 0.269502
363.000000, 0.270418
